,place,1801,1811,1821,1831,1841,1851,1861,1871,1881,1891,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001,2002,2005,2008,2010,2011,2011,2012,2013,2014,2014,2014,2015,2016,2017,2018,county_name,sample_frequency,timestamps,name,units,url,domain,country_code,country_name,original_id,aug_id
0,nuts/UKD33,,,,,,,,,,,,,,,,,,,,,,,,,,511852.0,,,,,,520215.0,,,545500.0,547627.0,Manchester,43.4,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKD33,0
1,nuts/UKD61,,,,,,,,,,,,,,,,,,,,,,,,,,165456.0,,,,,,,,,,,Warrington,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKD61,1
2,nuts/UKD72,,,,,,,,,,,,,,,,,,,,,,,,,,466415.0,,,,,,,,513441.0,,,Liverpool,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKD72,2
3,nuts/UKE11,,,,,,,,,,,,,,,,,,,,,,,,,,256406.0,,,,,,,,,,,Kingston upon Hull,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKE11,3
4,nuts/UKE21,,,,,,,,,,,,,,,,,,,,,181131.0,,,,,198051.0,,,,,,,,,,,York,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKE21,4
5,nuts/UKE32,,,,,,,,,,,,,,,,,,,,,,,,,,518090.0,,,,,,,,,,,Sheffield,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKE32,5
6,nuts/UKE41,,,,76996.0,,,,,,,,,,,,,,,,,293277.0,,,,,,,,,,,,,,,,Bradford,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKE41,6
7,nuts/UKF11,,,,,,,,,,,,,,,,,,,,,,,,,,255394.0,,,,,,,,,,,Derby,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKF11,7
8,nuts/UKF14,,,,,,,,,,,,,,,,,,,,,,,,,,289301.0,,,,,,,,,,,Nottingham,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKF14,8
9,nuts/UKF21,,,,,,,,,,,,,,,,,,,,,,,,,,329839.0,,,,337653.0,,,,464395.0,,,Leicester,54.25,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKF21,9
10,nuts/UKG23,,,,,,,,,,,,,,,,,,,,,,,,,,249008.0,,,,,,,,,,,Stoke-on-Trent,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKG23,10
11,nuts/UKG31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123000.0,,1137100.0,,Birmingham,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKG31,11
12,nuts/UKG33,,,,,,,,,,,,,,,,,,,,,,,,,,316900.0,,,,,,,,362690.0,,,Coventry,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKG33,12
13,nuts/UKG39,,,,,,,,,,,,,,,,,,,,,,,,,,265178.0,,250970.0,,,,,,,,,Wolverhampton,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKG39,13
14,nuts/UKH11,,,,,,,,,,,,,,,,,,,,,136292.0,,,,,,,,,,,,194000.0,,,,Peterborough,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKH11,14
15,nuts/UKH21,,,,,,,,,,,,,,,,,,,,,,,,,,203201.0,,,,,,,,,,,Luton,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKH21,15
16,nuts/UKH31,,,,,,,,,,,,,,,,,,,,,,,,,,160257.0,,,,,,,,,,,Southend-on-Sea,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKH31,16
17,nuts/UKJ31,,,,,,,,,,,,,,,,,,,,,,,,200000.0,,205100.0,,,,,,,,248440.0,,,Portsmouth,54.25,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKJ31,17
18,nuts/UKJ32,,,,,,,,,,,,,,,,,,,,,,,,,,253651.0,,,,,,,,271173.0,,,Southampton,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKJ32,18
19,nuts/UKK11,,,,,,,,,,,,,,,,,,,,,,,,,,535907.0,,,,,,,,,,,Bristol,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKK11,19
20,nuts/UKK41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267918.0,,,Plymouth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKK41,20
21,nuts/UKM25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464990.0,513210.0,,Edinburgh,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKM25,21
22,nuts/UKM34,,,,,,,,,,,,,,1088000.0,,,,,,681000.0,579000.0,,,,,598830.0,,,,,,,,,,626410.0,Glasgow,36.166666666666664,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,nuts/UKM34,22
23,wikidataId/Q1000740,,,,,,,,,,,,,,,,,,,,,17600.0,,,,,19518.0,,,,,,,,,,,Goole,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1000740,23
24,wikidataId/Q1001942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10975.0,,,Oakham,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1001942,24
25,wikidataId/Q1002177,,,,,,,,,,,,,,,,,,,,,,,,,,11602.0,,,,,,,,,,,Stonehaven,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1002177,25
26,wikidataId/Q1007093,,,,,,,,,,,,,,,,,,,,,,,,,,34432.0,,,,,,,,,,,Exmouth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1007093,26
27,wikidataId/Q1009316,,,,,,,,,,,,,,,,,,,,,,,,,,61789.0,,,,,,,,,,,Runcorn,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1009316,27
28,wikidataId/Q1010221,,,,,,,,,,,,,,,,,,,,,,,,,,9400.0,,,,,,,,,,,Hayle,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1010221,28
29,wikidataId/Q1010328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10080.0,,,Kilsyth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1010328,29
30,wikidataId/Q1011600,,,,,,,,,,,,,,,,,,,,,,,,,,61090.0,,,,,,,,,,,Ellesmere Port,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1011600,30
31,wikidataId/Q1012502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7030.0,,,Wick,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1012502,31
32,wikidataId/Q101254,,,,,,,,,,,,,,,,,,,,,,,,,,145700.0,,,,,,,,,,153302.0,Newport,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q101254,32
33,wikidataId/Q1016707,,,,,,,,,,,,,,,,,,,,,4761.0,,,,,,,,,,,,,,,,Blackburn,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1016707,33
34,wikidataId/Q1017537,,,,,,,,,,,,,,,,,,,,,10885.0,,,,,,,,,,,,,,,,Inverurie,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1017537,34
35,wikidataId/Q1020362,,,,,,,,,,,,,,,,,,,,,,,,,,45249.0,,,,,,,,,,,Hinckley,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1020362,35
36,wikidataId/Q1020951,,,,,,,,,,,,,,,,,,,,,,,,,,14809.0,,,,,,,,,,,Ilkley,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1020951,36
37,wikidataId/Q1022488,,,,,,,,,,,,,,,,,,,,,,,,,,273400.0,,,,,,,285300.0,,,290395.0,Brighton and Hove,54.25,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1022488,37
38,wikidataId/Q1022741,,,,,,,,,,,,,,,,,,,,,,,,,,61464.0,,,,,,,,,,,Widnes,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1022741,38
39,wikidataId/Q1024911,,,,,,,,,,,,,,,,,,,,,,,,,,6664.0,,,,,,,,,,,Welshpool,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1024911,39
40,wikidataId/Q10686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333871.0,,,,Belfast,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q10686,40
41,wikidataId/Q10690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361469.0,,,Cardiff,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q10690,41
42,wikidataId/Q10999,,,,,,,,,,,,,,,,,,,,,12027.0,,,,,12099.0,,,,,,,,,,,Tring,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q10999,42
43,wikidataId/Q1190876,,,,,,,,,,,,,,,,,,,,,29237.0,,,,,,,,,,,,,,,,Bromsgrove,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,GBR,United Kingdom,wikidataId/Q1190876,43
