Category,May2021,Mar.2022,Apr.2022(p),May2022(p)
Total nonfarm,447,398,436,390
Total private,381,385,405,333
Goods-producing,22,85,69,59
Mining and logging,6,5,8,5
Construction,-12,22,0,36
Manufacturing,28,58,61,18
Durable goods(1),23,41,34,11
Motor vehicles and parts,19.6,18.4,7.5,-3.5
Nondurable goods,5,17,27,7
Private service-providing,359,300,336,274
Wholesale trade,8.5,25.9,22.9,14.1
Retail trade,-25.2,-22.9,12.3,-60.7
Transportation and warehousing,28.8,3.7,46.2,47.0
Utilities,-0.9,-0.5,0.5,0.5
Information,15,18,15,16
Financial activities,0,11,35,8
Professional and business services(1),80,94,49,75
Temporary help services,25.7,8.2,6.6,19.3
Education and health services(1),38,51,60,74
Health care and social assistance,15.2,37.8,44.2,42.1
Leisure and hospitality,199,104,83,84
Other services,16,15,13,16
Government,66,13,31,57
Total nonfarm,471,539,516,408
Total private,414,527,498,374
Total nonfarm women employees,49.8,49.8,49.8,49.8
Total private women employees,48.4,48.3,48.4,48.4
Total private production and nonsupervisory employees,81.4,81.5,81.5,81.5
Average weekly hours,34.9,34.6,34.6,34.6
Average hourly earnings,$30.36,$31.75,$31.85,$31.95
Average weekly earnings,"$1,059.56","$1,098.55","$1,102.01","$1,105.47"
Index of aggregate weekly hours (2007=100)(3),107.9,111.8,112.1,112.4
Over-the-month percent change,0.3,0.0,0.3,0.3
Index of aggregate weekly payrolls (2007=100)(4),156.6,169.7,170.7,171.7
Over-the-month percent change,0.8,0.5,0.6,0.6
Total private (256 industries),64.5,74.2,72.3,69.3
Manufacturing (74 industries),55.4,72.3,71.6,66.2
