dates,covid19mobilitytrend_park
2020-02-15,12
2020-02-16,4
2020-02-17,16
2020-02-18,8
2020-02-19,3
2020-02-20,0
2020-02-21,9
2020-02-22,-4
2020-02-23,21
2020-02-24,24
2020-02-25,8
2020-02-26,4
2020-02-27,-1
2020-02-28,7
2020-02-29,10
2020-03-01,5
2020-03-02,2
2020-03-03,20
2020-03-04,9
2020-03-05,-1
2020-03-06,6
2020-03-07,16
2020-03-08,4
2020-03-09,12
2020-03-10,10
2020-03-11,1
2020-03-12,4
2020-03-13,-4
2020-03-14,-7
2020-03-15,-6
2020-03-16,-5
2020-03-17,-18
2020-03-18,-24
2020-03-19,-41
2020-03-20,-41
2020-03-21,-52
2020-03-22,-52
2020-03-23,-48
2020-03-24,-49
2020-03-25,-56
2020-03-26,-54
2020-03-27,-50
2020-03-28,-50
2020-03-29,-80
2020-03-30,-63
2020-03-31,-61
2020-04-01,-62
2020-04-02,-59
2020-04-03,-55
2020-04-04,-57
2020-04-05,-51
2020-04-06,-47
2020-04-07,-48
2020-04-08,-53
2020-04-09,-48
2020-04-10,-88
2020-04-11,-52
2020-04-12,-82
2020-04-13,-69
2020-04-14,-45
2020-04-15,-52
2020-04-16,-48
2020-04-17,-44
2020-04-18,-54
2020-04-19,-53
2020-04-20,-45
2020-04-21,-47
2020-04-22,-52
2020-04-23,-45
2020-04-24,-44
2020-04-25,-44
2020-04-26,-40
2020-04-27,-31
2020-04-28,-37
2020-04-29,-42
2020-04-30,-38
2020-05-01,-35
2020-05-02,-39
2020-05-03,-35
2020-05-04,-29
2020-05-05,-28
2020-05-06,-36
2020-05-07,-35
2020-05-08,-31
2020-05-09,-26
2020-05-10,-26
2020-05-11,-23
2020-05-12,-28
2020-05-13,-34
2020-05-14,-32
2020-05-15,-29
2020-05-16,-28
2020-05-17,-21
2020-05-18,-18
2020-05-19,-26
2020-05-20,-30
2020-05-21,-3
2020-05-22,-19
2020-05-23,-20
2020-05-24,-12
2020-05-25,-22
2020-05-26,-28
2020-05-27,-28
2020-05-28,-24
2020-05-29,-10
2020-05-30,-9
2020-05-31,-9
2020-06-01,-18
2020-06-02,-20
2020-06-03,-30
2020-06-04,-23
2020-06-05,-7
2020-06-06,-9
2020-06-07,-6
2020-06-08,-17
