dates,covid19mobilitytrend_localbusiness
2020-02-15,-9
2020-02-16,3
2020-02-17,6
2020-02-18,3
2020-02-19,-1
2020-02-20,-2
2020-02-21,0
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,2
2020-02-26,-1
2020-02-27,-1
2020-02-28,-2
2020-02-29,-1
2020-03-01,3
2020-03-02,5
2020-03-03,3
2020-03-04,-2
2020-03-05,3
2020-03-06,3
2020-03-07,0
2020-03-08,5
2020-03-09,-15
2020-03-10,0
2020-03-11,2
2020-03-12,1
2020-03-13,3
2020-03-14,6
2020-03-15,1
2020-03-16,1
2020-03-17,0
2020-03-18,0
2020-03-19,-3
2020-03-20,-15
2020-03-21,-23
2020-03-22,-12
2020-03-23,-11
2020-03-24,-15
2020-03-25,-18
2020-03-26,-18
2020-03-27,-20
2020-03-28,-36
2020-03-29,-38
2020-03-30,-41
2020-03-31,-43
2020-04-01,-44
2020-04-02,-44
2020-04-03,-38
2020-04-04,-43
2020-04-05,-45
2020-04-06,-45
2020-04-07,-41
2020-04-08,-47
2020-04-09,-49
2020-04-10,-41
2020-04-11,-46
2020-04-12,-48
2020-04-13,-46
2020-04-14,-48
2020-04-15,-42
2020-04-16,-46
2020-04-17,-41
2020-04-18,-43
2020-04-19,-43
2020-04-20,-42
2020-04-21,-41
2020-04-22,-42
2020-04-23,-43
2020-04-24,-45
2020-04-25,-48
2020-04-26,-47
2020-04-27,-49
2020-04-28,-45
2020-04-29,-42
2020-04-30,-47
2020-05-01,-45
2020-05-02,-47
2020-05-03,-49
2020-05-04,-45
2020-05-05,-45
2020-05-06,-44
2020-05-07,-44
2020-05-08,-39
2020-05-09,-40
2020-05-10,-40
2020-05-11,-38
2020-05-12,-38
2020-05-13,-38
2020-05-14,-37
2020-05-15,-28
2020-05-16,-28
2020-05-17,-32
2020-05-18,-29
2020-07-03,-14
2020-07-04,-10
2020-07-05,-9
2020-07-06,-7
2020-07-07,-5
2020-07-08,-9
2020-07-09,-9
2020-07-10,-7
2020-07-11,-5
2020-07-12,-5
2020-07-13,-4
2020-07-14,-6
2020-07-15,-6
2020-07-16,-7
2020-07-17,-5
2020-07-18,-4
2020-07-19,-4
2020-07-20,-1
2020-07-21,-5
2020-07-22,-4
2020-07-23,-7
2020-07-24,-3
2020-07-25,-6
2020-07-26,-5
2020-07-27,-3
2020-07-28,-1
2020-07-29,2
2020-07-30,-5
2020-07-31,-26
2020-08-01,-33
2020-08-02,-31
2020-08-03,-18
2020-08-04,-11
2020-08-05,-9
2020-08-06,-9
2020-08-07,-6
2020-08-08,-12
2020-08-09,-10
2020-08-10,7
2020-08-11,2
2020-08-12,4
2020-08-13,1
2020-08-14,3
2020-08-15,4
2020-08-16,6
2020-09-11,44
2020-09-12,33
2020-09-13,49
2020-09-14,53
2020-09-15,54
2020-09-16,55
2020-09-17,45
2020-09-18,39
2020-09-19,35
2020-09-20,50
2020-09-21,54
2020-09-22,47
2020-09-23,39
2020-09-24,37
2020-09-25,30
2020-09-26,24
2020-09-27,42
2020-09-28,39
2020-09-29,37
2020-09-30,36
2020-10-01,33
2020-10-02,32
2020-10-03,24
2020-10-04,44
2020-10-05,40
2020-10-06,39
2020-10-07,40
2020-10-08,42
2020-10-09,37
2020-10-10,26
2020-10-11,46
2020-10-12,48
2020-10-13,45
2020-10-14,45
2020-10-15,43
2020-10-16,37
2020-10-17,24
2020-10-18,42
2020-10-19,43
