dates,covid19mobilitytrend_park
2020-02-15,7
2020-02-16,-11
2020-02-17,2
2020-02-18,-4
2020-02-19,-3
2020-02-20,0
2020-02-21,3
2020-02-22,14
2020-02-23,5
2020-02-24,3
2020-02-25,-12
2020-02-26,-2
2020-02-27,5
2020-02-28,8
2020-02-29,9
2020-03-01,-1
2020-03-02,8
2020-03-03,8
2020-03-04,12
2020-03-05,17
2020-03-06,10
2020-03-07,18
2020-03-08,4
2020-03-09,7
2020-03-10,3
2020-03-11,5
2020-03-12,10
2020-03-13,5
2020-03-14,8
2020-03-15,-4
2020-03-16,1
2020-03-17,0
2020-03-18,-1
2020-03-19,5
2020-03-20,-5
2020-03-21,-8
2020-03-22,-29
2020-03-23,-31
2020-03-24,-21
2020-03-25,-24
2020-03-26,-9
2020-03-27,-32
2020-03-28,-28
2020-03-29,-39
2020-03-30,-35
2020-03-31,-37
2020-04-01,-40
2020-04-02,-34
2020-04-03,-41
2020-04-04,-37
2020-04-05,-48
2020-04-06,-37
2020-04-07,-41
2020-04-08,-41
2020-04-09,-34
2020-04-10,-49
2020-04-11,-37
2020-04-12,-45
2020-04-13,-39
2020-04-14,-40
2020-04-15,-41
2020-04-16,-36
2020-04-17,-43
2020-04-18,-39
2020-04-19,-47
2020-04-20,-38
2020-04-21,-37
2020-04-22,-41
2020-04-23,-36
2020-04-24,-39
2020-04-25,-27
2020-04-26,-41
2020-04-27,-26
2020-04-28,-19
2020-04-29,-22
2020-04-30,-13
2020-05-01,-38
2020-05-02,-21
2020-05-03,-40
2020-05-04,-24
2020-05-05,-26
2020-05-06,-26
2020-05-07,-19
2020-05-08,-27
2020-05-09,-19
2020-05-10,-37
2020-05-11,-24
2020-05-12,-21
2020-05-13,-25
2020-05-14,-17
2020-05-15,-24
2020-05-16,-15
2020-05-17,-37
2020-05-18,-22
2020-05-19,-24
2020-05-20,-25
2020-05-21,-15
2020-05-22,-22
2020-05-23,-19
2020-05-24,-35
2020-05-25,-21
2020-05-26,-21
2020-05-27,-17
2020-05-28,-11
2020-05-29,-11
2020-05-30,-4
2020-05-31,-21
2020-06-01,-5
2020-06-02,-7
2020-06-03,-10
2020-06-04,-6
2020-06-05,-13
2020-06-06,-8
2020-06-07,-24
2020-06-08,-11
2020-06-09,-13
2020-06-10,-10
2020-06-11,-2
2020-06-12,-11
2020-06-13,-8
2020-06-14,-25
2020-06-15,-10
2020-06-16,-11
2020-06-17,-13
2020-06-18,-9
2020-06-19,-15
2020-06-20,-9
2020-06-21,-23
2020-06-22,-12
2020-06-23,-11
2020-06-24,-11
2020-06-25,1
2020-06-26,-8
2020-06-27,-2
2020-06-28,-18
2020-06-29,-3
2020-06-30,-6
2020-07-01,-5
2020-07-02,3
2020-07-03,-5
2020-07-04,0
2020-07-05,-19
2020-07-06,-6
2020-07-07,-6
2020-07-08,-11
2020-07-09,-6
2020-07-10,-13
2020-07-11,-7
2020-07-12,-23
2020-07-13,-10
2020-07-14,-14
2020-07-15,-16
2020-07-16,-9
2020-07-17,-18
2020-07-18,-13
2020-07-19,-27
2020-07-20,-11
2020-07-21,-17
2020-07-22,-18
2020-07-23,-8
2020-07-24,-13
2020-07-25,-4
2020-07-26,-21
2020-07-27,-8
2020-07-28,-9
2020-07-29,-5
2020-07-30,4
2020-07-31,-4
2020-08-01,4
2020-08-02,-14
2020-08-03,-4
2020-08-04,-2
2020-08-05,-3
2020-08-06,4
2020-08-07,-7
2020-08-08,4
2020-08-09,-12
2020-08-10,-1
2020-08-11,-2
2020-08-12,-1
2020-08-13,1
2020-08-14,-1
2020-08-15,1
2020-08-16,-13
2020-09-11,22
2020-09-12,32
2020-09-13,5
2020-09-14,29
2020-09-15,27
2020-09-16,28
2020-09-17,18
2020-09-18,-1
2020-09-19,19
2020-09-20,3
2020-09-21,20
2020-09-22,11
2020-09-23,7
2020-09-24,14
2020-09-25,7
2020-09-26,17
2020-09-27,-2
2020-09-28,18
2020-09-29,14
2020-09-30,14
2020-10-01,23
2020-10-02,17
2020-10-03,20
2020-10-04,4
2020-10-05,25
2020-10-06,22
2020-10-07,15
2020-10-08,21
2020-10-09,11
2020-10-10,21
2020-10-11,3
2020-10-12,18
2020-10-13,16
2020-10-14,15
2020-10-15,25
2020-10-16,16
2020-10-17,21
2020-10-18,-3
2020-10-19,18
2020-10-20,15
2020-10-21,15
2020-10-22,25
2020-10-23,17
2020-10-24,23
2020-10-25,0
2020-10-26,28
2020-10-27,21
2020-10-28,21
2020-10-29,28
2020-10-30,15
2020-10-31,23
2020-11-01,6
2020-11-02,-2
2020-11-03,22
2020-11-04,16
2020-11-05,27
2020-11-06,16
2020-11-07,22
2020-11-08,-3
2020-11-09,18
2020-11-10,30
2020-11-11,-14
2020-11-12,24
2020-11-13,5
2020-11-14,20
2020-11-15,0
2020-11-16,19
2020-11-17,13
2020-11-18,13
2020-11-19,23
2020-11-20,12
2020-11-21,14
2020-11-22,-3
2020-11-23,17
2020-11-24,15
2020-11-25,20
2020-11-26,29
2020-11-27,20
2020-11-28,27
2020-11-29,9
2020-11-30,27
2020-12-01,31
2020-12-02,28
2020-12-03,36
2020-12-04,26
2020-12-05,29
2020-12-06,5
2020-12-07,30
2020-12-08,25
2020-12-09,27
2020-12-10,48
2020-12-11,30
2020-12-12,37
2020-12-13,19
2020-12-14,37
2020-12-15,32
2020-12-16,34
2020-12-17,49
2020-12-18,38
2020-12-19,50
2020-12-20,26
2020-12-21,43
2020-12-22,43
2020-12-23,46
2020-12-24,51
2020-12-25,-22
2020-12-26,21
2020-12-27,13
2020-12-28,31
2020-12-29,31
2020-12-30,35
2020-12-31,43
2021-01-01,-22
2021-01-02,16
2021-01-03,12
2021-01-04,33
2021-01-05,27
2021-01-06,25
2021-01-07,34
2021-01-08,25
2021-01-09,29
2021-01-10,14
2021-01-11,34
2021-01-12,28
2021-01-13,20
2021-01-14,22
2021-01-15,9
2021-01-16,12
2021-01-17,0
2021-01-18,15
2021-01-19,8
2021-01-20,10
2021-01-21,22
2021-01-22,12
2021-01-23,18
2021-01-24,2
2021-01-25,23
2021-01-26,18
2021-01-27,19
2021-01-28,34
2021-01-29,23
2021-01-30,27
2021-01-31,6
2021-02-01,33
2021-02-02,28
2021-02-03,26
2021-02-04,18
2021-02-05,2
2021-02-06,20
2021-02-07,2
2021-02-08,27
2021-02-09,27
2021-02-10,21
2021-02-11,32
2021-02-12,17
2021-02-13,25
2021-02-14,12
2021-02-15,5
2021-02-16,-5
2021-02-17,12
2021-02-18,23
2021-02-19,9
2021-02-20,14
2021-02-21,-1
2021-02-22,16
2021-02-23,15
2021-02-24,14
2021-02-25,22
2021-02-26,16
2021-02-27,27
2021-02-28,14
2021-03-01,26
2021-03-02,17
2021-03-03,14
2021-03-04,22
2021-03-05,19
2021-03-06,23
2021-03-07,15
2021-03-08,8
2021-03-09,18
2021-03-10,14
2021-03-11,21
2021-03-12,15
2021-03-13,25
2021-03-14,9
2021-03-15,22
2021-03-16,5
2021-03-17,17
2021-03-18,28
2021-03-19,21
2021-03-20,27
2021-03-21,9
2021-03-22,13
2021-03-23,2
2021-03-24,13
2021-03-25,28
2021-03-26,19
2021-03-27,33
2021-03-28,14
2021-03-29,35
2021-03-30,24
2021-03-31,28
2021-04-01,44
2021-04-02,6
2021-04-03,16
2021-04-04,14
2021-04-05,23
2021-04-06,22
2021-04-07,13
2021-04-08,27
2021-04-09,20
2021-04-10,32
2021-04-11,11
2021-04-12,29
2021-04-13,19
2021-04-14,24
2021-04-15,32
2021-04-16,22
2021-04-17,29
2021-04-18,8
2021-04-19,-1
2021-04-20,22
2021-04-21,13
2021-04-22,27
2021-04-23,18
2021-04-24,33
2021-04-25,11
2021-04-26,30
2021-04-27,26
2021-04-28,27
2021-04-29,36
2021-04-30,35
2021-05-01,40
2021-05-02,21
2021-05-03,23
2021-05-04,31
2021-05-05,26
2021-05-06,38
2021-05-07,27
2021-05-08,32
2021-05-09,13
2021-05-10,35
2021-05-11,31
2021-05-12,28
2021-05-13,39
2021-05-14,25
2021-05-15,29
2021-05-16,9
2021-05-17,33
2021-05-18,26
2021-05-19,25
2021-05-20,36
2021-05-21,37
2021-05-22,39
2021-05-23,13
2021-05-24,43
2021-05-25,30
2021-05-26,37
2021-05-27,56
2021-05-28,47
2021-05-29,59
2021-05-30,28
2021-05-31,66
2021-06-01,59
2021-06-02,52
2021-06-03,67
2021-06-04,50
2021-06-05,57
2021-06-06,34
2021-06-07,61
2021-06-08,57
2021-06-09,52
2021-06-10,63
2021-06-11,50
2021-06-12,52
2021-06-13,25
2021-06-14,56
2021-06-15,55
2021-06-16,51
2021-06-17,57
2021-06-18,43
2021-06-19,47
2021-06-20,27
2021-06-21,49
2021-06-22,44
2021-06-23,43
2021-06-24,59
2021-06-25,48
2021-06-26,61
2021-06-27,31
2021-06-28,57
2021-06-29,49
2021-06-30,52
2021-07-01,69
2021-07-02,50
2021-07-03,58
2021-07-04,35
2021-07-05,61
2021-07-06,56
2021-07-07,58
