dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-04-18,3
2020-04-19,3
2020-04-20,3
2020-04-21,3
2020-04-22,3
2020-04-23,3
2020-04-24,3
2020-04-25,3
2020-04-26,3
2020-04-27,3
2020-04-28,3
2020-04-29,3
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,3
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,3
2020-05-30,3
2020-05-31,3
2020-06-01,3
2020-06-02,3
2020-06-03,3
2020-06-04,3
2020-06-05,3
2020-06-06,3
2020-06-07,3
2020-06-08,3
2020-06-09,3
2020-06-10,3
2020-06-11,3
2020-06-12,3
2020-06-13,3
2020-06-14,3
2020-06-15,3
2020-06-16,3
2020-06-17,3
2020-06-18,3
2020-06-19,3
2020-06-20,3
2020-06-21,3
2020-06-22,3
2020-06-23,3
2020-06-24,3
2020-06-25,3
2020-06-26,3
2020-06-27,3
2020-06-28,3
2020-06-29,3
2020-06-30,3
2020-07-01,3
2020-07-02,3
2020-07-03,3
2020-07-04,3
2020-07-05,3
2020-07-06,3
2020-07-07,3
2020-07-08,3
2020-07-09,3
2020-07-10,3
2020-07-11,3
2020-07-12,3
2020-07-13,3
2020-07-14,3
2020-07-15,3
2020-07-16,3
2020-07-17,3
2020-07-18,3
2020-07-19,3
2020-07-20,3
2020-07-21,3
2020-07-22,3
2020-07-23,3
2020-07-24,3
2020-07-25,3
2020-07-26,3
2020-07-27,3
2020-07-28,3
2020-07-29,3
2020-07-30,3
2020-07-31,3
2020-08-01,3
2020-08-02,3
2020-08-03,3
2020-08-04,3
2020-08-05,3
2020-08-06,3
2020-08-07,3
2020-08-08,3
2020-08-09,3
2020-08-10,3
2020-08-11,3
2020-08-12,3
2020-08-13,3
2020-08-14,3
2020-08-15,3
2020-08-16,3
2020-08-17,3
2020-08-18,3
2020-08-19,3
2020-08-20,3
2020-08-21,3
2020-08-22,3
2020-08-23,3
2020-08-24,3
2020-08-25,3
2020-08-26,3
2020-08-27,3
2020-08-28,3
2020-08-29,3
2020-08-30,3
2020-08-31,3
2020-09-01,3
2020-09-02,3
2020-09-03,3
2020-09-04,3
2020-09-05,3
2020-09-06,3
2020-09-07,3
2020-09-08,3
2020-09-09,3
2020-09-10,3
2020-09-11,3
2020-09-12,3
2020-09-13,3
2020-09-14,3
2020-09-15,3
2020-09-16,3
2020-09-17,3
2020-09-18,3
2020-09-19,3
2020-09-20,3
2020-09-21,3
2020-09-22,3
2020-09-23,3
2020-09-24,3
2020-09-25,3
2020-09-26,3
2020-09-27,3
2020-09-28,3
2020-09-29,3
2020-09-30,3
2020-10-01,3
2020-10-02,3
2020-10-03,3
2020-10-04,3
2020-10-05,3
2020-10-06,3
2020-10-07,3
2020-10-08,3
2020-10-09,3
2020-10-10,3
2020-10-11,3
2020-10-12,3
2020-10-13,3
2020-10-14,3
2020-10-15,3
2020-10-16,3
2020-10-17,3
2020-10-18,3
2020-10-19,3
2020-10-20,3
2020-10-21,3
2020-10-22,3
2020-10-23,3
2020-10-24,3
2020-10-25,3
2020-10-26,3
2020-10-27,3
2020-10-28,3
2020-10-29,3
2020-10-30,3
2020-10-31,3
2020-11-01,3
2020-11-02,3
2020-11-03,3
2020-11-04,3
2020-11-05,3
2020-11-06,3
2020-11-07,3
2020-11-08,3
2020-11-09,3
2020-11-10,3
2020-11-11,3
2020-11-12,3
2020-11-13,3
2020-11-14,3
2020-11-15,3
2020-11-16,3
2020-11-17,3
2020-11-18,3
2020-11-19,3
2020-11-20,3
2020-11-21,3
2020-11-22,3
2020-11-23,4
2020-11-24,4
2020-11-25,4
2020-11-26,4
2020-11-27,4
2020-11-28,4
2020-11-29,4
2020-11-30,6
2020-12-01,6
2020-12-02,6
2020-12-03,6
2020-12-04,6
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,9
2020-12-09,10
2020-12-10,10
2020-12-11,10
2020-12-12,10
2020-12-13,10
2020-12-14,10
2020-12-15,10
2020-12-16,10
2020-12-17,10
2020-12-18,10
2020-12-19,10
2020-12-20,10
2020-12-21,10
2020-12-22,10
2020-12-23,10
2020-12-24,11
2020-12-25,11
2020-12-26,11
2020-12-27,12
2020-12-28,12
2020-12-29,13
2020-12-30,13
2020-12-31,13
2021-01-01,13
2021-01-02,14
2021-01-03,15
2021-01-04,15
2021-01-05,15
2021-01-06,15
2021-01-07,15
2021-01-08,15
2021-01-09,15
2021-01-10,15
2021-01-11,15
2021-01-12,15
2021-01-13,15
2021-01-14,15
2021-01-15,15
2021-01-16,15
2021-01-17,15
2021-01-18,15
2021-01-19,15
2021-01-20,15
2021-01-21,15
2021-01-22,15
2021-01-23,15
2021-01-24,15
2021-01-25,15
2021-01-26,16
2021-01-27,16
2021-01-28,16
2021-01-29,16
2021-01-30,16
2021-01-31,17
2021-02-01,17
2021-02-02,17
2021-02-03,17
2021-02-04,17
2021-02-05,17
2021-02-06,17
2021-02-07,17
2021-02-08,17
2021-02-09,17
2021-02-10,18
2021-02-11,18
2021-02-12,18
2021-02-13,18
2021-02-14,18
2021-02-15,18
2021-02-16,18
2021-02-17,18
2021-02-18,18
2021-02-19,18
2021-02-20,18
2021-02-21,18
2021-02-22,18
2021-02-23,18
2021-02-24,18
2021-02-25,18
2021-02-26,18
2021-02-27,18
2021-02-28,18
2021-03-01,18
2021-03-02,18
2021-03-03,18
2021-03-04,18
2021-03-05,18
2021-03-06,18
2021-03-07,18
2021-03-08,18
2021-03-09,18
2021-03-10,18
2021-03-11,18
2021-03-12,19
2021-03-13,19
2021-03-14,21
2021-03-15,21
2021-03-16,21
2021-03-17,21
2021-03-18,21
2021-03-19,21
2021-03-20,21
2021-03-21,22
2021-03-22,22
2021-03-23,22
2021-03-24,22
2021-03-25,23
2021-03-26,23
2021-03-27,23
2021-03-28,23
2021-03-29,25
2021-03-30,25
2021-03-31,25
2021-04-01,25
2021-04-02,25
2021-04-03,25
2021-04-04,25
2021-04-05,25
2021-04-06,25
2021-04-07,25
2021-04-08,25
2021-04-09,25
2021-04-10,25
2021-04-11,29
2021-04-12,29
2021-04-13,29
2021-04-14,29
2021-04-15,29
2021-04-16,29
2021-04-17,29
2021-04-18,29
2021-04-19,29
2021-04-20,29
2021-04-21,29
2021-04-22,30
2021-04-23,33
2021-04-24,33
2021-04-25,58
2021-04-26,58
2021-04-27,73
2021-04-28,84
2021-04-29,87
2021-04-30,91
2021-05-01,93
2021-05-02,93
2021-05-03,95
2021-05-04,95
2021-05-05,95
2021-05-06,95
2021-05-07,95
2021-05-08,95
2021-05-09,99
2021-05-10,99
2021-05-11,99
2021-05-12,109
2021-05-13,109
2021-05-14,109
2021-05-15,109
2021-05-16,109
2021-05-17,109
2021-05-18,109
2021-05-19,109
2021-05-20,109
2021-05-21,109
2021-05-22,109
2021-05-23,109
2021-05-24,109
2021-05-25,109
2021-05-26,109
2021-05-27,109
2021-05-28,109
2021-05-29,109
2021-05-30,109
2021-05-31,109
2021-06-01,109
2021-06-02,109
2021-06-03,109
2021-06-04,109
2021-06-05,109
2021-06-06,109
2021-06-07,109
2021-06-08,109
2021-06-09,109
2021-06-10,109
2021-06-11,109
2021-06-12,109
2021-06-13,109
2021-06-14,109
2021-06-15,109
2021-06-16,109
2021-06-17,109
2021-06-18,109
2021-06-19,109
2021-06-20,109
2021-06-21,109
2021-06-22,109
2021-06-23,109
2021-06-24,109
2021-06-25,109
2021-06-26,109
2021-06-27,109
2021-06-28,109
2021-06-29,109
2021-06-30,109
2021-07-01,109
2021-07-02,109
2021-07-03,111
2021-07-04,111
2021-07-05,111
2021-07-06,111
2021-07-07,111
2021-07-08,111
2021-07-09,111
2021-07-10,111
2021-07-11,111
2021-07-12,111
2021-07-13,111
2021-07-14,111
2021-07-15,111
2021-07-16,111
2021-07-17,112
2021-07-18,112
2021-07-19,112
2021-07-20,113
2021-07-21,113
2021-07-22,113
2021-07-23,113
2021-07-24,113
2021-07-25,113
2021-07-26,113
2021-07-27,113
2021-07-28,113
2021-07-29,113
2021-07-30,114
2021-07-31,114
2021-08-01,114
2021-08-02,114
2021-08-03,114
2021-08-04,114
2021-08-05,114
2021-08-06,114
2021-08-07,114
2021-08-08,114
2021-08-09,114
2021-08-10,114
2021-08-11,114
2021-08-12,114
2021-08-13,127
2021-08-14,127
2021-08-15,127
2021-08-16,127
