dates,cumulativecount_vaccine_covid_19_administered
2021-02-04,0
2021-02-13,1341
2021-02-14,2762
2021-02-26,3929
2021-03-09,4700
2021-03-13,5000
2021-03-19,5348
2021-04-12,5835
2021-04-22,6898
2021-05-17,13235
2021-05-28,14443
2021-06-04,14557
2021-06-11,14937
2021-06-18,15198
2021-06-25,15789
2021-07-02,16460
2021-07-09,16951
2021-07-16,17807
2021-07-23,18001
2021-07-30,18193
2021-08-06,18457
2021-08-20,18458
2021-09-03,18471
2021-09-10,18481
2021-09-17,18565
2021-09-24,18584
2021-10-01,18704
2021-10-15,18705
2021-11-05,18706
2021-11-12,18782
2021-11-19,19066
2021-11-29,19730
2021-12-01,19914
2021-12-08,20284
2022-01-14,21046
2022-01-21,21256
2022-01-28,21449
2022-02-02,21612
2022-02-09,21783
2022-02-11,21783
2022-02-16,21994
2022-02-18,21994
2022-02-25,22165
2022-03-02,22377
2022-03-09,22420
2022-03-11,22420
2022-03-18,22639
2022-03-23,22714
2022-04-08,23126
2022-05-06,23378
2022-05-20,23482
2022-05-27,23601
2022-06-10,23685
2022-06-15,23752
2022-06-24,23926
2022-07-08,24060
2022-08-17,24102
2022-08-19,24102
2022-09-23,24141
2022-09-30,24408
2022-10-07,24412
2022-10-21,24434
2022-12-02,24441
2022-12-09,24441
2023-01-03,24474
2023-01-06,24474
2023-02-10,24489
2023-03-03,24604
