dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,10
2020-03-13,15
2020-03-14,23
2020-03-15,33
2020-03-16,38
2020-03-17,42
2020-03-18,51
2020-03-19,55
2020-03-20,59
2020-03-21,64
2020-03-22,70
2020-03-23,76
2020-03-24,98
2020-03-25,104
2020-03-26,123
2020-03-27,146
2020-03-28,174
2020-03-29,186
2020-03-30,197
2020-03-31,212
2020-04-01,223
2020-04-02,243
2020-04-03,259
2020-04-04,277
2020-04-05,304
2020-04-06,333
2020-04-07,361
2020-04-08,377
2020-04-09,383
2020-04-10,400
2020-04-11,409
2020-04-12,416
2020-04-13,433
2020-04-14,446
2020-04-15,467
2020-04-16,475
2020-04-17,494
2020-04-18,518
2020-04-19,539
2020-04-20,548
2020-04-21,562
2020-04-22,584
2020-04-23,609
2020-04-24,634
2020-04-25,663
2020-04-26,678
2020-04-27,712
2020-04-28,726
2020-04-29,736
2020-04-30,750
2020-05-01,766
2020-05-02,773
2020-05-03,782
2020-05-04,789
2020-05-05,795
2020-05-06,803
2020-05-07,820
2020-05-08,832
2020-05-09,842
2020-05-10,850
2020-05-11,856
2020-05-12,868
2020-05-13,872
2020-05-14,876
2020-05-15,880
2020-05-16,898
2020-05-17,916
2020-05-18,933
2020-05-19,946
2020-05-20,948
2020-05-21,949
2020-05-22,964
2020-05-23,969
2020-05-24,981
2020-05-25,989
2020-05-26,998
2020-05-27,1004
2020-05-28,1029
2020-05-29,1050
2020-05-30,1076
2020-05-31,1099
2020-06-01,1122
2020-06-02,1137
2020-06-03,1143
2020-06-04,1164
2020-06-05,1184
2020-06-06,1197
2020-06-07,1212
2020-06-08,1232
2020-06-09,1246
2020-06-10,1263
2020-06-11,1299
2020-06-12,1341
2020-06-13,1385
2020-06-14,1416
2020-06-15,1464
2020-06-16,1521
2020-06-17,1590
2020-06-18,1672
2020-06-19,1722
2020-06-20,1788
2020-06-21,1838
2020-06-22,1891
2020-06-23,1962
2020-06-24,1995
2020-06-25,2047
2020-06-26,2114
2020-06-27,2192
2020-06-28,2269
2020-06-29,2330
2020-06-30,2402
2020-07-01,2466
2020-07-02,2535
2020-07-03,2580
2020-07-04,2662
2020-07-05,2752
2020-07-06,2819
2020-07-07,2893
2020-07-08,2964
2020-07-09,3038
2020-07-10,3106
2020-07-11,3188
2020-07-12,3278
2020-07-13,3371
2020-07-14,3454
2020-07-15,3571
2020-07-16,3667
2020-07-17,3752
2020-07-18,3851
2020-07-19,3906
2020-07-20,4008
2020-07-21,4090
2020-07-22,4171
2020-07-23,4290
2020-07-24,4358
2020-07-25,4466
2020-07-26,4570
2020-07-27,4637
2020-07-28,4763
2020-07-29,4880
2020-07-30,4997
2020-07-31,5105
2020-08-01,5197
2020-08-02,5276
2020-08-03,5396
2020-08-04,5519
2020-08-05,5620
2020-08-06,5750
2020-08-07,5889
2020-08-08,6016
2020-08-09,6151
2020-08-10,6275
2020-08-11,6411
2020-08-12,6536
2020-08-13,6676
2020-08-14,6817
2020-08-15,6971
2020-08-16,7117
2020-08-17,7260
2020-08-18,7380
2020-08-19,7499
2020-08-20,7654
2020-08-21,7812
2020-08-22,7967
2020-08-23,8119
2020-08-24,8275
2020-08-25,8427
2020-08-26,8605
2020-08-27,8759
2020-08-28,8927
2020-08-29,9083
2020-08-30,9195
2020-08-31,9279
2020-09-01,9380
2020-09-02,9513
2020-09-03,9606
2020-09-04,9728
2020-09-05,9844
2020-09-06,9967
2020-09-07,10102
2020-09-08,10255
2020-09-09,10406
2020-09-10,10553
2020-09-11,10704
2020-09-12,10860
2020-09-13,11021
2020-09-14,11185
2020-09-15,11353
2020-09-16,11520
2020-09-17,11672
2020-09-18,11816
2020-09-19,11948
2020-09-20,12073
2020-09-21,12226
2020-09-22,12385
2020-09-23,12535
2020-09-24,12666
2020-09-25,12787
2020-09-26,12921
2020-09-27,13045
2020-09-28,13153
2020-09-29,13259
2020-09-30,13391
2020-10-01,13518
2020-10-02,13649
2020-10-03,13806
2020-10-04,13965
2020-10-05,14117
2020-10-06,14266
2020-10-07,14410
2020-10-08,14568
2020-10-09,14730
2020-10-10,14899
2020-10-11,15066
2020-10-12,15231
2020-10-13,15399
2020-10-14,15570
2020-10-15,15752
2020-10-16,15955
2020-10-17,16212
2020-10-18,16501
2020-10-19,16774
2020-10-20,17055
2020-10-21,17350
2020-10-22,17651
2020-10-23,17948
2020-10-24,18250
2020-10-25,18556
2020-10-26,18858
2020-10-27,19157
2020-10-28,19445
2020-10-29,19729
2020-10-30,20040
2020-10-31,20315
2020-11-01,20634
2020-11-02,20875
2020-11-03,21202
2020-11-04,21523
2020-11-05,21904
2020-11-06,22300
2020-11-07,22721
2020-11-08,23210
2020-11-09,23705
2020-11-10,24206
2020-11-11,24731
2020-11-12,25294
2020-11-13,25801
2020-11-14,26211
2020-11-15,26701
2020-11-16,27233
2020-11-17,27830
2020-11-18,28432
2020-11-19,29126
2020-11-20,29837
2020-11-21,30623
2020-11-22,31459
2020-11-23,32196
2020-11-24,32761
2020-11-25,33556
2020-11-26,34300
2020-11-27,34944
2020-11-28,35600
2020-11-29,36245
2020-11-30,36790
2020-12-01,37625
2020-12-02,38182
2020-12-03,39014
2020-12-04,39719
2020-12-05,40501
2020-12-06,41302
2020-12-07,42148
2020-12-08,42988
2020-12-09,43683
2020-12-10,44436
2020-12-11,45188
2020-12-12,46061
2020-12-13,46863
2020-12-14,47742
2020-12-15,48530
2020-12-16,49191
2020-12-17,50000
2020-12-18,50637
2020-12-19,51424
2020-12-20,52004
2020-12-21,52542
2020-12-22,53003
2020-12-23,53425
2020-12-24,53814
2020-12-25,54317
2020-12-26,54827
2020-12-27,55380
2020-12-28,55755
2020-12-29,56254
2020-12-30,56572
2020-12-31,57146
2021-01-01,57727
2021-01-02,58316
2021-01-03,58723
2021-01-04,58991
2021-01-05,59438
2021-01-06,59623
2021-01-07,60283
2021-01-08,61008
2021-01-09,61705
2021-01-10,62378
2021-01-11,63033
2021-01-12,63595
2021-01-13,63971
2021-01-14,64627
2021-01-15,65334
2021-01-16,65994
2021-01-17,66635
2021-01-18,67216
2021-01-19,67690
2021-01-20,67982
2021-01-21,68568
2021-01-22,69238
2021-01-23,69916
2021-01-24,70655
2021-01-25,71441
2021-01-26,72274
2021-01-27,72812
2021-01-28,73691
2021-01-29,74567
2021-01-30,75454
2021-01-31,76350
2021-02-01,77251
2021-02-02,78127
2021-02-03,78992
2021-02-04,79934
2021-02-05,80941
2021-02-06,81993
2021-02-07,83082
2021-02-08,84212
2021-02-09,85336
2021-02-10,86289
2021-02-11,87528
2021-02-12,88671
2021-02-13,89776
2021-02-14,90835
2021-02-15,91987
2021-02-16,93075
2021-02-17,93850
2021-02-18,94651
2021-02-19,95726
2021-02-20,96838
2021-02-21,97909
2021-02-22,99062
2021-02-23,100246
2021-02-24,101285
2021-02-25,102306
2021-02-26,103327
2021-02-27,104313
2021-02-28,105229
2021-03-01,106215
2021-03-02,107167
2021-03-03,107931
2021-03-04,108823
2021-03-05,109674
2021-03-06,110521
2021-03-07,111301
2021-03-08,112078
2021-03-09,112897
2021-03-10,113580
2021-03-11,114209
2021-03-12,114840
2021-03-13,115442
2021-03-14,116123
2021-03-15,116821
2021-03-16,117474
2021-03-17,118017
2021-03-18,118492
2021-03-19,118938
2021-03-20,119528
2021-03-21,120022
2021-03-22,120541
2021-03-23,121200
2021-03-24,121544
2021-03-25,121847
2021-03-26,122295
2021-03-27,122767
2021-03-28,123216
2021-03-29,123641
2021-03-30,124134
2021-03-31,124419
2021-04-01,124723
2021-04-02,125157
2021-04-03,125506
2021-04-04,125842
2021-04-05,126183
2021-04-06,126531
2021-04-07,126795
2021-04-08,126936
2021-04-09,127192
2021-04-10,127509
2021-04-11,127795
2021-04-12,128155
2021-04-13,128393
2021-04-14,128518
2021-04-15,128752
2021-04-16,128959
2021-04-17,129128
2021-04-18,129307
2021-04-19,129456
2021-04-20,129594
2021-04-21,129694
2021-04-22,129842
2021-04-23,129980
2021-04-24,130114
2021-04-25,130270
2021-04-26,130409
2021-04-27,130537
2021-04-28,130606
2021-04-29,130736
2021-04-30,130859
2021-05-01,130977
2021-05-02,131085
2021-05-03,131185
2021-05-04,131238
2021-05-05,131276
2021-05-06,131327
2021-05-07,131419
2021-05-08,131510
2021-05-09,131577
2021-05-10,131666
2021-05-11,131723
2021-05-12,131753
2021-05-13,131803
2021-05-14,131845
2021-05-15,131890
2021-05-16,131939
2021-05-17,131978
2021-05-18,132015
2021-05-19,132032
2021-05-20,132071
2021-05-21,132095
2021-05-22,132118
2021-05-23,132153
2021-05-24,132176
2021-05-25,132209
2021-05-26,132215
2021-05-27,132229
2021-05-28,132244
2021-05-29,132264
2021-05-30,132285
2021-05-31,132297
2021-06-01,132309
2021-06-02,132315
2021-06-03,132337
2021-06-04,132351
2021-06-05,132360
2021-06-06,132372
2021-06-07,132374
2021-06-08,132379
2021-06-09,132384
2021-06-10,132397
2021-06-11,132415
2021-06-12,132426
2021-06-13,132437
2021-06-14,132449
2021-06-15,132459
2021-06-16,132461
2021-06-17,132469
2021-06-18,132476
2021-06-19,132481
2021-06-20,132484
2021-06-21,132488
2021-06-22,132490
2021-06-23,132491
2021-06-24,132496
2021-06-25,132497
2021-06-26,132499
2021-06-27,132506
2021-06-28,132509
2021-06-29,132512
2021-06-30,132513
2021-07-01,132514
2021-07-02,132521
