dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,4
2020-03-29,6
2020-03-30,8
2020-03-31,12
2020-04-01,13
2020-04-02,13
2020-04-03,15
2020-04-04,16
2020-04-05,17
2020-04-06,17
2020-04-07,21
2020-04-08,22
2020-04-09,24
2020-04-10,26
2020-04-11,26
2020-04-12,28
2020-04-13,29
2020-04-14,29
2020-04-15,31
2020-04-16,33
2020-04-17,34
2020-04-18,35
2020-04-19,35
2020-04-20,36
2020-04-21,36
2020-04-22,37
2020-04-23,37
2020-04-24,38
2020-04-25,40
2020-04-26,40
2020-04-27,40
2020-04-28,41
2020-04-29,42
2020-04-30,42
2020-05-01,42
2020-05-02,43
2020-05-03,44
2020-05-04,45
2020-05-05,45
2020-05-06,46
2020-05-07,47
2020-05-08,47
2020-05-09,47
2020-05-10,48
2020-05-11,48
2020-05-12,48
2020-05-13,48
2020-05-14,49
2020-05-15,49
2020-05-16,49
2020-05-17,51
2020-05-18,51
2020-05-19,51
2020-05-20,51
2020-05-21,51
2020-05-22,51
2020-05-23,51
2020-05-24,51
2020-05-25,51
2020-05-26,51
2020-05-27,51
2020-05-28,51
2020-05-29,51
2020-05-30,51
2020-05-31,51
2020-06-01,51
2020-06-02,51
2020-06-03,51
2020-06-04,51
2020-06-05,51
2020-06-06,51
2020-06-07,51
2020-06-08,51
2020-06-09,51
2020-06-10,51
2020-06-11,51
2020-06-12,51
2020-06-13,51
2020-06-14,51
2020-06-15,51
2020-06-16,51
2020-06-17,52
2020-06-18,52
2020-06-19,52
2020-06-20,52
2020-06-21,52
2020-06-22,52
2020-06-23,52
2020-06-24,52
2020-06-25,52
2020-06-26,52
2020-06-27,52
2020-06-28,52
2020-06-29,52
2020-06-30,52
2020-07-01,52
2020-07-02,52
2020-07-03,52
2020-07-04,52
2020-07-05,52
2020-07-06,52
2020-07-07,52
2020-07-08,52
2020-07-09,52
2020-07-10,52
2020-07-11,52
2020-07-12,52
2020-07-13,52
2020-07-14,52
2020-07-15,52
2020-07-16,52
2020-07-17,52
2020-07-18,52
2020-07-19,52
2020-07-20,52
2020-07-21,52
2020-07-22,52
2020-07-23,52
2020-07-24,52
2020-07-25,52
2020-07-26,52
2020-07-27,52
2020-07-28,52
2020-07-29,52
2020-07-30,52
2020-07-31,52
2020-08-01,52
2020-08-02,52
2020-08-03,52
2020-08-04,52
2020-08-05,52
2020-08-06,52
2020-08-07,52
2020-08-08,52
2020-08-09,52
2020-08-10,52
2020-08-11,52
2020-08-12,52
2020-08-13,53
2020-08-14,53
2020-08-15,53
2020-08-16,53
2020-08-17,53
2020-08-18,53
2020-08-19,53
2020-08-20,53
2020-08-21,53
2020-08-22,53
2020-08-23,53
2020-08-24,53
2020-08-25,53
2020-08-26,53
2020-08-27,53
2020-08-28,53
2020-08-29,53
2020-08-30,53
2020-08-31,53
2020-09-01,53
2020-09-02,53
2020-09-03,53
2020-09-04,53
2020-09-05,53
2020-09-06,53
2020-09-07,53
2020-09-08,53
2020-09-09,53
2020-09-10,53
2020-09-11,53
2020-09-12,53
2020-09-13,53
2020-09-14,53
2020-09-15,53
2020-09-16,53
2020-09-17,53
2020-09-18,53
2020-09-19,53
2020-09-20,53
2020-09-21,53
2020-09-22,53
2020-09-23,53
2020-09-24,53
2020-09-25,53
2020-09-26,53
2020-09-27,53
2020-09-28,53
2020-09-29,53
2020-09-30,53
2020-10-01,53
2020-10-02,53
2020-10-03,53
2020-10-04,53
2020-10-05,53
2020-10-06,53
2020-10-07,53
2020-10-08,53
2020-10-09,54
2020-10-10,55
2020-10-11,55
2020-10-12,55
2020-10-13,57
2020-10-14,57
2020-10-15,59
2020-10-16,59
2020-10-17,59
2020-10-18,59
2020-10-19,59
2020-10-20,62
2020-10-21,62
2020-10-22,63
2020-10-23,63
2020-10-24,69
2020-10-25,69
2020-10-26,69
2020-10-27,72
2020-10-28,72
2020-10-29,72
2020-10-30,73
2020-10-31,75
2020-11-01,75
2020-11-02,75
2020-11-03,75
2020-11-04,75
2020-11-05,75
2020-11-06,75
2020-11-07,75
2020-11-08,75
2020-11-09,75
2020-11-10,75
2020-11-11,75
2020-11-12,75
2020-11-13,75
2020-11-14,75
2020-11-15,75
2020-11-16,76
2020-11-17,76
2020-11-18,76
2020-11-19,76
2020-11-20,76
2020-11-21,76
2020-11-22,76
2020-11-23,76
2020-11-24,76
2020-11-25,76
2020-11-26,76
2020-11-27,76
2020-11-28,76
2020-11-29,76
2020-11-30,76
2020-12-01,76
2020-12-02,76
2020-12-03,76
2020-12-04,77
2020-12-05,77
2020-12-06,78
2020-12-07,78
2020-12-08,78
2020-12-09,78
2020-12-10,78
2020-12-11,78
2020-12-12,78
2020-12-13,78
2020-12-14,79
2020-12-15,79
2020-12-16,79
2020-12-17,79
2020-12-18,79
2020-12-19,80
2020-12-20,80
2020-12-21,81
2020-12-22,81
2020-12-23,82
2020-12-24,82
2020-12-25,83
2020-12-26,83
2020-12-27,83
2020-12-28,83
2020-12-29,83
2020-12-30,84
2020-12-31,84
2021-01-01,84
2021-01-02,84
2021-01-03,84
2021-01-04,84
2021-01-05,84
2021-01-06,84
2021-01-07,84
2021-01-08,84
2021-01-09,84
2021-01-10,85
2021-01-11,85
2021-01-12,86
2021-01-13,87
2021-01-14,87
2021-01-15,88
2021-01-16,88
2021-01-17,91
2021-01-18,91
2021-01-19,91
2021-01-20,92
2021-01-21,92
2021-01-22,93
2021-01-23,93
2021-01-24,96
2021-01-25,96
2021-01-26,97
2021-01-27,97
2021-01-28,98
2021-01-29,100
2021-01-30,100
2021-01-31,101
2021-02-01,101
2021-02-02,101
2021-02-03,102
2021-02-04,103
2021-02-05,103
2021-02-06,104
2021-02-07,105
2021-02-08,106
2021-02-09,106
2021-02-10,106
2021-02-11,106
2021-02-12,106
2021-02-13,106
2021-02-14,107
2021-02-15,107
2021-02-16,107
2021-02-17,107
2021-02-18,107
2021-02-19,107
2021-02-20,107
2021-02-21,107
2021-02-22,107
2021-02-23,109
2021-02-24,110
2021-02-25,110
2021-02-26,110
2021-02-27,110
2021-02-28,110
2021-03-01,110
2021-03-02,110
2021-03-03,110
2021-03-04,112
2021-03-05,112
2021-03-06,112
2021-03-07,112
2021-03-08,112
2021-03-09,112
2021-03-10,112
2021-03-11,112
2021-03-12,112
2021-03-13,112
2021-03-14,112
2021-03-15,113
2021-03-16,113
2021-03-17,113
2021-03-18,113
2021-03-19,113
2021-03-20,113
2021-03-21,113
2021-03-22,113
2021-03-23,113
2021-03-24,113
2021-03-25,114
2021-03-26,114
2021-03-27,114
2021-03-28,115
2021-03-29,115
2021-03-30,115
2021-03-31,115
2021-04-01,115
2021-04-02,115
2021-04-03,116
2021-04-04,117
2021-04-05,117
2021-04-06,117
2021-04-07,117
2021-04-08,119
2021-04-09,120
2021-04-10,120
2021-04-11,120
2021-04-12,120
2021-04-13,121
2021-04-14,121
2021-04-15,121
2021-04-16,121
2021-04-17,123
2021-04-18,123
2021-04-19,123
2021-04-20,123
2021-04-21,123
2021-04-22,123
2021-04-23,123
2021-04-24,124
2021-04-25,124
2021-04-26,124
2021-04-27,124
2021-04-28,124
2021-04-29,125
2021-04-30,125
2021-05-01,125
2021-05-02,125
2021-05-03,127
2021-05-04,127
2021-05-05,127
2021-05-06,127
2021-05-07,127
2021-05-08,127
2021-05-09,127
2021-05-10,127
2021-05-11,127
2021-05-12,127
2021-05-13,127
2021-05-14,127
2021-05-15,127
2021-05-16,127
2021-05-17,127
2021-05-18,127
2021-05-19,127
2021-05-20,127
2021-05-21,127
2021-05-22,127
2021-05-23,127
2021-05-24,127
2021-05-25,127
2021-05-26,127
2021-05-27,127
2021-05-28,127
2021-05-29,127
2021-05-30,127
2021-05-31,127
2021-06-01,127
2021-06-02,127
2021-06-03,127
2021-06-04,127
2021-06-05,127
2021-06-06,127
2021-06-07,127
2021-06-08,127
2021-06-09,127
2021-06-10,127
2021-06-11,127
2021-06-12,127
2021-06-13,127
2021-06-14,127
2021-06-15,127
2021-06-16,127
2021-06-17,127
2021-06-18,127
2021-06-19,127
2021-06-20,127
2021-06-21,127
2021-06-22,127
2021-06-23,127
2021-06-24,127
2021-06-25,127
2021-06-26,127
2021-06-27,127
2021-06-28,127
2021-06-29,127
2021-06-30,127
2021-07-01,127
2021-07-02,127
2021-07-03,127
2021-07-04,127
2021-07-05,127
2021-07-06,127
2021-07-07,127
2021-07-08,127
2021-07-09,127
2021-07-10,127
2021-07-11,127
2021-07-12,127
2021-07-13,127
2021-07-14,127
2021-07-15,127
2021-07-16,127
2021-07-17,127
2021-07-18,127
2021-07-19,127
2021-07-20,127
2021-07-21,127
2021-07-22,127
2021-07-23,127
2021-07-24,127
2021-07-25,127
2021-07-26,127
2021-07-27,127
2021-07-28,127
2021-07-29,127
2021-07-30,127
2021-07-31,128
2021-08-01,128
2021-08-02,128
2021-08-03,128
2021-08-04,128
2021-08-05,128
2021-08-06,128
2021-08-07,128
2021-08-08,128
2021-08-09,128
2021-08-10,128
2021-08-11,129
2021-08-12,129
2021-08-13,129
2021-08-14,129
2021-08-15,129
2021-08-16,129
