dates,cumulativecount_vaccine_covid_19_administered
2021-01-05,826301
2021-01-07,887697
2021-01-08,941556
2021-01-09,1020349
2021-01-10,1086568
2021-01-11,1167251
2021-01-12,1275652
2021-01-13,1394580
2021-01-14,1527833
2021-01-15,1665987
2021-01-16,1797926
2021-01-17,1882778
2021-01-18,1971521
2021-01-19,2065367
2021-01-20,2161150
2021-01-21,2246069
2021-01-22,2339073
2021-01-23,2426793
2021-01-24,2487784
2021-01-25,2571086
2021-01-26,2677675
2021-01-27,2764445
2021-01-28,2868645
2021-01-29,3006601
2021-01-30,3114162
2021-01-31,3334162
2021-02-01,3440777
2021-02-02,3564517
2021-02-03,3691591
2021-02-04,3849374
2021-02-05,4008160
2021-02-06,4201347
2021-02-07,4313868
2021-02-08,4413649
2021-02-09,4527144
2021-02-10,4684658
2021-02-11,4792208
2021-02-12,4901795
2021-02-13,5005264
2021-02-14,5055231
2021-02-15,5086835
2021-02-16,5198725
2021-02-17,5284406
2021-02-18,5373730
2021-02-19,5466831
2021-02-20,5553391
2021-02-21,5554342
2021-02-22,5557793
2021-02-23,5668264
2021-02-24,5761463
2021-02-25,5846036
2021-02-26,5933299
2021-02-27,6015089
2021-02-28,6020461
2021-03-01,6028417
2021-03-02,6094956
2021-03-03,6168330
2021-03-04,6204004
2021-03-05,6235316
2021-03-06,6265860
2021-03-07,6273009
2021-03-08,6287751
2021-03-09,6325211
2021-03-10,6367861
2021-03-11,6407350
2021-03-12,6462887
2021-03-13,6516723
2021-03-14,6540912
2021-03-15,6578881
2021-03-16,6668627
2021-03-17,6830369
2021-03-18,6980466
2021-03-19,7124146
2021-03-20,7181056
2021-03-21,7298768
2021-03-22,7374725
2021-03-23,7477881
2021-03-24,7603328
2021-03-25,7730375
2021-03-26,7799517
2021-03-27,7959682
2021-03-28,8081751
2021-03-29,8133841
2021-03-30,8220783
2021-03-31,8308469
2021-04-01,8391302
2021-04-02,8491382
2021-04-03,8559291
2021-04-04,8578979
2021-04-05,8596722
2021-04-06,8659503
2021-04-07,8707073
2021-04-08,8889571
2021-04-09,8923543
2021-04-10,8975014
2021-04-11,9005444
2021-04-12,9037923
2021-04-13,9156728
2021-04-14,9295462
2021-04-15,9387344
2021-04-16,9489684
2021-04-17,9601463
2021-04-18,9630200
2021-04-19,9675205
2021-04-21,9900002
2021-04-22,10001241
2021-04-23,10194266
2021-04-25,10215846
2021-04-26,10254053
2021-04-27,10336214
2021-04-28,10466251
2021-04-29,10547584
2021-05-01,10609950
2021-05-02,10634693
2021-05-03,10666924
2021-05-04,10779163
2021-05-05,10834453
2021-05-06,10907264
2021-05-07,11048547
2021-05-08,11126889
2021-05-09,11145934
2021-05-10,11186348
2021-05-11,11273344
2021-05-12,11366954
2021-05-13,11422565
2021-05-14,11445680
2021-05-15,11448363
2021-05-16,11450769
2021-05-17,11489475
2021-05-18,11594068
2021-05-19,11704191
2021-05-20,11822054
2021-05-21,12034349
2021-05-23,12165848
2021-05-25,12415548
2021-05-26,12531970
2021-05-28,12646025
2021-05-29,12756630
2021-05-30,12811422
2021-05-31,12870553
2021-06-01,12967716
2021-06-02,13066261
2021-06-03,13227344
2021-06-05,13294010
2021-06-06,13315751
2021-06-07,13347300
2021-06-09,13507943
2021-06-10,13590206
2021-06-11,13684429
2021-06-12,13785663
2021-06-13,13808426
2021-06-14,13848062
2021-06-15,13964439
2021-06-16,14068507
2021-06-17,14182020
2021-06-18,14298438
2021-06-19,14428916
2021-06-20,14512626
2021-06-21,14631482
2021-06-23,14735666
2021-06-24,14834355
2021-06-25,14940031
2021-06-26,15043227
2021-06-27,15073743
2021-06-28,15111234
2021-06-29,15198661
2021-06-30,15362342
2021-07-02,15428281
2021-07-03,15504238
2021-07-04,15534207
2021-07-05,15574641
2021-07-06,15650988
2021-07-07,15728415
2021-07-08,15795853
2021-07-09,15865306
2021-07-10,15915717
2021-07-11,15934124
2021-07-12,15968660
2021-07-13,16042491
2021-07-14,16120004
2021-07-15,16194526
2021-07-16,16263585
2021-07-18,16358244
2021-07-19,16375149
2021-07-20,16444844
2021-07-25,16495917
2021-07-26,16524169
2021-07-27,16587478
2021-07-28,16645208
2021-07-29,16676766
2021-07-31,16795717
2021-08-01,16810996
2021-08-02,16832021
2021-08-03,16884412
2021-08-04,16935702
2021-08-05,16988539
2021-08-06,17037618
2021-08-07,17097354
2021-08-08,17113003
2021-08-09,17137750
2021-08-10,17197497
2021-08-11,17245815
2021-08-12,17288318
2021-08-13,17313163
2021-08-15,17376128
2021-08-16,17398458
2021-08-17,17454250
2021-08-18,17506683
2021-08-19,17566410
2021-08-20,17622541
2021-08-21,17683483
2021-08-24,17776853
2021-08-25,17843063
2021-08-26,17909062
2021-08-28,17974190
2021-08-29,18060832
2021-08-30,18095160
2021-08-31,18158991
2021-09-01,18289168
2021-09-03,18339225
2021-09-04,18389144
