dates,covid19mobilitytrend_localbusiness
2020-02-15,1
2020-02-16,-6
2020-02-17,-10
2020-02-18,3
2020-02-19,1
2020-02-20,0
2020-02-21,3
2020-02-22,6
2020-02-23,14
2020-02-24,-10
2020-02-25,-20
2020-02-26,1
2020-02-27,-1
2020-02-28,3
2020-02-29,5
2020-03-01,-3
2020-03-02,1
2020-03-03,0
2020-03-04,-1
2020-03-05,1
2020-03-06,6
2020-03-07,5
2020-03-08,3
2020-03-09,1
2020-03-10,3
2020-03-11,-16
2020-03-12,-4
2020-03-13,-5
2020-03-14,-19
2020-03-15,-29
2020-03-16,-27
2020-03-17,-41
2020-03-18,-43
2020-03-19,-42
2020-03-20,-78
2020-03-21,-83
2020-03-22,-87
2020-03-23,-88
2020-03-24,-88
2020-03-25,-82
2020-03-26,-83
2020-03-27,-81
2020-03-28,-82
2020-03-29,-86
2020-03-30,-81
2020-03-31,-85
2020-04-01,-79
2020-04-02,-79
2020-04-03,-77
2020-04-04,-77
2020-04-05,-83
2020-04-06,-75
2020-04-07,-82
2020-04-08,-82
2020-04-09,-83
2020-04-10,-90
2020-04-11,-84
2020-04-12,-87
2020-04-13,-83
2020-04-14,-81
2020-04-15,-81
2020-04-16,-83
2020-04-17,-83
2020-04-18,-85
2020-04-19,-89
2020-04-20,-83
2020-04-21,-82
2020-04-22,-83
2020-04-23,-83
2020-04-24,-83
2020-04-25,-86
2020-04-26,-88
2020-04-27,-84
2020-04-28,-84
2020-04-29,-80
2020-04-30,-75
2020-05-01,-90
2020-05-02,-79
2020-05-03,-86
2020-05-04,-77
2020-05-05,-76
2020-05-06,-75
2020-05-07,-73
2020-05-08,-72
2020-05-09,-75
2020-05-10,-82
2020-05-11,-71
2020-05-12,-70
2020-05-13,-70
2020-05-14,-70
2020-05-15,-70
2020-05-16,-72
2020-05-17,-80
2020-05-18,-69
2020-05-19,-68
2020-05-20,-69
2020-05-21,-71
2020-05-22,-70
2020-05-23,-70
2020-05-24,-79
2020-05-25,-83
2020-05-26,-67
2020-05-27,-68
2020-05-28,-68
2020-05-29,-67
2020-05-30,-71
2020-05-31,-79
2020-06-01,-67
2020-06-02,-66
2020-06-03,-67
2020-06-04,-67
2020-06-05,-65
2020-06-06,-66
2020-06-07,-75
2020-06-08,-62
2020-06-09,-61
2020-06-10,-60
2020-06-11,-60
2020-06-12,-59
2020-06-13,-61
2020-06-14,-71
2020-06-15,-75
2020-06-16,-56
2020-06-17,-60
2020-06-18,-60
2020-06-19,-56
2020-06-20,-59
2020-06-21,-71
2020-06-22,-62
2020-06-23,-61
2020-06-24,-62
2020-06-25,-62
2020-06-26,-60
2020-06-27,-61
2020-06-28,-72
2020-06-29,-59
2020-06-30,-60
2020-07-01,-62
2020-07-02,-61
2020-07-03,-59
2020-07-04,-60
2020-07-05,-70
2020-07-06,-59
2020-07-07,-58
2020-07-08,-53
2020-07-09,-72
2020-07-10,-65
2020-07-11,-59
2020-07-12,-70
2020-07-13,-56
2020-07-14,-55
2020-07-15,-56
2020-07-16,-57
2020-07-17,-54
2020-07-18,-56
2020-07-19,-65
2020-07-20,-51
2020-07-21,-57
2020-07-22,-59
2020-07-23,-61
2020-07-24,-57
2020-07-25,-57
2020-07-26,-67
2020-07-27,-55
2020-07-28,-54
2020-07-29,-54
2020-07-30,-56
2020-07-31,-53
2020-08-01,-53
2020-08-02,-63
2020-08-03,-54
2020-08-04,-52
2020-08-05,-52
2020-08-06,-55
2020-08-07,-54
2020-08-08,-53
2020-08-09,-65
2020-08-10,-50
