dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,10
2020-03-06,14
2020-03-07,20
2020-03-08,22
2020-03-09,26
2020-03-10,34
2020-03-11,45
2020-03-12,67
2020-03-13,102
2020-03-14,115
2020-03-15,131
2020-03-16,158
2020-03-17,214
2020-03-18,263
2020-03-19,303
2020-03-20,387
2020-03-21,456
2020-03-22,536
2020-03-23,635
2020-03-24,751
2020-03-25,868
2020-03-26,975
2020-03-27,1096
2020-03-28,1188
2020-03-29,1282
2020-03-30,1411
2020-03-31,1516
2020-04-01,1630
2020-04-02,1777
2020-04-03,1897
2020-04-04,2001
2020-04-05,2073
2020-04-06,2221
2020-04-07,2341
2020-04-08,2456
2020-04-09,2599
2020-04-10,2699
2020-04-11,2855
2020-04-12,2990
2020-04-13,3176
2020-04-14,3315
2020-04-15,3479
2020-04-16,3636
2020-04-17,3806
2020-04-18,3940
2020-04-19,4066
2020-04-20,4265
2020-04-21,4493
2020-04-22,4678
2020-04-23,4972
2020-04-24,5195
2020-04-25,5355
2020-04-26,5464
2020-04-27,5684
2020-04-28,5884
2020-04-29,6083
2020-04-30,6308
2020-05-01,6463
2020-05-02,6629
2020-05-03,6753
2020-05-04,6949
2020-05-05,7178
2020-05-06,7476
2020-05-07,7810
2020-05-08,8105
2020-05-09,8379
2020-05-10,8650
2020-05-11,9009
2020-05-12,9407
2020-05-13,9774
2020-05-14,10240
2020-05-15,10697
2020-05-16,11091
2020-05-17,11560
2020-05-18,12220
2020-05-19,12831
2020-05-20,13559
2020-05-21,14383
2020-05-22,15236
2020-05-23,15999
2020-05-24,16621
2020-05-25,17261
2020-05-26,18058
2020-05-27,18962
2020-05-28,19902
2020-05-29,20919
2020-05-30,21760
2020-05-31,22406
2020-06-01,23404
2020-06-02,24447
2020-06-03,25501
2020-06-04,26614
2020-06-05,27822
2020-06-06,28846
2020-06-07,29703
2020-06-08,31111
2020-06-09,32552
2020-06-10,34214
2020-06-11,35866
2020-06-12,37794
2020-06-13,39166
2020-06-14,40388
2020-06-15,41813
2020-06-16,43821
2020-06-17,45900
2020-06-18,48190
2020-06-19,50405
2020-06-20,52701
2020-06-21,54438
2020-06-22,57163
2020-06-23,60010
2020-06-24,63117
2020-06-25,66132
2020-06-26,69142
2020-06-27,71512
2020-06-28,73445
2020-06-29,76377
2020-06-30,79419
2020-07-01,82382
2020-07-02,85470
2020-07-03,88772
2020-07-04,91254
2020-07-05,93640
2020-07-06,97573
2020-07-07,101750
2020-07-08,105767
2020-07-09,109103
2020-07-10,112606
2020-07-11,115895
2020-07-12,118611
2020-07-13,123106
2020-07-14,127949
2020-07-15,132615
2020-07-16,137648
2020-07-17,142668
2020-07-18,146305
2020-07-19,150183
2020-07-20,155986
2020-07-21,162194
2020-07-22,168744
2020-07-23,174824
2020-07-24,181054
2020-07-25,185639
2020-07-26,189430
2020-07-27,195803
2020-07-28,202386
2020-07-29,209043
2020-07-30,215558
2020-07-31,222178
2020-08-01,226738
2020-08-02,231395
2020-08-03,239083
2020-08-04,248281
2020-08-05,256500
2020-08-06,265313
2020-08-07,273089
2020-08-08,278015
2020-08-09,283036
2020-08-10,290848
2020-08-11,298832
2020-08-12,306455
2020-08-13,313833
2020-08-14,321556
2020-08-15,327115
2020-08-16,331713
2020-08-17,337135
2020-08-18,345392
2020-08-19,354352
2020-08-20,362857
2020-08-21,371538
2020-08-22,378127
2020-08-23,382896
2020-08-24,393174
2020-08-25,403580
2020-08-26,415020
2020-08-27,426378
2020-08-28,437559
2020-08-29,445696
2020-08-30,451875
2020-08-31,463474
2020-09-01,475017
2020-09-02,486227
2020-09-03,497679
2020-09-04,509315
2020-09-05,517854
2020-09-06,524195
2020-09-07,536262
2020-09-08,549247
2020-09-09,561774
2020-09-10,574567
2020-09-11,587078
2020-09-12,595465
2020-09-13,602353
2020-09-14,614542
2020-09-15,626612
2020-09-16,638994
2020-09-17,651031
2020-09-18,663154
2020-09-19,671463
2020-09-20,677683
2020-09-21,688652
2020-09-22,701716
2020-09-23,715295
2020-09-24,728584
2020-09-25,742645
2020-09-26,751957
2020-09-27,759395
2020-09-28,774307
2020-09-29,788304
2020-09-30,802665
2020-10-01,816921
2020-10-02,831015
2020-10-03,839564
2020-10-04,846449
2020-10-05,860859
2020-10-06,876291
2020-10-07,890937
2020-10-08,907987
2020-10-09,922489
2020-10-10,933519
2020-10-11,942666
2020-10-12,952506
2020-10-13,969086
2020-10-14,985992
2020-10-15,1002951
2020-10-16,1020009
2020-10-17,1031403
2020-10-18,1038648
2020-10-19,1055377
2020-10-20,1072085
2020-10-21,1088115
2020-10-22,1103369
2020-10-23,1118203
2020-10-24,1129392
2020-10-25,1136236
2020-10-26,1150071
2020-10-27,1164379
2020-10-28,1178741
2020-10-29,1191515
2020-10-30,1204131
2020-10-31,1211999
2020-11-01,1217740
2020-11-02,1229493
2020-11-03,1240928
2020-11-04,1251161
2020-11-05,1264255
2020-11-06,1276997
2020-11-07,1283685
2020-11-08,1288465
2020-11-09,1299507
2020-11-10,1311061
2020-11-11,1323219
2020-11-12,1334915
2020-11-13,1345316
2020-11-14,1351402
2020-11-15,1355594
2020-11-16,1365954
2020-11-17,1376243
2020-11-18,1386068
2020-11-19,1395999
2020-11-20,1405329
2020-11-21,1410378
2020-11-22,1413481
2020-11-23,1418203
2020-11-24,1427391
2020-11-25,1436233
2020-11-26,1444421
2020-11-27,1452013
2020-11-28,1457065
2020-11-29,1461515
2020-11-30,1469431
2020-12-01,1477285
2020-12-02,1484431
2020-12-03,1491983
2020-12-04,1497941
2020-12-05,1501877
2020-12-06,1504277
2020-12-07,1507796
2020-12-08,1511069
2020-12-09,1518096
2020-12-10,1525402
2020-12-11,1532366
2020-12-12,1536314
2020-12-13,1539591
2020-12-14,1546918
2020-12-15,1554561
2020-12-16,1561842
2020-12-17,1569330
2020-12-18,1576681
2020-12-19,1581511
2020-12-20,1585045
2020-12-21,1594115
2020-12-22,1603098
2020-12-23,1611625
2020-12-24,1617038
2020-12-25,1619369
2020-12-26,1625305
2020-12-27,1629908
2020-12-28,1642134
2020-12-29,1654805
2020-12-30,1667350
2020-12-31,1674319
2021-01-01,1677741
2021-01-02,1684902
2021-01-03,1690372
2021-01-04,1704486
2021-01-05,1718961
2021-01-06,1732867
2021-01-07,1747240
2021-01-08,1760515
2021-01-09,1768946
2021-01-10,1775105
2021-01-11,1788776
2021-01-12,1802088
2021-01-13,1814990
2021-01-14,1827363
2021-01-15,1838796
2021-01-16,1847322
2021-01-17,1853051
2021-01-18,1866069
2021-01-19,1878759
2021-01-20,1891377
2021-01-21,1904242
2021-01-22,1918575
2021-01-23,1927084
2021-01-24,1932367
2021-01-25,1944690
2021-01-26,1955600
2021-01-27,1965948
2021-01-28,1974765
2021-01-29,1983822
2021-01-30,1989330
2021-01-31,1993552
2021-02-01,2002970
2021-02-02,2012001
2021-02-03,2020885
2021-02-04,2029011
2021-02-05,2036927
2021-02-06,2041551
2021-02-07,2044821
2021-02-08,2052766
2021-02-09,2060381
2021-02-10,2067581
2021-02-11,2074713
2021-02-12,2083186
2021-02-13,2092786
2021-02-14,2095565
2021-02-15,2099828
2021-02-16,2104769
2021-02-17,2113288
2021-02-18,2121456
2021-02-19,2129169
2021-02-20,2134735
2021-02-21,2138252
2021-02-22,2146340
2021-02-23,2153666
2021-02-24,2161239
2021-02-25,2169116
2021-02-26,2175764
2021-02-27,2180002
2021-02-28,2182953
2021-03-01,2190516
2021-03-02,2198001
2021-03-03,2205498
2021-03-04,2212756
2021-03-05,2219657
2021-03-06,2223981
2021-03-07,2226676
2021-03-08,2234329
2021-03-09,2242011
2021-03-10,2249925
2021-03-11,2260897
2021-03-12,2268693
2021-03-13,2273464
2021-03-14,2276955
2021-03-15,2285237
2021-03-16,2293627
2021-03-17,2302492
2021-03-18,2311091
2021-03-19,2319467
2021-03-20,2325266
2021-03-21,2328586
2021-03-22,2338833
2021-03-23,2349531
2021-03-24,2356243
2021-03-25,2370019
2021-03-26,2384531
2021-03-27,2393871
2021-03-28,2400067
2021-03-29,2415140
2021-03-30,2431512
2021-03-31,2448371
2021-04-01,2461481
2021-04-02,2472308
2021-04-03,2485231
2021-04-04,2494044
2021-04-05,2515692
2021-04-06,2541106
2021-04-07,2565096
2021-04-08,2591753
2021-04-09,2615889
2021-04-10,2633914
2021-04-11,2647413
2021-04-12,2672481
2021-04-13,2699852
2021-04-14,2725105
2021-04-15,2752164
2021-04-16,2778341
2021-04-17,2797859
2021-04-18,2811936
2021-04-19,2840132
2021-04-20,2869502
2021-04-21,2895446
2021-04-22,2922767
2021-04-23,2948735
2021-04-24,2965250
2021-04-25,2977690
2021-04-26,3002918
2021-04-27,3028455
2021-04-28,3052238
2021-04-29,3075906
2021-04-30,3097538
2021-05-01,3109368
2021-05-02,3119183
2021-05-03,3144921
2021-05-04,3169534
2021-05-05,3194886
2021-05-06,3217446
2021-05-07,3240760
2021-05-08,3254291
2021-05-09,3263891
2021-05-10,3289632
2021-05-11,3317317
2021-05-12,3340320
2021-05-13,3368166
2021-05-14,3394716
2021-05-15,3412813
2021-05-16,3429880
2021-05-17,3467566
2021-05-18,3506876
2021-05-19,3544060
2021-05-20,3580895
2021-05-21,3618417
2021-05-22,3647003
2021-05-23,3664540
2021-05-24,3690863
2021-05-25,3714291
2021-05-26,3754870
2021-05-27,3795404
2021-05-28,3832586
2021-05-29,3856250
2021-05-30,3872872
2021-05-31,3908620
2021-06-01,3942993
2021-06-02,3975238
2021-06-03,4006799
