dates,cumulativecount_vaccine_covid_19_administered
2021-02-16,0
2021-03-15,24164
2021-03-19,25677
2021-03-25,26424
2021-03-31,26836
2021-04-03,27032
2021-04-14,27592
2021-04-16,28414
2021-04-17,28639
2021-04-22,29754
2021-05-07,31085
2021-05-11,31262
2021-05-17,34441
2021-05-21,39519
2021-05-25,42009
2021-05-26,44230
2021-05-27,45939
2021-05-29,48347
2021-05-31,50329
2021-06-03,51811
2021-06-06,55578
2021-06-07,57264
2021-06-09,58074
2021-06-12,58727
2021-06-15,59582
2021-06-17,62204
2021-06-20,62809
2021-06-29,63995
2021-07-01,64455
2021-07-04,64696
2021-07-06,64823
2021-07-08,65077
2021-07-09,65337
2021-07-13,65656
2021-07-15,65757
2021-07-18,66124
2021-07-20,66408
2021-07-21,66522
2021-07-22,67847
2021-07-25,68271
2021-07-28,68715
2021-07-29,68850
2021-08-02,69290
2021-08-04,69518
2021-08-07,69903
2021-08-10,70019
2021-08-14,71065
2021-08-16,71434
2021-08-19,71600
2021-08-22,72282
2021-08-24,72902
2021-08-28,73700
2021-08-30,74637
2021-08-31,75069
2021-09-07,77997
2021-09-10,79390
2021-09-13,79922
2021-09-17,81915
2021-09-24,89252
2021-09-28,93318
2021-10-02,96160
2021-10-04,97384
2021-10-06,97831
2021-10-09,98840
2021-10-13,99846
2021-10-16,101390
2021-10-19,102834
2021-10-23,104500
2021-10-26,105502
2021-10-30,106387
2021-11-05,108001
2021-11-08,111186
2021-11-16,115487
2021-11-21,116527
2021-11-23,117072
2021-11-26,117637
2021-12-02,118651
2021-12-05,118765
2021-12-10,119809
2021-12-19,120657
2021-12-25,120786
2021-12-29,121146
2022-01-06,121415
2022-01-13,122215
2022-01-26,123555
2022-02-05,123736
2022-02-17,124455
2022-02-28,124726
2022-03-01,125031
2022-03-14,125386
2022-03-31,125605
2022-05-30,125877
2022-06-17,126122
2022-08-06,128267
2022-09-16,136512
