dates,count_medicalconditionincident_covid_19_patientinicu
2020-03-31,82
2020-04-01,86
2020-04-02,92
2020-04-03,93
2020-04-04,95
2020-04-05,96
2020-04-06,93
2020-04-07,87
2020-04-08,81
2020-04-09,81
2020-04-10,80
2020-04-11,83
2020-04-12,79
2020-04-13,80
2020-04-14,73
2020-04-15,67
2020-04-16,60
2020-04-17,55
2020-04-18,48
2020-04-19,49
2020-04-20,47
2020-04-21,46
2020-04-22,45
2020-04-23,42
2020-04-24,43
2020-04-25,43
2020-04-26,43
2020-04-27,42
2020-04-28,38
2020-04-29,34
2020-04-30,28
2020-05-01,28
2020-05-02,28
2020-05-03,28
2020-05-04,27
2020-05-05,27
2020-05-06,23
2020-05-07,21
2020-05-08,19
2020-05-09,17
2020-05-10,16
2020-05-11,16
2020-05-12,17
2020-05-13,18
2020-05-14,17
2020-05-15,16
2020-05-16,16
2020-05-17,12
2020-05-18,11
2020-05-19,9
2020-05-20,9
2020-05-21,7
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,6
2020-05-27,5
2020-05-28,4
2020-05-29,4
2020-05-30,4
2020-05-31,3
2020-06-01,4
2020-06-02,5
2020-06-03,4
2020-06-04,2
2020-06-05,4
2020-06-06,3
2020-06-07,3
2020-06-08,2
2020-06-09,3
2020-06-10,2
2020-06-11,2
2020-06-12,2
2020-06-13,3
2020-06-14,4
2020-06-15,3
2020-06-16,3
2020-06-17,2
2020-06-18,2
2020-06-19,3
2020-06-20,2
2020-06-21,2
2020-06-22,3
2020-06-23,2
2020-06-24,2
2020-06-25,1
2020-06-26,1
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,3
2020-07-01,5
2020-07-02,7
2020-07-03,4
2020-07-04,4
2020-07-05,6
2020-07-06,10
2020-07-07,8
2020-07-08,10
2020-07-09,13
2020-07-10,16
2020-07-11,17
2020-07-12,18
2020-07-13,27
2020-07-14,28
2020-07-15,30
2020-07-16,32
2020-07-17,26
2020-07-18,29
2020-07-19,33
2020-07-20,38
2020-07-21,42
2020-07-22,41
2020-07-23,44
2020-07-24,46
2020-07-25,46
2020-07-26,49
2020-07-27,47
2020-07-28,46
2020-07-29,40
2020-07-30,44
2020-07-31,50
2020-08-01,46
2020-08-02,43
2020-08-03,44
2020-08-04,51
2020-08-05,52
2020-08-06,51
2020-08-07,53
2020-08-08,51
2020-08-09,56
2020-08-10,51
2020-08-11,51
2020-08-12,44
2020-08-13,47
2020-08-14,48
2020-08-15,47
2020-08-16,51
2020-08-17,52
2020-08-18,52
2020-08-19,51
2020-08-20,47
2020-08-21,43
2020-08-22,39
2020-08-23,38
2020-08-24,42
2020-08-25,46
2020-08-26,35
2020-08-27,35
2020-08-28,32
2020-08-29,31
2020-08-30,27
2020-08-31,26
2020-09-01,23
2020-09-02,26
2020-09-03,27
2020-09-04,27
2020-09-05,26
2020-09-06,32
2020-09-07,29
2020-09-08,26
2020-09-09,23
2020-09-10,18
2020-09-11,15
2020-09-12,17
2020-09-13,18
2020-09-14,17
2020-09-15,16
2020-09-16,16
2020-09-17,15
2020-09-18,12
2020-09-19,10
2020-09-20,8
2020-09-21,11
2020-09-22,11
2020-09-23,11
2020-09-24,11
2020-09-25,12
2020-09-26,12
2020-09-27,11
2020-09-28,8
2020-09-29,9
2020-09-30,9
2020-10-01,6
2020-10-02,6
2020-10-03,6
2020-10-04,6
2020-10-05,5
2020-10-06,6
2020-10-07,3
2020-10-08,4
2020-10-09,3
2020-10-10,1
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-16,0
2020-10-17,1
2020-10-18,1
2020-10-19,1
2020-10-20,1
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,1
2020-10-27,1
2020-10-28,1
2020-10-29,1
2020-10-30,1
2020-10-31,1
2020-11-01,1
2020-11-02,1
2020-11-03,1
2020-11-04,1
2020-11-05,1
2020-11-06,1
2020-11-07,1
2020-11-08,1
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,1
2020-12-14,1
2020-12-15,1
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,1
2021-01-13,1
2021-01-14,1
2021-01-15,2
2021-01-16,2
2021-01-17,2
2021-01-18,1
2021-01-19,1
2021-01-20,1
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,1
2021-02-09,1
2021-02-10,1
2021-02-11,1
2021-02-12,0
2021-02-13,0
