dates,covid19mobilitytrend_localbusiness
2020-02-15,4
2020-02-16,3
2020-02-17,-1
2020-02-18,-3
2020-02-19,-1
2020-02-20,0
2020-02-21,3
2020-02-22,5
2020-02-23,3
2020-02-24,-1
2020-02-25,-3
2020-02-26,-1
2020-02-27,0
2020-02-28,4
2020-02-29,6
2020-03-01,4
2020-03-02,0
2020-03-03,-2
2020-03-04,0
2020-03-05,-2
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,-3
2020-03-10,-2
2020-03-11,-1
2020-03-12,-1
2020-03-13,1
2020-03-14,-1
2020-03-15,-2
2020-03-16,-1
2020-03-17,-5
2020-03-18,-7
2020-03-19,-10
2020-03-20,-12
2020-03-21,-17
2020-03-22,-18
2020-03-23,-17
2020-03-24,-30
2020-03-25,-31
2020-03-26,-34
2020-03-27,-35
2020-03-28,-41
2020-03-29,-45
2020-03-30,-39
2020-03-31,-41
2020-04-01,-40
2020-04-02,-42
2020-04-03,-40
2020-04-04,-44
2020-04-05,-44
2020-04-06,-37
2020-04-07,-38
2020-04-08,-35
2020-04-09,-28
2020-04-10,-76
2020-04-11,-40
2020-04-12,-58
2020-04-13,-45
2020-04-14,-37
2020-04-15,-37
2020-04-16,-39
2020-04-17,-37
2020-04-18,-43
2020-04-19,-45
2020-04-20,-39
2020-04-21,-39
2020-04-22,-38
2020-04-23,-39
2020-04-24,-36
2020-04-25,-52
2020-04-26,-36
2020-04-27,-36
2020-04-28,-36
2020-04-29,-38
2020-04-30,-39
2020-05-01,-35
2020-05-02,-33
2020-05-03,-34
2020-05-04,-39
2020-05-05,-32
2020-05-06,-33
2020-05-07,-32
2020-05-08,-29
2020-05-09,-25
2020-05-10,-29
2020-05-11,-31
2020-05-12,-31
2020-05-13,-31
2020-05-14,-31
2020-05-15,-29
2020-05-16,-26
2020-05-17,-26
2020-05-18,-26
2020-05-19,-28
2020-05-20,-27
2020-05-21,-28
2020-05-22,-25
2020-05-23,-23
2020-05-24,-27
2020-05-25,-25
2020-05-26,-26
2020-05-27,-24
2020-05-28,-24
2020-05-29,-23
2020-05-30,-20
2020-05-31,-23
2020-06-01,-22
2020-06-02,-23
2020-06-03,-20
2020-06-04,-20
2020-06-05,-16
2020-06-06,-15
2020-06-07,-17
2020-06-08,-15
2020-06-09,-19
2020-06-10,-20
2020-06-11,-19
2020-06-12,-16
2020-06-13,-14
2020-06-14,-16
2020-06-15,-17
2020-06-16,-18
2020-06-17,-17
2020-06-18,-16
2020-06-19,-12
2020-06-20,-11
2020-06-21,-16
2020-06-22,-17
2020-06-23,-17
2020-06-24,-15
2020-06-25,-15
2020-06-26,-12
2020-06-27,-12
2020-06-28,-14
2020-06-29,-14
2020-06-30,-14
2020-07-01,-13
2020-07-02,-14
2020-07-03,-12
2020-07-04,-11
2020-07-05,-13
2020-07-06,-11
2020-07-07,-11
2020-07-08,-8
2020-07-09,-14
2020-07-10,-13
2020-07-11,-16
2020-07-12,-16
2020-07-13,-13
2020-07-14,-16
2020-07-15,-12
2020-07-16,-13
2020-07-17,-12
2020-07-18,-13
2020-07-19,-14
2020-07-20,-14
2020-07-21,-17
2020-07-22,-16
2020-07-23,-18
2020-07-24,-15
2020-07-25,-15
2020-07-26,-20
2020-07-27,-19
2020-07-28,-19
2020-07-29,-17
2020-07-30,-18
2020-07-31,-15
2020-08-01,-15
2020-08-02,-15
2020-08-03,-19
2020-08-04,-21
2020-08-05,-19
2020-08-06,-23
2020-08-07,-24
2020-08-08,-22
2020-08-09,-26
2020-08-10,-23
2020-08-11,-24
