dates,covid19mobilitytrend_transporthub
2020-02-15,13
2020-02-16,12
2020-02-17,3
2020-02-18,2
2020-02-19,-1
2020-02-20,2
2020-02-21,-2
2020-02-22,14
2020-02-23,5
2020-02-24,3
2020-02-25,7
2020-02-26,-2
2020-02-27,0
2020-02-28,-2
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,-3
2020-03-04,0
2020-03-05,0
2020-03-06,-2
2020-03-07,-3
2020-03-08,5
2020-03-09,-3
2020-03-10,-3
2020-03-11,-8
2020-03-12,-9
2020-03-13,-20
2020-03-14,-34
2020-03-15,-43
2020-03-16,-56
2020-03-17,-66
2020-03-18,-65
2020-03-19,-67
2020-03-20,-68
2020-03-21,-75
2020-03-22,-76
2020-03-23,-71
2020-03-24,-71
2020-03-25,-73
2020-03-26,-72
2020-03-27,-70
2020-03-28,-66
2020-03-29,-71
2020-03-30,-71
2020-03-31,-69
2020-04-01,-67
2020-04-02,-68
2020-04-03,-69
2020-04-04,-67
2020-04-05,-64
2020-04-06,-64
2020-04-07,-63
2020-04-08,-63
2020-04-09,-63
2020-04-10,-66
2020-04-11,-62
2020-04-12,-63
2020-04-13,-78
2020-04-14,-62
2020-04-15,-58
2020-04-16,-57
2020-04-17,-58
2020-04-18,-54
2020-04-19,-66
2020-04-20,-56
2020-04-21,-54
2020-04-22,-54
2020-04-23,-54
2020-04-24,-56
2020-04-25,-52
2020-04-26,-50
2020-04-27,-52
2020-04-28,-50
2020-04-29,-55
2020-04-30,-49
2020-05-01,-66
2020-05-02,-44
2020-05-03,-49
2020-05-04,-43
2020-05-05,-46
2020-05-06,-43
2020-05-07,-41
2020-05-08,-41
2020-05-09,-35
2020-05-10,-39
2020-05-11,-43
2020-05-12,-41
2020-05-13,-43
2020-05-14,-44
2020-05-15,-47
2020-05-16,-35
2020-05-17,-31
2020-05-18,-32
2020-05-19,-33
2020-05-20,-29
2020-05-21,-52
2020-05-22,-38
2020-05-23,-41
2020-05-24,-37
2020-05-25,-37
2020-05-26,-36
2020-05-27,-30
2020-05-28,-36
2020-05-29,-33
2020-05-30,-30
2020-05-31,-45
2020-06-01,-45
2020-06-02,-27
2020-06-03,-26
2020-06-04,-25
2020-06-05,-30
2020-06-06,-22
2020-06-07,-31
2020-06-08,-28
2020-06-09,-27
2020-06-10,-24
2020-06-11,-47
2020-06-12,-29
2020-06-13,-20
2020-06-14,-33
2020-06-15,-26
2020-06-16,-22
2020-06-17,-22
2020-06-18,-24
2020-06-19,-25
2020-06-20,-30
2020-06-21,-34
2020-06-22,-22
2020-06-23,-19
2020-06-24,-20
2020-06-25,-22
2020-06-26,-21
2020-06-27,-14
2020-06-28,-11
2020-06-29,-24
2020-06-30,-16
2020-07-01,-17
2020-07-02,-18
2020-07-03,-16
2020-07-04,-9
2020-07-05,-5
2020-07-06,-19
2020-07-07,-16
2020-07-08,-17
2020-07-09,-18
2020-07-10,-19
2020-07-11,-25
2020-07-12,-5
2020-07-13,-18
2020-07-14,-17
2020-07-15,-21
2020-07-16,-24
2020-07-17,-24
2020-07-18,-19
2020-07-19,-8
2020-07-20,-18
2020-07-21,-19
2020-07-22,-20
2020-07-23,-20
2020-07-24,-24
2020-07-25,-8
2020-07-26,-7
2020-07-27,-19
2020-07-28,-21
2020-07-29,-21
2020-07-30,-20
2020-07-31,-19
2020-08-01,-4
2020-08-02,-6
2020-08-03,-25
2020-08-04,-25
2020-08-05,-22
2020-08-06,-18
2020-08-07,-19
2020-08-08,-4
2020-08-09,-1
2020-08-10,-19
2020-08-11,-21
2020-08-12,-20
2020-08-13,-23
2020-08-14,-20
2020-08-15,-12
2020-08-16,-1
2020-08-17,-20
2020-08-18,-22
2020-08-19,-20
2020-08-20,-19
2020-08-21,-20
2020-08-22,-15
2020-08-23,-4
2020-08-24,-20
2020-08-25,-18
2020-08-26,-20
2020-08-27,-19
2020-08-28,-21
2020-08-29,-16
2020-08-30,-15
2020-08-31,-21
2020-09-01,-24
2020-09-02,-20
2020-09-03,-18
2020-09-04,-18
2020-09-05,-7
2020-09-06,-20
2020-09-07,-18
2020-09-08,-13
2020-09-09,-13
2020-09-10,-15
2020-09-11,-14
2020-09-12,-8
2020-09-13,-2
2020-09-14,-12
2020-09-15,-10
2020-09-16,-12
2020-09-17,-15
2020-09-18,-14
2020-09-19,-14
2020-09-20,-8
2020-09-21,-15
2020-09-22,-14
2020-09-23,-17
2020-09-24,-15
2020-09-25,-23
2020-09-26,-31
2020-09-27,-17
2020-09-28,-21
2020-09-29,-19
2020-09-30,-17
2020-10-01,-16
2020-10-02,-17
2020-10-03,-23
2020-10-04,-12
2020-10-05,-17
2020-10-06,-14
2020-10-07,-18
2020-10-08,-17
2020-10-09,-16
2020-10-10,-26
2020-10-11,-32
2020-10-12,-20
2020-10-13,-22
2020-10-14,-20
2020-10-15,-20
2020-10-16,-24
2020-10-17,-31
2020-10-18,-25
2020-10-19,-20
2020-10-20,-20
2020-10-21,-19
2020-10-22,-18
2020-10-23,-21
2020-10-24,-31
2020-10-25,-25
2020-10-26,-52
2020-10-27,-27
2020-10-28,-26
2020-10-29,-33
2020-10-30,-34
2020-10-31,-28
2020-11-01,-32
2020-11-02,-31
2020-11-03,-43
2020-11-04,-39
2020-11-05,-37
2020-11-06,-38
2020-11-07,-42
2020-11-08,-45
2020-11-09,-37
2020-11-10,-36
2020-11-11,-36
2020-11-12,-37
2020-11-13,-38
2020-11-14,-42
2020-11-15,-45
2020-11-16,-33
2020-11-17,-51
2020-11-18,-49
2020-11-19,-53
2020-11-20,-54
2020-11-21,-56
2020-11-22,-52
2020-11-23,-51
2020-11-24,-50
2020-11-25,-51
2020-11-26,-51
2020-11-27,-53
2020-11-28,-56
2020-11-29,-51
2020-11-30,-47
2020-12-01,-48
2020-12-02,-49
2020-12-03,-46
2020-12-04,-49
2020-12-05,-51
2020-12-06,-51
2020-12-07,-40
2020-12-08,-60
2020-12-09,-34
2020-12-10,-35
2020-12-11,-35
2020-12-12,-37
2020-12-13,-44
2020-12-14,-33
2020-12-15,-33
2020-12-16,-32
2020-12-17,-31
2020-12-18,-30
2020-12-19,-33
2020-12-20,-45
2020-12-21,-33
2020-12-22,-34
2020-12-23,-34
2020-12-24,-60
2020-12-25,-73
2020-12-26,-63
2020-12-27,-53
2020-12-28,-62
2020-12-29,-57
2020-12-30,-57
2020-12-31,-61
2021-01-01,-78
2021-01-02,-59
2021-01-03,-52
2021-01-04,-56
2021-01-05,-54
2021-01-06,-68
2021-01-07,-53
2021-01-08,-53
2021-01-09,-52
2021-01-10,-48
2021-01-11,-46
2021-01-12,-48
2021-01-13,-48
2021-01-14,-49
2021-01-15,-49
2021-01-16,-52
2021-01-17,-52
2021-01-18,-47
2021-01-19,-47
2021-01-20,-44
2021-01-21,-47
2021-01-22,-47
2021-01-23,-55
2021-01-24,-48
2021-01-25,-46
2021-01-26,-47
2021-01-27,-46
2021-01-28,-48
2021-01-29,-49
2021-01-30,-52
2021-01-31,-47
2021-02-01,-44
2021-02-02,-45
2021-02-03,-45
2021-02-04,-43
2021-02-05,-44
2021-02-06,-51
2021-02-07,-51
2021-02-08,-37
2021-02-09,-37
2021-02-10,-39
2021-02-11,-40
2021-02-12,-42
2021-02-13,-42
2021-02-14,-40
2021-02-15,-34
2021-02-16,-35
2021-02-17,-33
2021-02-18,-31
2021-02-19,-39
2021-02-20,-39
2021-02-21,-40
2021-02-22,-33
2021-02-23,-30
2021-02-24,-30
2021-02-25,-30
2021-02-26,-32
2021-02-27,-40
2021-02-28,-29
2021-03-01,-31
2021-03-02,-30
2021-03-03,-29
2021-03-04,-30
2021-03-05,-40
2021-03-06,-35
2021-03-07,-30
2021-03-08,-32
2021-03-09,-33
2021-03-10,-33
2021-03-11,-33
2021-03-12,-34
2021-03-13,-34
2021-03-14,-46
2021-03-15,-32
2021-03-16,-34
2021-03-17,-32
2021-03-18,-33
2021-03-19,-38
2021-03-20,-42
2021-03-21,-46
2021-03-22,-34
2021-03-23,-33
2021-03-24,-31
2021-03-25,-28
2021-03-26,-29
2021-03-27,-34
2021-03-28,-29
2021-03-29,-32
2021-03-30,-27
2021-03-31,-24
2021-04-01,-35
2021-04-02,-45
2021-04-03,-52
2021-04-04,-46
2021-04-05,-56
2021-04-06,-40
2021-04-07,-40
2021-04-08,-39
2021-04-09,-35
2021-04-10,-34
2021-04-11,-28
2021-04-12,-37
2021-04-13,-40
2021-04-14,-36
2021-04-15,-36
2021-04-16,-38
2021-04-17,-43
2021-04-18,-41
2021-04-19,-35
2021-04-20,-32
2021-04-21,-28
2021-04-22,-34
2021-04-23,-32
2021-04-24,-30
2021-04-25,-26
2021-04-26,-30
2021-04-27,-29
2021-04-28,-27
2021-04-29,-27
2021-04-30,-29
2021-05-01,-35
2021-05-02,-43
2021-05-03,-24
2021-05-04,-22
2021-05-05,-27
2021-05-06,-24
2021-05-07,-30
2021-05-08,-22
2021-05-09,-14
2021-05-10,-21
2021-05-11,-20
2021-05-12,-21
2021-05-13,-59
2021-05-14,-34
2021-05-15,-29
2021-05-16,-17
2021-05-17,-22
2021-05-18,-18
2021-05-19,-17
2021-05-20,-19
2021-05-21,-12
2021-05-22,-21
2021-05-23,-26
2021-05-24,-49
2021-05-25,-18
2021-05-26,-11
2021-05-27,-17
2021-05-28,-11
2021-05-29,-15
2021-05-30,-13
2021-05-31,-14
2021-06-01,-9
2021-06-02,-2
2021-06-03,-31
2021-06-04,-21
2021-06-05,-14
2021-06-06,-9
2021-06-07,-13
2021-06-08,-11
2021-06-09,-12
2021-06-10,-12
2021-06-11,-12
2021-06-12,-13
2021-06-13,-5
2021-06-14,-12
2021-06-15,-10
2021-06-16,-10
2021-06-17,-12
2021-06-18,-12
2021-06-19,-9
2021-06-20,-6
2021-06-21,-15
2021-06-22,-12
2021-06-23,-12
2021-06-24,-13
2021-06-25,-12
2021-06-26,-6
2021-06-27,0
2021-06-28,-11
2021-06-29,-12
2021-06-30,-11
2021-07-01,-5
2021-07-02,-5
2021-07-03,4
2021-07-04,8
2021-07-05,-8
2021-07-06,-6
2021-07-07,-8
2021-07-08,-10
2021-07-09,-9
2021-07-10,4
2021-07-11,3
2021-07-12,-13
2021-07-13,-15
2021-07-14,-15
2021-07-15,-13
2021-07-16,-10
2021-07-17,-5
2021-07-18,0
2021-07-19,-13
2021-07-20,-12
2021-07-21,-11
2021-07-22,-11
2021-07-23,-11
2021-07-24,7
2021-07-25,8
2021-07-26,-15
2021-07-27,-13
2021-07-28,-15
2021-07-29,-9
2021-07-30,-8
2021-07-31,13
2021-08-01,4
2021-08-02,-11
2021-08-03,-13
2021-08-04,-14
