dates,cumulativecount_medicaltest_conditioncovid_19
2020-04-01,16834
2020-04-02,92190
2020-04-03,98343
2020-04-04,104134
2020-04-05,108416
2020-04-06,111296
2020-04-07,115235
2020-04-08,120755
2020-04-09,126287
2020-04-10,134743
2020-04-11,140975
2020-04-12,144877
2020-04-13,148412
2020-04-14,151796
2020-04-15,156801
2020-04-16,162816
2020-04-17,169272
2020-04-18,175932
2020-04-19,179244
2020-04-20,182949
2020-04-21,189018
2020-04-22,201794
2020-04-23,205835
2020-04-24,212686
2020-04-25,221089
2020-04-26,227631
2020-04-27,232537
2020-04-28,239578
2020-04-29,247754
2020-04-30,256399
2020-05-01,264079
2020-05-02,269619
2020-05-03,274355
2020-05-04,279071
2020-05-05,285883
2020-05-06,292254
2020-05-07,297894
2020-05-08,304069
2020-05-09,311690
2020-05-10,316508
2020-05-11,319484
2020-05-12,329314
2020-05-13,336252
2020-05-14,344606
2020-05-15,351351
2020-05-16,357393
2020-05-17,362509
2020-05-18,366069
2020-05-19,372435
2020-05-20,379592
2020-05-21,385637
2020-05-22,390488
2020-05-23,396363
2020-05-24,401857
2020-05-25,405341
2020-05-26,411185
2020-05-27,418706
2020-05-28,427372
2020-05-29,434302
2020-05-30,442143
2020-05-31,448534
2020-06-01,451820
2020-06-02,456378
2020-06-03,462958
2020-06-04,471466
2020-06-05,479449
2020-06-06,485912
2020-06-07,489597
2020-06-08,494761
2020-06-09,500921
2020-06-10,506344
2020-06-11,510311
2020-06-12,516581
2020-06-13,520976
2020-06-14,524840
2020-06-15,527670
2020-06-16,532700
2020-06-17,540615
2020-06-18,545927
2020-06-19,552130
2020-06-20,558208
2020-06-21,560584
2020-06-22,565800
2020-06-23,572473
2020-06-24,578584
2020-06-25,584243
2020-06-26,590442
2020-06-27,597495
2020-06-28,602520
2020-06-29,606375
2020-06-30,612756
2020-07-01,620866
2020-07-02,628700
2020-07-03,635505
2020-07-04,642679
2020-07-05,647804
2020-07-06,654105
2020-07-07,660149
2020-07-08,668220
2020-07-09,675727
2020-07-10,683484
2020-07-11,691709
2020-07-12,696740
2020-07-13,700616
2020-07-14,708128
2020-07-15,716293
2020-07-16,726345
2020-07-17,734413
2020-07-18,743090
2020-07-19,748669
2020-07-20,798436
2020-07-21,805600
2020-07-22,814681
2020-07-23,826031
2020-07-24,833841
2020-07-25,840890
2020-07-26,847898
2020-07-27,853169
2020-07-28,861206
2020-07-29,870602
2020-07-30,880036
2020-07-31,890461
2020-08-01,897819
2020-08-02,905314
2020-08-03,910437
2020-08-04,916778
2020-08-05,923902
2020-08-06,937275
2020-08-07,947305
2020-08-08,955239
2020-08-09,961868
2020-08-10,965758
2020-08-11,974508
2020-08-12,983018
2020-08-13,991508
2020-08-14,1003432
2020-08-15,1009354
2020-08-16,1018490
2020-08-17,1024067
2020-08-18,1037888
2020-08-19,1049171
2020-08-20,1061437
2020-08-21,1075409
2020-08-22,1087155
2020-08-23,1094987
2020-08-24,1101206
2020-08-25,1110089
2020-08-26,1119199
2020-08-27,1133243
2020-08-28,1147944
2020-08-29,1160743
2020-08-30,1172092
2020-08-31,1180711
2020-09-01,1193127
2020-09-02,1210568
2020-09-03,1222257
2020-09-04,1236489
2020-09-05,1247807
2020-09-06,1255825
2020-09-07,1266223
2020-09-08,1276477
2020-09-09,1288059
2020-09-10,1303030
2020-09-11,1316819
2020-09-12,1331493
2020-09-13,1342066
2020-09-14,1351408
2020-09-15,1364508
2020-09-16,1379839
2020-09-17,1395111
2020-09-18,1413965
2020-09-19,1432099
2020-09-20,1444683
2020-09-21,1458095
2020-09-22,1472647
2020-09-23,1489264
2020-09-24,1507782
2020-09-25,1528191
2020-09-26,1545634
2020-09-27,1555499
2020-09-28,1569992
2020-09-29,1586578
2020-09-30,1617987
2020-10-01,1636573
2020-10-02,1658412
2020-10-03,1673868
2020-10-04,1686373
2020-10-05,1698268
2020-10-06,1716505
2020-10-07,1735094
2020-10-08,1756856
2020-10-09,1775431
2020-10-10,1795387
2020-10-11,1809263
2020-10-12,1822931
2020-10-13,1844639
2020-10-14,1861672
2020-10-15,1881485
2020-10-16,1897604
2020-10-17,1922713
2020-10-18,1938028
2020-10-19,1952578
2020-10-20,1972047
2020-10-21,1993124
2020-10-22,2018402
2020-10-23,2046426
2020-10-24,2070615
2020-10-25,2088359
2020-10-26,2111575
2020-10-27,2125687
2020-10-28,2153066
2020-10-29,2177572
2020-10-30,2203993
2020-10-31,2232735
2020-11-01,2256051
2020-11-02,2279501
2020-11-03,2305382
2020-11-04,2334815
2020-11-05,2362948
2020-11-06,2396015
2020-11-07,2425825
2020-11-08,2452692
2020-11-09,2479068
2020-11-10,2505608
2020-11-11,2537179
2020-11-12,2575405
2020-11-13,2607733
2020-11-14,2640800
2020-11-15,2667880
2020-11-16,2694112
2020-11-17,2723162
2020-11-18,2756290
2020-11-19,2787606
2020-11-20,2820796
2020-11-21,2851604
2020-11-22,2881435
2020-11-23,2901857
2020-11-24,2929927
2020-11-25,2960496
2020-11-26,2993814
2020-11-27,3020862
2020-11-28,3061067
2020-11-29,3083264
2020-11-30,3098318
2020-12-01,3121510
2020-12-02,3149372
2020-12-03,3180666
