dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,3
2020-03-07,6
2020-03-08,9
2020-03-09,9
2020-03-10,9
2020-03-11,9
2020-03-12,9
2020-03-13,9
2020-03-14,11
2020-03-15,11
2020-03-16,19
2020-03-17,19
2020-03-18,19
2020-03-19,28
2020-03-20,28
2020-03-21,34
2020-03-22,53
2020-03-23,53
2020-03-24,72
2020-03-25,72
2020-03-26,87
2020-03-27,93
2020-03-28,122
2020-03-29,147
2020-03-30,164
2020-03-31,190
2020-04-01,273
2020-04-02,298
2020-04-03,359
2020-04-04,400
2020-04-05,443
2020-04-06,512
2020-04-07,584
2020-04-08,641
2020-04-09,717
2020-04-10,822
2020-04-11,926
2020-04-12,991
2020-04-13,1058
2020-04-14,1098
2020-04-15,1148
2020-04-16,1197
2020-04-17,1253
2020-04-18,1283
2020-04-19,1340
2020-04-20,1373
2020-04-21,1398
2020-04-22,1436
2020-04-23,1480
2020-04-24,1518
2020-04-25,1548
2020-04-26,1592
2020-04-27,1617
2020-04-28,1645
2020-04-29,1678
2020-04-30,1717
2020-05-01,1766
2020-05-02,1804
2020-05-03,1854
2020-05-04,1894
2020-05-05,1932
2020-05-06,1984
2020-05-07,2060
2020-05-08,2127
2020-05-09,2204
2020-05-10,2279
2020-05-11,2422
2020-05-12,2519
2020-05-13,2589
2020-05-14,2693
2020-05-15,2758
2020-05-16,2879
2020-05-17,2980
2020-05-18,3138
2020-05-19,3274
2020-05-20,3387
2020-05-21,3518
2020-05-22,3631
2020-05-23,3749
2020-05-24,3855
2020-05-25,3982
2020-05-26,4122
2020-05-27,4271
2020-05-28,4403
2020-05-29,4568
2020-05-30,4759
2020-05-31,4989
2020-06-01,5246
2020-06-02,5494
2020-06-03,5662
2020-06-04,5935
2020-06-05,6260
2020-06-06,6522
2020-06-07,6860
2020-06-08,7239
2020-06-09,7553
2020-06-10,7876
2020-06-11,8191
2020-06-12,8530
2020-06-13,8882
2020-06-14,9218
2020-06-15,9570
2020-06-16,9957
2020-06-17,10324
2020-06-18,10662
2020-06-19,10991
2020-06-20,11329
2020-06-21,11767
2020-06-22,12238
2020-06-23,12729
2020-06-24,13207
2020-06-25,13715
2020-06-26,14305
2020-06-27,14852
2020-06-28,15369
2020-06-29,15890
2020-06-30,16424
2020-07-01,16968
2020-07-02,17524
2020-07-03,18112
2020-07-04,18684
2020-07-05,19267
2020-07-06,19801
2020-07-07,20324
2020-07-08,20837
2020-07-09,21374
2020-07-10,21916
2020-07-11,22464
2020-07-12,22990
2020-07-13,23521
2020-07-14,24041
2020-07-15,24570
2020-07-16,25113
2020-07-17,25672
2020-07-18,26165
2020-07-19,26636
2020-07-20,27133
2020-07-21,27521
2020-07-22,27890
2020-07-23,28242
2020-07-24,28633
2020-07-25,28980
2020-07-26,29312
2020-07-27,29633
2020-07-28,30050
2020-07-29,30446
2020-07-30,30858
2020-07-31,31221
2020-08-01,31560
2020-08-02,31878
2020-08-03,32157
2020-08-04,32443
2020-08-05,32684
2020-08-06,32910
2020-08-07,33103
2020-08-08,33247
2020-08-09,33376
2020-08-10,33481
2020-08-11,33568
2020-08-12,33647
2020-08-13,33731
2020-08-14,33824
2020-08-15,33915
2020-08-16,34018
2020-08-17,34107
2020-08-18,34219
2020-08-19,34343
2020-08-20,34474
2020-08-21,34620
2020-08-22,34759
2020-08-23,34921
2020-08-24,35105
2020-08-25,35274
2020-08-26,35426
2020-08-27,35559
2020-08-28,35707
2020-08-29,35844
2020-08-30,35986
2020-08-31,36174
2020-09-01,36309
2020-09-02,36435
2020-09-03,36578
2020-09-04,36732
2020-09-05,36899
2020-09-06,37031
2020-09-07,37192
2020-09-08,37329
2020-09-09,37418
2020-09-10,37557
2020-09-11,37732
2020-09-12,37874
2020-09-13,38037
2020-09-14,38172
2020-09-15,38327
2020-09-16,38403
2020-09-17,38517
2020-09-18,38658
2020-09-19,38777
2020-09-20,38894
2020-09-21,39042
2020-09-22,39188
2020-09-23,39280
2020-09-24,39378
2020-09-25,39524
2020-09-26,39686
2020-09-27,39787
2020-09-28,39895
2020-09-29,40023
2020-09-30,40061
2020-10-01,40119
2020-10-02,40229
2020-10-03,40309
2020-10-04,40453
2020-10-05,40561
2020-10-06,40691
2020-10-07,40788
2020-10-08,40931
2020-10-09,41113
2020-10-10,41304
2020-10-11,41519
2020-10-12,41752
2020-10-13,41982
2020-10-14,42104
2020-10-15,42381
2020-10-16,42750
2020-10-17,43280
2020-10-18,43789
2020-10-19,44317
2020-10-20,44964
2020-10-21,45295
2020-10-22,45879
2020-10-23,46593
2020-10-24,47418
2020-10-25,48221
2020-10-26,49013
2020-10-27,49959
2020-10-28,50486
2020-10-29,51149
2020-10-30,52137
2020-10-31,53152
2020-11-01,54174
2020-11-02,55269
2020-11-03,56444
2020-11-04,57040
2020-11-05,58282
2020-11-06,59509
2020-11-07,60873
2020-11-08,62338
2020-11-09,63748
2020-11-10,65411
2020-11-11,66046
2020-11-12,67392
2020-11-13,68594
2020-11-14,70216
2020-11-15,71580
2020-11-16,73429
2020-11-17,75688
2020-11-18,77083
2020-11-19,79158
2020-11-20,81397
2020-11-21,83994
2020-11-22,87163
2020-11-23,89898
2020-11-24,93094
2020-11-25,95281
2020-11-26,98927
2020-11-27,102396
2020-11-28,106101
2020-11-29,109813
2020-11-30,114025
2020-12-01,118195
2020-12-02,121176
2020-12-03,125602
2020-12-04,129544
2020-12-05,133733
2020-12-06,138000
2020-12-07,142323
2020-12-08,146679
2020-12-09,149765
2020-12-10,154152
2020-12-11,158555
2020-12-12,162774
2020-12-13,167155
2020-12-14,171423
2020-12-15,175874
2020-12-16,178986
2020-12-17,183259
2020-12-18,187336
2020-12-19,191460
2020-12-20,195422
2020-12-21,199127
2020-12-22,202088
2020-12-23,203593
2020-12-24,205877
2020-12-25,208211
2020-12-26,210061
2020-12-27,211764
2020-12-28,213192
2020-12-29,214711
2020-12-30,215483
2020-12-31,216584
2021-01-01,217636
2021-01-02,218700
2021-01-03,219041
2021-01-04,219462
2021-01-05,220265
2021-01-06,220599
2021-01-07,221401
2021-01-08,222200
2021-01-09,222885
2021-01-10,223417
2021-01-11,224050
2021-01-12,224651
2021-01-13,224827
2021-01-14,225346
2021-01-15,225820
2021-01-16,226200
2021-01-17,226549
2021-01-18,226951
2021-01-19,227273
2021-01-20,227391
2021-01-21,227696
2021-01-22,228028
2021-01-23,228246
2021-01-24,228526
2021-01-25,228688
2021-01-26,228975
2021-01-27,229032
2021-01-28,229358
2021-01-29,229584
2021-01-30,229793
2021-01-31,229935
2021-02-01,230066
2021-02-02,230219
2021-02-03,230296
2021-02-04,230455
2021-02-05,230617
2021-02-06,230769
2021-02-07,230907
2021-02-08,231022
2021-02-09,231154
2021-02-10,231198
2021-02-11,231362
2021-02-12,231509
2021-02-13,231649
2021-02-14,231840
2021-02-15,231995
2021-02-16,232123
2021-02-17,232197
2021-02-18,232337
2021-02-19,232491
2021-02-20,232636
2021-02-21,232829
2021-02-22,232973
2021-02-23,233129
2021-02-24,233201
2021-02-25,233424
2021-02-26,233644
2021-02-27,233770
2021-02-28,233989
2021-03-01,234267
2021-03-02,234537
2021-03-03,235014
2021-03-04,235333
2021-03-05,235647
2021-03-06,236012
2021-03-07,236365
2021-03-08,236768
2021-03-09,236963
2021-03-10,237260
2021-03-11,237775
2021-03-12,238383
2021-03-13,238959
2021-03-14,239692
2021-03-15,240295
2021-03-16,240671
2021-03-17,241651
2021-03-18,242491
2021-03-19,243424
2021-03-20,244303
2021-03-21,245490
2021-03-22,246304
2021-03-23,246974
2021-03-24,248307
2021-03-25,249492
2021-03-26,250921
2021-03-27,252680
2021-03-28,254370
2021-03-29,256201
2021-03-30,257330
2021-03-31,259476
2021-04-01,261713
2021-04-02,263961
2021-04-03,266322
2021-04-04,268714
2021-04-05,270735
2021-04-06,271834
2021-04-07,273869
2021-04-08,276464
2021-04-09,279181
2021-04-10,281387
2021-04-11,283579
2021-04-12,285993
2021-04-13,287144
2021-04-14,289601
2021-04-15,291894
2021-04-16,294211
2021-04-17,296374
2021-04-18,298522
2021-04-19,300666
2021-04-20,301661
2021-04-21,303858
2021-04-22,305933
2021-04-23,307980
2021-04-24,309789
2021-04-25,311465
2021-04-26,313006
2021-04-27,313812
2021-04-28,315119
2021-04-29,316521
2021-04-30,317913
2021-05-01,319109
2021-05-02,320322
2021-05-03,321380
2021-05-04,321380
2021-05-05,322761
2021-05-06,323841
2021-05-07,324685
2021-05-08,325407
2021-05-09,326056
2021-05-10,326716
2021-05-11,327087
2021-05-12,327601
2021-05-13,328159
2021-05-14,328668
2021-05-15,328994
2021-05-16,329371
2021-05-17,329843
2021-05-18,330269
2021-05-19,330701
2021-05-20,331040
2021-05-21,331477
2021-05-22,331883
2021-05-23,332235
2021-05-24,332454
2021-05-25,332610
2021-05-26,332894
2021-05-27,333097
2021-05-28,333317
2021-05-29,333559
2021-05-30,333723
2021-05-31,333864
2021-06-01,333956
2021-06-02,334132
2021-06-03,334288
2021-06-04,334416
2021-06-05,334539
2021-06-06,334647
2021-06-07,334715
2021-06-08,334747
2021-06-09,334849
2021-06-10,334917
2021-06-11,334992
2021-06-12,335065
2021-06-13,335126
2021-06-14,335171
2021-06-15,335196
2021-06-16,335264
2021-06-17,335291
2021-06-18,335339
2021-06-19,335399
2021-06-20,335437
2021-06-21,335493
2021-06-22,335521
2021-06-23,335568
2021-06-24,335625
2021-06-25,335676
2021-06-26,335741
2021-06-27,335796
2021-06-28,335836
