dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,3
2020-03-29,3
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,7
2020-04-09,8
2020-04-10,8
2020-04-11,9
2020-04-12,10
2020-04-13,11
2020-04-14,11
2020-04-15,12
2020-04-16,13
2020-04-17,13
2020-04-18,15
2020-04-19,15
2020-04-20,18
2020-04-21,19
2020-04-22,19
2020-04-23,20
2020-04-24,20
2020-04-25,20
2020-04-26,21
2020-04-27,21
2020-04-28,21
2020-04-29,22
2020-04-30,22
2020-05-01,23
2020-05-02,24
2020-05-03,25
2020-05-04,25
2020-05-05,25
2020-05-06,26
2020-05-07,26
2020-05-08,28
2020-05-09,28
2020-05-10,28
2020-05-11,31
2020-05-12,32
2020-05-13,32
2020-05-14,33
2020-05-15,35
2020-05-16,35
2020-05-17,36
2020-05-18,36
2020-05-19,39
2020-05-20,40
2020-05-21,41
2020-05-22,43
2020-05-23,44
2020-05-24,46
2020-05-25,49
2020-05-26,49
2020-05-27,51
2020-05-28,52
2020-05-29,54
2020-05-30,56
2020-05-31,58
2020-06-01,61
2020-06-02,63
2020-06-03,68
2020-06-04,71
2020-06-05,76
2020-06-06,78
2020-06-07,82
2020-06-08,84
2020-06-09,88
2020-06-10,93
2020-06-11,98
2020-06-12,102
2020-06-13,108
2020-06-14,113
2020-06-15,115
2020-06-16,119
2020-06-17,122
2020-06-18,126
2020-06-19,133
2020-06-20,139
2020-06-21,143
2020-06-22,148
2020-06-23,154
2020-06-24,161
2020-06-25,167
2020-06-26,174
2020-06-27,180
2020-06-28,187
2020-06-29,193
2020-06-30,198
2020-07-01,206
2020-07-02,213
2020-07-03,220
2020-07-04,228
2020-07-05,235
2020-07-06,241
2020-07-07,250
2020-07-08,258
2020-07-09,265
2020-07-10,274
2020-07-11,284
2020-07-12,292
2020-07-13,298
2020-07-14,306
2020-07-15,313
2020-07-16,319
2020-07-17,326
2020-07-18,334
2020-07-19,341
2020-07-20,349
2020-07-21,354
2020-07-22,363
2020-07-23,376
2020-07-24,385
2020-07-25,391
2020-07-26,400
2020-07-27,408
2020-07-28,417
2020-07-29,423
2020-07-30,430
2020-07-31,438
2020-08-01,441
2020-08-02,448
2020-08-03,454
2020-08-04,462
2020-08-05,468
2020-08-06,473
2020-08-07,476
2020-08-08,479
2020-08-09,483
2020-08-10,488
2020-08-11,490
2020-08-12,492
2020-08-13,495
2020-08-14,497
2020-08-15,500
2020-08-16,504
2020-08-17,506
2020-08-18,506
2020-08-19,508
2020-08-20,509
2020-08-21,510
2020-08-22,510
2020-08-23,512
2020-08-24,515
2020-08-25,518
2020-08-26,519
2020-08-27,521
2020-08-28,522
2020-08-29,524
2020-08-30,527
2020-08-31,529
2020-09-01,531
2020-09-02,534
2020-09-03,536
2020-09-04,538
2020-09-05,541
2020-09-06,543
2020-09-07,545
2020-09-08,548
2020-09-09,551
2020-09-10,552
2020-09-11,555
2020-09-12,556
2020-09-13,557
2020-09-14,559
2020-09-15,562
2020-09-16,564
2020-09-17,566
2020-09-18,569
2020-09-19,571
2020-09-20,572
2020-09-21,574
2020-09-22,575
2020-09-23,576
2020-09-24,578
2020-09-25,580
2020-09-26,581
2020-09-27,583
2020-09-28,585
2020-09-29,586
2020-09-30,588
2020-10-01,590
2020-10-02,591
2020-10-03,593
2020-10-04,594
2020-10-05,595
2020-10-06,596
2020-10-07,598
2020-10-08,600
2020-10-09,602
2020-10-10,603
2020-10-11,605
2020-10-12,608
2020-10-13,609
2020-10-14,609
2020-10-15,612
2020-10-16,616
2020-10-17,619
2020-10-18,621
2020-10-19,623
2020-10-20,626
2020-10-21,630
2020-10-22,635
2020-10-23,642
2020-10-24,648
2020-10-25,656
2020-10-26,664
2020-10-27,671
2020-10-28,679
2020-10-29,688
2020-10-30,699
2020-10-31,708
2020-11-01,718
2020-11-02,730
2020-11-03,740
2020-11-04,753
2020-11-05,768
2020-11-06,780
2020-11-07,794
2020-11-08,811
2020-11-09,824
2020-11-10,840
2020-11-11,852
2020-11-12,867
2020-11-13,885
2020-11-14,905
2020-11-15,927
2020-11-16,946
2020-11-17,967
2020-11-18,985
2020-11-19,1005
2020-11-20,1030
2020-11-21,1053
2020-11-22,1079
2020-11-23,1107
2020-11-24,1131
2020-11-25,1160
2020-11-26,1194
2020-11-27,1224
2020-11-28,1256
2020-11-29,1291
2020-11-30,1323
2020-12-01,1361
2020-12-02,1392
2020-12-03,1433
2020-12-04,1470
2020-12-05,1510
2020-12-06,1551
2020-12-07,1593
2020-12-08,1632
2020-12-09,1675
2020-12-10,1713
2020-12-11,1755
2020-12-12,1793
2020-12-13,1840
2020-12-14,1883
2020-12-15,1922
2020-12-16,1966
2020-12-17,2007
2020-12-18,2050
2020-12-19,2088
2020-12-20,2133
2020-12-21,2175
2020-12-22,2210
2020-12-23,2253
2020-12-24,2294
2020-12-25,2340
2020-12-26,2380
2020-12-27,2416
2020-12-28,2454
2020-12-29,2499
2020-12-30,2538
2020-12-31,2575
2021-01-01,2609
2021-01-02,2641
2021-01-03,2670
2021-01-04,2703
2021-01-05,2733
2021-01-06,2761
2021-01-07,2792
2021-01-08,2818
2021-01-09,2845
2021-01-10,2869
2021-01-11,2890
2021-01-12,2909
2021-01-13,2926
2021-01-14,2941
2021-01-15,2957
2021-01-16,2971
2021-01-17,2983
2021-01-18,2998
2021-01-19,3009
2021-01-20,3022
2021-01-21,3032
2021-01-22,3044
2021-01-23,3053
2021-01-24,3064
2021-01-25,3072
2021-01-26,3082
2021-01-27,3093
2021-01-28,3100
2021-01-29,3105
2021-01-30,3113
2021-01-31,3119
2021-02-01,3126
2021-02-02,3132
2021-02-03,3136
2021-02-04,3141
2021-02-05,3145
2021-02-06,3148
2021-02-07,3153
2021-02-08,3156
2021-02-09,3158
2021-02-10,3161
2021-02-11,3163
2021-02-12,3167
2021-02-13,3170
2021-02-14,3173
2021-02-15,3178
2021-02-16,3180
2021-02-17,3183
2021-02-18,3185
2021-02-19,3187
2021-02-20,3190
2021-02-21,3193
2021-02-22,3195
2021-02-23,3198
2021-02-24,3202
2021-02-25,3204
2021-02-26,3206
2021-02-27,3209
2021-02-28,3213
2021-03-01,3218
2021-03-02,3220
2021-03-03,3225
2021-03-04,3230
2021-03-05,3232
2021-03-06,3235
2021-03-07,3238
2021-03-08,3241
2021-03-09,3247
2021-03-10,3250
2021-03-11,3257
2021-03-12,3262
2021-03-13,3268
2021-03-14,3276
2021-03-15,3282
2021-03-16,3286
2021-03-17,3298
2021-03-18,3307
2021-03-19,3314
2021-03-20,3325
2021-03-21,3339
2021-03-22,3351
2021-03-23,3366
2021-03-24,3384
2021-03-25,3404
2021-03-26,3421
2021-03-27,3445
2021-03-28,3464
2021-03-29,3491
2021-03-30,3513
2021-03-31,3538
2021-04-01,3567
2021-04-02,3593
2021-04-03,3617
2021-04-04,3648
2021-04-05,3677
2021-04-06,3711
2021-04-07,3743
2021-04-08,3780
2021-04-09,3811
2021-04-10,3846
2021-04-11,3879
2021-04-12,3915
2021-04-13,3944
2021-04-14,3978
2021-04-15,4009
2021-04-16,4045
2021-04-17,4077
2021-04-18,4107
2021-04-19,4140
2021-04-20,4169
2021-04-21,4203
2021-04-22,4235
2021-04-23,4274
2021-04-24,4307
2021-04-25,4342
2021-04-26,4371
2021-04-27,4402
2021-04-28,4429
2021-04-29,4461
2021-04-30,4490
2021-05-01,4517
2021-05-02,4538
2021-05-03,4561
2021-05-04,4561
2021-05-05,4597
2021-05-06,4617
2021-05-07,4635
2021-05-08,4650
2021-05-09,4666
2021-05-10,4680
2021-05-11,4698
2021-05-12,4713
2021-05-13,4726
2021-05-14,4742
2021-05-15,4754
2021-05-16,4768
2021-05-17,4779
2021-05-18,4792
2021-05-19,4802
2021-05-20,4814
2021-05-21,4828
2021-05-22,4839
2021-05-23,4851
2021-05-24,4860
2021-05-25,4867
2021-05-26,4877
2021-05-27,4885
2021-05-28,4891
2021-05-29,4896
2021-05-30,4903
2021-05-31,4907
2021-06-01,4913
2021-06-02,4921
2021-06-03,4926
2021-06-04,4929
2021-06-05,4933
2021-06-06,4936
2021-06-07,4941
2021-06-08,4945
2021-06-09,4947
2021-06-10,4948
2021-06-11,4951
2021-06-12,4951
2021-06-13,4953
2021-06-14,4953
2021-06-15,4955
2021-06-16,4958
2021-06-17,4959
2021-06-18,4959
2021-06-19,4961
2021-06-20,4961
2021-06-21,4962
2021-06-22,4963
2021-06-23,4963
2021-06-24,4965
2021-06-25,4965
2021-06-26,4967
2021-06-27,4967
2021-06-28,4968
2021-06-29,4970
2021-06-30,4973
2021-07-01,4974
2021-07-02,4975
2021-07-03,4977
2021-07-04,4977
2021-07-05,4978
2021-07-06,4978
2021-07-07,4978
2021-07-08,4979
2021-07-09,4980
2021-07-10,4982
2021-07-11,4984
2021-07-12,4984
2021-07-13,4987
2021-07-14,4988
2021-07-15,4988
2021-07-16,4990
2021-07-17,4990
2021-07-18,4991
2021-07-19,4992
2021-07-20,4994
