dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,18
2020-03-04,19
2020-03-05,34
2020-03-06,53
2020-03-07,81
2020-03-08,110
2020-03-09,27
2020-03-10,64
2020-03-11,94
2020-03-12,99
2020-03-13,174
2020-03-14,250
2020-03-15,338
2020-03-16,179
2020-03-17,214
2020-03-18,387
2020-03-19,422
2020-03-20,534
2020-03-21,713
2020-03-22,662
2020-03-23,469
2020-03-24,486
2020-03-25,1328
2020-03-26,1195
2020-03-27,1199
2020-03-28,1363
2020-03-29,1518
2020-03-30,844
2020-03-31,683
2020-04-01,1738
2020-04-02,1681
2020-04-03,1516
2020-04-04,1478
2020-04-05,1694
2020-04-06,922
2020-04-07,665
2020-04-08,1934
2020-04-09,1515
2020-04-10,1598
2020-04-11,2239
2020-04-12,2336
2020-04-13,1029
2020-04-14,524
2020-04-15,537
2020-04-16,1560
2020-04-17,1633
2020-04-18,1674
2020-04-19,1394
2020-04-20,722
2020-04-21,443
2020-04-22,1276
2020-04-23,1270
2020-04-24,777
2020-04-25,976
2020-04-26,811
2020-04-27,388
2020-04-28,205
2020-04-29,755
2020-04-30,569
2020-05-01,522
2020-05-02,586
2020-05-03,237
2020-05-04,286
2020-05-05,140
2020-05-06,670
2020-05-07,546
2020-05-08,552
2020-05-09,442
2020-05-10,483
2020-05-11,240
2020-05-12,118
2020-05-13,476
2020-05-14,395
2020-05-15,321
2020-05-16,305
2020-05-17,346
2020-05-18,147
2020-05-19,81
2020-05-20,317
2020-05-21,292
2020-05-22,385
2020-05-23,70
2020-05-24,248
2020-05-25,123
2020-05-26,75
2020-05-27,314
2020-05-28,202
2020-05-29,182
2020-05-30,171
2020-05-31,165
2020-06-01,61
2020-06-02,49
2020-06-03,59
2020-06-04,181
2020-06-05,159
2020-06-06,172
2020-06-07,154
2020-06-08,69
2020-06-09,53
2020-06-10,152
2020-06-11,145
2020-06-12,119
2020-06-13,95
2020-06-14,89
2020-06-15,49
2020-06-16,22
2020-06-17,147
2020-06-18,99
2020-06-19,123
2020-06-20,108
2020-06-21,121
2020-06-22,50
2020-06-23,20
2020-06-24,143
2020-06-25,110
2020-06-26,100
2020-06-27,76
2020-06-28,113
2020-06-29,41
2020-06-30,24
2020-07-01,127
2020-07-02,100
2020-07-03,135
2020-07-04,93
2020-07-05,94
2020-07-06,64
2020-07-07,24
2020-07-08,112
2020-07-09,99
2020-07-10,137
2020-07-11,124
2020-07-12,127
2020-07-13,62
2020-07-14,43
2020-07-15,224
2020-07-16,207
2020-07-17,260
2020-07-18,226
2020-07-19,274
2020-07-20,130
2020-07-21,64
2020-07-22,443
2020-07-23,145
2020-07-24,553
2020-07-25,439
2020-07-26,496
2020-07-27,229
2020-07-28,184
2020-07-29,595
2020-07-30,685
2020-07-31,703
2020-08-01,635
2020-08-02,684
2020-08-03,309
2020-08-04,148
2020-08-05,794
2020-08-06,813
2020-08-07,767
2020-08-08,769
2020-08-09,771
2020-08-10,304
2020-08-11,122
2020-08-12,873
2020-08-13,718
2020-08-14,609
2020-08-15,669
2020-08-16,587
2020-08-17,163
2020-08-18,132
2020-08-19,707
2020-08-20,725
2020-08-21,612
2020-08-22,581
2020-08-23,510
2020-08-24,203
2020-08-25,115
2020-08-26,607
2020-08-27,527
2020-08-28,526
2020-08-29,535
2020-08-30,614
2020-08-31,195
2020-09-01,117
2020-09-02,634
2020-09-03,565
2020-09-04,574
2020-09-05,677
2020-09-06,728
2020-09-07,322
2020-09-08,155
2020-09-09,918
2020-09-10,871
2020-09-11,1024
2020-09-12,1143
2020-09-13,1284
2020-09-14,617
2020-09-15,301
2020-09-16,1724
2020-09-17,1628
2020-09-18,1943
2020-09-19,1750
2020-09-20,1709
2020-09-21,894
2020-09-22,461
2020-09-23,2202
2020-09-24,2074
2020-09-25,2096
2020-09-26,1795
2020-09-27,1623
2020-09-28,1078
2020-09-29,560
2020-09-30,2791
2020-10-01,3008
2020-10-02,3274
2020-10-03,3422
2020-10-04,3752
2020-10-05,1728
2020-10-06,1047
2020-10-07,5302
2020-10-08,5745
2020-10-09,6886
2020-10-10,6671
2020-10-11,7945
2020-10-12,4370
2020-10-13,2409
2020-10-14,9863
2020-10-15,12768
2020-10-16,12523
2020-10-17,11990
2020-10-18,13749
2020-10-19,8137
2020-10-20,4307
2020-10-21,15761
2020-10-22,19534
2020-10-23,17528
2020-10-24,17701
2020-10-25,18879
2020-10-26,11568
2020-10-27,4880
2020-10-28,19806
2020-10-29,22128
2020-10-30,17918
2020-10-31,15045
2020-11-01,15407
2020-11-02,6317
2020-11-03,2645
2020-11-04,13805
2020-11-05,12048
2020-11-06,9195
2020-11-07,7627
2020-11-08,6592
2020-11-09,2998
2020-11-10,1446
2020-11-11,8607
2020-11-12,7628
2020-11-13,1975
2020-11-14,6442
2020-11-15,5698
2020-11-16,2366
2020-11-17,1050
2020-11-18,5813
2020-11-19,4803
2020-11-20,3670
2020-11-21,2998
2020-11-22,3081
2020-11-23,1248
2020-11-24,582
2020-11-25,3926
2020-11-26,2841
2020-11-27,2644
2020-11-28,2396
2020-11-29,2711
2020-11-30,1003
2020-12-01,553
2020-12-02,3277
2020-12-03,2663
2020-12-04,2587
2020-12-05,2360
2020-12-06,2547
2020-12-07,1094
2020-12-08,594
2020-12-09,3335
2020-12-10,2692
2020-12-11,2737
2020-12-12,2661
2020-12-13,2884
2020-12-14,1582
2020-12-15,734
2020-12-16,3799
2020-12-17,3191
2020-12-18,2739
2020-12-19,2728
2020-12-20,2731
2020-12-21,1430
2020-12-22,636
2020-12-23,3300
2020-12-24,2590
2020-12-25,2358
2020-12-26,1723
2020-12-27,492
2020-12-28,1090
2020-12-29,529
2020-12-30,2637
2020-12-31,2261
2021-01-01,1976
2021-01-02,1625
2021-01-03,469
2021-01-04,1050
2021-01-05,732
2021-01-06,2902
2021-01-07,2619
2021-01-08,2288
2021-01-09,1809
2021-01-10,1935
2021-01-11,1302
2021-01-12,808
2021-01-13,2844
2021-01-14,2269
2021-01-15,2045
2021-01-16,2024
2021-01-17,2070
2021-01-18,1140
2021-01-19,696
2021-01-20,2933
2021-01-21,2336
2021-01-22,2411
2021-01-23,2267
2021-01-24,2524
2021-01-25,1356
2021-01-26,796
2021-01-27,3283
2021-01-28,2701
2021-01-29,2508
2021-01-30,2543
2021-01-31,2940
2021-02-01,1551
2021-02-02,844
2021-02-03,3299
2021-02-04,2605
2021-02-05,2345
2021-02-06,2360
2021-02-07,2410
2021-02-08,1256
2021-02-09,594
2021-02-10,2537
2021-02-11,2103
2021-02-12,2108
2021-02-13,2047
2021-02-14,1998
2021-02-15,1122
2021-02-16,590
2021-02-17,2721
2021-02-18,2369
2021-02-19,2520
2021-02-20,2547
2021-02-21,2811
2021-02-22,1555
2021-02-23,804
2021-02-24,3335
2021-02-25,2911
2021-02-26,2748
2021-02-27,2643
2021-02-28,2800
2021-03-01,1487
2021-03-02,711
2021-03-03,3211
2021-03-04,2758
2021-03-05,2753
2021-03-06,2682
2021-03-07,2731
2021-03-08,1510
2021-03-09,786
2021-03-10,3685
2021-03-11,3383
2021-03-12,3387
2021-03-13,3498
2021-03-14,3752
2021-03-15,2174
2021-03-16,1383
2021-03-17,5258
2021-03-18,4599
2021-03-19,4836
2021-03-20,5036
2021-03-21,5182
2021-03-22,2845
2021-03-23,1576
2021-03-24,6285
2021-03-25,6037
2021-03-26,5564
2021-03-27,5623
2021-03-28,5740
2021-03-29,3057
2021-03-30,1691
2021-03-31,6154
2021-04-01,5197
2021-04-02,4727
2021-04-03,4690
2021-04-04,4894
2021-04-05,2701
2021-04-06,1513
2021-04-07,1562
2021-04-08,5260
2021-04-09,4742
2021-04-10,4467
2021-04-11,4497
2021-04-12,2362
2021-04-13,1305
2021-04-14,4734
2021-04-15,4281
2021-04-16,3897
2021-04-17,3811
2021-04-18,4018
2021-04-19,2322
2021-04-20,1312
2021-04-21,5438
2021-04-22,4459
2021-04-23,4064
2021-04-24,3801
2021-04-25,3639
2021-04-26,1889
2021-04-27,1138
2021-04-28,4271
2021-04-29,3761
2021-04-30,3447
2021-05-01,3350
2021-05-02,3490
2021-05-03,1335
2021-05-04,1137
2021-05-05,4334
2021-05-06,3657
2021-05-07,3607
2021-05-08,3518
2021-05-09,3292
2021-05-10,1714
2021-05-11,856
2021-05-12,3362
2021-05-13,2990
2021-05-14,2805
2021-05-15,946
2021-05-16,2556
2021-05-17,1255
2021-05-18,737
2021-05-19,3581
2021-05-20,3259
2021-05-21,3119
2021-05-22,2409
2021-05-23,2425
2021-05-24,1435
2021-05-25,774
2021-05-26,898
2021-05-27,2792
2021-05-28,2534
2021-05-29,2213
2021-05-30,2023
2021-05-31,1116
2021-06-01,603
2021-06-02,2027
2021-06-03,1683
2021-06-04,1500
2021-06-05,1466
2021-06-06,1347
2021-06-07,647
2021-06-08,400
2021-06-09,1237
2021-06-10,1041
2021-06-11,840
2021-06-12,764
2021-06-13,779
2021-06-14,390
2021-06-15,209
2021-06-16,765
2021-06-17,535
2021-06-18,419
2021-06-19,450
2021-06-20,424
2021-06-21,274
2021-06-22,139
2021-06-23,482
2021-06-24,365
2021-06-25,396
2021-06-26,339
2021-06-27,398
2021-06-28,260
2021-06-29,177
2021-06-30,598
2021-07-01,557
2021-07-02,627
2021-07-03,676
2021-07-04,729
2021-07-05,521
2021-07-06,366
2021-07-07,998
2021-07-08,1041
2021-07-09,1173
2021-07-10,1227
2021-07-11,1291
2021-07-12,1004
2021-07-13,781
2021-07-14,1763
2021-07-15,1429
2021-07-16,1446
2021-07-17,1390
