dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,1
2020-02-16,2
2020-02-17,-1
2020-02-18,1
2020-02-19,-1
2020-02-20,-2
2020-02-21,-1
2020-02-22,-1
2020-02-23,-1
2020-02-24,-1
2020-02-25,3
2020-02-26,3
2020-02-27,0
2020-02-28,-1
2020-02-29,1
2020-03-01,4
2020-03-02,1
2020-03-03,3
2020-03-04,3
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,4
2020-03-09,-5
2020-03-10,2
2020-03-11,1
2020-03-12,-2
2020-03-13,-4
2020-03-14,-4
2020-03-15,-1
2020-03-16,-2
2020-03-17,0
2020-03-18,0
2020-03-19,-4
2020-03-20,-7
2020-03-21,-18
2020-03-22,-19
2020-03-23,-14
2020-03-24,-10
2020-03-25,-14
2020-03-26,-18
2020-03-27,-24
2020-03-28,-27
2020-03-29,-25
2020-03-30,-24
2020-03-31,-21
2020-04-01,-22
2020-04-02,-22
2020-04-03,-25
2020-04-04,-26
2020-04-05,-25
2020-04-06,-23
2020-04-07,-20
2020-04-08,-22
2020-04-09,-21
2020-04-10,-23
2020-04-11,-22
2020-04-12,-24
2020-04-13,-30
2020-04-14,-20
2020-04-15,-24
2020-04-16,-22
2020-04-17,-24
2020-04-18,-26
2020-04-19,-23
2020-04-20,-17
2020-04-21,-12
2020-04-22,-12
2020-04-23,-10
2020-04-24,-18
2020-04-25,-19
2020-04-26,-18
2020-04-27,-14
2020-04-28,-12
2020-04-29,-13
2020-04-30,-11
2020-05-01,-23
2020-05-02,-19
2020-05-03,-21
2020-05-04,-16
2020-05-05,-12
2020-05-06,-9
2020-05-07,-8
2020-05-08,-9
2020-05-09,-12
2020-05-10,-12
2020-05-11,-8
2020-05-12,-6
2020-05-13,-8
2020-05-14,-9
2020-05-15,-6
2020-05-16,-8
2020-05-17,-8
2020-05-18,-7
2020-05-19,-7
2020-05-20,-3
2020-05-21,-7
2020-05-22,8
2020-05-23,-4
2020-05-24,1
2020-05-25,-13
2020-05-26,5
2020-05-27,0
2020-05-28,2
2020-05-29,4
2020-05-30,-3
2020-05-31,2
2020-06-01,1
2020-06-02,3
2020-06-03,7
2020-06-04,4
2020-06-05,1
2020-06-06,7
2020-06-07,8
2020-06-08,5
2020-06-09,-2
2020-06-10,6
2020-06-11,2
2020-06-12,3
2020-06-13,0
2020-06-14,-3
2020-06-15,2
2020-06-16,5
2020-06-17,2
2020-06-18,-4
2020-06-19,2
2020-06-20,2
2020-06-21,9
2020-06-22,-1
2020-06-23,5
2020-06-24,6
2020-06-25,7
2020-06-26,6
2020-06-27,8
2020-06-28,7
2020-06-29,4
2020-06-30,7
2020-07-01,5
2020-07-02,3
2020-07-03,3
2020-07-04,1
2020-07-05,8
2020-07-06,0
2020-07-07,8
2020-07-08,5
2020-07-09,4
2020-07-10,-1
2020-07-11,3
2020-07-12,6
2020-07-13,3
2020-07-14,-2
2020-07-15,-15
2020-07-16,3
2020-07-17,3
2020-07-18,1
2020-07-19,0
2020-07-20,2
2020-07-21,4
2020-07-22,7
2020-07-23,5
2020-07-24,5
2020-07-25,5
2020-07-26,4
2020-07-27,9
2020-07-28,11
2020-07-29,17
2020-07-30,27
2020-07-31,-17
2020-08-01,-7
2020-08-02,5
2020-08-03,5
2020-08-04,16
2020-08-05,8
2020-08-06,14
2020-08-07,7
2020-08-08,8
2020-08-09,10
2020-08-10,11
2020-08-11,6
2020-08-12,11
2020-08-13,9
2020-08-14,2
2020-08-15,1
2020-08-16,8
2020-08-17,14
2020-08-18,14
2020-08-19,14
2020-08-20,7
2020-08-21,5
2020-08-22,7
2020-08-23,14
2020-08-24,12
2020-08-25,14
2020-08-26,18
2020-08-27,13
2020-08-28,14
2020-08-29,12
2020-08-30,5
2020-08-31,-8
2020-09-01,25
2020-09-02,14
2020-09-03,16
2020-09-04,20
2020-09-05,7
2020-09-06,4
2020-09-07,15
2020-09-08,21
2020-09-09,23
2020-09-10,20
2020-09-11,22
2020-09-12,17
2020-09-13,8
2020-09-14,27
2020-09-15,30
2020-09-16,28
2020-09-17,23
2020-09-18,27
2020-09-19,23
2020-09-20,12
2020-09-21,35
2020-09-22,47
2020-09-23,54
2020-09-24,51
2020-09-25,47
2020-09-26,50
2020-09-27,45
2020-09-28,61
2020-09-29,64
2020-09-30,61
2020-10-01,47
2020-10-02,50
2020-10-03,38
2020-10-04,36
2020-10-05,50
2020-10-06,50
2020-10-07,47
2020-10-08,46
2020-10-09,40
2020-10-10,35
2020-10-11,34
2020-10-12,50
2020-10-13,50
2020-10-14,50
2020-10-15,48
2020-10-16,50
2020-10-17,42
2020-10-18,35
2020-10-19,47
2020-10-20,50
2020-10-21,54
2020-10-22,52
2020-10-23,58
2020-10-24,54
2020-10-25,43
2020-10-26,62
2020-10-27,67
2020-10-28,66
2020-10-29,49
2020-10-30,64
2020-10-31,48
2020-11-01,44
2020-11-02,51
2020-11-03,65
2020-11-04,62
2020-11-05,60
2020-11-06,56
2020-11-07,53
2020-11-08,45
2020-11-09,56
2020-11-10,62
2020-11-11,58
2020-11-12,55
