dates,covid19mobilitytrend_transporthub
2020-02-15,0
2020-02-16,-2
2020-02-17,-1
2020-02-18,-4
2020-02-19,-4
2020-02-20,-2
2020-02-21,1
2020-02-22,-6
2020-02-23,-2
2020-02-24,1
2020-02-25,-1
2020-02-26,-1
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,5
2020-03-02,1
2020-03-03,0
2020-03-04,6
2020-03-05,7
2020-03-06,7
2020-03-07,9
2020-03-08,3
2020-03-09,0
2020-03-10,1
2020-03-11,-6
2020-03-12,-2
2020-03-13,-4
2020-03-14,-6
2020-03-15,-9
2020-03-16,0
2020-03-17,-3
2020-03-18,-7
2020-03-19,-8
2020-03-20,-15
2020-03-21,-28
2020-03-22,-34
2020-03-23,-33
2020-03-24,-35
2020-03-25,-37
2020-03-26,-40
2020-03-27,-47
2020-03-28,-49
2020-03-29,-53
2020-03-30,-44
2020-03-31,-42
2020-04-01,-42
2020-04-02,-42
2020-04-03,-46
2020-04-04,-46
2020-04-05,-51
2020-04-06,-42
2020-04-07,-43
2020-04-08,-45
2020-04-09,-42
2020-04-10,-46
2020-04-11,-45
2020-04-12,-53
2020-04-13,-51
2020-04-14,-43
2020-04-15,-45
2020-04-16,-43
2020-04-17,-43
2020-04-18,-45
2020-04-19,-49
2020-04-20,-40
2020-04-21,-36
2020-04-22,-37
2020-04-23,-35
2020-04-24,-41
2020-04-25,-43
2020-04-26,-47
2020-04-27,-37
2020-04-28,-34
2020-04-29,-38
2020-04-30,-36
2020-05-01,-49
2020-05-02,-44
2020-05-03,-48
2020-05-04,-36
2020-05-05,-30
2020-05-06,-28
2020-05-07,-26
2020-05-08,-28
2020-05-09,-34
2020-05-10,-35
2020-05-11,-26
2020-05-12,-21
2020-05-13,-25
2020-05-14,-24
2020-05-15,-24
2020-05-16,-27
2020-05-17,-28
2020-05-18,-19
2020-05-19,-23
2020-05-20,-22
2020-05-21,-25
2020-05-22,-14
2020-05-23,-28
2020-05-24,-35
2020-05-25,-33
2020-05-26,-14
2020-05-27,-17
2020-05-28,-16
2020-05-29,-17
2020-05-30,-19
2020-05-31,-15
2020-06-01,-16
2020-06-02,-18
2020-06-03,-13
2020-06-04,-12
2020-06-05,-20
2020-06-06,-17
2020-06-07,-21
2020-06-08,-16
2020-06-09,-21
2020-06-10,-13
2020-06-11,-16
2020-06-12,-17
2020-06-13,-17
2020-06-14,-21
2020-06-15,-15
2020-06-16,-16
2020-06-17,-17
2020-06-18,-22
2020-06-19,-19
2020-06-20,-18
2020-06-21,-20
2020-06-22,-16
2020-06-23,-13
2020-06-24,-16
2020-06-25,-11
2020-06-26,-11
2020-06-27,-10
2020-06-28,-13
2020-06-29,-12
2020-06-30,-9
2020-07-01,-12
2020-07-02,-11
2020-07-03,-8
2020-07-04,-15
2020-07-05,-6
2020-07-06,-10
2020-07-07,-6
2020-07-08,-11
2020-07-09,-9
2020-07-10,-16
2020-07-11,-12
2020-07-12,-11
2020-07-13,-11
2020-07-14,-9
2020-07-15,-25
2020-07-16,-4
2020-07-17,-4
2020-07-18,-7
2020-07-19,-6
2020-07-20,-3
2020-07-21,-4
2020-07-22,-1
2020-07-23,1
2020-07-24,2
2020-07-25,1
2020-07-26,0
2020-07-27,7
2020-07-28,11
2020-07-29,18
2020-07-30,34
2020-07-31,-34
2020-08-01,-12
2020-08-02,8
2020-08-03,3
2020-08-04,14
2020-08-05,-1
2020-08-06,12
2020-08-07,7
2020-08-08,5
2020-08-09,8
2020-08-10,7
2020-08-11,3
2020-08-12,5
2020-08-13,5
2020-08-14,2
2020-08-15,-2
2020-08-16,4
2020-09-11,15
2020-09-12,9
2020-09-13,7
2020-09-14,17
2020-09-15,20
2020-09-16,18
2020-09-17,9
2020-09-18,14
2020-09-19,9
2020-09-20,5
2020-09-21,11
2020-09-22,10
2020-09-23,8
2020-09-24,11
2020-09-25,9
2020-09-26,7
2020-09-27,12
2020-09-28,18
2020-09-29,13
2020-09-30,16
2020-10-01,3
2020-10-02,10
2020-10-03,3
2020-10-04,4
2020-10-05,4
2020-10-06,4
2020-10-07,3
2020-10-08,5
2020-10-09,5
2020-10-10,3
2020-10-11,3
2020-10-12,6
2020-10-13,5
2020-10-14,11
2020-10-15,9
2020-10-16,10
2020-10-17,1
2020-10-18,5
2020-10-19,12
2020-10-20,9
2020-10-21,7
2020-10-22,4
2020-10-23,4
2020-10-24,7
2020-10-25,7
2020-10-26,7
2020-10-27,10
2020-10-28,11
2020-10-29,4
2020-10-30,10
2020-10-31,5
2020-11-01,7
2020-11-02,9
2020-11-03,11
2020-11-04,10
2020-11-05,10
2020-11-06,3
2020-11-07,0
2020-11-08,4
2020-11-09,5
2020-11-10,5
2020-11-11,3
2020-11-12,5
2020-11-13,-1
2020-11-14,-1
2020-11-15,-2
2020-11-16,6
2020-11-17,2
2020-11-18,3
2020-11-19,4
2020-11-20,3
2020-11-21,1
2020-11-22,-7
2020-11-23,3
2020-11-24,5
2020-11-25,8
2020-11-26,12
2020-11-27,7
2020-11-28,7
2020-11-29,9
2020-11-30,13
2020-12-01,9
2020-12-02,9
2020-12-03,14
2020-12-04,10
2020-12-05,10
2020-12-06,15
2020-12-07,15
2020-12-08,16
2020-12-09,21
2020-12-10,36
2020-12-11,12
2020-12-12,19
2020-12-13,27
2020-12-14,23
2020-12-15,25
2020-12-16,24
2020-12-17,29
2020-12-18,31
2020-12-19,26
2020-12-20,40
2020-12-21,39
2020-12-22,43
2020-12-23,50
2020-12-24,59
2020-12-25,-10
2020-12-26,18
2020-12-27,35
2020-12-28,38
2020-12-29,40
2020-12-30,50
2020-12-31,50
2021-01-01,-12
2021-01-02,17
2021-01-03,41
2021-01-04,39
2021-01-05,33
2021-01-06,27
2021-01-07,27
2021-01-08,20
2021-01-09,19
2021-01-10,23
2021-01-11,25
2021-01-12,23
2021-01-13,16
2021-01-14,15
2021-01-15,10
2021-01-16,4
2021-01-17,12
2021-01-18,13
2021-01-19,12
2021-01-20,11
2021-01-21,15
2021-01-22,11
2021-01-23,10
2021-01-24,14
2021-01-25,18
2021-01-26,18
2021-01-27,14
2021-01-28,20
2021-01-29,17
2021-01-30,17
2021-01-31,22
2021-02-01,19
2021-02-02,18
2021-02-03,10
2021-02-04,12
2021-02-05,15
2021-02-06,15
2021-02-07,17
2021-02-08,16
2021-02-09,18
2021-02-10,15
2021-02-11,20
2021-02-12,14
2021-02-13,12
2021-02-14,17
2021-02-15,12
2021-02-16,10
2021-02-17,7
2021-02-18,10
2021-02-19,8
2021-02-20,3
2021-02-21,5
2021-02-22,7
2021-02-23,12
2021-02-24,12
2021-02-25,13
2021-02-26,16
2021-02-27,12
2021-02-28,17
2021-03-01,19
2021-03-02,16
2021-03-03,13
2021-03-04,16
2021-03-05,20
2021-03-06,14
2021-03-07,17
2021-03-08,13
2021-03-09,17
2021-03-10,13
2021-03-11,15
2021-03-12,16
2021-03-13,12
2021-03-14,20
2021-03-15,24
2021-03-16,21
2021-03-17,21
2021-03-18,23
2021-03-19,20
2021-03-20,19
2021-03-21,22
2021-03-22,20
2021-03-23,23
2021-03-24,25
2021-03-25,29
2021-03-26,29
2021-03-27,23
2021-03-28,35
2021-03-29,32
2021-03-30,29
2021-03-31,27
2021-04-01,41
2021-04-02,43
2021-04-03,46
2021-04-04,25
2021-04-05,33
2021-04-06,42
2021-04-07,38
2021-04-08,40
2021-04-09,38
2021-04-10,32
2021-04-11,49
2021-04-12,37
2021-04-13,21
2021-04-14,19
2021-04-15,21
2021-04-16,21
2021-04-17,13
2021-04-18,18
2021-04-19,23
2021-04-20,20
2021-04-21,19
2021-04-22,22
2021-04-23,22
2021-04-24,19
2021-04-25,23
2021-04-26,27
2021-04-27,26
2021-04-28,23
2021-04-29,26
2021-04-30,24
2021-05-01,15
2021-05-02,26
2021-05-03,29
2021-05-04,29
2021-05-05,26
2021-05-06,27
2021-05-07,26
2021-05-08,21
2021-05-09,32
2021-05-10,38
2021-05-11,51
2021-05-12,38
2021-05-13,-6
2021-05-14,20
2021-05-15,29
2021-05-16,41
2021-05-17,36
2021-05-18,35
2021-05-19,30
2021-05-20,32
2021-05-21,39
2021-05-22,38
2021-05-23,44
2021-05-24,37
2021-05-25,43
2021-05-26,44
2021-05-27,47
2021-05-28,45
2021-05-29,44
2021-05-30,46
2021-05-31,50
2021-06-01,46
2021-06-02,45
2021-06-03,45
2021-06-04,47
2021-06-05,40
2021-06-06,40
2021-06-07,50
2021-06-08,41
2021-06-09,46
2021-06-10,43
2021-06-11,48
2021-06-12,39
2021-06-13,44
2021-06-14,48
2021-06-15,47
2021-06-16,41
2021-06-17,43
2021-06-18,43
2021-06-19,26
2021-06-20,40
2021-06-21,36
2021-06-22,38
2021-06-23,37
2021-06-24,48
2021-06-25,37
2021-06-26,38
2021-06-27,46
2021-06-28,53
2021-06-29,49
2021-06-30,51
2021-07-01,54
2021-07-02,53
2021-07-03,31
2021-07-04,51
2021-07-05,49
2021-07-06,55
2021-07-07,55
2021-07-08,52
2021-07-09,44
2021-07-10,38
2021-07-11,42
2021-07-12,58
2021-07-13,52
2021-07-14,61
2021-07-15,65
2021-07-16,56
2021-07-17,55
2021-07-18,73
2021-07-19,85
2021-07-20,2
2021-07-21,30
2021-07-22,54
2021-07-23,52
2021-07-24,52
2021-07-25,63
2021-07-26,66
2021-07-27,62
2021-07-28,54
2021-07-29,62
2021-07-30,60
2021-07-31,46
2021-08-01,65
2021-08-02,69
2021-08-03,69
2021-08-04,59
2021-08-05,50
2021-08-06,54
2021-08-07,53
2021-08-08,65
2021-08-09,67
2021-08-10,62
2021-08-11,58
2021-08-12,62
2021-08-13,55
2021-08-14,34
2021-08-15,48
2021-08-16,53
2021-08-17,57
2021-08-18,53
2021-08-19,58
2021-08-20,51
2021-08-21,40
2021-08-22,47
2021-08-23,64
2021-08-24,65
2021-08-25,62
2021-08-26,61
2021-08-27,61
2021-08-28,48
2021-08-29,57
2021-08-30,66
2021-08-31,68
2021-09-01,63
2021-09-02,56
2021-09-03,55
2021-09-04,44
2021-09-05,44
2021-09-06,61
2021-09-07,56
2021-09-08,50
2021-09-09,54
2021-09-10,54
2021-09-11,43
2021-09-12,50
2021-09-13,64
2021-09-14,60
2021-09-15,56
2021-09-16,62
2021-09-17,53
2021-09-18,46
2021-09-19,51
2021-09-20,59
2021-09-21,55
2021-09-22,45
2021-09-23,54
2021-09-24,53
2021-09-25,51
2021-09-26,61
2021-09-27,62
2021-09-28,62
2021-09-29,62
2021-09-30,62
2021-10-01,55
2021-10-02,51
2021-10-03,60
2021-10-04,53
2021-10-05,53
2021-10-06,49
2021-10-07,47
2021-10-08,44
2021-10-09,40
2021-10-10,49
2021-10-11,49
2021-10-12,50
2021-10-13,44
2021-10-14,45
2021-10-15,49
2021-10-16,38
2021-10-17,44
2021-10-18,49
2021-10-19,32
2021-10-20,45
2021-10-21,48
2021-10-22,48
2021-10-23,46
2021-10-24,48
2021-10-25,56
2021-10-26,52
2021-10-27,53
2021-10-28,53
2021-10-29,60
2021-10-30,56
2021-10-31,56
2021-11-01,50
2021-11-02,58
2021-11-03,50
2021-11-04,52
2021-11-05,52
2021-11-06,50
2021-11-07,53
2021-11-08,55
2021-11-09,56
2021-11-10,51
2021-11-11,50
2021-11-12,50
2021-11-13,51
2021-11-14,55
2021-11-15,52
2021-11-16,53
2021-11-17,49
2021-11-18,47
2021-11-19,47
2021-11-20,40
2021-11-21,-73
2021-11-22,-65
2021-11-23,-62
2021-11-24,-61
2021-11-25,-56
2021-11-26,-58
2021-11-27,-68
2021-11-28,-20
2021-11-29,45
2021-11-30,60
2021-12-01,57
2021-12-02,59
2021-12-03,57
2021-12-04,58
2021-12-05,55
2021-12-06,64
2021-12-07,58
2021-12-08,55
2021-12-09,53
2021-12-10,55
2021-12-11,40
2021-12-12,55
2021-12-13,61
2021-12-14,58
2021-12-15,58
2021-12-16,60
2021-12-17,63
2021-12-18,62
2021-12-19,61
2021-12-20,75
2021-12-21,78
2021-12-22,83
2021-12-23,100
2021-12-24,93
2021-12-25,12
2021-12-26,53
2021-12-27,72
2021-12-28,71
2021-12-29,72
2021-12-30,93
2021-12-31,77
2022-01-01,5
2022-01-02,50
2022-01-03,66
2022-01-04,82
2022-01-05,64
2022-01-06,62
2022-01-07,58
2022-01-08,52
2022-01-09,52
2022-01-10,23
2022-01-11,58
2022-01-12,50
2022-01-13,55
2022-01-14,61
2022-01-15,55
2022-01-16,59
2022-01-17,59
2022-01-18,57
2022-01-19,52
2022-01-20,58
2022-01-21,56
2022-01-22,36
2022-01-23,-44
2022-01-24,-20
2022-01-25,32
2022-01-26,41
2022-01-27,50
2022-01-28,55
2022-01-29,41
2022-01-30,49
2022-01-31,58
2022-02-01,56
2022-02-02,47
2022-02-03,50
2022-02-04,56
2022-02-05,46
2022-02-06,47
2022-02-07,57
2022-02-08,48
2022-02-09,48
2022-02-10,52
2022-02-11,50
2022-02-12,44
2022-02-13,50
2022-02-14,58
