dates,count_medicalconditionincident_covid_19_patientinicu
2020-04-26,37
2020-05-03,38
2020-05-10,38
2020-05-17,51
2020-05-24,33
2020-05-31,22
2020-06-07,9
2020-06-14,15
2020-06-21,13
2020-06-28,13
2020-07-05,32
2020-07-12,32
2020-07-19,27
2020-07-26,31
2020-08-02,40
2020-08-09,43
2020-08-16,64
2020-08-23,61
2020-08-30,64
2020-09-06,62
2020-09-13,57
2020-09-20,46
2020-09-27,31
2020-10-04,44
2020-10-11,57
2020-10-18,64
2020-10-25,93
2020-11-01,145
2020-11-08,210
2020-11-15,280
2020-11-22,303
2020-11-29,392
2020-12-06,493
2020-12-13,514
2020-12-20,582
2020-12-27,526
2021-01-03,474
2021-01-10,393
2021-01-17,367
2021-01-24,318
2021-01-31,281
2021-02-07,279
2021-02-14,266
2021-02-21,284
2021-02-28,349
2021-03-07,423
2021-03-14,497
2021-03-21,612
2021-03-28,729
2021-04-04,748
2021-04-11,755
2021-04-18,799
2021-04-25,765
2021-05-02,714
2021-05-09,637
2021-05-16,535
2021-05-23,485
2021-05-30,383
2021-06-06,322
2021-06-13,267
2021-06-20,241
2021-06-27,196
2021-07-04,179
2021-07-11,111
2021-07-18,94
2021-07-25,82
2021-08-01,77
2021-08-08,86
2021-08-15,101
2021-08-22,160
2021-08-29,248
2021-09-05,324
2021-09-12,329
2021-09-19,386
2021-09-26,405
2021-10-03,449
2021-10-10,460
2021-10-17,485
2021-10-24,558
2021-10-31,608
2021-11-07,696
2021-11-14,747
2021-11-21,767
2021-11-28,777
2021-12-05,717
2021-12-12,627
2021-12-19,587
2021-12-26,493
2022-01-02,481
2022-01-09,468
2022-01-16,580
2022-01-23,554
2022-01-30,523
2022-02-06,533
2022-02-13,625
2022-02-20,601
2022-02-27,544
2022-03-06,461
2022-03-13,357
2022-03-20,288
2022-03-27,236
2022-04-03,217
2022-04-10,174
2022-04-17,126
2022-04-24,116
2022-05-01,102
2022-05-08,75
2022-05-15,72
2022-05-22,50
2022-05-29,40
2022-06-05,35
2022-06-12,28
2022-06-19,30
2022-06-26,32
2022-07-03,26
2022-07-10,33
2022-07-17,40
2022-07-24,42
2022-07-31,48
2022-08-07,58
2022-08-14,48
2022-08-21,53
2022-08-28,50
2022-09-04,50
2022-09-11,42
2022-09-18,32
2022-09-25,29
2022-10-02,39
2022-10-09,47
2022-10-16,47
2022-10-23,58
2022-10-30,55
2022-11-06,57
2022-11-13,65
2022-11-20,59
2022-11-27,48
2022-12-04,44
2022-12-11,40
2022-12-18,32
2022-12-25,36
2023-01-08,34
2023-01-15,41
2023-01-22,50
2023-01-29,39
2023-02-05,30
2023-02-12,29
2023-02-19,22
2023-02-26,20
2023-03-05,27
2023-03-12,26
2023-03-19,29
2023-03-26,25
2023-04-02,29
