dates,cumulativecount_vaccine_covid_19_administered
2020-12-29,1719
2020-12-30,4608
2021-01-01,4739
2021-01-05,5448
2021-01-06,7913
2021-01-07,11117
2021-01-08,13355
2021-01-09,13473
2021-01-11,14161
2021-01-12,15780
2021-01-13,17038
2021-01-14,17686
2021-01-15,18126
2021-01-16,18332
2021-01-17,18453
2021-01-18,19638
2021-01-19,22226
2021-01-20,24127
2021-01-21,25251
2021-01-22,26101
2021-01-23,26119
2021-01-24,26143
2021-01-25,26798
2021-01-26,29122
2021-01-27,32917
2021-01-28,37636
2021-01-29,40805
2021-01-30,41020
2021-01-31,41125
2021-02-01,42634
2021-02-02,45917
2021-02-03,50124
2021-02-04,54025
2021-02-05,56860
2021-02-06,57016
2021-02-07,57038
2021-02-08,58888
2021-02-09,62428
2021-02-10,66163
2021-02-11,71123
2021-02-12,74694
2021-02-13,75320
2021-02-14,75388
2021-02-15,77436
2021-02-16,81338
2021-02-17,85920
2021-02-18,90514
2021-02-19,104268
2021-02-20,108356
2021-02-21,119354
2021-02-22,131063
2021-02-23,148226
2021-02-24,168462
2021-02-25,188512
2021-02-26,204439
2021-02-27,209760
2021-02-28,212445
2021-03-01,223539
2021-03-02,243772
2021-03-03,248169
2021-03-04,268544
2021-03-05,284464
2021-03-06,287118
2021-03-07,288631
2021-03-08,294132
2021-03-09,302151
2021-03-10,309145
2021-03-11,324446
2021-03-12,336660
2021-03-13,337904
2021-03-14,338879
2021-03-15,341707
2021-03-16,345994
2021-03-17,350702
2021-03-18,356052
2021-03-19,362721
2021-03-20,366547
2021-03-21,368905
2021-03-22,376370
2021-03-23,388805
2021-03-24,401309
2021-03-25,415601
2021-03-26,430228
2021-03-27,434158
2021-03-28,436541
2021-03-29,445547
2021-03-30,458731
2021-03-31,472443
2021-04-01,486002
2021-04-02,498085
2021-04-03,502078
2021-04-04,503570
2021-04-05,510049
2021-04-06,519635
2021-04-07,533453
2021-04-08,552516
2021-04-09,567396
2021-04-10,571062
2021-04-11,572662
2021-04-12,579992
2021-04-13,590495
2021-04-14,605377
2021-04-15,620375
2021-04-16,634129
2021-04-17,637216
2021-04-18,638443
2021-04-19,645486
2021-04-20,657333
2021-04-21,676501
2021-04-22,698517
2021-04-23,716940
2021-04-24,721170
2021-04-25,723240
2021-04-26,734150
2021-04-27,750899
2021-04-28,776254
2021-04-29,803176
2021-04-30,815463
2021-05-01,821218
2021-05-02,824623
2021-05-03,833510
2021-05-04,844643
2021-05-05,877124
2021-05-06,884254
2021-05-07,922371
2021-05-08,932419
2021-05-09,938064
2021-05-10,963539
2021-05-11,999287
2021-05-12,1035763
2021-05-13,1073523
2021-05-14,1106760
2021-05-15,1113351
2021-05-16,1116741
2021-05-17,1134977
2021-05-18,1161048
2021-05-19,1191397
2021-05-20,1225601
2021-05-21,1250667
2021-05-22,1257015
2021-05-23,1260683
2021-05-24,1265855
2021-05-25,1282717
2021-05-26,1303575
2021-05-27,1321786
2021-05-28,1341130
2021-05-29,1348204
2021-05-30,1353249
2021-05-31,1365923
2021-06-01,1383971
2021-06-02,1405952
2021-06-03,1429105
2021-06-04,1450850
2021-06-05,1456841
2021-06-06,1464251
2021-06-07,1478774
2021-06-08,1500534
2021-06-09,1524541
2021-06-10,1548304
2021-06-11,1568793
2021-06-12,1573761
2021-06-13,1577024
2021-06-14,1586678
2021-06-15,1602136
2021-06-16,1619744
2021-06-17,1637956
2021-06-18,1653186
2021-06-19,1657042
2021-06-20,1660175
2021-06-21,1668677
2021-06-22,1681399
2021-06-23,1695298
2021-06-24,1709510
2021-06-25,1721790
2021-06-26,1724896
2021-06-27,1727616
2021-06-28,1735675
2021-06-29,1748265
2021-06-30,1761277
2021-07-01,1773581
2021-07-02,1785306
2021-07-03,1788904
2021-07-04,1791061
2021-07-05,1798875
2021-07-06,1810576
2021-07-07,1823403
2021-07-08,1835681
2021-07-09,1847225
2021-07-10,1850490
2021-07-11,1852583
2021-07-12,1860993
2021-07-27,1988805
2021-07-28,2001777
2021-07-29,2013988
2021-07-30,2024943
2021-07-31,2028136
2021-08-01,2030301
2021-08-02,2038611
2021-08-03,2050991
2021-08-04,2063643
2021-08-05,2076157
2021-08-06,2088021
2021-08-07,2091299
2021-08-08,2093630
2021-08-09,2102614
2021-08-10,2114510
2021-08-11,2126824
2021-08-12,2138659
2021-08-13,2149134
2021-08-14,2152638
2021-08-15,2154824
2021-08-16,2163959
2021-08-17,2176168
2021-08-18,2188957
2021-08-19,2201084
2021-08-20,2212854
2021-08-21,2216558
2021-08-22,2218947
2021-08-23,2228826
2021-08-24,2242559
2021-08-25,2256350
2021-08-26,2269759
2021-08-27,2282245
2021-08-28,2286175
2021-08-29,2288715
2021-08-30,2299118
2021-08-31,2312605
2021-09-01,2324643
2021-09-02,2336831
2021-09-03,2349025
2021-09-04,2352395
2021-09-05,2354543
2021-09-06,2356197
2021-09-07,2367564
2021-09-08,2380022
2021-09-09,2391930
2021-09-10,2402957
2021-09-11,2406030
2021-09-12,2407986
2021-09-13,2416030
2021-09-14,2427013
2021-09-15,2437295
2021-09-16,2448482
2021-09-17,2458928
2021-09-18,2461969
2021-09-19,2463666
2021-09-20,2471212
2021-09-21,2481276
2021-09-22,2483134
2021-09-23,2494575
2021-09-24,2504582
2021-09-25,2507048
2021-09-26,2508560
2021-09-27,2513769
2021-09-28,2521738
2021-09-29,2530744
2021-09-30,2539650
2021-10-01,2546712
2021-10-02,2548995
2021-10-03,2549465
2021-10-04,2555664
2021-10-05,2563069
2021-10-06,2570248
2021-10-07,2577957
2021-10-08,2585160
2021-10-09,2587495
2021-10-10,2588714
2021-10-11,2593879
2021-10-12,2601548
2021-10-13,2607096
2021-10-14,2615154
2021-10-15,2623783
2021-10-16,2626708
2021-10-17,2628498
2021-10-18,2634699
2021-10-19,2643788
2021-10-20,2657271
2021-10-21,2685512
2021-10-22,2709549
2021-10-24,2718716
2021-10-25,2743549
2021-10-26,2775555
2021-10-27,2800965
2021-10-28,2824345
2021-10-29,2847489
2021-10-30,2855224
2021-10-31,2860195
2021-11-01,2874721
2021-11-02,2893502
2021-11-03,2913044
2021-11-04,2933806
2021-11-05,2954059
2021-11-06,2960810
2021-11-07,2965571
2021-11-08,2978843
2021-11-09,2995814
2021-11-10,3013177
2021-11-11,3035555
2021-11-12,3057437
2021-11-13,3065144
2021-11-15,3086814
2021-11-16,3108947
2021-11-17,3130450
2021-11-18,3152490
2021-11-19,3174224
2021-11-20,3181487
2021-11-21,3186030
2021-11-22,3201874
2021-11-23,3221605
2021-11-24,3241333
2021-11-25,3262433
2021-11-26,3283897
2021-11-27,3290556
2021-11-28,3295198
2021-11-29,3311004
2021-11-30,3330515
2021-12-01,3350019
2021-12-02,3370825
2021-12-03,3390634
2021-12-04,3396700
2021-12-05,3404130
2021-12-06,3412632
2021-12-07,3430419
2021-12-08,3447616
2021-12-09,3466433
2021-12-10,3484650
2021-12-11,3490637
2021-12-12,3494341
2021-12-13,3506354
2021-12-14,3523523
2021-12-15,3541372
2021-12-16,3560057
2021-12-17,3577712
2021-12-18,3583759
2021-12-19,3587678
2021-12-20,3602682
2021-12-21,3621802
2021-12-22,3638288
2021-12-23,3652226
2021-12-24,3653426
2021-12-25,3653739
2021-12-26,3655362
2021-12-27,3658694
2021-12-28,3662560
2021-12-29,3682460
2021-12-30,3697068
2021-12-31,3700660
2022-01-01,3701105
2022-01-02,3704808
2022-01-03,3711638
2022-01-04,3736566
2022-01-05,3768966
2022-01-06,3804111
2022-01-07,3838576
2022-01-08,3849848
2022-01-09,3856671
2022-01-10,3879558
2022-01-11,3911536
2022-01-12,3941901
2022-01-13,3971557
2022-01-14,3996310
2022-01-15,4003300
2022-01-16,4007018
2022-01-17,4020717
2022-01-18,4039684
2022-01-19,4058974
2022-01-20,4078145
2022-01-21,4091684
2022-01-22,4095421
2022-01-23,4097359
2022-01-24,4104239
2022-01-25,4114896
2022-01-26,4126744
2022-01-27,4139365
2022-01-28,4152152
2022-01-29,4155619
2022-01-30,4157520
2022-01-31,4165478
2022-02-01,4173659
2022-02-02,4182208
2022-02-03,4192273
2022-02-04,4201653
2022-02-05,4204264
2022-02-06,4205893
2022-02-07,4211561
2022-02-08,4219156
2022-02-09,4226703
2022-02-10,4235020
2022-02-11,4242454
2022-02-12,4244454
2022-02-13,4245453
2022-02-14,4249259
2022-02-15,4254776
2022-02-16,4260171
2022-02-17,4265854
2022-02-18,4271963
2022-02-19,4273530
2022-02-21,4278226
