dates,incrementalcount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,4
2020-03-30,1
2020-03-31,0
2020-04-01,0
2020-04-02,2
2020-04-03,0
2020-04-04,4
2020-04-05,3
2020-04-06,3
2020-04-07,2
2020-04-08,1
2020-04-09,1
2020-04-10,0
2020-04-11,1
2020-04-12,3
2020-04-13,1
2020-04-14,3
2020-04-15,3
2020-04-16,1
2020-04-17,2
2020-04-18,3
2020-04-19,0
2020-04-20,2
2020-04-21,0
2020-04-22,2
2020-04-23,4
2020-04-24,3
2020-04-25,2
2020-04-26,1
2020-04-27,1
2020-04-28,2
2020-04-29,0
2020-04-30,6
2020-05-01,2
2020-05-02,3
2020-05-03,3
2020-05-04,1
2020-05-05,5
2020-05-06,0
2020-05-07,6
2020-05-08,0
2020-05-09,4
2020-05-10,2
2020-05-11,1
2020-05-12,2
2020-05-13,2
2020-05-14,1
2020-05-15,3
2020-05-16,3
2020-05-17,6
2020-05-18,2
2020-05-19,2
2020-05-20,4
2020-05-21,4
2020-05-22,5
2020-05-23,5
2020-05-24,0
2020-05-25,4
2020-05-26,0
2020-05-27,3
2020-05-28,0
2020-05-29,3
2020-05-30,3
2020-05-31,4
2020-06-01,0
2020-06-02,4
2020-06-03,5
2020-06-04,3
2020-06-05,0
2020-06-06,1
2020-06-07,0
2020-06-08,0
2020-06-09,4
2020-06-10,3
2020-06-11,0
2020-06-12,1
2020-06-13,4
2020-06-14,0
2020-06-15,2
2020-06-16,2
2020-06-17,5
2020-06-18,3
2020-06-19,6
2020-06-20,3
2020-06-21,6
2020-06-22,0
2020-06-23,8
2020-06-24,1
2020-06-25,1
2020-06-26,2
2020-06-27,4
2020-06-28,1
2020-06-29,3
2020-06-30,4
2020-07-01,7
2020-07-02,2
2020-07-03,0
2020-07-04,7
2020-07-05,2
2020-07-06,5
2020-07-07,4
2020-07-08,4
2020-07-09,5
2020-07-10,3
2020-07-11,5
2020-07-12,0
2020-07-13,1
2020-07-14,8
2020-07-15,7
2020-07-16,6
2020-07-17,4
2020-07-18,4
2020-07-19,2
2020-07-20,1
2020-07-21,8
2020-07-22,5
2020-07-23,8
2020-07-24,8
2020-07-25,8
2020-07-26,1
2020-07-27,2
2020-07-28,7
2020-07-29,8
2020-07-30,13
2020-07-31,6
2020-08-01,9
2020-08-02,2
2020-08-03,3
2020-08-04,16
2020-08-05,11
2020-08-06,9
2020-08-07,11
2020-08-08,7
2020-08-09,3
2020-08-10,2
2020-08-11,12
2020-08-12,12
2020-08-13,11
2020-08-14,2
2020-08-15,8
2020-08-16,3
2020-08-17,3
2020-08-18,14
2020-08-19,7
2020-08-20,8
2020-08-21,5
2020-08-22,7
2020-08-23,6
2020-08-24,0
2020-08-25,18
2020-08-26,9
2020-08-27,14
2020-08-28,8
2020-08-29,9
2020-08-30,2
2020-08-31,8
2020-09-01,16
2020-09-02,13
2020-09-03,6
2020-09-04,10
2020-09-05,7
2020-09-06,6
2020-09-07,5
2020-09-08,1
2020-09-09,15
2020-09-10,10
2020-09-11,4
2020-09-12,7
2020-09-13,4
2020-09-14,3
2020-09-15,9
2020-09-16,7
2020-09-17,3
2020-09-18,10
2020-09-19,4
2020-09-20,2
2020-09-21,6
2020-09-22,4
2020-09-23,2
2020-09-24,12
2020-09-25,6
2020-09-26,4
2020-09-27,0
2020-09-28,7
2020-09-29,11
2020-09-30,6
2020-10-01,12
2020-10-02,7
2020-10-03,6
2020-10-04,3
2020-10-05,3
2020-10-06,10
2020-10-07,8
2020-10-08,11
2020-10-09,7
2020-10-10,7
2020-10-11,4
2020-10-12,1
2020-10-13,23
2020-10-14,8
2020-10-15,6
2020-10-16,15
2020-10-17,14
2020-10-18,10
2020-10-19,18
2020-10-20,22
2020-10-21,11
2020-10-22,29
2020-10-23,16
2020-10-24,13
2020-10-25,7
2020-10-26,10
2020-10-27,42
2020-10-28,25
2020-10-29,36
2020-10-30,28
2020-10-31,29
2020-11-01,25
2020-11-02,19
2020-11-03,51
2020-11-04,63
2020-11-05,54
2020-11-06,52
2020-11-07,58
2020-11-08,56
2020-11-09,33
2020-11-10,106
2020-11-11,80
2020-11-12,47
2020-11-13,72
2020-11-14,85
2020-11-15,36
2020-11-16,39
2020-11-17,152
2020-11-18,131
2020-11-19,117
2020-11-20,119
2020-11-21,129
2020-11-22,42
2020-11-23,60
2020-11-24,189
2020-11-25,157
2020-11-26,141
2020-11-27,162
2020-11-28,151
2020-11-29,69
2020-11-30,65
2020-12-01,221
2020-12-02,153
2020-12-03,159
2020-12-04,156
2020-12-05,147
2020-12-06,79
2020-12-07,68
2020-12-08,213
2020-12-09,146
2020-12-10,127
2020-12-11,122
2020-12-12,157
2020-12-13,64
2020-12-14,62
2020-12-15,150
2020-12-16,167
2020-12-17,191
2020-12-18,143
2020-12-19,157
2020-12-20,55
2020-12-21,58
2020-12-22,156
2020-12-23,114
2020-12-24,99
2020-12-25,45
2020-12-26,50
2020-12-27,50
2020-12-28,41
2020-12-29,87
2020-12-30,154
2020-12-31,110
2021-01-01,61
2021-01-02,28
2021-01-03,40
2021-01-04,34
2021-01-05,157
2021-01-06,67
2021-01-07,59
2021-01-08,56
2021-01-09,61
2021-01-10,19
2021-01-11,29
2021-01-12,106
2021-01-13,47
2021-01-14,70
2021-01-15,47
2021-01-16,61
2021-01-17,17
2021-01-18,9
2021-01-19,82
2021-01-20,49
2021-01-21,37
2021-01-22,90
2021-01-23,58
2021-01-24,12
2021-01-25,9
2021-01-26,60
2021-01-27,36
2021-01-28,28
2021-01-29,29
2021-01-30,35
2021-01-31,20
2021-02-01,17
2021-02-02,97
2021-02-03,36
2021-02-04,40
2021-02-05,54
2021-02-06,30
2021-02-07,9
2021-02-08,20
2021-02-09,89
2021-02-10,62
2021-02-11,45
2021-02-12,34
2021-02-13,33
2021-02-14,14
2021-02-15,16
2021-02-16,47
2021-02-17,32
2021-02-18,41
2021-02-19,42
2021-02-20,35
2021-02-21,18
2021-02-22,15
2021-02-23,79
2021-02-24,45
2021-02-25,48
2021-02-26,53
2021-02-27,49
2021-02-28,39
2021-03-01,24
2021-03-02,117
2021-03-03,83
2021-03-04,22
2021-03-05,93
2021-03-06,65
2021-03-07,22
2021-03-08,21
2021-03-09,150
2021-03-10,138
2021-03-11,97
2021-03-12,95
2021-03-13,102
2021-03-14,38
2021-03-15,51
2021-03-16,187
2021-03-17,107
2021-03-18,136
2021-03-19,102
2021-03-20,115
2021-03-21,34
2021-03-22,53
2021-03-23,169
2021-03-24,119
2021-03-25,106
2021-03-26,99
2021-03-27,89
2021-03-28,49
2021-03-29,60
2021-03-30,203
2021-03-31,155
2021-04-01,129
2021-04-02,116
2021-04-03,125
2021-04-04,69
2021-04-05,82
2021-04-06,197
2021-04-07,132
2021-04-08,116
2021-04-09,136
2021-04-10,138
2021-04-11,43
2021-04-12,67
2021-04-13,201
2021-04-14,127
2021-04-15,125
2021-04-16,108
2021-04-17,121
2021-04-18,38
2021-04-19,57
2021-04-20,217
2021-04-21,106
2021-04-22,100
2021-04-23,103
2021-04-24,105
2021-04-25,33
2021-04-26,48
2021-04-27,194
2021-04-28,81
2021-04-29,96
2021-04-30,90
2021-05-01,31
2021-05-02,45
2021-05-03,48
2021-05-04,56
2021-05-05,61
2021-05-06,164
2021-05-07,27
2021-05-08,86
2021-05-09,16
2021-05-10,27
2021-05-11,116
2021-05-12,59
2021-05-13,46
2021-05-14,44
2021-05-15,49
2021-05-16,7
2021-05-17,9
2021-05-18,84
2021-05-19,36
2021-05-20,37
2021-05-21,31
2021-05-22,27
2021-05-23,13
2021-05-24,9
2021-05-25,17
2021-05-26,68
2021-05-27,36
2021-05-28,20
2021-05-29,15
2021-05-30,5
2021-05-31,5
2021-06-01,38
2021-06-02,26
2021-06-03,21
2021-06-04,45
2021-06-05,18
2021-06-06,3
2021-06-07,7
2021-06-08,34
2021-06-09,6
2021-06-10,12
2021-06-11,15
2021-06-12,6
2021-06-13,5
2021-06-14,2
2021-06-15,15
2021-06-16,17
2021-06-17,25
2021-06-18,23
2021-06-19,7
2021-06-20,2
2021-06-21,1
2021-06-22,10
2021-06-23,8
2021-06-24,5
2021-06-25,9
2021-06-26,4
2021-06-27,1
2021-06-28,0
2021-06-29,13
2021-06-30,9
2021-07-01,12
2021-07-02,6
2021-07-03,16
2021-07-04,1
2021-07-05,0
2021-07-06,41
2021-07-07,2
2021-07-08,2
2021-07-09,5
2021-07-10,4
2021-07-11,2
2021-07-12,0
2021-07-13,4
2021-07-14,10
2021-07-15,4
2021-07-16,5
2021-07-17,6
2021-07-18,0
2021-07-19,5
2021-07-20,3
2021-07-21,7
2021-07-22,3
2021-07-23,2
2021-07-24,4
2021-07-25,0
2021-07-26,1
2021-07-27,5
2021-07-28,4
2021-07-29,2
2021-07-30,3
2021-07-31,3
2021-08-01,2
2021-08-02,2
2021-08-03,7
2021-08-04,3
2021-08-05,4
2021-08-06,14
2021-08-07,8
2021-08-08,1
2021-08-09,3
2021-08-10,23
2021-08-11,10
2021-08-12,18
2021-08-13,15
2021-08-14,11
2021-08-15,7
2021-08-16,5
