dates,covid19mobilitytrend_park
2020-02-15,-11
2020-02-16,-7
2020-02-17,-11
2020-02-18,-6
2020-02-19,-10
2020-02-20,-11
2020-02-21,-1
2020-02-22,-2
2020-02-23,-1
2020-02-24,-10
2020-02-25,-11
2020-02-26,-24
2020-02-27,-22
2020-02-28,-26
2020-02-29,-15
2020-03-01,-7
2020-03-02,-16
2020-03-03,-12
2020-03-04,-15
2020-03-05,-15
2020-03-06,-16
2020-03-07,-12
2020-03-08,-11
2020-03-09,-16
2020-03-10,-10
2020-03-11,-16
2020-03-12,-21
2020-03-13,-25
2020-03-14,-23
2020-03-15,-14
2020-03-16,-18
2020-03-17,-16
2020-03-18,-28
2020-03-19,-30
2020-03-20,-41
2020-03-21,-32
2020-03-22,-30
2020-03-23,-37
2020-03-24,-38
2020-03-25,-43
2020-03-26,-49
2020-03-27,-66
2020-03-28,-49
2020-03-29,-40
2020-03-30,-42
2020-03-31,-37
2020-04-01,-40
2020-04-02,-43
2020-04-03,-56
2020-04-04,-40
2020-04-05,-31
2020-04-06,-37
2020-04-07,-35
2020-04-08,-41
2020-04-09,-45
2020-04-10,-60
2020-04-11,-44
2020-04-12,-35
2020-04-13,-39
2020-04-14,-35
2020-04-15,-40
2020-04-16,-40
2020-04-17,-54
2020-04-18,-37
2020-04-19,-30
2020-04-20,-33
2020-04-21,-29
2020-04-22,-35
2020-04-23,-40
2020-04-24,-64
2020-04-25,-47
2020-04-26,-35
2020-04-27,-40
2020-04-28,-35
2020-04-29,-40
2020-04-30,-42
2020-05-01,-57
2020-05-02,-42
2020-05-03,-31
2020-05-04,-36
2020-05-05,-33
2020-05-06,-36
2020-05-07,-39
2020-05-08,-51
2020-05-09,-37
2020-05-10,-29
2020-05-11,-34
2020-05-12,-31
2020-05-13,-37
2020-05-14,-38
2020-05-15,-53
2020-05-16,-38
2020-05-17,-29
2020-05-18,-32
2020-05-19,-28
2020-05-20,-32
2020-05-21,-35
2020-05-22,-51
2020-05-23,-33
2020-05-24,-23
2020-05-25,-22
2020-05-26,-23
2020-05-27,-29
2020-05-28,-31
2020-05-29,-43
2020-05-30,-31
2020-05-31,-22
2020-06-01,-27
2020-06-02,-25
2020-06-03,-31
2020-06-04,-32
2020-06-05,-45
2020-06-06,-30
2020-06-07,-21
2020-06-08,-26
2020-06-09,-23
2020-06-10,-27
2020-06-11,-30
2020-06-12,-44
2020-06-13,-27
2020-06-14,-19
2020-06-15,-25
2020-06-16,-21
2020-06-17,-27
2020-06-18,-30
2020-06-19,-41
2020-06-20,-26
2020-06-21,-19
2020-06-22,-22
2020-06-23,-19
2020-06-24,-26
2020-06-25,-28
2020-06-26,-40
2020-06-27,-25
2020-06-28,-18
2020-06-29,-23
2020-06-30,-22
2020-07-01,-26
2020-07-02,-28
2020-07-03,-41
2020-07-04,-26
2020-07-05,-18
2020-07-06,-23
2020-07-07,-21
2020-07-08,-27
2020-07-09,-31
2020-07-10,-44
2020-07-11,-30
2020-07-12,-20
2020-07-13,-27
2020-07-14,-21
2020-07-15,-28
2020-07-16,-31
2020-07-17,-44
2020-07-18,-29
2020-07-19,-23
2020-07-20,-28
2020-07-21,-23
2020-07-22,-31
2020-07-23,-34
2020-07-24,-45
2020-07-25,-30
2020-07-26,-21
2020-07-27,-25
2020-07-28,-22
2020-07-29,-25
2020-07-30,-33
2020-07-31,-41
2020-08-01,-27
2020-08-02,-19
2020-08-03,-24
2020-08-04,-20
2020-08-05,-27
2020-08-06,-28
2020-08-07,-41
2020-08-08,-28
2020-08-09,-19
2020-08-10,-23
2020-08-11,-18
2020-08-12,-24
2020-08-13,-25
2020-08-14,-38
2020-08-15,-25
2020-08-16,-17
2020-08-17,-23
2020-08-18,-22
2020-08-19,-24
2020-08-20,-29
2020-08-21,-41
2020-08-22,-32
2020-08-23,-25
2020-08-24,-30
2020-08-25,-25
2020-08-26,-29
2020-08-27,-28
2020-08-28,-42
2020-08-29,-30
2020-08-30,-21
2020-08-31,-25
2020-09-01,-22
2020-09-02,-26
2020-09-03,-26
2020-09-04,-36
2020-09-05,-26
2020-09-06,-19
2020-09-07,-22
2020-09-08,-20
2020-09-09,-26
2020-09-10,-26
2020-09-11,-39
2020-09-12,-25
2020-09-13,-21
2020-09-14,-22
2020-09-15,-20
2020-09-16,-25
2020-09-17,-27
2020-09-18,-40
2020-09-19,-26
2020-09-20,-22
2020-09-21,-20
2020-09-22,-19
2020-09-23,-28
2020-09-24,-31
2020-09-25,-41
2020-09-26,-28
2020-09-27,-23
2020-09-28,-24
2020-09-29,-21
2020-09-30,-27
2020-10-01,-28
2020-10-02,-38
2020-10-03,-26
2020-10-04,-20
2020-10-05,-22
2020-10-06,-18
2020-10-07,-28
2020-10-08,-26
2020-10-09,-32
2020-10-10,-25
2020-10-11,-20
2020-10-12,-20
2020-10-13,-19
2020-10-14,-27
2020-10-15,-26
2020-10-16,-32
2020-10-17,-26
2020-10-18,-21
2020-10-19,-22
2020-10-20,-18
2020-10-21,-24
2020-10-22,-16
2020-10-23,-25
2020-10-24,-20
2020-10-25,-15
2020-10-26,-15
2020-10-27,-12
2020-10-28,-13
2020-10-29,-11
2020-10-30,-26
2020-10-31,-21
2020-11-01,-19
2020-11-02,-18
2020-11-03,-14
2020-11-04,-21
2020-11-05,-19
2020-11-06,-23
2020-11-07,-19
2020-11-08,-17
2020-11-09,-18
2020-11-10,-16
2020-11-11,-19
2020-11-12,-16
2020-11-13,-23
2020-11-14,-19
2020-11-15,-18
2020-11-16,-17
2020-11-17,-14
2020-11-18,-22
2020-11-19,-22
2020-11-20,-27
2020-11-21,-24
2020-11-22,-20
2020-11-23,-24
2020-11-24,-22
2020-11-25,-28
2020-11-26,-23
2020-11-27,-31
2020-11-28,-23
2020-11-29,-22
2020-11-30,-20
2020-12-01,-18
2020-12-02,-25
