dates,cumulativecount_vaccine_covid_19_administered
2020-12-23,38965
2020-12-24,50071
2020-12-25,50543
2020-12-26,51556
2020-12-27,53614
2020-12-28,55014
2020-12-29,56041
2020-12-30,57317
2020-12-31,58643
2021-01-01,59351
2021-01-02,60097
2021-01-03,60689
2021-01-04,61612
2021-01-05,63893
2021-01-06,68472
2021-01-07,72239
2021-01-08,78291
2021-01-09,84157
2021-01-10,89250
2021-01-11,92598
2021-01-12,97776
2021-03-06,506519
2021-03-07,509907
2021-03-08,512420
2021-03-09,514559
2021-03-10,517901
2021-03-11,520429
2021-03-12,522344
2021-03-13,534625
2021-03-14,551197
2021-03-15,566796
2021-03-16,580539
2021-03-17,597446
2021-03-18,613946
2021-03-19,626751
2021-03-20,640104
2021-03-21,653236
2021-03-22,667155
2021-03-23,680081
2021-03-24,694679
2021-03-25,707980
2021-03-26,717408
2021-03-27,724001
2021-03-28,735717
2021-03-29,747008
2021-03-30,755549
2021-03-31,766317
2021-04-01,775196
2021-04-02,782530
2021-04-03,797924
2021-04-04,817379
2021-04-05,836788
2021-04-06,856326
2021-04-07,879825
2021-04-08,900875
2021-04-09,919222
2021-04-10,939068
2021-04-11,956471
2021-04-12,973982
2021-04-13,989363
2021-04-14,1008746
2021-04-15,1028323
2021-04-16,1042463
2021-04-17,1055050
2021-04-18,1077488
2021-04-19,1097352
2021-04-20,1118519
2021-04-21,1137478
2021-04-22,1149633
2021-04-23,1156806
2021-04-24,1168650
2021-04-25,1180735
2021-04-26,1193039
2021-04-27,1206763
2021-04-28,1216359
2021-04-29,1224175
2021-04-30,1235170
2021-05-01,1246239
2021-05-02,1264087
2021-05-03,1283303
2021-05-04,1301773
2021-05-05,1318506
2021-05-06,1334658
2021-05-07,1347062
2021-05-08,1357817
2021-05-09,1375967
2021-05-10,1394873
2021-05-11,1416118
2021-05-12,1434023
2021-05-13,1440591
2021-05-14,1447963
2021-05-15,1456417
2021-05-16,1472955
2021-05-17,1489951
2021-05-18,1506875
2021-05-19,1519373
2021-05-20,1531600
2021-05-21,1545157
2021-05-22,1559663
2021-05-23,1580103
2021-05-24,1601682
2021-05-25,1621198
2021-05-26,1638092
2021-05-27,1655790
2021-05-28,1671687
2021-05-29,1684849
2021-05-30,1706904
2021-05-31,1732728
2021-06-01,1755570
2021-06-02,1775070
2021-06-03,1788987
2021-06-04,1804659
2021-06-05,1813734
2021-06-06,1826466
2021-06-07,1838561
2021-06-08,1849847
2021-06-09,1859585
2021-06-10,1869888
2021-06-11,1876554
2021-06-12,1883641
2021-06-13,1891596
2021-06-14,1899552
2021-06-15,1905340
2021-06-16,1911076
2021-06-17,1917308
2021-06-18,1925432
2021-06-19,1932506
2021-06-20,1943301
2021-06-21,1955753
2021-06-22,1968183
2021-06-23,1978826
2021-06-24,1993321
2021-06-25,2009717
2021-06-26,2019313
2021-06-27,2027964
2021-06-28,2109775
2021-06-29,2116497
2021-06-30,2122296
2021-07-01,2128340
2021-07-02,2133703
2021-07-03,2139789
2021-07-04,2147153
2021-07-05,2154001
2021-07-06,2159252
2021-07-07,2166288
2021-07-08,2173357
2021-07-09,2180164
2021-07-10,2186552
2021-07-11,2193232
2021-07-12,2201080
2021-07-13,2208740
2021-07-14,2215966
2021-07-15,2224916
2021-07-16,2230234
2021-07-17,2235176
2021-07-18,2241494
2021-07-19,2245278
2021-07-20,2248554
2021-07-21,2252463
2021-07-22,2257391
2021-07-23,2262698
2021-07-24,2266289
2021-07-25,2274536
2021-07-26,2278934
2021-07-27,2283715
2021-07-28,2287637
2021-07-29,2291441
2021-07-30,2297602
2021-07-31,2305354
2021-08-01,2314773
2021-08-02,2323034
2021-08-03,2334559
2021-08-04,2341693
2021-08-05,2351581
2021-08-06,2357620
2021-08-07,2363305
2021-08-08,2372765
2021-08-09,2379542
2021-08-10,2388089
2021-08-11,2398427
2021-08-12,2407597
2021-08-13,2412624
2021-08-14,2418313
2021-08-15,2424960
2021-08-16,2429982
2021-08-17,2434005
2021-08-18,2436360
2021-08-19,2438316
2021-08-20,2441022
2021-08-21,2443855
2021-08-22,2449543
2021-08-23,2456927
2021-08-24,2461918
2021-08-25,2466040
2021-08-26,2470771
2021-08-27,2473468
2021-08-28,2477016
2021-08-29,2481843
2021-08-30,2485464
2021-08-31,2489109
2021-09-01,2492774
2021-09-02,2497458
2021-09-03,2499774
2021-09-04,2502017
2021-09-05,2505447
2021-09-06,2508943
2021-09-07,2511551
2021-09-08,2514027
2021-09-09,2515690
2021-09-10,2517671
2021-09-11,2519137
2021-09-12,2522055
2021-09-13,2525212
2021-09-14,2527943
2021-09-15,2530475
2021-09-16,2532879
2021-09-17,2534296
2021-09-18,2535900
2021-09-19,2538291
2021-09-20,2540329
2021-09-21,2540605
2021-09-22,2543817
2021-09-23,2545834
2021-09-24,2549298
2021-09-25,2553691
2021-09-26,2561756
2021-09-27,2568320
2021-09-28,2574524
2021-09-29,2582168
2021-09-30,2590143
2021-10-01,2594634
2021-10-02,2600931
