dates,covid19mobilitytrend_localbusiness
2020-02-15,1
2020-02-16,6
2020-02-17,1
2020-02-18,3
2020-02-19,0
2020-02-20,1
2020-02-21,-1
2020-02-22,-1
2020-02-23,1
2020-02-24,3
2020-02-25,0
2020-02-26,2
2020-02-27,3
2020-02-28,6
2020-02-29,5
2020-03-01,3
2020-03-02,3
2020-03-03,1
2020-03-04,1
2020-03-05,-1
2020-03-06,1
2020-03-07,-1
2020-03-08,-3
2020-03-09,-1
2020-03-10,-1
2020-03-11,-2
2020-03-12,-1
2020-03-13,1
2020-03-14,-2
2020-03-15,-8
2020-03-16,-7
2020-03-17,-16
2020-03-18,-20
2020-03-19,-21
2020-03-20,-43
2020-03-21,-53
2020-03-22,-55
2020-03-23,-47
2020-03-24,-69
2020-03-25,-68
2020-03-26,-65
2020-03-27,-62
2020-03-28,-68
2020-03-29,-67
2020-03-30,-63
2020-03-31,-63
2020-04-01,-65
2020-04-02,-64
2020-04-03,-62
2020-04-04,-97
2020-04-05,-96
2020-04-06,-50
2020-04-07,-47
2020-04-08,-49
2020-04-09,-89
2020-04-10,-97
2020-04-11,-97
2020-04-12,-96
2020-04-13,-96
2020-04-14,-41
2020-04-15,-51
2020-04-16,-53
2020-04-17,-53
2020-04-18,-93
2020-04-19,-96
2020-04-20,-55
2020-04-21,-54
2020-04-22,-52
2020-04-23,-58
2020-04-24,-49
2020-04-25,-94
2020-04-26,-95
2020-04-27,-51
2020-04-28,-48
2020-04-29,-46
2020-04-30,-52
2020-05-01,-44
2020-05-02,-93
2020-05-03,-95
2020-05-04,-41
2020-05-05,-43
2020-05-06,-41
2020-05-07,-45
2020-05-08,-35
2020-05-09,-92
2020-05-10,-95
2020-05-11,-47
2020-05-12,-41
2020-05-13,-43
2020-05-14,-48
2020-05-15,-40
2020-05-16,-92
2020-05-17,-95
2020-05-18,-35
2020-05-19,-38
2020-05-20,-40
2020-05-21,-42
2020-05-22,-33
2020-05-23,-91
2020-05-24,-95
2020-05-25,-39
2020-05-26,-35
2020-05-27,-33
2020-05-28,-32
2020-05-29,-26
2020-05-30,-89
2020-05-31,-94
2020-06-01,-71
2020-06-02,-25
2020-06-03,-27
2020-06-04,-20
2020-06-05,-68
2020-06-06,-87
2020-06-07,-91
2020-06-08,-18
2020-06-09,-24
2020-06-10,-28
2020-06-11,-28
2020-06-12,-28
2020-06-13,-39
2020-06-14,-54
2020-06-15,-27
2020-06-16,-29
2020-06-17,-26
2020-06-18,-29
2020-06-19,-25
2020-06-20,-29
2020-06-21,-47
2020-06-22,-25
2020-06-23,-22
2020-06-24,-24
2020-06-25,-22
2020-06-26,-17
2020-06-27,-24
2020-06-28,-39
2020-06-29,-13
2020-06-30,-15
2020-07-01,-19
2020-07-02,-20
2020-07-03,-18
2020-07-04,-26
2020-07-05,-38
2020-07-06,-15
2020-07-07,-19
2020-07-08,-19
2020-07-09,-12
2020-07-10,-49
2020-07-11,-31
2020-07-12,-41
2020-07-13,-18
2020-07-14,-21
2020-07-15,-22
2020-07-16,-23
2020-07-17,-23
2020-07-18,-25
2020-07-19,-38
2020-07-20,-20
2020-07-21,-21
2020-07-22,-25
2020-07-23,-24
2020-07-24,-27
2020-07-25,-86
2020-07-26,-87
2020-07-27,-32
2020-07-28,-33
2020-07-29,-30
2020-07-30,-30
2020-07-31,-29
2020-08-01,-89
2020-08-02,-81
2020-08-03,-79
2020-08-04,-19
2020-08-05,-69
2020-08-06,-91
2020-08-07,-59
2020-08-08,-88
2020-08-09,-93
2020-08-10,-51
