dates,covid19mobilitytrend_park
2020-02-15,13
2020-02-16,11
2020-02-17,15
2020-02-18,6
2020-02-19,8
2020-02-20,15
2020-02-21,3
2020-02-22,-7
2020-02-23,7
2020-02-24,8
2020-02-25,9
2020-02-26,8
2020-02-27,1
2020-02-28,8
2020-02-29,13
2020-03-01,6
2020-03-02,8
2020-03-03,6
2020-03-04,11
2020-03-05,9
2020-03-06,11
2020-03-07,3
2020-03-08,-4
2020-03-09,-4
2020-03-10,3
2020-03-11,8
2020-03-12,12
2020-03-13,13
2020-03-14,16
2020-03-15,4
2020-03-16,3
2020-03-17,-6
2020-03-18,-8
2020-03-19,-8
2020-03-20,-19
2020-03-21,-22
2020-03-22,-24
2020-03-23,-19
2020-03-24,-48
2020-03-25,-47
2020-03-26,-43
2020-03-27,-43
2020-03-28,-48
2020-03-29,-48
2020-03-30,-45
2020-03-31,-45
2020-04-01,-50
2020-04-02,-46
2020-04-03,-47
2020-04-04,-83
2020-04-05,-83
2020-04-06,-41
2020-04-07,-35
2020-04-08,-30
2020-04-09,-72
2020-04-10,-82
2020-04-11,-84
2020-04-12,-83
2020-04-13,-82
2020-04-14,-34
2020-04-15,-40
2020-04-16,-39
2020-04-17,-38
2020-04-18,-78
2020-04-19,-82
2020-04-20,-39
2020-04-21,-43
2020-04-22,-37
2020-04-23,-36
2020-04-24,-32
2020-04-25,-76
2020-04-26,-77
2020-04-27,-27
2020-04-28,-31
2020-04-29,-33
2020-04-30,-31
2020-05-01,-26
2020-05-02,-75
2020-05-03,-80
2020-05-04,-20
2020-05-05,-23
2020-05-06,-26
2020-05-07,-23
2020-05-08,-13
2020-05-09,-70
2020-05-10,-79
2020-05-11,-30
2020-05-12,-24
2020-05-13,-29
2020-05-14,-35
2020-05-15,-31
2020-05-16,-75
2020-05-17,-80
2020-05-18,-19
2020-05-19,-24
2020-05-20,-26
2020-05-21,-20
2020-05-22,-19
2020-05-23,-72
2020-05-24,-82
2020-05-25,-32
2020-05-26,-26
2020-05-27,-24
2020-05-28,-19
2020-05-29,-15
2020-05-30,-66
2020-05-31,-75
2020-06-01,-51
2020-06-02,-22
2020-06-03,-20
2020-06-04,-16
2020-06-05,-39
2020-06-06,-64
2020-06-07,-70
2020-06-08,-12
2020-06-09,-18
2020-06-10,-18
2020-06-11,-18
2020-06-12,-17
2020-06-13,-27
2020-06-14,-35
2020-06-15,-22
2020-06-16,-25
2020-06-17,-20
2020-06-18,-20
2020-06-19,-16
2020-06-20,-17
2020-06-21,-21
2020-06-22,-15
2020-06-23,-14
2020-06-24,-16
2020-06-25,-15
2020-06-26,-9
2020-06-27,-14
2020-06-28,-20
2020-06-29,-4
2020-06-30,-8
2020-07-01,-8
2020-07-02,-7
2020-07-03,-7
2020-07-04,-9
2020-07-05,-15
2020-07-06,-3
2020-07-07,-7
2020-07-08,-8
2020-07-09,-3
2020-07-10,-9
2020-07-11,-21
2020-07-12,-24
2020-07-13,-3
2020-07-14,-7
2020-07-15,-9
2020-07-16,-12
2020-07-17,-12
2020-07-18,-12
2020-07-19,-23
2020-07-20,-14
2020-07-21,-18
2020-07-22,-22
2020-07-23,-19
2020-07-24,-23
2020-07-25,-66
2020-07-26,-68
2020-07-27,-21
2020-07-28,-25
2020-07-29,-23
2020-07-30,-21
2020-07-31,-13
2020-08-01,-67
2020-08-02,-56
2020-08-03,-41
2020-08-04,-19
2020-08-05,-42
2020-08-06,-62
2020-08-07,-28
2020-08-08,-66
2020-08-09,-76
2020-08-10,-18
2020-08-11,-54
2020-08-12,-22
2020-08-13,-53
2020-08-14,-16
2020-08-15,-59
2020-08-16,-74
2020-08-17,-13
2020-08-18,-60
2020-08-19,-27
2020-08-20,-33
2020-08-21,-24
2020-08-22,-39
2020-08-23,-52
2020-08-24,-20
2020-08-25,-25
2020-08-26,-26
2020-08-27,-26
2020-08-28,-22
2020-08-29,-31
2020-08-30,-40
2020-08-31,-14
2020-09-01,-18
2020-09-02,-21
2020-09-03,-25
2020-09-04,-21
2020-09-05,-25
2020-09-06,-35
2020-09-07,-19
2020-09-08,-19
2020-09-09,-19
2020-09-10,-19
2020-09-11,-29
2020-09-12,-28
2020-09-13,-27
2020-09-14,-9
2020-09-15,-13
2020-09-16,-17
2020-09-17,-19
2020-09-18,-17
2020-09-19,-19
2020-09-20,-24
2020-09-21,-18
2020-09-22,-11
2020-09-23,-10
2020-09-24,-13
2020-09-25,-14
2020-09-26,-17
2020-09-27,-18
2020-09-28,-4
2020-09-29,-6
2020-09-30,-11
2020-10-01,-14
2020-10-02,-17
2020-10-03,-18
2020-10-04,-19
2020-10-05,-8
2020-10-06,-8
2020-10-07,-7
2020-10-08,-4
2020-10-09,-5
2020-10-10,-63
2020-10-11,-58
2020-10-12,-58
2020-10-13,-10
2020-10-14,-16
2020-10-15,-19
2020-10-16,-16
2020-10-17,-65
2020-10-18,-62
2020-10-19,-15
2020-10-20,-15
2020-10-21,-25
2020-10-22,-14
2020-10-23,-7
2020-10-24,-62
2020-10-25,-62
2020-10-26,-5
2020-10-27,-9
2020-10-28,-13
2020-10-29,-13
2020-10-30,-7
2020-10-31,-60
2020-11-01,-56
2020-11-02,-6
2020-11-03,-11
2020-11-04,-12
2020-11-05,-10
2020-11-06,-6
2020-11-07,-58
2020-11-08,-64
2020-11-09,-5
2020-11-10,-6
2020-11-11,-13
2020-11-12,-8
2020-11-13,-5
2020-11-14,-16
2020-11-15,-22
2020-11-16,0
2020-11-17,-5
2020-11-18,-10
2020-11-19,-10
2020-11-20,-6
2020-11-21,-16
2020-11-22,-22
2020-11-23,0
2020-11-24,-5
2020-11-25,-6
2020-11-26,1
2020-11-27,-1
2020-11-28,-12
2020-11-29,-17
2020-11-30,3
2020-12-01,-8
2020-12-02,-6
2020-12-03,-5
2020-12-04,-4
2020-12-05,-8
2020-12-06,-14
2020-12-07,-3
2020-12-08,-1
2020-12-09,-1
2020-12-10,1
2020-12-11,4
2020-12-12,1
2020-12-13,-2
2020-12-14,10
2020-12-15,8
2020-12-16,6
2020-12-17,8
2020-12-18,7
2020-12-19,6
2020-12-20,6
2020-12-21,20
2020-12-22,17
2020-12-23,18
2020-12-24,25
2020-12-25,11
2020-12-26,-9
2020-12-27,-1
2020-12-28,-2
2020-12-29,4
2020-12-30,3
2020-12-31,11
2021-01-01,0
2021-01-02,-5
2021-01-03,-3
2021-01-04,8
2021-01-05,6
2021-01-06,0
2021-01-07,-1
2021-01-08,-5
2021-01-09,-12
2021-01-10,-9
2021-01-11,1
2021-01-12,-9
2021-01-13,-8
2021-01-14,-12
2021-01-15,-13
2021-01-16,-16
2021-01-17,-16
2021-01-18,-3
2021-01-19,-5
2021-01-20,-9
2021-01-21,-9
2021-01-22,-7
2021-01-23,-8
2021-01-24,-10
2021-01-25,-1
2021-01-26,-5
2021-01-27,-6
2021-01-28,-11
2021-01-29,-11
2021-01-30,-11
2021-01-31,-15
2021-02-01,-9
2021-02-02,-13
2021-02-03,-12
2021-02-04,-8
2021-02-05,-4
2021-02-06,-6
2021-02-07,-3
2021-02-08,-1
2021-02-09,0
2021-02-10,-3
2021-02-11,-1
2021-02-12,3
2021-02-13,6
2021-02-14,3
2021-02-15,7
2021-02-16,4
2021-02-17,1
2021-02-18,0
2021-02-19,2
2021-02-20,-1
2021-02-21,-7
2021-02-22,8
2021-02-23,6
2021-02-24,4
2021-02-25,5
2021-02-26,6
2021-02-27,8
2021-02-28,7
2021-03-01,12
2021-03-02,8
2021-03-03,4
2021-03-04,3
2021-03-05,5
2021-03-06,6
2021-03-07,2
2021-03-08,8
2021-03-09,4
2021-03-10,3
2021-03-11,3
2021-03-12,6
2021-03-13,7
2021-03-14,8
2021-03-15,14
2021-03-16,10
2021-03-17,8
2021-03-18,8
2021-03-19,10
2021-03-20,9
2021-03-21,9
2021-03-22,15
2021-03-23,11
2021-03-24,8
2021-03-25,7
2021-03-26,11
2021-03-27,9
2021-03-28,13
2021-03-29,21
2021-03-30,18
2021-03-31,16
2021-04-01,17
2021-04-02,4
2021-04-03,2
2021-04-04,9
2021-04-05,21
2021-04-06,11
2021-04-07,10
2021-04-08,10
2021-04-09,10
2021-04-10,10
2021-04-11,6
2021-04-12,11
2021-04-13,11
2021-04-14,8
2021-04-15,7
2021-04-16,9
2021-04-17,8
2021-04-18,7
2021-04-19,12
2021-04-20,8
2021-04-21,5
2021-04-22,3
2021-04-23,7
2021-04-24,6
2021-04-25,5
2021-04-26,13
2021-04-27,9
2021-04-28,5
2021-04-29,7
2021-04-30,8
2021-05-01,6
2021-05-02,10
2021-05-03,15
2021-05-04,11
2021-05-05,9
2021-05-06,8
2021-05-07,8
2021-05-08,9
2021-05-09,17
2021-05-10,15
2021-05-11,11
2021-05-12,8
2021-05-13,5
2021-05-14,6
2021-05-15,7
2021-05-16,7
2021-05-17,17
2021-05-18,11
2021-05-19,7
2021-05-20,5
2021-05-21,3
2021-05-22,2
2021-05-23,6
2021-05-24,17
2021-05-25,9
2021-05-26,6
2021-05-27,10
2021-05-28,13
2021-05-29,10
2021-05-30,10
2021-05-31,15
2021-06-01,8
2021-06-02,5
2021-06-03,14
2021-06-04,15
2021-06-05,6
2021-06-06,10
2021-06-07,22
2021-06-08,16
2021-06-09,15
2021-06-10,14
2021-06-11,14
2021-06-12,8
2021-06-13,10
2021-06-14,20
2021-06-15,17
2021-06-16,12
2021-06-17,9
2021-06-18,10
2021-06-19,10
2021-06-20,17
2021-06-21,24
2021-06-22,17
2021-06-23,13
2021-06-24,12
2021-06-25,12
2021-06-26,9
2021-06-27,11
2021-06-28,22
2021-06-29,15
2021-06-30,13
2021-07-01,7
2021-07-02,8
2021-07-03,10
2021-07-04,13
2021-07-05,20
2021-07-06,18
2021-07-07,15
2021-07-08,15
2021-07-09,13
2021-07-10,10
2021-07-11,13
2021-07-12,21
2021-07-13,8
2021-07-14,12
2021-07-15,11
2021-07-16,12
2021-07-17,8
2021-07-18,13
2021-07-19,21
2021-07-20,17
2021-07-21,13
2021-07-22,10
2021-07-23,10
2021-07-24,1
2021-07-25,10
2021-07-26,17
2021-07-27,16
2021-07-28,14
2021-07-29,11
2021-07-30,10
2021-07-31,5
2021-08-01,11
2021-08-02,4
2021-08-03,9
2021-08-04,12
2021-08-05,10
2021-08-06,9
2021-08-07,4
2021-08-08,6
2021-08-09,14
2021-08-10,10
2021-08-11,9
2021-08-12,0
2021-08-13,2
2021-08-14,-2
2021-08-15,4
2021-08-16,11
2021-08-17,8
2021-08-18,8
2021-08-19,6
2021-08-20,7
2021-08-21,2
2021-08-22,6
2021-08-23,12
2021-08-24,11
2021-08-25,0
2021-08-26,6
2021-08-27,7
2021-08-28,6
2021-08-29,7
2021-08-30,17
2021-08-31,13
2021-09-01,7
2021-09-02,5
2021-09-03,8
2021-09-04,5
2021-09-05,9
2021-09-06,12
2021-09-07,9
2021-09-08,8
2021-09-09,9
2021-09-10,6
2021-09-11,5
2021-09-12,4
2021-09-13,10
2021-09-14,10
2021-09-15,11
2021-09-16,15
2021-09-17,7
2021-09-18,2
2021-09-19,7
2021-09-20,15
2021-09-21,10
2021-09-22,9
2021-09-23,10
2021-09-24,9
2021-09-25,1
2021-09-26,4
2021-09-27,16
2021-09-28,5
2021-09-29,13
2021-09-30,15
2021-10-01,15
2021-10-02,8
2021-10-03,13
2021-10-04,18
2021-10-05,13
2021-10-06,9
2021-10-07,9
2021-10-08,12
2021-10-09,6
2021-10-10,5
2021-10-11,9
2021-10-12,11
2021-10-13,12
2021-10-14,14
2021-10-15,16
2021-10-16,9
2021-10-17,14
2021-10-18,23
2021-10-19,20
2021-10-20,16
2021-10-21,10
2021-10-22,7
2021-10-23,8
2021-10-24,13
2021-10-25,17
2021-10-26,18
2021-10-27,22
2021-10-28,17
2021-10-29,12
2021-10-30,10
2021-10-31,16
2021-11-01,22
2021-11-02,22
2021-11-03,16
2021-11-04,22
2021-11-05,16
2021-11-06,4
2021-11-07,14
2021-11-08,21
2021-11-09,19
2021-11-10,17
2021-11-11,13
2021-11-12,15
2021-11-13,13
2021-11-14,20
2021-11-15,28
2021-11-16,22
2021-11-17,16
2021-11-18,16
2021-11-19,19
2021-11-20,8
2021-11-21,21
2021-11-22,24
2021-11-23,15
2021-11-24,19
2021-11-25,29
2021-11-26,21
2021-11-27,20
2021-11-28,25
2021-11-29,34
2021-11-30,28
2021-12-01,21
2021-12-02,20
2021-12-03,20
2021-12-04,16
2021-12-05,22
2021-12-06,28
2021-12-07,24
2021-12-08,21
2021-12-09,20
2021-12-10,23
2021-12-11,22
2021-12-12,20
2021-12-13,26
2021-12-14,21
2021-12-15,23
2021-12-16,22
2021-12-17,30
2021-12-18,18
2021-12-19,27
2021-12-20,36
2021-12-21,30
2021-12-22,22
2021-12-23,35
2021-12-24,32
2021-12-25,33
2021-12-26,28
2021-12-27,32
2021-12-28,21
2021-12-29,15
2021-12-30,12
2021-12-31,16
2022-01-01,9
2022-01-02,9
2022-01-03,17
2022-01-04,2
2022-01-05,8
2022-01-06,6
2022-01-07,6
2022-01-08,4
2022-01-09,-3
2022-01-10,13
2022-01-11,0
2022-01-12,-2
2022-01-13,10
2022-01-14,5
2022-01-15,7
2022-01-16,-1
2022-01-17,10
2022-01-18,9
2022-01-19,6
2022-01-20,10
2022-01-21,10
2022-01-22,6
2022-01-23,8
2022-01-24,22
2022-01-25,15
2022-01-26,9
2022-01-27,12
2022-01-28,12
2022-01-29,-1
2022-01-30,11
2022-01-31,21
2022-02-01,21
2022-02-02,12
2022-02-03,13
2022-02-04,14
2022-02-05,12
2022-02-06,16
2022-02-07,27
2022-02-08,18
2022-02-09,9
2022-02-10,15
2022-02-11,22
2022-02-12,14
2022-02-13,23
2022-02-14,24
