dates,covid19mobilitytrend_park
2020-02-15,16
2020-02-16,28
2020-02-17,11
2020-02-18,0
2020-02-19,9
2020-02-20,4
2020-02-21,8
2020-02-22,28
2020-02-23,21
2020-02-24,3
2020-02-25,8
2020-02-26,0
2020-02-27,-4
2020-02-28,-4
2020-02-29,14
2020-03-01,-2
2020-03-02,7
2020-03-03,-8
2020-03-04,-3
2020-03-05,12
2020-03-06,-3
2020-03-07,-2
2020-03-08,0
2020-03-09,-2
2020-03-10,1
2020-03-11,12
2020-03-12,22
2020-03-13,6
2020-03-14,-3
2020-03-15,3
2020-03-16,4
2020-03-17,9
2020-03-18,7
2020-03-19,8
2020-03-20,-1
2020-03-21,-14
2020-03-22,-48
2020-03-23,-41
2020-03-24,-46
2020-03-25,-42
2020-03-26,-40
2020-03-27,-38
2020-03-28,-28
2020-03-29,-22
2020-03-30,-29
2020-03-31,-38
2020-04-01,-30
2020-04-02,-14
2020-04-03,-16
2020-04-04,-15
2020-04-05,-17
2020-04-06,-8
2020-04-07,-1
2020-04-08,1
2020-04-09,3
2020-04-10,-2
2020-04-11,-5
2020-04-12,-2
2020-04-13,-1
2020-04-14,-32
2020-04-15,-4
2020-04-16,12
2020-04-17,-3
2020-04-18,-1
2020-04-19,-18
2020-04-20,-3
2020-04-21,-19
2020-04-22,4
2020-04-23,11
2020-04-24,-1
2020-04-25,4
2020-04-26,-10
2020-04-27,3
2020-04-28,11
2020-04-29,-2
2020-04-30,22
2020-05-01,-13
2020-05-02,-21
2020-05-03,-25
2020-05-04,11
2020-05-05,13
2020-05-06,-3
2020-05-07,24
2020-05-08,19
2020-05-09,28
2020-05-10,22
2020-05-11,12
2020-05-12,1
2020-05-13,22
2020-05-14,15
2020-05-15,19
2020-05-16,23
2020-05-17,14
2020-05-18,18
2020-05-19,0
2020-05-20,-13
2020-05-21,23
2020-05-22,28
2020-05-23,28
2020-05-24,44
2020-05-25,36
2020-05-26,3
2020-05-27,8
2020-05-28,21
2020-05-29,11
2020-05-30,20
2020-05-31,22
2020-06-01,11
2020-06-02,27
2020-06-03,24
2020-06-04,32
2020-06-05,11
2020-06-06,45
2020-06-07,49
2020-06-08,18
2020-06-09,12
2020-06-10,30
2020-06-11,40
2020-06-12,47
2020-06-13,59
2020-06-14,44
2020-06-15,14
2020-06-16,14
2020-06-17,25
2020-06-18,28
2020-06-19,31
2020-06-20,18
2020-06-21,8
2020-06-22,-2
2020-06-23,17
2020-06-24,41
2020-06-25,35
2020-06-26,29
2020-06-27,39
2020-06-28,37
2020-06-29,29
2020-06-30,38
2020-07-01,41
2020-07-02,32
2020-07-03,22
2020-07-04,38
2020-07-05,39
2020-07-06,38
2020-07-07,28
2020-07-08,42
2020-07-09,43
2020-07-10,38
2020-07-11,41
2020-07-12,35
2020-07-13,36
2020-07-14,40
2020-07-15,46
2020-07-16,44
2020-07-17,9
2020-07-18,15
2020-07-19,30
2020-07-20,45
2020-07-21,53
2020-07-22,54
2020-07-23,36
2020-07-24,31
2020-07-25,31
2020-07-26,53
2020-07-27,52
2020-07-28,56
2020-07-29,61
2020-07-30,59
2020-07-31,67
2020-08-01,70
2020-08-02,72
2020-08-03,69
2020-08-04,45
2020-08-05,43
2020-08-06,42
2020-08-07,46
2020-08-08,65
2020-08-09,63
2020-08-10,64
2020-08-11,66
2020-08-12,65
2020-08-13,74
2020-08-14,46
2020-08-15,54
2020-08-16,65
2020-08-17,52
2020-08-18,27
2020-08-19,55
2020-08-20,59
2020-08-21,51
2020-08-22,62
2020-08-23,49
2020-08-24,37
2020-08-25,36
2020-08-26,47
2020-08-27,47
2020-08-28,42
2020-08-29,48
2020-08-30,47
2020-08-31,22
2020-09-01,25
2020-09-02,33
2020-09-03,31
2020-09-04,30
2020-09-05,43
2020-09-06,44
2020-09-07,26
2020-09-08,28
2020-09-09,34
2020-09-10,38
2020-09-11,36
2020-09-12,48
2020-09-13,47
2020-09-14,30
2020-09-15,31
2020-09-16,33
2020-09-17,30
2020-09-18,21
2020-09-19,35
2020-09-20,37
2020-09-21,22
2020-09-22,9
2020-09-23,4
2020-09-24,12
2020-09-25,-5
2020-09-26,-2
2020-09-27,0
2020-09-28,-7
2020-09-29,-7
2020-09-30,5
2020-10-01,6
2020-10-02,8
2020-10-03,14
2020-10-04,21
2020-10-05,1
2020-10-06,5
2020-10-07,-11
2020-10-08,7
2020-10-09,11
2020-10-10,28
2020-10-11,16
2020-10-12,-19
2020-10-13,-11
2020-10-14,-3
2020-10-15,-17
2020-10-16,-10
2020-10-17,-4
2020-10-18,7
2020-10-19,-8
2020-10-20,-8
2020-10-21,1
2020-10-22,8
2020-10-23,8
2020-10-24,-5
2020-10-25,-1
2020-10-26,0
2020-10-27,-5
2020-10-28,-8
2020-10-29,-11
2020-10-30,-8
2020-10-31,9
2020-11-01,11
2020-11-02,-10
2020-11-03,-13
2020-11-04,-15
2020-11-05,-21
2020-11-06,-16
2020-11-07,-3
2020-11-08,-5
2020-11-09,-21
2020-11-10,-25
2020-11-11,-21
2020-11-12,-18
2020-11-13,-18
2020-11-14,-10
2020-11-15,-5
2020-11-16,-23
2020-11-17,-31
2020-11-18,-20
2020-11-19,-19
2020-11-20,-29
2020-11-21,-20
2020-11-22,-16
2020-11-23,-24
2020-11-24,-24
2020-11-25,-15
2020-11-26,-22
2020-11-27,-21
2020-11-28,-16
2020-11-29,-26
2020-11-30,-27
2020-12-01,-27
2020-12-02,-29
2020-12-03,-31
2020-12-04,-26
2020-12-05,-14
2020-12-06,-11
2020-12-07,-22
2020-12-08,-24
2020-12-09,-25
2020-12-10,-11
2020-12-11,-12
2020-12-12,-10
2020-12-13,-11
2020-12-14,-15
2020-12-15,-11
2020-12-16,-9
2020-12-17,-6
2020-12-18,-6
2020-12-19,1
2020-12-20,4
2020-12-21,0
2020-12-22,4
2020-12-23,19
2020-12-24,24
2020-12-25,9
2020-12-26,6
2020-12-27,12
2020-12-28,11
2020-12-29,25
2020-12-30,17
2020-12-31,29
2021-01-01,15
2021-01-02,14
2021-01-03,12
2021-01-04,7
2021-01-05,11
2021-01-06,12
2021-01-07,12
2021-01-08,-11
2021-01-09,-11
2021-01-10,-19
2021-01-11,-22
2021-01-12,-21
2021-01-13,-20
2021-01-14,-23
2021-01-15,-25
2021-01-16,-24
2021-01-17,-25
2021-01-18,-26
2021-01-19,-22
2021-01-20,-17
2021-01-21,-17
2021-01-22,-21
2021-01-23,-19
2021-01-24,-25
2021-01-25,-30
2021-01-26,-29
2021-01-27,-25
2021-01-28,-22
2021-01-29,-28
2021-01-30,-11
2021-01-31,-36
2021-02-01,-31
2021-02-02,-23
2021-02-03,-13
2021-02-04,-9
2021-02-05,-9
2021-02-06,4
2021-02-07,1
2021-02-08,-18
2021-02-09,-18
2021-02-10,-16
2021-02-11,-25
2021-02-12,-27
2021-02-13,-26
2021-02-14,-25
2021-02-15,-24
2021-02-16,-25
2021-02-17,-27
2021-02-18,-16
2021-02-19,-20
2021-02-20,-6
2021-02-21,11
2021-02-22,-13
2021-02-23,-13
2021-02-24,-10
2021-02-25,-5
2021-02-26,-5
2021-02-27,-3
2021-02-28,7
2021-03-01,-2
2021-03-02,-16
2021-03-03,-9
2021-03-04,-6
2021-03-05,-17
2021-03-06,-10
2021-03-07,3
2021-03-08,-10
2021-03-09,-30
2021-03-10,-25
2021-03-11,-14
2021-03-12,-22
2021-03-13,2
2021-03-14,-13
2021-03-15,-33
2021-03-16,-31
2021-03-17,-27
2021-03-18,-26
2021-03-19,-22
2021-03-20,-19
2021-03-21,-23
2021-03-22,-33
2021-03-23,-26
2021-03-24,-26
