dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-03,5000
2020-03-12,10500
2020-03-16,16000
2020-03-20,19000
2020-03-30,30000
2020-03-31,31000
2020-04-01,32000
2020-04-06,40000
2020-04-08,46000
2020-04-09,49000
2020-04-12,64000
2020-04-13,68000
2020-04-14,71875
2020-04-15,76198
2020-04-17,86813
2020-04-18,92709
2020-04-19,98231
2020-04-20,102566
2020-04-21,108545
2020-04-22,114955
2020-04-23,122543
2020-04-24,130824
2020-04-25,139295
2020-04-26,147525
2020-04-27,153800
2020-04-28,161028
2020-04-29,168986
2020-04-30,176625
2020-05-01,186262
2020-05-02,195430
2020-05-03,204239
2020-05-04,211369
2020-05-07,229466
2020-05-08,240146
2020-05-09,251771
2020-05-10,263543
2020-05-11,274060
2020-05-12,284445
2020-05-13,296380
2020-05-14,308156
2020-05-17,350515
2020-05-20,387673
2020-05-22,419004
2020-05-23,434618
2020-05-25,463004
2020-05-26,472906
2020-05-30,526559
2020-05-31,541093
2020-06-01,553377
2020-06-02,562945
2020-06-07,622313
2020-06-08,632993
2020-06-13,714324
2020-06-15,749917
2020-06-16,760549
2020-06-18,800435
2020-06-19,821887
2020-06-20,842173
2020-06-22,876639
2020-06-24,901904
2020-06-25,919139
2020-06-26,939524
2020-06-29,992007
2020-07-03,1043876
2020-07-06,1074240
2020-07-12,1134653
2020-07-15,1144696
2020-07-17,1172880
2020-07-22,1209400
2020-07-23,1219705
2020-07-24,1230684
2020-07-25,1241624
2020-07-26,1251359
2020-07-27,1257399
2020-07-29,1278583
2020-07-30,1288586
2020-07-31,1299428
2020-08-02,1319976
2020-08-04,1325776
2020-08-06,1344303
2020-08-08,1363011
2020-08-11,1377540
2020-08-12,1384026
2020-08-22,1465555
2020-08-23,1474075
2020-08-25,1480047
2020-08-27,1497421
2020-09-01,1534792
2020-09-03,1554129
2020-09-07,1591247
2020-09-09,1605547
2020-09-13,1654618
2020-09-14,1661933
2020-09-16,1672256
2020-09-18,1700790
2020-09-22,1744682
2020-09-25,1792426
2020-09-29,1841704
2020-10-04,1936540
2020-10-08,1999089
2020-10-11,2073930
2020-10-14,2118816
2020-10-17,2196173
2020-10-20,2244310
2020-10-24,2347375
2020-10-28,2418399
2020-10-31,2495602
2020-11-04,2573132
2020-11-13,2814373
2020-11-15,2882743
2020-11-18,2947761
2020-11-23,3091238
2020-12-03,3335788
2020-12-14,3609517
2020-12-28,3924079
2021-01-07,4092580
2021-01-15,4216095
2021-01-25,4375265
2021-01-27,4399367
2021-01-29,4435121
2021-02-01,4472745
2021-02-03,4502730
2021-02-05,4538812
2021-02-10,4607072
2021-02-12,4643526
2021-02-15,4690812
2021-02-22,4799410
2021-02-26,4861238
2021-03-01,4908397
2021-03-04,4951979
2021-03-05,4971502
2021-03-12,5063251
2021-03-15,5101314
2021-03-19,5178695
2021-03-25,5272490
2021-03-30,5349784
2021-04-01,5388505
2021-04-05,5453123
2021-04-08,5496424
2021-04-12,5563117
2021-04-15,5608959
2021-04-19,5676595
2021-04-22,5723427
2021-04-26,5778401
2021-04-27,5797755
2021-04-29,5832409
2021-05-03,5895273
2021-05-07,5958089
2021-05-13,6036143
2021-05-17,6105215
2021-05-20,6154084
2021-05-21,6174150
2021-05-24,6221882
2021-05-26,6249700
2021-05-28,6286097
2021-05-31,6335432
2021-06-03,6378212
2021-06-07,6438423
2021-06-11,6500351
2021-06-14,6544800
2021-06-17,6593438
2021-06-21,6655621
2021-06-23,6686521
2021-06-28,6764743
2021-07-01,6813944
2021-07-05,6875575
2021-07-08,6923772
2021-07-13,6999628
2021-07-15,7038070
2021-07-19,7101151
2021-07-23,7168204
2021-07-26,7214231
2021-07-29,7259150
2021-08-03,7324156
2021-08-05,7370093
2021-08-06,7388584
2021-08-09,7426441
2021-08-10,7443773
2021-08-11,7463902
2021-08-17,7560996
2021-08-18,7582577
2021-08-19,7603034
2021-08-20,7623360
2021-08-23,7660634
2021-08-24,7679920
2021-08-25,7700372
2021-08-26,7720145
2021-08-27,7739587
2021-08-30,7777175
2021-08-31,7797000
2021-09-01,7817642
2021-09-02,7839164
2021-09-03,7859365
2021-09-06,7899806
2021-09-07,7921679
2021-09-08,7943649
2021-09-09,7965237
2021-09-13,8038526
2021-09-14,8056855
2021-09-16,8118970
2021-09-21,8238914
2021-09-27,8414751
2021-10-21,9252143
2021-10-24,9377452
2021-10-25,9403213
2021-10-28,9515805
2021-10-29,9556037
2021-11-01,9652240
2021-11-04,9746810
2021-11-09,9874866
2021-11-12,9984551
2021-11-16,10062789
2021-11-19,10160146
2021-11-23,10228936
2021-11-26,10320279
2021-11-30,10386520
2021-12-02,10452213
2021-12-03,10478624
2021-12-07,10545014
2021-12-09,10600869
2021-12-13,10685725
2021-12-14,10691609
2021-12-17,10770753
2021-12-20,10836163
2021-12-23,10897301
2021-12-24,10919017
2021-12-28,10971567
2021-12-30,11022249
2022-01-03,11078624
2022-01-06,11138815
2022-01-10,11202495
2022-01-12,11245599
2022-01-14,11295567
2022-01-19,11389140
2022-01-25,11509291
2022-01-27,11571634
2022-01-28,11608146
2022-02-01,11731354
2022-02-02,11773012
2022-02-03,11823477
2022-02-04,11870801
2022-02-10,12045122
2022-02-11,12078002
2022-02-14,12153269
2022-02-15,12161006
2022-02-16,12188071
2022-02-18,12248033
2022-02-21,12311853
2022-02-22,12317444
2022-02-23,12343035
2022-02-24,12367231
2022-02-25,12389320
2022-02-26,12408634
2022-02-27,12427770
2022-02-28,12438809
2022-03-01,12444066
2022-03-02,12467117
2022-03-04,12510624
2022-03-07,12559952
2022-03-08,12564070
2022-03-11,12601257
2022-03-12,12620704
2022-03-14,12646405
2022-03-21,12737896
2022-03-25,12790271
2022-03-28,12822145
2022-04-01,12868991
2022-04-04,12897334
2022-04-08,12941335
2022-04-10,12964077
