dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,4
2020-04-06,5
2020-04-07,7
2020-04-08,7
2020-04-09,8
2020-04-10,9
2020-04-11,10
2020-04-12,10
2020-04-13,13
2020-04-14,14
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,18
2020-04-19,18
2020-04-20,18
2020-04-21,18
2020-04-22,18
2020-04-23,18
2020-04-24,18
2020-04-25,18
2020-04-26,18
2020-04-27,18
2020-04-28,18
2020-04-29,18
2020-04-30,18
2020-05-01,18
2020-05-02,18
2020-05-03,18
2020-05-04,18
2020-05-05,18
2020-05-06,18
2020-05-07,18
2020-05-08,18
2020-05-09,18
2020-05-10,18
2020-05-11,18
2020-05-12,18
2020-05-13,18
2020-05-14,18
2020-05-15,18
2020-05-16,18
2020-05-17,18
2020-05-18,18
2020-05-19,18
2020-05-20,18
2020-05-21,18
2020-05-22,18
2020-05-23,18
2020-05-24,18
2020-05-25,18
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,18
2020-05-30,18
2020-05-31,18
2020-06-01,18
2020-06-02,18
2020-06-03,18
2020-06-04,18
2020-06-05,18
2020-06-06,18
2020-06-07,19
2020-06-08,19
2020-06-09,19
2020-06-10,19
2020-06-11,20
2020-06-12,20
2020-06-13,20
2020-06-14,20
2020-06-15,21
2020-06-16,21
2020-06-17,21
2020-06-18,22
2020-06-19,22
2020-06-20,22
2020-06-21,22
2020-06-22,22
2020-06-23,22
2020-06-24,23
2020-06-25,23
2020-06-26,23
2020-06-27,23
2020-06-28,24
2020-06-29,24
2020-06-30,24
2020-07-01,24
2020-07-02,28
2020-07-03,28
2020-07-04,28
2020-07-05,30
2020-07-06,30
2020-07-07,30
2020-07-08,30
2020-07-09,30
2020-07-10,30
2020-07-11,33
2020-07-12,37
2020-07-13,37
2020-07-14,37
2020-07-15,37
2020-07-16,39
2020-07-17,39
2020-07-18,40
2020-07-19,40
2020-07-20,40
2020-07-21,40
2020-07-22,42
2020-07-23,43
2020-07-24,43
2020-07-25,47
2020-07-26,48
2020-07-27,48
2020-07-28,48
2020-07-29,48
2020-07-30,48
2020-07-31,48
2020-08-01,48
2020-08-02,48
2020-08-03,56
2020-08-04,57
2020-08-05,57
2020-08-06,72
2020-08-07,86
2020-08-08,114
2020-08-09,146
2020-08-10,153
2020-08-11,154
2020-08-12,177
2020-08-13,210
2020-08-14,296
2020-08-15,356
2020-08-16,388
2020-08-17,452
2020-08-18,452
2020-08-19,475
2020-08-20,553
2020-08-21,553
2020-08-22,605
2020-08-23,648
2020-08-24,668
2020-08-25,686
2020-08-26,713
2020-08-27,730
2020-08-28,760
2020-08-29,818
2020-08-30,870
2020-08-31,964
2020-09-01,993
2020-09-02,1007
2020-09-03,1050
2020-09-04,1101
2020-09-05,1118
2020-09-06,1152
2020-09-07,1194
2020-09-08,1261
2020-09-09,1307
2020-09-10,1361
2020-09-11,1365
2020-09-12,1399
2020-09-13,1435
2020-09-14,1458
2020-09-15,1480
2020-09-16,1501
2020-09-17,1528
2020-09-18,1536
2020-09-19,1567
2020-09-20,1590
2020-09-21,1606
2020-09-22,1627
2020-09-23,1635
2020-09-24,1669
2020-09-25,1706
2020-09-26,1758
2020-09-27,1808
2020-09-28,1825
2020-09-29,1854
2020-09-30,1891
2020-10-01,1943
2020-10-02,1992
2020-10-03,2026
2020-10-04,2080
2020-10-05,2131
2020-10-06,2196
2020-10-07,2204
2020-10-08,2243
2020-10-09,2310
2020-10-10,2373
2020-10-11,2427
2020-10-12,2496
2020-10-13,2531
2020-10-14,2569
2020-10-15,2585
2020-10-16,2619
2020-10-17,2682
2020-10-18,2728
2020-10-19,2775
2020-10-20,2813
2020-10-21,2833
2020-10-22,2886
2020-10-23,2937
2020-10-24,2995
2020-10-25,3050
2020-10-26,3106
2020-10-27,3145
2020-10-28,3200
2020-10-29,3232
2020-10-30,3261
2020-10-31,3382
2020-11-01,3462
2020-11-02,3487
2020-11-03,3577
2020-11-04,3624
2020-11-05,3790
2020-11-06,3905
2020-11-07,3977
2020-11-08,4016
2020-11-09,4076
2020-11-10,4176
2020-11-11,4230
2020-11-12,4414
2020-11-13,4520
2020-11-14,4596
2020-11-15,4715
2020-11-16,4783
2020-11-17,4861
2020-11-18,4883
2020-11-19,4920
2020-11-20,4958
2020-11-21,5018
2020-11-22,5056
2020-11-23,5110
2020-11-24,5183
2020-11-25,5249
2020-11-26,5335
2020-11-27,5423
2020-11-28,5515
2020-11-29,5587
2020-11-30,5647
2020-12-01,5743
2020-12-02,5854
2020-12-03,5854
2020-12-04,6995
2020-12-05,7236
2020-12-06,7383
2020-12-07,7601
2020-12-08,7769
2020-12-09,7953
2020-12-10,8013
2020-12-11,8519
2020-12-12,8805
2020-12-13,8965
2020-12-14,9173
2020-12-15,9295
2020-12-16,9377
2020-12-17,9511
2020-12-18,9672
2020-12-19,9791
2020-12-20,9929
2020-12-21,10023
2020-12-22,10095
2020-12-23,10145
2020-12-24,10257
2020-12-25,10370
2020-12-26,10490
2020-12-27,10490
2020-12-28,10490
2020-12-29,10561
2020-12-30,10591
2020-12-31,10668
2021-01-01,10724
2021-01-02,10776
2021-01-03,10807
2021-01-04,10807
2021-01-05,10901
2021-01-06,10938
2021-01-07,11018
2021-01-08,11108
2021-01-09,11152
2021-01-10,11202
2021-01-11,11266
2021-01-12,11303
2021-01-13,11332
2021-01-14,11366
2021-01-15,11419
2021-01-16,11456
2021-01-17,11529
2021-01-18,11529
2021-01-19,11580
2021-01-20,11592
2021-01-21,11615
2021-01-22,11642
2021-01-23,11676
2021-01-24,11700
2021-01-25,11722
2021-01-26,11750
2021-01-27,11770
2021-01-28,11788
2021-01-29,11816
2021-01-30,11845
2021-01-31,11877
2021-02-01,11908
2021-02-02,11908
2021-02-03,11945
2021-02-04,11957
2021-02-05,11978
2021-02-06,12008
2021-02-07,12013
2021-02-08,12037
2021-02-09,12037
2021-02-10,12070
2021-02-11,12079
2021-02-12,12107
2021-02-13,12114
2021-02-14,12134
2021-02-15,12145
2021-02-16,12145
2021-02-17,12175
2021-02-18,12188
2021-02-19,12195
2021-02-20,12207
2021-02-21,12227
2021-02-22,12244
2021-02-23,12244
2021-02-24,12255
2021-02-25,12264
2021-02-26,12271
2021-02-27,12280
2021-02-28,12293
2021-03-01,12293
2021-03-02,12293
2021-03-03,12313
2021-03-04,12320
2021-03-05,12328
2021-03-06,12329
2021-03-07,12335
2021-03-08,12335
2021-03-09,12335
2021-03-10,12335
2021-03-11,12345
2021-03-12,12355
2021-03-13,12359
2021-03-14,12370
2021-03-15,12370
2021-03-16,12370
2021-03-17,12383
2021-03-18,12389
2021-03-19,12396
2021-03-20,12399
2021-03-21,12400
2021-03-22,12400
2021-03-23,12400
2021-03-24,12407
2021-03-25,12410
2021-03-26,12410
2021-03-27,12411
2021-03-28,12415
2021-03-29,12415
2021-03-30,12415
2021-03-31,12415
2021-04-01,12452
2021-04-02,12456
2021-04-03,12456
2021-04-04,12456
2021-04-05,12456
2021-04-06,12456
2021-04-07,12456
2021-04-08,12477
2021-04-09,12485
2021-04-10,12487
2021-04-11,12487
2021-04-12,12487
2021-04-13,12487
2021-04-14,12503
2021-04-15,12513
2021-04-16,12522
2021-04-17,12529
2021-04-18,12538
2021-04-19,12538
2021-04-20,12538
2021-04-21,12558
2021-04-22,12568
2021-04-23,12585
2021-04-24,12596
2021-04-25,12599
2021-04-26,12599
2021-04-27,12599
2021-04-28,12624
2021-04-29,12631
2021-04-30,12639
2021-05-01,12646
2021-05-02,12668
2021-05-03,12668
2021-05-04,12668
2021-05-05,12674
2021-05-06,12675
2021-05-07,12680
2021-05-08,12682
2021-05-09,12686
2021-05-10,12686
2021-05-11,12686
2021-05-12,12700
2021-05-13,12704
2021-05-14,12707
2021-05-15,12709
2021-05-16,12714
2021-05-17,12714
2021-05-18,12714
2021-05-19,12742
2021-05-20,12745
2021-05-21,12753
2021-05-22,12761
2021-05-23,12764
2021-05-24,12764
2021-05-25,12764
2021-05-26,12764
2021-05-27,12777
2021-05-28,12784
2021-05-29,12789
2021-05-30,12791
2021-05-31,12791
2021-06-01,12791
2021-06-02,12809
2021-06-03,12819
2021-06-04,12833
2021-06-05,12840
2021-06-06,12861
2021-06-07,12861
2021-06-08,12861
2021-06-09,12899
2021-06-10,12909
2021-06-11,12916
2021-06-12,12924
2021-06-13,12938
2021-06-14,12938
2021-06-15,12938
2021-06-16,12971
2021-06-17,12989
2021-06-18,12994
2021-06-19,12994
2021-06-20,13004
2021-06-21,13004
2021-06-22,13004
2021-06-23,13039
2021-06-24,13059
2021-06-25,13083
2021-06-26,13104
2021-06-27,13137
2021-06-28,13137
2021-06-29,13137
2021-06-30,13189
2021-07-01,13227
2021-07-02,13251
2021-07-03,13300
2021-07-04,13343
2021-07-05,13343
2021-07-06,13343
2021-07-07,13391
2021-07-08,13409
2021-07-09,13444
2021-07-10,13476
2021-07-11,13518
2021-07-12,13518
