dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,2
2020-04-17,2
2020-04-18,2
2020-04-19,2
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,2
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,2
2020-05-02,2
2020-05-03,2
2020-05-04,2
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,2
2020-05-09,2
2020-05-10,2
2020-05-11,2
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,2
2020-05-21,2
2020-05-22,2
2020-05-23,2
2020-05-24,2
2020-05-25,2
2020-05-26,2
2020-05-27,2
2020-05-28,2
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,2
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,2
2020-06-06,2
2020-06-07,2
2020-06-08,2
2020-06-09,2
2020-06-10,2
2020-06-11,2
2020-06-12,2
2020-06-13,2
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-06-20,2
2020-06-21,2
2020-06-22,2
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,2
2020-06-27,2
2020-06-28,2
2020-06-29,2
2020-06-30,2
2020-07-01,2
2020-07-02,2
2020-07-03,2
2020-07-04,2
2020-07-05,2
2020-07-06,2
2020-07-07,2
2020-07-08,2
2020-07-09,2
2020-07-10,2
2020-07-11,2
2020-07-12,2
2020-07-13,2
2020-07-14,2
2020-07-15,2
2020-07-16,2
2020-07-17,2
2020-07-18,2
2020-07-19,2
2020-07-20,2
2020-07-21,2
2020-07-22,2
2020-07-23,2
2020-07-24,2
2020-07-25,2
2020-07-26,2
2020-07-27,2
2020-07-28,2
2020-07-29,2
2020-07-30,2
2020-07-31,2
2020-08-01,2
2020-08-02,2
2020-08-03,2
2020-08-04,2
2020-08-05,2
2020-08-06,2
2020-08-07,2
2020-08-08,2
2020-08-09,2
2020-08-10,2
2020-08-11,2
2020-08-12,2
2020-08-13,2
2020-08-14,2
2020-08-15,2
2020-08-16,3
2020-08-17,3
2020-08-18,3
2020-08-19,4
2020-08-20,4
2020-08-21,5
2020-08-22,5
2020-08-23,5
2020-08-24,6
2020-08-25,6
2020-08-26,10
2020-08-27,10
2020-08-28,11
2020-08-29,12
2020-08-30,12
2020-08-31,13
2020-09-01,13
2020-09-02,13
2020-09-03,13
2020-09-04,13
2020-09-05,13
2020-09-06,15
2020-09-07,15
2020-09-08,15
2020-09-09,16
2020-09-10,16
2020-09-11,18
2020-09-12,19
2020-09-13,19
2020-09-14,19
2020-09-15,19
2020-09-16,19
2020-09-17,19
2020-09-18,19
2020-09-19,19
2020-09-20,20
2020-09-21,20
2020-09-22,21
2020-09-23,21
2020-09-24,21
2020-09-25,22
2020-09-26,22
2020-09-27,23
2020-09-28,24
2020-09-29,24
2020-09-30,24
2020-10-01,26
2020-10-02,27
2020-10-03,27
2020-10-04,28
2020-10-05,29
2020-10-06,30
2020-10-07,30
2020-10-08,34
2020-10-09,34
2020-10-10,34
2020-10-11,35
2020-10-12,36
2020-10-13,37
2020-10-14,37
2020-10-15,39
2020-10-16,40
2020-10-17,41
2020-10-18,43
2020-10-19,43
2020-10-20,44
2020-10-21,45
2020-10-22,45
2020-10-23,46
2020-10-24,46
2020-10-25,47
2020-10-26,48
2020-10-27,50
2020-10-28,51
2020-10-29,51
2020-10-30,52
2020-10-31,56
2020-11-01,58
2020-11-02,59
2020-11-03,59
2020-11-04,59
2020-11-05,61
2020-11-06,64
2020-11-07,66
2020-11-08,67
2020-11-09,68
2020-11-10,70
2020-11-11,71
2020-11-12,73
2020-11-13,75
2020-11-14,75
2020-11-15,85
2020-11-16,88
2020-11-17,90
2020-11-18,94
2020-11-19,96
2020-11-20,100
2020-11-21,102
2020-11-22,107
2020-11-23,112
2020-11-24,116
2020-11-25,120
2020-11-26,125
2020-11-27,129
2020-11-28,131
2020-11-29,141
2020-11-30,144
2020-12-01,147
2020-12-02,148
2020-12-03,148
2020-12-04,160
2020-12-05,164
2020-12-06,170
2020-12-07,172
2020-12-08,173
2020-12-09,176
2020-12-10,179
2020-12-11,183
2020-12-12,183
2020-12-13,185
2020-12-14,192
2020-12-15,195
2020-12-16,197
2020-12-17,211
2020-12-18,212
2020-12-19,213
2020-12-20,215
2020-12-21,216
2020-12-22,220
2020-12-23,224
2020-12-24,226
2020-12-25,226
2020-12-26,228
2020-12-27,228
2020-12-28,228
2020-12-29,233
2020-12-30,236
2020-12-31,241
2021-01-01,242
2021-01-02,248
2021-01-03,249
2021-01-04,249
2021-01-05,250
2021-01-06,257
2021-01-07,258
2021-01-08,260
2021-01-09,267
2021-01-10,271
2021-01-11,271
2021-01-12,274
2021-01-13,275
2021-01-14,277
2021-01-15,278
2021-01-16,280
2021-01-17,281
2021-01-18,281
2021-01-19,281
2021-01-20,282
2021-01-21,283
2021-01-22,286
2021-01-23,289
2021-01-24,290
2021-01-25,290
2021-01-26,290
2021-01-27,293
2021-01-28,293
2021-01-29,294
2021-01-30,298
2021-01-31,301
2021-02-01,301
2021-02-02,301
2021-02-03,302
2021-02-04,303
2021-02-05,306
2021-02-06,306
2021-02-07,306
2021-02-08,306
2021-02-09,306
2021-02-10,307
2021-02-11,310
2021-02-12,313
2021-02-13,313
2021-02-14,313
2021-02-15,313
2021-02-16,313
2021-02-17,313
2021-02-18,313
2021-02-19,314
2021-02-20,314
2021-02-21,314
2021-02-22,314
2021-02-23,314
2021-02-24,314
2021-02-25,314
2021-02-26,315
2021-02-27,314
2021-02-28,314
2021-03-01,314
2021-03-02,314
2021-03-03,314
2021-03-04,314
2021-03-05,314
2021-03-06,314
2021-03-07,315
2021-03-08,315
2021-03-09,315
2021-03-10,315
2021-03-11,316
2021-03-12,316
2021-03-13,316
2021-03-14,316
2021-03-15,316
2021-03-16,316
2021-03-17,316
2021-03-18,316
2021-03-19,316
2021-03-20,316
2021-03-21,316
2021-03-22,316
2021-03-23,316
2021-03-24,316
2021-03-25,316
2021-03-26,317
2021-03-27,317
2021-03-28,317
2021-03-29,317
2021-03-30,317
2021-03-31,317
2021-04-01,317
2021-04-02,317
2021-04-03,317
2021-04-04,317
2021-04-05,317
2021-04-06,317
2021-04-07,317
2021-04-08,318
2021-04-09,318
2021-04-10,318
2021-04-11,318
2021-04-12,318
2021-04-13,318
2021-04-14,318
2021-04-15,318
2021-04-16,318
2021-04-17,318
2021-04-18,318
2021-04-19,318
2021-04-20,318
2021-04-21,318
2021-04-22,318
2021-04-23,318
2021-04-24,320
2021-04-25,321
2021-04-26,321
2021-04-27,321
2021-04-28,322
2021-04-29,322
2021-04-30,323
2021-05-01,323
2021-05-02,323
2021-05-03,323
2021-05-04,323
2021-05-05,323
2021-05-06,323
2021-05-07,323
2021-05-08,323
2021-05-09,323
2021-05-10,323
2021-05-11,323
2021-05-12,323
2021-05-13,323
2021-05-14,323
2021-05-15,323
2021-05-16,323
2021-05-17,323
2021-05-18,323
2021-05-19,323
2021-05-20,323
2021-05-21,323
2021-05-22,323
2021-05-23,323
2021-05-24,323
2021-05-25,323
2021-05-26,323
2021-05-27,323
2021-05-28,323
2021-05-29,323
2021-05-30,324
2021-05-31,324
2021-06-01,324
2021-06-02,324
2021-06-03,325
2021-06-04,325
2021-06-05,325
2021-06-06,325
2021-06-07,325
2021-06-08,325
2021-06-09,325
2021-06-10,325
2021-06-11,325
2021-06-12,325
2021-06-13,325
2021-06-14,325
2021-06-15,325
2021-06-16,326
2021-06-17,326
2021-06-18,327
2021-06-19,327
2021-06-20,328
2021-06-21,328
2021-06-22,328
2021-06-23,329
2021-06-24,329
2021-06-25,329
2021-06-26,329
2021-06-27,329
2021-06-28,329
2021-06-29,329
2021-06-30,329
2021-07-01,329
2021-07-02,329
2021-07-03,329
2021-07-04,330
2021-07-05,330
2021-07-06,330
2021-07-07,330
2021-07-08,330
2021-07-09,330
2021-07-10,330
2021-07-11,330
2021-07-12,330
2021-07-13,330
2021-07-14,331
2021-07-15,331
2021-07-16,331
2021-07-17,332
2021-07-18,332
2021-07-19,332
2021-07-20,332
2021-07-21,332
2021-07-22,332
2021-07-23,332
2021-07-24,332
2021-07-25,332
2021-07-26,332
2021-07-27,332
2021-07-28,333
2021-07-29,333
2021-07-30,337
2021-07-31,337
2021-08-01,337
2021-08-02,337
2021-08-03,337
2021-08-04,337
2021-08-05,338
2021-08-06,338
2021-08-07,338
2021-08-08,339
2021-08-09,339
2021-08-10,339
2021-08-11,340
2021-08-12,341
2021-08-13,344
2021-08-14,344
2021-08-15,344
2021-08-16,344
