dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,0
2020-03-27,1
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,1
2020-04-06,1
2020-04-07,2
2020-04-08,0
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,0
2020-04-13,3
2020-04-14,1
2020-04-15,4
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,1
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,1
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,1
2020-06-16,0
2020-06-17,0
2020-06-18,1
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,1
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,1
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,4
2020-07-03,0
2020-07-04,0
2020-07-05,2
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,3
2020-07-12,4
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,2
2020-07-17,0
2020-07-18,1
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,2
2020-07-23,1
2020-07-24,0
2020-07-25,4
2020-07-26,1
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,8
2020-08-04,1
2020-08-05,0
2020-08-06,15
2020-08-07,14
2020-08-08,28
2020-08-09,32
2020-08-10,7
2020-08-11,1
2020-08-12,23
2020-08-13,33
2020-08-14,86
2020-08-15,60
2020-08-16,32
2020-08-17,64
2020-08-18,0
2020-08-19,23
2020-08-20,78
2020-08-21,0
2020-08-22,52
2020-08-23,43
2020-08-24,20
2020-08-25,18
2020-08-26,27
2020-08-27,17
2020-08-28,30
2020-08-29,58
2020-08-30,52
2020-08-31,94
2020-09-01,29
2020-09-02,14
2020-09-03,43
2020-09-04,51
2020-09-05,17
2020-09-06,34
2020-09-07,42
2020-09-08,67
2020-09-09,46
2020-09-10,54
2020-09-11,4
2020-09-12,34
2020-09-13,36
2020-09-14,23
2020-09-15,22
2020-09-16,21
2020-09-17,27
2020-09-18,8
2020-09-19,31
2020-09-20,23
2020-09-21,16
2020-09-22,21
2020-09-23,8
2020-09-24,34
2020-09-25,37
2020-09-26,52
2020-09-27,50
2020-09-28,17
2020-09-29,29
2020-09-30,37
2020-10-01,52
2020-10-02,49
2020-10-03,34
2020-10-04,54
2020-10-05,51
2020-10-06,65
2020-10-07,8
2020-10-08,39
2020-10-09,67
2020-10-10,63
2020-10-11,54
2020-10-12,69
2020-10-13,35
2020-10-14,38
2020-10-15,16
2020-10-16,34
2020-10-17,63
2020-10-18,46
2020-10-19,47
2020-10-20,38
2020-10-21,20
2020-10-22,53
2020-10-23,51
2020-10-24,58
2020-10-25,55
2020-10-26,56
2020-10-27,39
2020-10-28,55
2020-10-29,32
2020-10-30,29
2020-10-31,121
2020-11-01,80
2020-11-02,25
2020-11-03,90
2020-11-04,47
2020-11-05,166
2020-11-06,115
2020-11-07,72
2020-11-08,39
2020-11-09,60
2020-11-10,100
2020-11-11,54
2020-11-12,184
2020-11-13,106
2020-11-14,76
2020-11-15,119
2020-11-16,68
2020-11-17,78
2020-11-18,22
2020-11-19,37
2020-11-20,38
2020-11-21,60
2020-11-22,38
2020-11-23,54
2020-11-24,73
2020-11-25,66
2020-11-26,86
2020-11-27,88
2020-11-28,92
2020-11-29,72
2020-11-30,60
2020-12-01,96
2020-12-02,111
2020-12-03,0
2020-12-04,1141
2020-12-05,241
2020-12-06,147
2020-12-07,218
2020-12-08,168
2020-12-09,184
2020-12-10,60
2020-12-11,506
2020-12-12,286
2020-12-13,160
2020-12-14,208
2020-12-15,122
2020-12-16,82
2020-12-17,134
2020-12-18,161
2020-12-19,119
2020-12-20,138
2020-12-21,94
2020-12-22,72
2020-12-23,50
2020-12-24,112
2020-12-25,113
2020-12-26,120
2020-12-27,0
2020-12-28,0
2020-12-29,71
2020-12-30,30
2020-12-31,77
2021-01-01,56
2021-01-02,52
2021-01-03,31
2021-01-04,0
2021-01-05,94
2021-01-06,37
2021-01-07,80
2021-01-08,90
2021-01-09,44
2021-01-10,50
2021-01-11,64
2021-01-12,37
2021-01-13,29
2021-01-14,34
2021-01-15,53
2021-01-16,37
2021-01-17,73
2021-01-18,0
2021-01-19,51
2021-01-20,12
2021-01-21,23
2021-01-22,27
2021-01-23,34
2021-01-24,24
2021-01-25,22
2021-01-26,28
2021-01-27,20
2021-01-28,18
2021-01-29,28
2021-01-30,29
2021-01-31,32
2021-02-01,31
2021-02-02,0
2021-02-03,37
2021-02-04,12
2021-02-05,21
2021-02-06,30
2021-02-07,5
2021-02-08,24
2021-02-09,0
2021-02-10,33
2021-02-11,9
2021-02-12,28
2021-02-13,7
2021-02-14,20
2021-02-15,11
2021-02-16,0
2021-02-17,30
2021-02-18,13
2021-02-19,7
2021-02-20,12
2021-02-21,20
2021-02-22,17
2021-02-23,0
2021-02-24,11
2021-02-25,9
2021-02-26,7
2021-02-27,9
2021-02-28,13
2021-03-01,0
2021-03-02,0
2021-03-03,20
2021-03-04,7
2021-03-05,8
2021-03-06,1
2021-03-07,6
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,10
2021-03-12,10
2021-03-13,4
2021-03-14,11
2021-03-15,0
2021-03-16,0
2021-03-17,13
2021-03-18,6
2021-03-19,7
2021-03-20,3
2021-03-21,1
2021-03-22,0
2021-03-23,0
2021-03-24,7
2021-03-25,3
2021-03-26,0
2021-03-27,1
2021-03-28,4
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,37
2021-04-02,4
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,21
2021-04-09,8
2021-04-10,2
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,16
2021-04-15,10
2021-04-16,9
2021-04-17,7
2021-04-18,9
2021-04-19,0
2021-04-20,0
2021-04-21,20
2021-04-22,10
2021-04-23,17
2021-04-24,11
2021-04-25,3
2021-04-26,0
2021-04-27,0
2021-04-28,25
2021-04-29,7
2021-04-30,8
2021-05-01,7
2021-05-02,22
2021-05-03,0
2021-05-04,0
2021-05-05,6
2021-05-06,1
2021-05-07,5
2021-05-08,2
2021-05-09,4
2021-05-10,0
2021-05-11,0
2021-05-12,14
2021-05-13,4
2021-05-14,3
2021-05-15,2
2021-05-16,5
2021-05-17,0
2021-05-18,0
2021-05-19,28
2021-05-20,3
2021-05-21,8
2021-05-22,8
2021-05-23,3
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,13
2021-05-28,7
2021-05-29,5
2021-05-30,2
2021-05-31,0
2021-06-01,0
2021-06-02,18
2021-06-03,10
2021-06-04,14
2021-06-05,7
2021-06-06,21
2021-06-07,0
2021-06-08,0
2021-06-09,38
2021-06-10,10
2021-06-11,7
2021-06-12,8
2021-06-13,14
2021-06-14,0
2021-06-15,0
2021-06-16,33
2021-06-17,18
2021-06-18,5
2021-06-19,0
2021-06-20,10
2021-06-21,0
2021-06-22,0
2021-06-23,35
2021-06-24,20
2021-06-25,24
2021-06-26,21
2021-06-27,33
2021-06-28,0
2021-06-29,0
2021-06-30,52
2021-07-01,38
2021-07-02,24
2021-07-03,49
2021-07-04,43
2021-07-05,0
2021-07-06,0
2021-07-07,48
2021-07-08,18
2021-07-09,35
2021-07-10,32
2021-07-11,42
2021-07-12,0
2021-07-13,0
2021-07-14,43
2021-07-15,26
2021-07-16,26
2021-07-17,31
2021-07-18,39
2021-07-19,0
2021-07-20,0
2021-07-21,89
2021-07-22,44
2021-07-23,49
2021-07-24,28
2021-07-25,24
2021-07-26,0
2021-07-27,0
2021-07-28,66
2021-07-29,0
2021-07-30,86
2021-07-31,45
2021-08-01,49
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,121
2021-08-06,47
2021-08-07,51
2021-08-08,56
2021-08-09,0
2021-08-10,0
2021-08-11,61
2021-08-12,79
2021-08-13,94
2021-08-14,66
2021-08-15,109
2021-08-16,0
