dates,incrementalcount_vaccine_covid_19_administered
2021-03-03,256
2021-03-04,144
2021-03-05,179
2021-03-10,1023
2021-03-11,2444
2021-03-12,2511
2021-03-16,1387
2021-03-17,971
2021-03-18,1207
2021-03-19,1856
2021-03-23,1080
2021-03-24,900
2021-04-13,1751
2021-04-16,1082
2021-04-21,1107
2021-04-22,1079
2021-04-23,1154
2021-04-28,1086
2021-05-06,592
2021-05-07,1016
2021-05-12,934
2021-05-18,10917
2021-05-19,1974
2021-05-28,1227
2021-06-02,820
2021-06-03,923
2021-06-04,1591
2021-06-16,2001
2021-06-17,1952
2021-07-02,4913
2021-07-06,3969
2021-07-07,4231
2021-07-08,3356
2021-07-16,3039
2021-07-20,1918
2021-07-23,2777
2021-07-27,2662
2021-07-30,5132
2021-08-04,2583
2021-08-05,2826
2021-08-06,2334
2021-08-10,2490
2021-08-11,2277
2021-08-12,2332
2021-08-13,3361
2021-08-17,1385
2021-08-18,1549
2021-09-07,1961
2021-09-14,3712
2021-09-23,4662
2021-09-24,5875
2021-09-29,5470
