dates,count_medicalconditionincident_covid_19_patienthospitalized
2021-05-08,902
2021-05-09,1083
2021-05-10,1315
2021-05-11,1414
2021-05-12,1337
2021-05-13,1476
2021-05-14,1521
2021-05-15,1711
2021-05-16,1728
2021-05-17,1746
2021-05-18,1767
2021-05-19,1788
2021-05-20,1808
2021-05-21,1859
2021-05-22,1866
2021-05-23,1885
2021-05-24,2032
2021-05-25,2272
2021-05-26,2353
2021-05-27,2373
2021-05-28,2361
2021-05-29,2370
2021-05-30,2410
2021-05-31,2433
2021-06-01,2425
2021-06-02,2420
2021-06-03,2402
2021-06-04,2381
2021-06-05,2398
2021-06-06,2419
2021-06-07,2308
2021-06-08,2214
2021-06-09,2203
2021-06-10,2207
2021-06-11,2195
2021-06-12,2253
2021-06-13,2256
2021-06-14,2232
2021-06-15,2198
2021-06-16,2170
2021-06-17,2140
2021-06-18,2128
2021-06-19,2096
2021-06-20,2076
2021-06-21,2033
2021-06-22,2014
2021-06-23,1981
2021-06-24,1959
2021-06-25,1929
2021-06-26,1907
2021-06-27,1872
2021-06-28,1842
2021-06-29,1838
2021-06-30,1757
2021-07-01,1719
2021-07-02,1684
2021-07-03,1648
2021-07-04,1592
2021-07-05,1539
2021-07-06,1485
2021-07-07,1420
2021-07-08,1361
2021-07-09,1354
2021-07-10,1342
2021-07-11,1322
2021-07-12,1314
2021-07-13,1289
2021-07-14,1269
2021-07-15,1256
2021-07-16,1228
2021-07-17,1223
2021-07-18,1219
2021-07-19,1206
2021-07-20,1183
2021-07-21,1149
2021-07-22,1155
2021-07-23,1149
2021-07-24,1161
2021-07-25,1119
2021-07-26,1092
2021-07-27,1066
2021-07-28,1042
2021-07-29,1004
2021-07-30,980
2021-07-31,999
2021-08-01,987
2021-08-02,940
2021-08-03,893
2021-08-04,910
2021-08-05,893
2021-08-06,874
2021-08-07,856
2021-08-08,858
2021-08-09,863
2021-08-10,855
2021-08-11,889
2021-08-12,844
2021-08-13,858
2021-08-14,840
2021-08-15,824
2021-08-16,832
2021-08-17,808
2021-08-18,783
2021-08-19,784
2021-08-20,785
2021-08-21,767
2021-08-22,763
2021-08-23,760
2021-08-24,757
2021-08-25,755
2021-08-26,738
2021-08-27,735
2021-08-28,747
2021-08-29,752
2021-08-30,743
2021-08-31,749
2021-09-01,727
2021-09-02,699
2021-09-03,685
2021-09-04,676
2021-09-05,661
2021-09-06,654
2021-09-07,628
2021-09-08,622
2021-09-09,630
2021-09-10,635
2021-09-11,643
2021-09-12,629
2021-09-13,619
2021-09-14,601
2021-09-15,586
2021-09-16,585
2021-09-17,612
2021-09-18,605
2021-09-19,594
2021-09-20,592
2021-09-21,592
2021-09-22,578
2021-09-23,546
2021-09-24,524
2021-09-25,497
2021-09-26,477
2021-09-27,456
2021-09-28,442
2021-09-29,450
2021-09-30,447
2021-10-01,446
2021-10-02,441
2021-10-03,427
2021-10-04,435
2021-10-05,445
2021-10-06,478
2021-10-07,472
2021-10-08,499
2021-10-09,439
2021-10-10,452
2021-10-11,521
2021-10-12,433
2021-10-13,439
2021-10-14,447
2021-10-15,434
2021-10-16,440
2021-10-17,441
2021-10-18,444
2021-10-19,432
2021-10-20,525
2021-10-21,582
2021-10-22,480
2021-10-23,617
2021-10-24,630
2021-10-25,645
2021-10-26,510
2021-10-27,457
2021-10-28,457
2021-10-29,462
2021-10-30,443
2021-10-31,446
2021-11-01,466
2021-11-02,481
2021-11-03,481
2021-11-04,506
2021-11-05,501
2021-11-06,504
2021-11-07,511
2021-11-08,519
2021-11-09,522
2021-11-10,546
2021-11-11,570
2021-11-12,591
2021-11-13,595
2021-11-14,577
2021-11-15,603
2021-11-16,641
2021-11-17,651
2021-11-18,652
2021-11-19,658
2021-11-20,663
2021-11-21,665
2021-11-22,667
2021-11-23,674
2021-11-24,679
2021-11-25,682
2021-11-26,680
2021-11-27,699
2021-11-28,706
2021-11-29,729
2021-11-30,704
2021-12-01,723
2021-12-02,721
2021-12-03,729
2021-12-04,727
2021-12-05,708
2021-12-06,698
2021-12-07,733
2021-12-08,734
2021-12-09,774
2021-12-10,775
2021-12-11,770
2021-12-12,750
2021-12-13,828
2021-12-14,828
2021-12-15,850
2021-12-16,854
2021-12-17,871
2021-12-18,879
2021-12-19,892
2021-12-20,924
2021-12-21,934
2021-12-22,933
2021-12-23,954
2021-12-24,931
2021-12-25,956
2021-12-26,973
2021-12-27,1001
2021-12-28,1024
2021-12-29,1083
2021-12-30,1129
2021-12-31,1160
2022-01-01,1171
2022-01-02,1209
2022-01-03,1223
2022-01-04,1316
2022-01-05,1395
2022-01-06,1490
2022-01-07,1516
2022-01-08,1564
2022-01-09,1620
2022-01-10,1667
2022-01-11,1701
2022-01-12,1767
2022-01-13,1783
2022-01-14,1825
2022-01-15,1832
2022-01-16,1810
2022-01-17,1802
2022-01-18,1814
2022-01-19,1829
2022-01-20,1793
2022-01-21,1765
2022-01-22,1773
2022-01-23,1745
2022-01-24,1756
2022-01-25,1690
2022-01-26,1647
2022-01-27,1551
2022-01-28,1504
2022-01-29,1504
2022-01-30,1403
2022-01-31,1358
2022-02-01,1288
2022-02-02,1245
2022-02-03,1210
2022-02-04,1103
2022-02-05,1031
2022-02-06,993
2022-02-07,928
2022-02-08,862
2022-02-09,818
2022-02-10,779
2022-02-11,734
2022-02-12,700
2022-02-13,667
2022-02-14,646
2022-02-15,598
2022-02-16,556
