dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,4
2020-02-16,3
2020-02-17,0
2020-02-18,-1
2020-02-19,-2
2020-02-20,7
2020-02-21,10
2020-02-22,6
2020-02-23,7
2020-02-24,-7
2020-02-25,-29
2020-02-26,-11
2020-02-27,2
2020-02-28,3
2020-02-29,5
2020-03-01,3
2020-03-02,1
2020-03-03,2
2020-03-04,2
2020-03-05,7
2020-03-06,11
2020-03-07,13
2020-03-08,11
2020-03-09,5
2020-03-10,5
2020-03-11,2
2020-03-12,4
2020-03-13,7
2020-03-14,7
2020-03-15,7
2020-03-16,6
2020-03-17,7
2020-03-18,5
2020-03-19,2
2020-03-20,0
2020-03-21,-16
2020-03-22,-33
2020-03-23,-26
2020-03-24,-33
2020-03-25,-32
2020-03-26,-29
2020-03-27,-26
2020-03-28,-27
2020-03-29,-35
2020-03-30,-26
2020-03-31,-21
2020-04-01,-19
2020-04-02,-17
2020-04-03,-14
2020-04-04,-13
2020-04-05,-24
2020-04-06,-14
2020-04-07,-8
2020-04-08,-7
2020-04-09,11
2020-04-10,-38
2020-04-11,-5
2020-04-12,-25
2020-04-13,-19
2020-04-14,-20
2020-04-15,-17
2020-04-16,-14
2020-04-17,-11
2020-04-18,-15
2020-04-19,-23
2020-04-20,-11
2020-04-21,-37
2020-04-22,-15
2020-04-23,-17
2020-04-24,-14
2020-04-25,-14
2020-04-26,-22
2020-04-27,-19
2020-04-28,-16
2020-04-29,-15
2020-04-30,3
2020-05-01,-33
2020-05-02,-7
2020-05-03,-21
2020-05-04,-10
2020-05-05,-7
2020-05-06,-6
2020-05-07,1
2020-05-08,7
2020-05-09,10
2020-05-10,-4
2020-05-11,-11
2020-05-12,-11
2020-05-13,-14
2020-05-14,-12
2020-05-15,-7
2020-05-16,-8
2020-05-17,-17
2020-05-18,-13
2020-05-19,-13
2020-05-20,-8
2020-05-21,-7
2020-05-22,-6
2020-05-23,-7
2020-05-24,-18
2020-05-25,-12
2020-05-26,-9
2020-05-27,-8
2020-05-28,-4
2020-05-29,3
2020-05-30,2
2020-05-31,-9
2020-06-01,-3
2020-06-02,-4
2020-06-03,-3
2020-06-04,0
2020-06-05,9
2020-06-06,8
2020-06-07,-5
2020-06-08,1
2020-06-09,-2
2020-06-10,5
2020-06-11,-13
2020-06-12,14
2020-06-13,-2
2020-06-14,-12
2020-06-15,-4
2020-06-16,-4
2020-06-17,-4
2020-06-18,-3
2020-06-19,1
2020-06-20,2
2020-06-21,-8
2020-06-22,-5
2020-06-23,-2
2020-06-24,-8
2020-06-25,-3
2020-06-26,1
2020-06-27,-3
2020-06-28,-12
2020-06-29,-6
2020-06-30,2
2020-07-01,4
2020-07-02,8
2020-07-03,11
2020-07-04,12
2020-07-05,-4
2020-07-06,7
2020-07-07,9
2020-07-08,6
2020-07-09,8
2020-07-10,12
2020-07-11,8
2020-07-12,-6
2020-07-13,0
2020-07-14,-1
2020-07-15,2
2020-07-16,4
2020-07-17,7
2020-07-18,7
2020-07-19,-5
2020-07-20,3
2020-07-21,2
2020-07-22,2
2020-07-23,4
2020-07-24,8
2020-07-25,7
2020-07-26,-6
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,5
2020-07-31,15
2020-08-01,16
2020-08-02,1
2020-08-03,8
2020-08-04,9
2020-08-05,11
2020-08-06,17
2020-08-07,22
2020-08-08,26
2020-08-09,9
2020-08-10,8
2020-08-11,7
2020-08-12,5
2020-08-13,8
2020-08-14,12
2020-08-15,10
2020-08-16,-3
2020-08-17,3
2020-08-18,2
