dates,covid19mobilitytrend_localbusiness
2020-02-15,5
2020-02-16,2
2020-02-17,-2
2020-02-18,-3
2020-02-19,-1
2020-02-20,1
2020-02-21,2
2020-02-22,-3
2020-02-23,4
2020-02-24,-14
2020-02-25,-31
2020-02-26,-18
2020-02-27,-8
2020-02-28,-5
2020-02-29,-3
2020-03-01,-9
2020-03-02,-6
2020-03-03,-5
2020-03-04,-1
2020-03-05,0
2020-03-06,6
2020-03-07,9
2020-03-08,8
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,-2
2020-03-13,0
2020-03-14,-2
2020-03-15,-8
2020-03-16,-11
2020-03-17,-19
2020-03-18,-25
2020-03-19,-36
2020-03-20,-45
2020-03-21,-63
2020-03-22,-72
2020-03-23,-65
2020-03-24,-71
2020-03-25,-69
2020-03-26,-69
2020-03-27,-67
2020-03-28,-70
2020-03-29,-71
2020-03-30,-62
2020-03-31,-60
2020-04-01,-58
2020-04-02,-59
2020-04-03,-60
2020-04-04,-63
2020-04-05,-67
2020-04-06,-56
2020-04-07,-53
2020-04-08,-52
2020-04-09,-49
2020-04-10,-76
2020-04-11,-59
2020-04-12,-67
2020-04-13,-54
2020-04-14,-56
2020-04-15,-54
2020-04-16,-56
2020-04-17,-55
2020-04-18,-61
2020-04-19,-67
2020-04-20,-53
2020-04-21,-71
2020-04-22,-53
2020-04-23,-56
2020-04-24,-55
2020-04-25,-59
2020-04-26,-65
2020-04-27,-54
2020-04-28,-53
2020-04-29,-52
2020-04-30,-48
2020-05-01,-71
2020-05-02,-57
2020-05-03,-65
2020-05-04,-50
2020-05-05,-50
2020-05-06,-49
2020-05-07,-48
2020-05-08,-46
2020-05-09,-47
2020-05-10,-59
2020-05-11,-49
2020-05-12,-51
2020-05-13,-51
2020-05-14,-52
2020-05-15,-52
2020-05-16,-55
2020-05-17,-63
2020-05-18,-50
2020-05-19,-51
2020-05-20,-50
2020-05-21,-51
2020-05-22,-52
2020-05-23,-56
2020-05-24,-66
2020-05-25,-53
2020-05-26,-50
2020-05-27,-48
2020-05-28,-48
2020-05-29,-47
2020-05-30,-50
2020-05-31,-60
2020-06-01,-45
2020-06-02,-46
2020-06-03,-44
2020-06-04,-45
2020-06-05,-42
2020-06-06,-45
2020-06-07,-56
2020-06-08,-39
2020-06-09,-42
2020-06-10,-36
2020-06-11,-54
2020-06-12,-33
2020-06-13,-46
2020-06-14,-57
2020-06-15,-40
2020-06-16,-41
2020-06-17,-40
2020-06-18,-41
2020-06-19,-41
2020-06-20,-44
2020-06-21,-54
2020-06-22,-40
2020-06-23,-40
2020-06-24,-43
2020-06-25,-43
2020-06-26,-43
2020-06-27,-50
2020-06-28,-57
2020-06-29,-42
2020-06-30,-39
2020-07-01,-38
2020-07-02,-38
2020-07-03,-37
2020-07-04,-40
2020-07-05,-51
2020-07-06,-35
2020-07-07,-34
2020-07-08,-34
2020-07-09,-36
2020-07-10,-34
2020-07-11,-40
2020-07-12,-50
2020-07-13,-35
2020-07-14,-37
2020-07-15,-34
2020-07-16,-36
2020-07-17,-35
2020-07-18,-39
2020-07-19,-47
2020-07-20,-33
2020-07-21,-34
2020-07-22,-33
2020-07-23,-34
2020-07-24,-34
2020-07-25,-38
2020-07-26,-47
2020-07-27,-33
2020-07-28,-35
2020-07-29,-34
2020-07-30,-34
2020-07-31,-30
2020-08-01,-32
2020-08-02,-42
2020-08-03,-28
2020-08-04,-28
2020-08-05,-25
2020-08-06,-24
2020-08-07,-21
2020-08-08,-21
2020-08-09,-39
2020-08-10,-25
2020-08-11,-27
2020-08-12,-27
2020-08-13,-28
2020-08-14,-26
2020-08-15,-30
2020-08-16,-40
2020-08-17,-30
2020-08-18,-31
2020-08-19,-29
2020-08-20,-31
2020-08-21,-32
2020-08-22,-32
2020-08-23,-40
2020-08-24,-27
2020-08-25,-27
2020-08-26,-25
2020-08-27,-27
2020-08-28,-24
2020-08-29,-25
2020-08-30,-33
2020-08-31,-27
2020-09-01,-26
2020-09-02,-22
2020-09-03,-22
2020-09-04,-18
2020-09-05,-17
2020-09-06,-26
2020-09-07,-44
2020-09-08,-21
2020-09-09,-21
2020-09-10,-20
2020-09-11,-19
2020-09-12,-20
2020-09-13,-28
2020-09-14,-23
2020-09-15,-23
2020-09-16,-23
2020-09-17,-24
2020-09-18,-21
2020-09-19,-21
2020-09-20,-33
2020-09-21,-27
2020-09-22,-31
2020-09-23,-28
2020-09-24,-28
2020-09-25,-25
2020-09-26,-26
2020-09-27,-33
2020-09-28,-31
2020-09-29,-28
2020-09-30,-24
2020-10-01,-24
2020-10-02,-20
2020-10-03,-21
2020-10-04,-30
2020-10-05,-23
2020-10-06,-20
2020-10-07,-17
2020-10-08,-18
2020-10-09,-18
2020-10-10,-12
2020-10-11,-18
2020-10-12,-34
2020-10-13,-21
2020-10-14,-20
2020-10-15,-21
2020-10-16,-20
2020-10-17,-18
2020-10-18,-26
2020-10-19,-28
2020-10-20,-23
2020-10-21,-20
2020-10-22,-20
2020-10-23,-19
2020-10-24,-20
2020-10-25,-26
2020-10-26,-24
2020-10-27,-22
2020-10-28,-20
2020-10-29,-21
2020-10-30,-21
2020-10-31,-18
2020-11-01,-23
2020-11-02,-43
2020-11-03,-22
2020-11-04,-19
2020-11-05,-18
2020-11-06,-14
2020-11-07,-10
2020-11-08,-17
2020-11-09,-19
2020-11-10,-17
2020-11-11,-18
2020-11-12,-17
2020-11-13,-15
2020-11-14,-11
2020-11-15,-4
2020-11-16,-21
2020-11-17,-22
2020-11-18,-22
2020-11-19,-19
2020-11-20,-19
2020-11-21,-13
2020-11-22,-20
2020-11-23,-20
2020-11-24,-20
2020-11-25,-17
2020-11-26,-17
2020-11-27,-9
2020-11-28,-10
2020-11-29,-13
2020-11-30,-17
2020-12-01,-16
2020-12-02,-14
2020-12-03,-15
2020-12-04,-11
2020-12-05,-10
2020-12-06,-19
2020-12-07,-14
2020-12-08,-16
2020-12-09,-14
2020-12-10,-14
2020-12-11,-13
2020-12-12,-12
2020-12-13,-18
2020-12-14,-15
2020-12-15,-13
2020-12-16,-11
2020-12-17,-11
2020-12-18,-7
2020-12-19,-5
2020-12-20,-6
2020-12-21,-2
2020-12-22,0
2020-12-23,7
2020-12-24,-16
2020-12-25,-71
2020-12-26,-36
2020-12-27,-36
2020-12-28,-14
2020-12-29,-14
2020-12-30,-6
2020-12-31,-29
2021-01-01,-69
2021-01-02,-45
2021-01-03,-37
2021-01-04,-23
2021-01-05,-22
2021-01-06,-21
2021-01-07,-20
2021-01-08,-18
2021-01-09,-20
2021-01-10,-27
2021-01-11,-19
2021-01-12,-23
2021-01-13,-24
2021-01-14,-27
2021-01-15,-28
2021-01-16,-29
2021-01-17,-34
2021-01-18,-29
2021-01-19,-29
2021-01-20,-27
2021-01-21,-27
2021-01-22,-26
2021-01-23,-28
2021-01-24,-33
2021-01-25,-30
2021-01-26,-30
2021-01-27,-28
2021-01-28,-28
2021-01-29,-24
2021-01-30,-31
2021-01-31,-36
2021-02-01,-26
2021-02-02,-27
2021-02-03,-26
2021-02-04,-26
2021-02-05,-22
2021-02-06,-23
2021-02-07,-32
2021-02-08,-24
2021-02-09,-23
2021-02-10,-22
2021-02-11,-24
2021-02-12,-22
2021-02-13,-24
2021-02-14,-30
2021-02-15,-28
2021-02-16,-35
2021-02-17,-27
2021-02-18,-24
2021-02-19,-22
2021-02-20,-23
2021-02-21,-31
2021-02-22,-26
2021-02-23,-26
2021-02-24,-26
2021-02-25,-26
2021-02-26,-26
2021-02-27,-32
2021-02-28,-40
2021-03-01,-30
2021-03-02,-30
2021-03-03,-29
2021-03-04,-30
2021-03-05,-26
2021-03-06,-41
2021-03-07,-51
2021-03-08,-32
2021-03-09,-35
2021-03-10,-32
2021-03-11,-35
2021-03-12,-34
2021-03-13,-44
2021-03-14,-52
2021-03-15,-38
2021-03-16,-39
2021-03-17,-40
2021-03-18,-43
2021-03-19,-43
2021-03-20,-49
2021-03-21,-56
2021-03-22,-41
2021-03-23,-43
2021-03-24,-41
2021-03-25,-41
2021-03-26,-44
2021-03-27,-51
2021-03-28,-59
2021-03-29,-44
2021-03-30,-43
2021-03-31,-37
2021-04-01,-32
2021-04-02,-67
2021-04-03,-46
2021-04-04,-57
2021-04-05,-37
2021-04-06,-38
2021-04-07,-34
2021-04-08,-33
2021-04-09,-33
2021-04-10,-37
2021-04-11,-49
2021-04-12,-33
2021-04-13,-34
2021-04-14,-32
2021-04-15,-32
2021-04-16,-32
2021-04-17,-35
2021-04-18,-46
2021-04-19,-30
2021-04-20,-26
2021-04-21,-45
2021-04-22,-29
2021-04-23,-28
2021-04-24,-29
2021-04-25,-40
2021-04-26,-28
2021-04-27,-28
2021-04-28,-26
2021-04-29,-26
2021-04-30,-20
2021-05-01,-34
2021-05-02,-32
2021-05-03,-21
2021-05-04,-23
2021-05-05,-21
2021-05-06,-20
2021-05-07,-14
2021-05-08,-8
2021-05-09,-26
2021-05-10,-21
2021-05-11,-22
2021-05-12,-22
2021-05-13,-24
2021-05-14,-20
2021-05-15,-18
2021-05-16,-29
2021-05-17,-22
2021-05-18,-23
2021-05-19,-21
2021-05-20,-21
2021-05-21,-20
2021-05-22,-24
2021-05-23,-33
2021-05-24,-24
2021-05-25,-23
2021-05-26,-21
2021-05-27,-21
2021-05-28,-19
2021-05-29,-20
2021-05-30,-33
2021-05-31,-22
2021-06-01,-18
2021-06-02,-12
2021-06-03,-33
2021-06-04,-14
2021-06-05,-17
2021-06-06,-28
2021-06-07,-17
2021-06-08,-16
2021-06-09,-13
2021-06-10,-15
2021-06-11,-12
2021-06-12,-5
2021-06-13,-26
2021-06-14,-18
2021-06-15,-18
2021-06-16,-17
2021-06-17,-20
2021-06-18,-18
2021-06-19,-20
2021-06-20,-28
2021-06-21,-20
2021-06-22,-20
2021-06-23,-17
2021-06-24,-22
2021-06-25,-16
2021-06-26,-17
2021-06-27,-26
2021-06-28,-20
2021-06-29,-24
2021-06-30,-15
2021-07-01,-13
2021-07-02,-12
2021-07-03,-9
2021-07-04,-20
2021-07-05,-12
2021-07-06,-11
2021-07-07,-6
2021-07-08,-6
2021-07-09,-9
2021-07-10,-7
2021-07-11,-15
2021-07-12,-11
2021-07-13,-12
2021-07-14,-9
2021-07-15,-10
2021-07-16,-10
2021-07-17,-9
2021-07-18,-16
2021-07-19,-13
2021-07-20,-12
2021-07-21,-9
2021-07-22,-10
2021-07-23,-9
2021-07-24,-9
2021-07-25,-14
2021-07-26,-14
2021-07-27,-14
2021-07-28,-17
2021-07-29,-13
2021-07-30,-8
2021-07-31,-7
2021-08-01,-14
2021-08-02,-10
2021-08-03,-11
2021-08-04,-8
2021-08-05,-6
2021-08-06,1
2021-08-07,5
2021-08-08,-8
2021-08-09,-8
2021-08-10,-8
2021-08-11,-8
2021-08-12,-11
2021-08-13,-9
2021-08-14,-5
2021-08-15,-11
2021-08-16,-12
2021-08-17,-11
2021-08-18,-9
2021-08-19,-9
2021-08-20,-6
2021-08-21,-4
2021-08-22,-10
2021-08-23,-12
2021-08-24,-13
2021-08-25,-11
2021-08-26,-11
2021-08-27,-10
2021-08-28,-11
2021-08-29,-16
2021-08-30,-13
2021-08-31,-10
2021-09-01,-6
2021-09-02,-5
2021-09-03,-2
2021-09-04,0
2021-09-05,-5
2021-09-06,4
2021-09-07,-29
2021-09-08,-7
2021-09-09,-8
2021-09-10,-3
2021-09-11,-1
2021-09-12,-7
2021-09-13,-9
2021-09-14,-10
2021-09-15,-7
2021-09-16,-9
2021-09-17,-5
2021-09-18,-2
2021-09-19,-8
2021-09-20,-11
2021-09-21,-10
2021-09-22,-8
2021-09-23,-8
2021-09-24,-5
2021-09-25,-5
2021-09-26,-9
2021-09-27,-11
2021-09-28,-12
2021-09-29,-9
2021-09-30,-6
2021-10-01,-4
2021-10-02,0
2021-10-03,-11
2021-10-04,-10
2021-10-05,-6
2021-10-06,0
2021-10-07,0
2021-10-08,5
2021-10-09,3
2021-10-10,-7
2021-10-11,8
2021-10-12,-14
2021-10-13,-3
2021-10-14,-5
2021-10-15,-3
2021-10-16,-2
2021-10-17,-10
2021-10-18,-13
2021-10-19,-10
2021-10-20,-5
2021-10-21,-4
2021-10-22,0
2021-10-23,0
2021-10-24,-11
2021-10-25,-8
2021-10-26,-7
2021-10-27,-5
2021-10-28,-4
2021-10-29,1
2021-10-30,2
2021-10-31,-8
2021-11-01,2
2021-11-02,-28
2021-11-03,-3
2021-11-04,-2
2021-11-05,4
2021-11-06,6
2021-11-07,1
2021-11-08,-1
2021-11-09,-2
2021-11-10,1
2021-11-11,-3
2021-11-12,2
2021-11-13,6
2021-11-14,5
2021-11-15,-21
2021-11-16,-4
2021-11-17,-1
2021-11-18,-6
2021-11-19,0
2021-11-20,3
2021-11-21,2
2021-11-22,-2
2021-11-23,-2
2021-11-24,0
2021-11-25,1
2021-11-26,7
2021-11-27,5
2021-11-28,2
2021-11-29,-3
2021-11-30,1
2021-12-01,5
2021-12-02,5
2021-12-03,7
2021-12-04,12
2021-12-05,6
2021-12-06,2
2021-12-07,4
2021-12-08,7
2021-12-09,9
2021-12-10,12
2021-12-11,14
2021-12-12,9
2021-12-13,3
2021-12-14,4
2021-12-15,11
2021-12-16,14
2021-12-17,13
2021-12-18,18
2021-12-19,22
2021-12-20,23
2021-12-21,23
2021-12-22,27
2021-12-23,30
2021-12-24,-3
2021-12-25,-57
2021-12-26,-7
2021-12-27,1
2021-12-28,2
2021-12-29,7
2021-12-30,8
2021-12-31,-18
2022-01-01,-56
2022-01-02,-14
2022-01-03,-9
2022-01-04,-9
2022-01-05,-7
2022-01-06,-8
2022-01-07,-6
2022-01-08,-8
2022-01-09,-16
2022-01-10,-5
2022-01-11,-9
2022-01-12,-7
2022-01-13,-8
2022-01-14,-7
2022-01-15,-8
2022-01-16,-12
2022-01-17,-8
2022-01-18,-9
2022-01-19,-4
2022-01-20,-6
2022-01-21,-3
2022-01-22,-5
2022-01-23,-8
2022-01-24,-7
2022-01-25,-7
2022-01-26,-6
2022-01-27,-7
2022-01-28,-6
2022-01-29,-7
2022-01-30,-13
2022-01-31,-6
