dates,cumulativecount_medicaltest_conditioncovid_19
2020-04-26,179698
2020-04-27,187145
2020-04-28,189730
2020-04-29,194407
2020-04-30,237903
2020-05-03,249063
2020-05-04,249331
2020-05-06,298044
2020-05-07,299605
2020-05-10,359273
2020-05-14,430405
2020-05-15,466209
2020-05-18,583549
2020-05-22,705048
2020-05-23,705289
2020-05-25,846669
2020-05-26,883885
2020-05-28,935748
2020-05-29,1084104
2020-05-30,1104772
2020-06-02,1247455
2020-06-05,1375741
2020-06-06,1470260
2020-06-09,1605960
2020-06-13,1826663
2020-06-14,1828459
2020-06-17,2117602
2020-06-18,2550648
2020-06-21,2782076
2020-06-24,2793176
2020-06-26,3157120
2020-06-29,3203771
2020-07-01,3504141
2020-07-05,3889883
2020-07-08,4287499
2020-07-11,4869986
2020-07-12,4870980
2020-07-15,5074948
2020-07-16,5233799
2020-07-20,5535729
2020-07-24,6047128
2020-07-28,6359398
2020-07-30,6988772
2020-08-02,8179160
2020-08-04,8185369
2020-08-06,8477624
2020-08-09,8638045
2020-08-10,9130523
2020-08-12,9497419
2020-08-14,10255722
2020-08-16,10570174
2020-08-20,10980583
2020-08-21,11005604
2020-08-24,11193479
2020-08-27,11210798
2020-08-29,11682165
2020-09-01,11907217
2020-09-02,11933975
2020-09-03,11953385
2020-09-07,13270898
2020-09-11,13807456
2020-09-12,13836559
2020-09-16,14149045
2020-09-17,14166928
2020-09-21,14457260
2020-09-24,15096660
2020-09-29,15375387
2020-09-30,15412955
2020-10-03,15715116
2020-10-08,16037030
2020-10-10,16772127
2020-10-27,18736824
2020-10-28,18816082
2020-10-29,18845636
2020-10-30,18894312
2020-10-31,21374279
2020-11-01,21406521
2020-11-02,21426648
2020-11-03,21455397
2020-11-04,21518065
2020-11-05,21635781
2020-11-06,21682101
2020-11-07,21744150
2020-11-08,21766350
2020-11-09,21811819
2020-11-10,21878411
2020-11-11,21908724
2020-11-12,22008774
2020-11-13,22084995
2020-11-14,22089038
2020-11-16,22223755
2020-11-17,22274567
2020-11-18,22357626
2020-11-19,22420323
2020-11-20,22503688
2020-11-21,22528947
2020-11-22,22564250
2020-11-23,22634876
2020-11-24,22711485
2020-11-25,22780858
2020-11-26,22879792
2020-11-27,22999678
2020-11-30,23183521
2020-12-01,25667025
2020-12-02,25736998
2020-12-03,25847171
2020-12-04,25925584
2020-12-05,25957935
2020-12-06,25966103
2020-12-07,26074986
2020-12-08,26153478
2020-12-10,26309534
2020-12-11,26489470
2020-12-12,26492110
2020-12-13,26596658
2020-12-14,26625122
2020-12-15,26720982
2020-12-16,26765768
2020-12-17,26916786
2020-12-18,26940294
2020-12-19,27044505
2020-12-20,27092095
2020-12-21,27179327
2020-12-22,27234590
2020-12-23,27246435
2020-12-26,27464362
2020-12-27,27480401
2020-12-28,29017161
2020-12-29,29067010
2020-12-30,29170573
2020-12-31,29244757
2021-01-01,29249432
2021-01-02,29298771
2021-01-03,29325305
2021-01-04,29360809
2021-01-05,29433114
2021-01-06,29498348
2021-01-07,29561570
2021-01-08,29638759
2021-01-09,29691328
2021-01-10,29723641
2021-01-11,29818855
2021-01-12,29826084
2021-01-13,29955213
2021-01-14,30024424
2021-01-15,30124644
2021-01-16,30194431
2021-01-17,30244995
2021-01-18,30334083
2021-01-19,30417016
2021-01-21,30488673
2021-01-22,30663982
2021-01-23,30689586
2021-01-24,30751500
2021-01-25,30774397
2021-01-26,30900248
2021-01-27,30938972
2021-01-28,32789216
2021-01-29,32880655
2021-01-30,33028536
2021-01-31,33046556
2021-02-01,33078118
2021-02-02,33115124
2021-02-03,33126511
2021-02-08,33132899
2021-02-09,33355154
2021-02-10,33409955
2021-02-11,33441753
2021-02-12,33601025
2021-02-13,33662928
2021-02-14,33708882
2021-02-15,33741300
2021-02-16,33767865
2021-02-17,33875901
2021-02-18,33909730
2021-02-19,34018639
2021-02-20,34146745
2021-02-21,34175241
2021-02-22,34184282
2021-02-23,34308759
2021-02-24,34326575
2021-02-25,34460303
2021-02-26,34539560
2021-02-27,34704162
2021-02-28,34725552
2021-03-01,34765380
2021-03-02,36714837
2021-03-03,36792787
2021-03-04,36898125
2021-03-05,36976780
2021-03-06,36992037
2021-03-07,37105304
2021-03-08,37177496
2021-03-09,37258191
2021-03-10,37330968
2021-03-11,37428587
2021-03-12,37655071
2021-03-13,37786476
2021-03-14,37823393
2021-03-15,37907905
2021-03-16,38009513
2021-03-17,38117808
2021-03-18,38237629
2021-03-19,38331495
2021-03-20,38402854
2021-03-21,38414595
2021-03-22,38533309
2021-03-23,38602870
2021-03-24,38771509
2021-03-25,38845418
2021-03-26,41765747
2021-03-27,41827329
2021-03-28,41879940
2021-03-29,41912110
2021-03-30,41971077
2021-03-31,42090429
2021-04-01,42168722
2021-04-02,42240982
2021-04-03,42250568
2021-04-04,42290951
2021-04-05,42349570
2021-04-06,42419408
2021-04-07,42591815
2021-04-08,42676465
2021-04-09,42741642
2021-04-11,42839236
2021-04-12,42869592
2021-04-13,42964671
2021-04-14,42986801
2021-04-15,43050813
2021-04-16,43152651
2021-04-17,43172148
2021-04-18,43239204
2021-04-19,43246224
2021-04-20,43364614
2021-04-21,43385777
2021-04-22,43486715
2021-04-23,43538104
2021-04-25,43539837
2021-04-26,43559085
2021-04-27,43748615
2021-04-28,43775323
2021-04-29,43821152
2021-04-30,43957543
2021-05-01,43991474
2021-05-02,46437617
2021-05-03,46515675
2021-05-04,46546245
2021-05-05,46623449
2021-05-06,46675867
2021-05-07,46822608
2021-05-08,46834128
2021-05-09,46886139
2021-05-10,46901500
2021-05-11,46933781
2021-05-12,46981303
2021-05-13,47012314
2021-05-14,47041452
2021-05-15,47073060
2021-05-17,47116589
2021-05-18,48852865
2021-05-19,48940425
2021-05-20,48986473
2021-05-21,49013934
2021-05-22,49046902
2021-05-24,49072172
2021-05-25,49076549
2021-05-26,49081279
2021-05-27,49353004
2021-05-28,49384362
2021-05-29,49403998
2021-05-30,49410095
2021-05-31,49495703
2021-06-01,49569793
2021-06-02,49631233
2021-06-03,49765330
2021-06-04,49857892
2021-06-05,49878944
2021-06-06,49939952
2021-06-07,50029606
2021-06-08,50073330
2021-06-09,50127012
2021-06-10,50191122
2021-06-11,50245852
2021-06-12,50485241
2021-06-13,50801841
2021-06-14,50835875
2021-06-15,50893819
2021-06-16,50951461
2021-06-17,52726489
2021-06-18,52781423
2021-06-19,52818761
2021-06-21,52820657
2021-06-22,52977109
2021-06-23,53008201
2021-06-24,53057848
2021-06-25,53196856
2021-06-26,53202943
2021-06-27,53209627
2021-06-28,53286135
2021-06-29,53320295
2021-06-30,53327474
2021-07-01,53971507
2021-07-02,54003112
2021-07-03,54021950
2021-07-04,54128041
2021-07-05,54146861
2021-07-06,54178005
2021-07-07,54204686
2021-07-08,54226282
2021-07-09,54242687
2021-07-10,54395937
2021-07-11,54402249
2021-07-12,54472957
2021-07-13,54522599
2021-07-15,54555012
2021-07-16,54673618
2021-07-17,54677459
2021-07-18,54732334
2021-07-19,54743490
2021-07-20,54786381
2021-07-21,54794279
2021-07-22,54891331
2021-07-24,54976702
2021-07-25,55034463
2021-07-26,55034721
2021-07-29,55055559
2021-08-05,55592668
2021-08-08,55633393
2021-08-10,55985277
2021-08-12,56023684
2021-08-16,56057235
2021-08-18,56580445
2021-08-21,56617857
2021-08-23,56636459
2021-08-25,56873550
2021-08-29,56897224
2021-09-02,56968977
2021-09-03,57095219
2021-09-08,57198050
2021-09-11,57282520
2021-09-21,57303260
2021-09-23,57303974
2021-09-29,57522913
2021-10-12,64511151
2021-10-14,64552183
2021-10-29,64750853
2021-11-08,64755932
2021-11-22,65182444
2021-11-24,65191446
2021-12-01,65380088
2021-12-19,65497639
2021-12-31,66100617
2022-01-15,66119400
2022-01-18,66120342
2022-01-24,66606202
2022-02-01,67204366
2022-02-08,67689970
2022-02-15,69640999
2022-03-03,69951873
2022-03-11,70923215
