dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,1
2020-04-08,2
2020-04-09,3
2020-04-10,3
2020-04-11,4
2020-04-12,4
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,5
2020-04-22,5
2020-04-23,5
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,7
2020-05-02,7
2020-05-03,7
2020-05-04,7
2020-05-05,7
2020-05-06,7
2020-05-07,7
2020-05-08,7
2020-05-09,7
2020-05-10,7
2020-05-11,7
2020-05-12,7
2020-05-13,7
2020-05-14,7
2020-05-15,7
2020-05-16,7
2020-05-17,7
2020-05-18,7
2020-05-19,7
2020-05-20,7
2020-05-21,7
2020-05-22,7
2020-05-23,7
2020-05-24,7
2020-05-25,7
2020-05-26,7
2020-05-27,7
2020-05-28,7
2020-05-29,7
2020-05-30,7
2020-05-31,7
2020-06-01,7
2020-06-02,7
2020-06-03,7
2020-06-04,7
2020-06-05,7
2020-06-06,7
2020-06-07,7
2020-06-08,7
2020-06-09,7
2020-06-10,7
2020-06-11,7
2020-06-12,7
2020-06-13,7
2020-06-14,7
2020-06-15,7
2020-06-16,7
2020-06-17,7
2020-06-18,7
2020-06-19,7
2020-06-20,7
2020-06-21,7
2020-06-22,7
2020-06-23,7
2020-06-24,7
2020-06-25,7
2020-06-26,7
2020-06-27,7
2020-06-28,7
2020-06-29,7
2020-06-30,7
2020-07-01,7
2020-07-02,7
2020-07-03,7
2020-07-04,7
2020-07-05,7
2020-07-06,7
2020-07-07,7
2020-07-08,7
2020-07-09,7
2020-07-10,7
2020-07-11,7
2020-07-12,7
2020-07-13,7
2020-07-14,7
2020-07-15,7
2020-07-16,7
2020-07-17,7
2020-07-18,7
2020-07-19,7
2020-07-20,7
2020-07-21,7
2020-07-22,7
2020-07-23,7
2020-07-24,7
2020-07-25,7
2020-07-26,7
2020-07-27,7
2020-07-28,7
2020-07-29,7
2020-07-30,7
2020-07-31,7
2020-08-01,7
2020-08-02,7
2020-08-03,7
2020-08-04,7
2020-08-05,7
2020-08-06,7
2020-08-07,7
2020-08-08,7
2020-08-09,7
2020-08-10,7
2020-08-11,7
2020-08-12,7
2020-08-13,7
2020-08-14,7
2020-08-15,7
2020-08-16,7
2020-08-17,7
2020-08-18,7
2020-08-19,7
2020-08-20,7
2020-08-21,7
2020-08-22,7
2020-08-23,7
2020-08-24,7
2020-08-25,7
2020-08-26,7
2020-08-27,7
2020-08-28,7
2020-08-29,7
2020-08-30,7
2020-08-31,7
2020-09-01,7
2020-09-02,7
2020-09-03,7
2020-09-04,7
2020-09-05,7
2020-09-06,7
2020-09-07,7
2020-09-08,7
2020-09-09,7
2020-09-10,7
2020-09-11,7
2020-09-12,7
2020-09-13,7
2020-09-14,7
2020-09-15,7
2020-09-16,7
2020-09-17,7
2020-09-18,7
2020-09-19,7
2020-09-20,7
2020-09-21,7
2020-09-22,7
2020-09-23,7
2020-09-24,7
2020-09-25,7
2020-09-26,7
2020-09-27,7
2020-09-28,7
2020-09-29,7
2020-09-30,7
2020-10-01,7
2020-10-02,7
2020-10-03,7
2020-10-04,7
2020-10-05,7
2020-10-06,7
2020-10-07,7
2020-10-08,7
2020-10-09,7
2020-10-10,7
2020-10-11,7
2020-10-12,7
2020-10-13,7
2020-10-14,7
2020-10-15,7
2020-10-16,7
2020-10-17,7
2020-10-18,7
2020-10-19,7
2020-10-20,7
2020-10-21,7
2020-10-22,7
2020-10-23,7
2020-10-24,7
2020-10-25,7
2020-10-26,7
2020-10-27,7
2020-10-28,7
2020-10-29,7
2020-10-30,7
2020-10-31,7
2020-11-01,7
2020-11-02,7
2020-11-03,7
2020-11-04,7
2020-11-05,7
2020-11-06,7
2020-11-07,7
2020-11-08,7
2020-11-09,7
2020-11-10,7
2020-11-11,7
2020-11-12,7
2020-11-13,7
2020-11-14,7
2020-11-15,7
2020-11-16,7
2020-11-17,7
2020-11-18,7
2020-11-19,7
2020-11-20,7
2020-11-21,7
2020-11-22,7
2020-11-23,7
2020-11-24,7
2020-11-25,7
2020-11-26,7
2020-11-27,7
2020-11-28,7
2020-11-29,7
2020-11-30,7
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,7
2020-12-09,7
2020-12-10,7
2020-12-11,7
2020-12-12,7
2020-12-13,7
2020-12-14,7
2020-12-15,7
2020-12-16,7
2020-12-17,7
2020-12-18,7
2020-12-19,7
2020-12-20,7
2020-12-21,7
2020-12-22,7
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,7
2020-12-30,7
2020-12-31,7
2021-01-01,7
2021-01-02,7
2021-01-03,7
2021-01-04,7
2021-01-05,7
2021-01-06,7
2021-01-07,7
2021-01-08,7
2021-01-09,7
2021-01-10,7
2021-01-11,7
2021-01-12,7
2021-01-13,7
2021-01-14,7
2021-01-15,7
2021-01-16,7
2021-01-17,7
2021-01-18,7
2021-01-19,7
2021-01-20,8
2021-01-21,9
2021-01-22,9
2021-01-23,9
2021-01-24,9
2021-01-25,9
2021-01-26,10
2021-01-27,10
2021-01-28,10
2021-01-29,11
2021-01-30,11
2021-01-31,12
2021-02-01,12
2021-02-02,14
2021-02-03,14
2021-02-04,14
2021-02-05,15
2021-02-06,18
2021-02-07,18
2021-02-08,18
2021-02-09,18
2021-02-10,18
2021-02-11,20
2021-02-12,20
2021-02-13,21
2021-02-14,23
2021-02-15,23
2021-02-16,24
2021-02-17,25
2021-02-18,28
2021-02-19,29
2021-02-20,29
2021-02-21,30
2021-02-22,31
2021-02-23,31
2021-02-24,31
2021-02-25,31
2021-02-26,32
2021-02-27,32
2021-02-28,33
2021-03-01,33
2021-03-02,33
2021-03-03,36
2021-03-04,36
2021-03-05,37
2021-03-06,37
2021-03-07,37
2021-03-08,37
2021-03-09,37
2021-03-10,37
2021-03-11,37
2021-03-12,37
2021-03-13,37
2021-03-14,37
2021-03-15,37
2021-03-16,37
2021-03-17,38
2021-03-18,39
2021-03-19,39
2021-03-20,39
2021-03-21,39
2021-03-22,39
2021-03-23,39
2021-03-24,40
2021-03-25,40
2021-03-26,40
2021-03-27,40
2021-03-28,41
2021-03-29,41
2021-03-30,41
2021-03-31,41
2021-04-01,42
2021-04-02,42
2021-04-03,42
2021-04-04,42
2021-04-05,43
2021-04-06,43
2021-04-07,43
2021-04-08,43
2021-04-09,44
2021-04-10,44
2021-04-11,44
2021-04-12,44
2021-04-13,44
2021-04-14,44
2021-04-15,44
2021-04-16,44
2021-04-17,44
2021-04-18,44
2021-04-19,44
2021-04-20,44
2021-04-21,44
2021-04-22,44
2021-04-23,44
2021-04-24,44
2021-04-25,44
2021-04-26,44
2021-04-27,44
2021-04-28,44
2021-04-29,44
2021-04-30,44
2021-05-01,44
2021-05-02,44
2021-05-03,44
2021-05-04,44
2021-05-05,44
2021-05-06,45
2021-05-07,45
2021-05-08,45
2021-05-09,45
2021-05-10,45
2021-05-11,45
2021-05-12,45
2021-05-13,45
2021-05-14,46
2021-05-15,46
2021-05-16,46
2021-05-17,46
2021-05-18,46
2021-05-19,47
2021-05-20,47
2021-05-21,47
2021-05-22,47
2021-05-23,47
2021-05-24,47
2021-05-25,47
2021-05-26,47
2021-05-27,47
2021-05-28,47
2021-05-29,47
2021-05-30,47
2021-05-31,47
2021-06-01,47
2021-06-02,47
2021-06-03,47
2021-06-04,47
2021-06-05,47
2021-06-06,47
2021-06-07,47
2021-06-08,47
2021-06-09,47
2021-06-10,47
2021-06-11,47
2021-06-12,47
2021-06-13,47
2021-06-14,47
2021-06-15,47
2021-06-16,47
2021-06-17,47
2021-06-18,47
2021-06-19,47
2021-06-20,47
2021-06-21,47
2021-06-22,47
2021-06-23,47
2021-06-24,47
2021-06-25,47
2021-06-26,47
2021-06-27,47
2021-06-28,47
2021-06-29,47
2021-06-30,47
2021-07-01,47
2021-07-02,47
2021-07-03,47
2021-07-04,47
2021-07-05,47
2021-07-06,47
2021-07-07,47
2021-07-08,47
2021-07-09,47
2021-07-10,47
2021-07-11,47
2021-07-12,48
2021-07-13,48
2021-07-14,48
2021-07-15,48
2021-07-16,48
2021-07-17,48
2021-07-18,48
2021-07-19,48
2021-07-20,48
2021-07-21,48
2021-07-22,48
2021-07-23,48
2021-07-24,48
2021-07-25,48
2021-07-26,48
2021-07-27,48
2021-07-28,48
2021-07-29,48
2021-07-30,48
2021-07-31,48
2021-08-01,48
2021-08-02,48
2021-08-03,48
2021-08-04,48
2021-08-05,48
2021-08-06,48
2021-08-07,48
2021-08-08,48
2021-08-09,48
2021-08-10,48
2021-08-11,48
2021-08-12,48
2021-08-13,48
2021-08-14,48
2021-08-15,48
2021-08-16,48
