dates,cumulativecount_vaccine_covid_19_administered
2021-02-15,4490
2021-02-16,6683
2021-02-17,9115
2021-02-18,11494
2021-02-19,14411
2021-02-20,15837
2021-02-21,16544
2021-02-22,19089
2021-02-23,22037
2021-02-24,25578
2021-02-25,29283
2021-02-26,33633
2021-02-27,36749
2021-02-28,38615
2021-03-01,41125
2021-03-02,43235
2021-03-03,44859
2021-03-04,46442
2021-03-05,48480
2021-03-06,48886
2021-03-07,49317
2021-03-08,49393
2021-03-09,49757
2021-03-10,50263
2021-03-11,50703
2021-03-12,50980
2021-03-13,51595
2021-03-14,52290
2021-03-15,53129
2021-03-16,54631
2021-03-17,56018
2021-03-18,58214
2021-03-19,60206
2021-03-20,61108
2021-03-21,61752
2021-03-22,61781
2021-03-23,62765
2021-03-25,62802
2021-03-26,63689
2021-03-29,63711
2021-03-30,63715
2021-03-31,63728
2021-04-01,63735
2021-04-02,63738
2021-04-07,63747
2021-04-08,64645
2021-04-09,65867
2021-04-10,65873
2021-04-14,66069
2021-04-15,66900
2021-04-16,68480
2021-04-17,69490
2021-04-18,70758
2021-04-19,70884
2021-04-20,71134
2021-04-21,71350
2021-04-22,71648
2021-04-23,71881
2021-04-24,72728
2021-04-25,73590
2021-04-26,73677
2021-04-27,73808
2021-04-28,73931
2021-04-29,74040
2021-04-30,74218
2021-05-01,91157
2021-05-02,92906
2021-05-03,94991
2021-05-04,97329
2021-05-05,100592
2021-05-06,103827
2021-05-07,105902
2021-05-08,107370
2021-05-09,108208
2021-05-10,110190
2021-05-11,112242
2021-05-12,114643
2021-05-13,116924
2021-05-14,118563
2021-05-15,118824
2021-05-16,119823
2021-05-17,121288
2021-05-18,123177
2021-05-19,125510
2021-05-20,127986
2021-05-21,129216
2021-05-22,130272
2021-05-23,131332
2021-05-24,131999
2021-05-25,133214
2021-05-26,135082
2021-05-27,136382
2021-05-28,137962
2021-05-29,138389
2021-05-30,138798
2021-05-31,139354
2021-06-01,140319
2021-06-02,141282
2021-06-04,143488
2021-06-05,143649
2021-06-06,144312
2021-06-07,144886
2021-06-08,145964
2021-06-09,147036
2021-06-10,148395
2021-06-11,149233
2021-06-12,149513
2021-06-13,150300
2021-06-14,151004
2021-06-15,152293
2021-06-16,153350
2021-06-17,155423
2021-06-18,156843
2021-06-19,157283
2021-06-20,158418
2021-06-21,158980
2021-06-22,160266
2021-06-23,161059
2021-06-24,162357
2021-06-25,163474
2021-06-26,163704
2021-06-27,164709
2021-06-28,165339
2021-06-29,166212
2021-06-30,166567
2021-07-02,167022
2021-07-06,167398
2021-07-07,167754
2021-07-08,168069
2021-07-09,168503
2021-07-10,168711
2021-07-11,168818
2021-07-12,168955
2021-07-13,169436
2021-07-14,169884
2021-07-15,170249
2021-07-16,170851
2021-07-17,171053
2021-07-18,171633
2021-07-19,171771
2021-07-20,172071
2021-07-21,172406
2021-07-23,172937
2021-07-24,172938
2021-07-25,173352
2021-07-26,173658
2021-07-27,174129
2021-07-28,174176
2021-07-29,175323
2021-07-30,175942
2021-07-31,175943
2021-08-01,176467
2021-08-02,176479
2021-08-03,176682
2021-08-04,177056
2021-08-05,178190
2021-08-06,179068
2021-08-07,179524
2021-08-08,180757
2021-08-09,181325
2021-08-10,182786
2021-08-11,183493
2021-08-12,185140
2021-08-13,186087
2021-08-14,186116
2021-08-15,186771
2021-08-16,187290
2021-08-17,188324
2021-08-18,189080
2021-08-19,190718
2021-08-20,191666
2021-08-21,192676
2021-08-22,193875
2021-08-23,195008
2021-08-24,196703
2021-08-25,198370
2021-08-26,199398
2021-08-27,200709
2021-08-28,201611
2021-08-29,202765
2021-08-30,204266
2021-09-01,207042
2021-09-02,208439
2021-09-03,209777
2021-09-04,210411
2021-09-05,211050
2021-09-06,212207
2021-09-07,213075
2021-09-09,214969
2021-09-10,216009
2021-09-11,216614
2021-09-12,217255
2021-09-13,218150
2021-09-14,219138
2021-09-15,219970
2021-09-16,221000
2021-09-18,223505
2021-09-19,224441
2021-09-20,225823
2021-09-21,227278
2021-09-22,228890
2021-09-23,230848
2021-09-24,232413
2021-09-25,234124
2021-09-26,234948
2021-09-27,236589
2021-09-28,237968
2021-09-29,239948
2021-09-30,241915
2021-10-01,243817
2021-10-02,245116
2021-10-03,246136
2021-10-04,247371
2021-10-05,248607
2021-10-06,249944
2021-10-07,251232
2021-10-08,252521
2021-10-09,253554
2021-10-10,254344
2021-10-11,255645
2021-10-12,257001
2021-10-13,258231
2021-10-15,260653
2021-10-16,261495
2021-10-17,262359
2021-10-18,263548
2021-10-19,264422
2021-10-20,265301
2021-10-23,268224
2021-10-24,268945
2021-10-25,270102
2021-10-26,270919
2021-10-27,272021
2021-10-28,273025
2021-10-29,274132
2021-10-30,275112
2021-10-31,275933
2021-11-01,276485
2021-11-02,277202
2021-11-03,277750
2021-11-04,278615
2021-11-05,279295
2021-11-06,279960
2021-11-07,280403
2021-11-08,281006
2021-11-09,281824
2021-11-10,282269
2021-11-11,282953
2021-11-12,283564
2021-11-13,283918
2021-11-14,284409
2021-11-15,284659
2021-11-16,285379
2021-11-17,285653
2021-11-18,286209
2021-11-19,286818
2021-11-20,287286
2021-11-21,287775
2021-11-22,288106
2021-11-24,288982
2021-11-25,289494
2021-11-26,289933
2021-11-27,290309
2021-11-28,290326
2021-11-29,290336
2021-11-30,290345
2021-12-01,290658
2021-12-02,291301
2021-12-03,291829
2021-12-04,292080
2021-12-05,292300
2021-12-06,292497
2021-12-07,292896
2021-12-08,293083
2021-12-09,293619
2021-12-10,294170
2021-12-11,294304
2021-12-12,294503
2021-12-13,294645
2021-12-14,295364
2021-12-15,295795
2021-12-16,296255
2021-12-17,296857
2021-12-18,297092
2021-12-19,297285
2021-12-20,297593
2021-12-21,297911
2021-12-22,298176
2021-12-23,298306
2021-12-24,298323
2021-12-25,298329
2021-12-26,298339
2021-12-27,298361
2021-12-28,298676
2021-12-29,299053
2021-12-30,299539
2021-12-31,299629
2022-01-02,299738
2022-01-03,299825
2022-01-04,299861
2022-01-05,299968
2022-01-06,300069
2022-01-07,301337
2022-01-08,301503
2022-01-09,301644
2022-01-10,301866
2022-01-12,302255
2022-01-13,302783
2022-01-14,303186
2022-01-15,303391
2022-01-16,303680
2022-01-17,303876
2022-01-18,304050
2022-01-19,304060
2022-01-20,304083
2022-01-21,304173
2022-01-22,304407
2022-01-23,304582
2022-01-24,304719
2022-01-25,304941
2022-01-26,305180
2022-01-27,305374
2022-02-03,306411
2022-02-04,306592
2022-02-05,306675
2022-02-06,306791
2022-02-07,306908
2022-02-08,307128
2022-02-09,307330
2022-02-10,307476
2022-02-11,307682
2022-02-12,307808
2022-02-13,307913
2022-02-14,308035
2022-02-15,308208
2022-02-16,308359
2022-02-17,308534
2022-02-18,308674
2022-02-19,308731
2022-02-20,308784
2022-02-21,308862
2022-02-22,308991
2022-02-23,309125
2022-02-24,309224
2022-02-25,309305
2022-02-26,309407
2022-02-27,309497
2022-02-28,309562
2022-03-01,309727
2022-03-02,309980
2022-03-03,310136
2022-03-04,310363
2022-03-06,310502
2022-03-07,310569
2022-03-08,310652
2022-03-09,310772
2022-03-10,310825
2022-03-11,310848
2022-03-12,310966
2022-03-14,311090
2022-03-15,311174
2022-03-16,311261
2022-03-17,311341
2022-03-18,311425
2022-03-19,311455
2022-03-20,311482
2022-03-21,311508
2022-03-22,311575
2022-03-23,311657
2022-03-24,311706
2022-03-25,311796
2022-03-26,312051
2022-03-27,312094
2022-03-28,312145
2022-03-29,312186
2022-03-30,312253
2022-04-02,312444
2022-04-03,312472
2022-04-04,312534
2022-04-05,312562
2022-04-06,312636
2022-04-09,312812
2022-04-10,312846
2022-04-11,312878
2022-04-12,313007
2022-04-13,313064
2022-04-16,313141
2022-04-17,313144
2022-04-18,313147
2022-04-19,313204
2022-04-20,313287
2022-04-21,313359
2022-04-22,313428
2022-04-23,313446
2022-04-24,313487
2022-04-25,313517
2022-04-26,313548
2022-04-27,313621
2022-04-28,313641
2022-04-29,313689
2022-04-30,313731
2022-05-01,313744
2022-05-02,313754
2022-05-03,313794
2022-05-04,313923
2022-05-06,314040
2022-05-07,314065
2022-05-09,314114
2022-05-10,314186
2022-05-11,314269
2022-05-12,314318
2022-05-13,314387
2022-05-14,314393
2022-05-15,314437
2022-05-16,314474
2022-05-17,314557
2022-05-18,314687
2022-05-19,314737
2022-05-21,314832
2022-05-23,314920
2022-05-24,314971
2022-05-25,315016
2022-05-26,315052
2022-05-27,315103
2022-05-28,315122
2022-05-29,315157
2022-05-30,315193
2022-05-31,315225
2022-06-01,315274
2022-06-02,315304
2022-06-03,315371
2022-06-04,315376
2022-06-05,315398
2022-06-06,315416
2022-06-07,315452
2022-06-08,315491
2022-06-09,315562
2022-06-13,315593
2022-06-14,315657
2022-06-15,315723
2022-06-16,315725
2022-06-20,315751
2022-06-21,315793
2022-06-22,315851
2022-06-23,315910
2022-06-25,315988
2022-06-26,316019
2022-06-27,316044
2022-06-28,316070
2022-06-29,316126
2022-06-30,316139
2022-07-02,316181
2022-07-03,316212
2022-07-04,316239
2022-07-05,316262
2022-07-06,316295
2022-07-08,316377
2022-07-10,316406
2022-07-12,316507
2022-07-13,316562
2022-07-14,316582
2022-07-15,316616
2022-07-16,316618
2022-07-17,316641
2022-07-18,316659
2022-07-19,316676
2022-07-20,316723
2022-07-21,316743
2022-07-22,316793
2022-07-23,316796
2022-07-24,316810
2022-07-25,316826
2022-07-26,316852
2022-07-27,316903
2022-07-28,316916
2022-07-30,316958
2022-07-31,316976
2022-08-03,316999
2022-08-04,317029
2022-08-05,317066
2022-08-06,317068
2022-08-07,317099
2022-08-08,317117
2022-08-09,317142
2022-08-10,317168
2022-08-11,317183
2022-08-12,317217
2022-08-14,317237
2022-08-15,317255
2022-08-16,317290
2022-08-17,317329
2022-08-18,317362
2022-08-19,317390
2022-08-20,317395
2022-08-21,317413
2022-08-22,317421
2022-08-23,317470
2022-08-24,317511
2022-08-25,317519
2022-08-27,317548
2022-08-28,317561
2022-08-29,317582
2022-08-30,317605
2022-08-31,317623
2022-09-02,317696
2022-09-03,317700
2022-09-04,317782
2022-09-05,317790
2022-09-06,317804
2022-09-07,317838
2022-09-08,317868
2022-09-09,317916
2022-09-11,317947
2022-09-12,317962
2022-09-13,317992
2022-09-14,318038
2022-09-15,318105
2022-09-18,318161
2022-09-19,318208
2022-09-20,318222
2022-09-21,318241
2022-09-22,318245
2022-09-24,318263
2022-09-26,318281
2022-10-07,379843
2022-10-14,380666
2022-11-04,380826
2022-11-25,380898
2022-12-02,380962
2022-12-16,380980
2023-01-06,381013
2023-02-10,381633
2023-03-10,381662
2023-03-31,381690
