dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,6
2020-03-12,11
2020-03-13,25
2020-03-14,37
2020-03-15,40
2020-03-16,50
2020-03-17,54
2020-03-18,56
2020-03-19,68
2020-03-20,73
2020-03-21,78
2020-03-22,83
2020-03-23,88
2020-03-24,91
2020-03-25,104
2020-03-26,109
2020-03-27,114
2020-03-28,115
2020-03-29,120
2020-03-30,126
2020-03-31,127
2020-04-01,129
2020-04-02,131
2020-04-03,133
2020-04-04,134
2020-04-05,135
2020-04-06,135
2020-04-07,135
2020-04-08,135
2020-04-09,135
2020-04-10,135
2020-04-11,136
2020-04-12,136
2020-04-13,136
2020-04-14,136
2020-04-15,136
2020-04-16,136
2020-04-17,136
2020-04-18,136
2020-04-19,137
2020-04-20,138
2020-04-21,138
2020-04-22,138
2020-04-23,138
2020-04-24,138
2020-04-25,138
2020-04-26,138
2020-04-27,138
2020-04-28,138
2020-04-29,138
2020-04-30,138
2020-05-01,138
2020-05-02,138
2020-05-03,138
2020-05-04,138
2020-05-05,138
2020-05-06,138
2020-05-07,139
2020-05-08,141
2020-05-09,141
2020-05-10,141
2020-05-11,141
2020-05-12,141
2020-05-13,141
2020-05-14,141
2020-05-15,141
2020-05-16,141
2020-05-17,141
2020-05-18,141
2020-05-19,141
2020-05-20,141
2020-05-21,141
2020-05-22,141
2020-05-23,141
2020-05-24,141
2020-05-25,141
2020-05-26,141
2020-05-27,141
2020-05-28,141
2020-05-29,141
2020-05-30,141
2020-05-31,141
2020-06-01,141
2020-06-02,141
2020-06-03,141
2020-06-04,141
2020-06-05,141
2020-06-06,141
2020-06-07,141
2020-06-08,141
2020-06-09,141
2020-06-10,141
2020-06-11,141
2020-06-12,141
2020-06-13,141
2020-06-14,141
2020-06-15,141
2020-06-16,141
2020-06-17,141
2020-06-18,141
2020-06-19,141
2020-06-20,141
2020-06-21,141
2020-06-22,141
2020-06-23,141
2020-06-24,141
2020-06-25,141
2020-06-26,141
2020-06-27,141
2020-06-28,141
2020-06-29,141
2020-06-30,141
2020-07-01,141
2020-07-02,141
2020-07-03,141
2020-07-04,141
2020-07-05,141
2020-07-06,141
2020-07-07,141
2020-07-08,141
2020-07-09,141
2020-07-10,141
2020-07-11,141
2020-07-12,141
2020-07-13,141
2020-07-14,141
2020-07-15,141
2020-07-16,141
2020-07-17,141
2020-07-18,141
2020-07-19,141
2020-07-20,141
2020-07-21,141
2020-07-22,141
2020-07-23,141
2020-07-24,141
2020-07-25,141
2020-07-26,141
2020-07-27,141
2020-07-28,141
2020-07-29,141
2020-07-30,141
2020-07-31,141
2020-08-01,141
2020-08-02,141
2020-08-03,141
2020-08-04,141
2020-08-05,141
2020-08-06,141
2020-08-07,141
2020-08-08,142
2020-08-09,142
2020-08-10,142
2020-08-11,142
2020-08-12,142
2020-08-13,142
2020-08-14,142
2020-08-15,142
2020-08-16,142
2020-08-17,142
2020-08-18,142
2020-08-19,142
2020-08-20,143
2020-08-21,143
2020-08-22,143
2020-08-23,143
2020-08-24,143
2020-08-25,143
2020-08-26,144
2020-08-27,144
2020-08-28,144
2020-08-29,144
2020-08-30,144
2020-08-31,144
2020-09-01,144
2020-09-02,144
2020-09-03,144
2020-09-04,145
2020-09-05,145
2020-09-06,145
2020-09-07,145
2020-09-08,145
2020-09-09,145
2020-09-10,145
2020-09-11,145
2020-09-12,145
2020-09-13,145
2020-09-14,145
2020-09-15,145
2020-09-16,145
2020-09-17,145
2020-09-18,145
2020-09-19,145
2020-09-20,145
2020-09-21,145
2020-09-22,145
2020-09-23,145
2020-09-24,145
2020-09-25,146
2020-09-26,146
2020-09-27,146
2020-09-28,146
2020-09-29,146
2020-09-30,146
2020-10-01,146
2020-10-02,146
2020-10-03,146
2020-10-04,146
2020-10-05,146
2020-10-06,146
2020-10-07,146
2020-10-08,146
2020-10-09,146
2020-10-10,146
2020-10-11,146
2020-10-12,146
2020-10-13,146
2020-10-14,146
2020-10-15,147
2020-10-16,147
2020-10-17,147
2020-10-18,147
2020-10-19,147
2020-10-20,147
2020-10-21,147
2020-10-22,147
2020-10-23,148
2020-10-24,148
2020-10-25,148
2020-10-26,148
2020-10-27,148
2020-10-28,148
2020-10-29,148
2020-10-30,148
2020-10-31,148
2020-11-01,148
2020-11-02,148
2020-11-03,148
2020-11-04,148
2020-11-05,148
2020-11-06,148
2020-11-07,148
2020-11-08,148
2020-11-09,148
2020-11-10,148
2020-11-11,148
2020-11-12,148
2020-11-13,148
2020-11-14,148
2020-11-15,148
2020-11-16,148
2020-11-17,148
2020-11-18,148
2020-11-19,148
2020-11-20,148
2020-11-21,148
2020-11-22,148
2020-11-23,148
2020-11-24,149
2020-11-25,150
2020-11-26,150
2020-11-27,150
2020-11-28,150
2020-11-29,150
2020-11-30,150
2020-12-01,150
2020-12-02,151
2020-12-03,151
2020-12-04,151
2020-12-05,151
2020-12-06,151
2020-12-07,151
2020-12-08,151
2020-12-09,152
2020-12-10,152
2020-12-11,152
2020-12-12,152
2020-12-13,152
2020-12-14,152
2020-12-15,152
2020-12-16,152
2020-12-17,152
2020-12-18,152
2020-12-19,152
2020-12-20,152
2020-12-21,152
2020-12-22,152
2020-12-23,152
2020-12-24,152
2020-12-25,152
2020-12-26,152
2020-12-27,152
2020-12-28,152
2020-12-29,152
2020-12-30,152
2020-12-31,157
2021-01-01,157
2021-01-02,157
2021-01-03,172
2021-01-04,172
2021-01-05,172
2021-01-06,172
2021-01-07,173
2021-01-08,173
2021-01-09,173
2021-01-10,173
2021-01-11,173
2021-01-12,174
2021-01-13,174
2021-01-14,174
2021-01-15,174
2021-01-16,174
2021-01-17,174
2021-01-18,174
2021-01-19,174
2021-01-20,174
2021-01-21,174
2021-01-22,175
2021-01-23,175
2021-01-24,175
2021-01-25,175
2021-01-26,176
2021-01-27,176
2021-01-28,180
2021-01-29,180
2021-01-30,180
2021-01-31,180
2021-02-01,180
2021-02-02,180
2021-02-03,180
2021-02-04,180
2021-02-05,181
2021-02-06,181
2021-02-07,181
2021-02-08,182
2021-02-09,182
2021-02-10,183
2021-02-11,184
2021-02-12,184
2021-02-13,184
2021-02-14,184
2021-02-15,184
2021-02-16,184
2021-02-17,185
2021-02-18,185
2021-02-19,185
2021-02-20,185
2021-02-21,185
2021-02-22,185
2021-02-23,185
2021-02-24,185
2021-02-25,185
2021-02-26,186
2021-02-27,186
2021-02-28,186
2021-03-01,187
2021-03-02,187
2021-03-03,187
2021-03-04,188
2021-03-05,188
2021-03-06,189
2021-03-07,190
2021-03-08,190
2021-03-09,191
2021-03-10,192
2021-03-11,192
2021-03-12,192
2021-03-13,192
2021-03-14,199
2021-03-15,199
2021-03-16,202
2021-03-17,203
2021-03-18,203
2021-03-19,203
2021-03-20,205
2021-03-21,206
2021-03-22,206
2021-03-23,206
2021-03-24,206
2021-03-25,206
2021-03-26,206
2021-03-27,206
2021-03-28,207
2021-03-29,207
2021-03-30,210
2021-03-31,212
2021-04-01,213
2021-04-02,213
2021-04-03,214
2021-04-04,214
2021-04-05,214
2021-04-06,214
2021-04-07,215
2021-04-08,216
2021-04-09,219
2021-04-10,219
2021-04-11,219
2021-04-12,219
2021-04-13,219
2021-04-14,221
2021-04-15,221
2021-04-16,221
2021-04-17,221
2021-04-18,221
2021-04-19,221
2021-04-20,223
2021-04-21,223
2021-04-22,223
2021-04-23,223
2021-04-24,223
2021-04-25,223
2021-04-26,223
2021-04-27,223
2021-04-28,224
2021-04-29,224
2021-04-30,225
2021-05-01,227
2021-05-02,227
2021-05-03,227
2021-05-04,228
2021-05-05,228
2021-05-06,229
2021-05-07,230
2021-05-08,230
2021-05-09,230
2021-05-10,230
2021-05-11,230
2021-05-12,231
2021-05-13,232
2021-05-14,232
2021-05-15,232
2021-05-16,232
2021-05-17,232
2021-05-18,235
2021-05-19,235
2021-05-20,235
2021-05-21,236
2021-05-22,236
2021-05-23,236
2021-05-24,236
2021-05-25,236
2021-05-26,240
2021-05-27,241
2021-05-28,241
2021-05-29,241
2021-05-30,242
2021-05-31,243
2021-06-01,244
2021-06-02,244
2021-06-03,244
2021-06-04,244
2021-06-05,244
2021-06-06,244
2021-06-07,244
2021-06-08,246
2021-06-09,246
2021-06-10,248
2021-06-11,248
2021-06-12,249
2021-06-13,250
2021-06-14,250
2021-06-15,250
2021-06-16,250
2021-06-17,251
2021-06-18,252
2021-06-19,253
2021-06-20,255
2021-06-21,255
2021-06-22,256
2021-06-23,256
2021-06-24,256
2021-06-25,257
2021-06-26,259
2021-06-27,259
2021-06-28,259
2021-06-29,260
2021-06-30,260
2021-07-01,261
2021-07-02,261
2021-07-03,262
2021-07-04,262
2021-07-05,262
2021-07-06,266
2021-07-07,266
2021-07-08,266
2021-07-09,266
2021-07-10,268
2021-07-11,275
2021-07-12,277
2021-07-13,282
2021-07-14,282
2021-07-15,282
2021-07-16,283
2021-07-17,283
2021-07-18,291
2021-07-19,305
2021-07-20,309
2021-07-21,309
2021-07-22,311
2021-07-23,313
2021-07-24,321
2021-07-25,321
2021-07-26,333
2021-07-27,333
2021-07-28,333
2021-07-29,333
2021-07-30,336
2021-07-31,337
2021-08-01,338
2021-08-02,338
2021-08-03,339
2021-08-04,339
2021-08-05,339
2021-08-06,339
2021-08-07,347
2021-08-08,364
2021-08-09,406
2021-08-10,440
2021-08-11,494
2021-08-12,543
2021-08-13,598
2021-08-14,640
2021-08-15,723
2021-08-16,787
