dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-23,489
2020-03-24,34
2020-03-25,10
2020-03-26,25
2020-03-27,33
2020-03-28,18
2020-03-29,58
2020-03-30,47
2020-03-31,74
2020-04-01,42
2020-04-02,47
2020-04-03,35
2020-04-04,21
2020-04-05,25
2020-04-06,5
2020-04-07,203
2020-04-08,10
2020-04-09,110
2020-04-10,3811
2020-04-11,260
2020-04-12,298
2020-04-13,722
2020-04-14,631
2020-04-15,444
2020-04-16,410
2020-04-17,51
2020-04-18,194
2020-04-19,24
2020-04-20,439
2020-04-21,195
2020-04-22,188
2020-04-23,421
2020-04-24,101
2020-04-25,168
2020-04-26,148
2020-04-27,38
2020-04-28,36
2020-04-29,99
2020-04-30,81
2020-05-01,56
2020-05-02,447
2020-05-03,213
2020-05-04,219
2020-05-05,35
2020-05-06,358
2020-05-07,119
2020-05-09,76
2020-05-10,87
2020-05-11,167
2020-05-12,341
2020-05-13,92
2020-05-14,677
2020-05-15,379
2020-05-16,349
2020-05-17,41
2020-05-18,261
2020-05-19,261
2020-05-20,71
2020-05-21,233
2020-05-22,316
2020-05-23,450
2020-05-25,314
2020-05-26,119
2020-05-27,136
2020-05-29,685
2020-05-30,291
2020-05-31,200
2020-06-01,306
2020-06-02,276
2020-06-03,278
2020-06-04,340
2020-06-05,583
2020-06-06,183
2020-06-07,344
2020-06-08,191
2020-06-09,243
2020-06-10,322
2020-06-11,296
2020-06-12,129
2020-06-13,83
2020-06-14,119
2020-06-15,413
2020-06-16,416
2020-06-17,230
2020-06-18,460
2020-06-19,272
2020-06-20,105
2020-06-21,327
2020-06-22,222
2020-06-23,192
2020-06-24,381
2020-06-25,108
2020-06-26,131
2020-06-28,521
2020-06-30,539
2020-07-01,73
2020-07-02,135
2020-07-03,119
2020-07-04,81
2020-07-05,123
2020-07-06,246
2020-07-07,235
2020-07-08,68
2020-07-09,290
2020-07-10,151
2020-07-11,558
2020-07-12,9492
2020-07-13,98
2020-07-14,150
2020-07-15,2403
2020-07-16,191
2020-07-17,172
2020-07-18,184
2020-07-19,483
2020-07-20,80
2020-07-21,147
2020-07-22,213
2020-07-24,184
2020-07-25,151
2020-07-26,353
2020-07-27,49
2020-07-28,286
2020-07-29,327
2020-07-30,100
2020-07-31,1006
2020-08-01,1338
2020-08-02,4897
2020-08-03,1710
2020-08-04,1347
2020-08-05,1787
2020-08-06,314
2020-08-07,539
2020-08-08,226
2020-08-09,351
2020-08-10,447
2020-08-11,630
2020-08-12,292
2020-08-13,12
2020-08-14,1451
2020-08-15,898
2020-08-16,5
2020-08-17,2675
2020-08-18,5
2020-08-19,992
2020-08-20,3723
2020-08-21,3905
2020-08-22,5294
2020-08-23,3294
2020-08-24,3320
2020-08-25,4211
2020-08-26,3700
2020-08-27,4289
2020-08-28,2267
2020-08-29,287
2020-08-30,554
2020-08-31,1248
2020-09-01,877
2020-09-02,3068
2020-09-03,1014
2020-09-04,1359
2020-09-05,1292
2020-09-06,1562
2020-09-07,796
2020-09-08,686
2020-09-09,473
2020-09-10,720
2020-09-11,951
2020-09-12,1347
2020-09-13,904
2020-09-14,3241
2020-09-15,1031
2020-09-16,1049
2020-09-17,290
2020-09-18,2682
2020-09-19,1132
2020-09-20,1161
2020-09-21,727
2020-09-22,1971
2020-09-23,1600
2020-09-24,762
2020-09-25,1498
2020-09-26,948
2020-09-27,1274
2020-09-28,441
2020-09-29,1001
2020-09-30,899
2020-10-01,987
2020-10-02,946
2020-10-03,1736
2020-10-04,1588
2020-10-05,1293
2020-10-06,1988
2020-10-07,735
2020-10-08,1153
2020-10-09,1464
2020-10-10,1447
2020-10-11,1398
2020-10-12,520
2020-10-13,1235
2020-10-14,1381
2020-10-15,1033
2020-10-16,1381
2020-10-17,1492
2020-10-18,1203
2020-10-19,375
2020-10-20,774
2020-10-21,1308
2020-10-22,1020
2020-10-23,1078
2020-10-24,1324
2020-10-25,738
2020-10-26,530
2020-10-27,956
2020-10-28,1180
2020-10-29,1256
2020-10-30,1088
2020-10-31,2
2020-11-01,3216
2020-11-02,322
2020-11-03,1247
2020-11-04,1295
2020-11-05,1215
2020-11-06,835
2020-11-07,2240
2020-11-08,505
2020-11-10,1917
2020-11-11,1106
2020-11-12,508
2020-11-13,1146
2020-11-14,1309
2020-11-15,1461
2020-11-16,493
2020-11-17,1223
2020-11-18,1187
2020-11-19,729
2020-11-20,1060
2020-11-21,989
2020-11-22,704
2020-11-23,435
2020-11-24,826
2020-11-25,708
2020-11-26,1177
2020-11-27,839
2020-11-28,915
2020-11-29,804
2020-11-30,531
2020-12-01,1338
2020-12-02,1479
2020-12-03,942
2020-12-04,1369
2020-12-05,918
2020-12-06,1171
2020-12-07,1309
2020-12-08,1182
2020-12-09,1318
2020-12-10,905
2020-12-11,892
2020-12-12,2
2020-12-13,1918
2020-12-14,744
2020-12-15,1120
2020-12-16,1576
2020-12-17,877
2020-12-18,812
2020-12-19,1339
2020-12-20,1195
2020-12-21,4790
2020-12-22,5957
2020-12-23,3
2020-12-24,3712
2020-12-25,11244
2020-12-27,7881
2020-12-28,5272
2020-12-29,7568
2020-12-30,4016
2020-12-31,7339
2021-01-01,5463
2021-01-02,4338
2021-01-03,5095
2021-01-04,4481
2021-01-05,4238
2021-01-06,4728
2021-01-07,5916
2021-01-08,5886
2021-01-09,4255
2021-01-10,3486
2021-01-11,3861
2021-01-12,3501
2021-01-13,5525
2021-01-14,12580
2021-01-15,2795
2021-01-16,7414
2021-01-17,9487
2021-01-18,14826
2021-01-19,15058
2021-01-20,2909
2021-01-21,2059
2021-01-22,2233
2021-01-23,3594
2021-01-24,4767
2021-01-25,5107
2021-01-26,9772
2021-01-27,8388
2021-01-28,11232
2021-01-29,10721
2021-01-30,6709
2021-01-31,2401
2021-02-01,730
2021-02-02,1824
2021-02-03,2402
2021-02-04,2108
2021-02-05,2427
2021-02-06,1908
2021-02-07,1239
2021-02-08,1119
2021-02-09,2180
2021-02-10,1876
2021-02-11,2416
2021-02-12,2105
2021-02-13,905
2021-02-14,1098
2021-02-15,883
2021-02-16,2072
2021-02-17,3221
2021-02-18,2349
2021-02-19,2451
2021-02-20,2621
2021-02-21,2418
2021-02-22,933
2021-02-23,714
2021-02-24,1066
2021-02-25,3024
2021-02-26,2817
2021-02-27,2606
2021-02-28,2610
2021-03-01,1038
2021-03-02,3124
2021-03-03,3360
2021-03-04,2895
2021-03-05,3152
2021-03-06,2563
2021-03-07,2347
2021-03-08,1120
2021-03-09,2373
2021-03-10,2467
2021-03-11,1688
2021-03-12,2568
2021-03-13,2301
2021-03-14,2726
2021-03-15,1387
2021-03-16,2273
2021-03-17,2131
2021-03-18,2432
2021-03-19,2674
2021-03-20,2475
2021-03-21,2475
2021-03-22,802
2021-03-23,1050
2021-03-24,2305
2021-03-25,1680
2021-03-26,2445
2021-04-05,54131
2021-04-06,1293
2021-04-07,2253
2021-04-08,1648
2021-04-09,1437
2021-04-10,2800
2021-04-11,1883
2021-04-12,780
2021-04-13,1997
2021-04-14,2148
2021-04-15,1716
2021-04-16,1559
2021-04-17,1808
2021-04-18,2763
2021-04-19,3082
2021-04-20,6285
2021-04-21,3327
2021-04-22,4130
2021-04-23,2244
2021-04-24,4307
2021-04-25,3472
2021-04-26,1617
2021-04-27,3177
2021-04-28,2206
2021-04-29,861
2021-04-30,1733
2021-05-01,6251
2021-05-02,4321
2021-05-04,4743
2021-05-05,1804
2021-05-06,1745
