dates,cumulativecount_vaccine_covid_19_administered
2021-03-25,0
2021-04-02,12945
2021-04-09,17808
2021-04-12,25040
2021-04-16,36652
2021-04-19,41612
2021-04-23,47160
2021-04-26,48411
2021-04-30,49882
2021-05-07,53375
2021-05-10,56101
2021-05-14,71500
2021-05-17,88907
2021-05-21,120055
2021-05-24,132782
2021-05-28,142864
2021-05-31,146725
2021-06-07,150019
2021-06-14,174333
2021-06-18,200893
2021-06-21,219488
2021-06-25,241568
2021-06-28,250345
2021-07-02,260321
2021-07-05,267763
2021-07-09,274241
2021-07-10,284676
2021-07-16,310823
2021-07-19,318107
2021-07-23,331408
2021-07-26,352407
2021-07-30,365137
2021-08-02,370626
2021-08-06,376360
2021-08-10,391360
2021-08-13,408023
2021-08-25,434644
2021-09-01,528003
2021-09-09,573691
2021-09-15,587595
2021-09-22,606699
2021-09-30,629604
2021-10-07,690001
2021-10-14,783999
2021-10-21,882831
2021-10-28,943915
2021-11-04,1028674
2021-11-10,1128095
2022-02-09,1376754
2022-02-20,1389603
2022-02-25,1422523
2022-03-06,1438728
2022-03-13,1445394
2022-05-01,1919965
2022-05-08,1920000
2022-05-22,2330589
2022-05-29,2330589
2022-06-05,2727844
2022-06-19,2730607
2022-07-17,2862659
2022-08-07,2871301
2022-09-04,2871301
2022-09-11,2891400
2022-10-02,2891400
2022-11-13,2891400
2022-11-20,3099433
2022-11-27,3099433
2022-12-04,3099433
2022-12-18,3121142
2023-01-01,3121142
2023-02-05,3171667
2023-02-19,3171667
2023-03-05,3171667
2023-03-12,3171667
2023-03-19,3171667
2023-03-26,3171667
