dates,cumulativecount_vaccine_covid_19_administered
2021-05-12,667
2021-05-31,18408
2021-06-08,26541
2021-06-14,29757
2021-06-15,42644
2021-06-23,78137
2021-06-30,78685
2021-07-19,92041
2021-07-24,93790
2021-08-03,94811
2021-08-16,95862
2021-08-25,108895
2021-09-22,150393
2021-09-30,207004
2021-10-14,255345
2021-10-21,385557
2021-11-01,422182
2021-11-07,422372
2021-11-19,422496
2021-12-04,436772
2022-01-15,587785
2022-01-21,603963
2022-01-31,652134
2022-02-06,698869
2022-02-18,823895
2022-02-25,855735
2022-03-04,900298
2022-03-11,968802
2022-03-25,1012846
2022-04-26,1037580
2022-05-01,1037580
2022-05-22,1185512
2022-06-05,1193681
2022-06-19,1217399
2022-07-03,1353144
2022-07-17,1392969
2022-07-24,1392969
2022-08-14,1395131
2022-08-28,1435565
2022-09-04,1549713
2022-09-11,1586764
2022-09-18,1707255
2022-09-25,1714941
2022-10-16,1722083
2022-10-23,1754834
2022-11-06,1795660
2022-11-13,1818587
2022-11-20,1838144
2022-11-27,1938075
2022-12-04,1997710
2022-12-18,2354281
2023-01-08,2457192
2023-01-15,2457192
2023-01-22,2535002
2023-03-05,2535002
2023-03-26,2689234
