dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,2
2020-02-16,8
2020-02-17,-15
2020-02-18,4
2020-02-19,1
2020-02-20,4
2020-02-21,-1
2020-02-22,5
2020-02-23,6
2020-02-24,2
2020-02-25,5
2020-02-26,2
2020-02-27,-9
2020-02-28,1
2020-02-29,7
2020-03-01,9
2020-03-02,3
2020-03-03,6
2020-03-04,4
2020-03-05,5
2020-03-06,-1
2020-03-07,5
2020-03-08,7
2020-03-09,4
2020-03-10,1
2020-03-11,7
2020-03-12,27
2020-03-13,35
2020-03-14,19
2020-03-15,11
2020-03-16,23
2020-03-17,13
2020-03-18,7
2020-03-19,4
2020-03-20,-5
2020-03-21,-12
2020-03-22,-21
2020-03-23,-13
2020-03-24,-15
2020-03-25,-21
2020-03-26,-21
2020-03-27,-21
2020-03-28,-27
2020-03-29,-35
2020-03-30,-27
2020-03-31,-19
2020-04-01,-21
2020-04-02,-23
2020-04-03,-23
2020-04-04,-25
2020-04-05,-45
2020-04-06,-21
2020-04-07,-18
2020-04-08,-17
2020-04-09,-3
2020-04-10,-43
2020-04-11,-15
2020-04-12,-62
2020-04-13,-29
2020-04-14,-16
2020-04-15,-19
2020-04-16,-18
2020-04-17,-22
2020-04-18,-24
2020-04-19,-43
2020-04-20,-19
2020-04-21,-22
2020-04-22,-22
2020-04-23,-19
2020-04-24,-22
2020-04-25,-21
2020-04-26,-39
2020-04-27,-17
2020-04-28,-16
2020-04-29,-17
2020-04-30,-17
2020-05-01,-16
2020-05-02,-18
2020-05-03,-32
2020-05-04,-14
2020-05-05,-10
2020-05-06,-11
2020-05-07,-11
2020-05-08,-11
2020-05-09,-6
2020-05-10,-24
2020-05-11,-14
2020-05-12,-11
2020-05-13,-9
2020-05-14,-10
2020-05-15,-10
2020-05-16,-9
2020-05-17,-23
2020-05-18,-27
2020-05-19,0
2020-05-20,1
2020-05-21,-2
2020-05-22,-5
2020-05-23,-4
2020-05-24,-14
2020-05-25,-4
2020-05-26,-3
2020-05-27,0
2020-05-28,-3
2020-05-29,-5
2020-05-30,-5
2020-05-31,-12
2020-06-01,-2
2020-06-02,-3
2020-06-03,-3
2020-06-04,0
2020-06-05,-3
2020-06-06,-5
2020-06-07,-9
2020-06-08,-2
2020-06-09,-2
2020-06-10,-1
2020-06-11,0
2020-06-12,-2
2020-06-13,-3
2020-06-14,-7
2020-06-15,0
2020-06-16,3
2020-06-17,2
2020-06-18,5
2020-06-19,4
2020-06-20,3
2020-06-21,-2
2020-06-22,0
2020-06-23,6
2020-06-24,-8
2020-06-25,7
2020-06-26,1
2020-06-27,-1
2020-06-28,-5
2020-06-29,5
2020-06-30,21
2020-07-01,-16
2020-07-02,11
2020-07-03,6
2020-07-04,-1
2020-07-05,-3
2020-07-06,5
2020-07-07,6
2020-07-08,5
2020-07-09,6
2020-07-10,1
2020-07-11,-2
2020-07-12,-2
2020-07-13,3
2020-07-14,5
2020-07-15,5
2020-07-16,5
2020-07-17,4
2020-07-18,1
2020-07-19,-4
2020-07-20,7
2020-07-21,7
2020-07-22,4
2020-07-23,6
2020-07-24,2
2020-07-25,-1
2020-07-26,-3
2020-07-27,4
2020-07-28,7
2020-07-29,7
2020-07-30,9
2020-07-31,7
2020-08-01,0
2020-08-02,-4
2020-08-03,-8
2020-08-04,5
2020-08-05,8
2020-08-06,6
2020-08-07,0
2020-08-08,-2
2020-08-09,-4
2020-08-10,2
2020-08-11,3
2020-08-12,4
2020-08-13,4
2020-08-14,1
2020-08-15,-1
2020-08-16,-3
2020-08-17,1
2020-08-18,3
2020-08-19,2
2020-08-20,4
2020-08-21,0
2020-08-22,-2
2020-08-23,-3
2020-08-24,0
2020-08-25,4
2020-08-26,2
2020-08-27,4
2020-08-28,0
2020-08-29,-2
2020-08-30,0
2020-08-31,3
2020-09-01,5
2020-09-02,1
2020-09-03,3
2020-09-04,4
2020-09-05,1
2020-09-06,2
2020-09-07,-29
2020-09-08,11
2020-09-09,2
2020-09-10,2
2020-09-11,-1
2020-09-12,0
2020-09-13,-3
2020-09-14,-2
2020-09-15,1
2020-09-16,-3
2020-09-17,-2
2020-09-18,-3
2020-09-19,-1
2020-09-20,-1
2020-09-21,-2
2020-09-22,-1
2020-09-23,-3
2020-09-24,-1
2020-09-25,-3
2020-09-26,0
2020-09-27,-1
2020-09-28,-2
2020-09-29,0
2020-09-30,0
2020-10-01,2
2020-10-02,-3
2020-10-03,0
2020-10-04,-2
2020-10-05,-1
2020-10-06,1
2020-10-07,-2
2020-10-08,2
2020-10-09,3
2020-10-10,3
2020-10-11,-2
2020-10-12,-29
2020-10-13,-2
2020-10-14,-2
2020-10-15,-3
2020-10-16,-4
2020-10-17,-1
2020-10-18,-5
2020-10-19,-7
2020-10-20,0
2020-10-21,-4
2020-10-22,-2
2020-10-23,-5
2020-10-24,0
2020-10-25,-4
2020-10-26,-7
2020-10-27,-3
2020-10-28,-1
2020-10-29,0
2020-10-30,1
2020-10-31,4
2020-11-01,-5
2020-11-02,-7
2020-11-03,-5
2020-11-04,-6
2020-11-05,-4
2020-11-06,-4
2020-11-07,-4
2020-11-08,-6
2020-11-09,-6
2020-11-10,-1
2020-11-11,-7
2020-11-12,-3
2020-11-13,-4
2020-11-14,-2
2020-11-15,-11
2020-11-16,-9
2020-11-17,-7
2020-11-18,-7
2020-11-19,-4
2020-11-20,-3
2020-11-21,0
2020-11-22,-10
2020-11-23,-10
2020-11-24,-5
2020-11-25,-10
2020-11-26,-3
2020-11-27,-3
2020-11-28,-1
2020-11-29,-5
2020-11-30,-7
2020-12-01,-5
2020-12-02,-3
2020-12-03,-1
2020-12-04,-6
2020-12-05,-1
2020-12-06,-7
2020-12-07,-6
2020-12-08,-3
2020-12-09,-6
2020-12-10,-1
2020-12-11,-2
2020-12-12,-1
2020-12-13,-8
2020-12-14,-4
2020-12-15,0
2020-12-16,-3
2020-12-17,2
2020-12-18,-2
2020-12-19,1
2020-12-20,-3
2020-12-21,12
2020-12-22,21
2020-12-23,40
2020-12-24,31
2020-12-25,-78
2020-12-26,-40
2020-12-27,-23
2020-12-28,-10
2020-12-29,-2
2020-12-30,6
2020-12-31,19
2021-01-01,-67
2021-01-02,-21
2021-01-03,-18
2021-01-04,-10
2021-01-05,-7
2021-01-06,-10
2021-01-07,-10
2021-01-08,-14
2021-01-09,-11
2021-01-10,-16
2021-01-11,-16
2021-01-12,-13
2021-01-13,-13
2021-01-14,-18
2021-01-15,-17
2021-01-16,-21
2021-01-17,-21
2021-01-18,-19
2021-01-19,-17
2021-01-20,-17
2021-01-21,-16
2021-01-22,-17
2021-01-23,-14
2021-01-24,-22
2021-01-25,-19
2021-01-26,-22
2021-01-27,-16
2021-01-28,-16
2021-01-29,-16
2021-01-30,-11
2021-01-31,-17
2021-02-01,-14
2021-02-02,-18
2021-02-03,-16
2021-02-04,-13
2021-02-05,-18
2021-02-06,-13
2021-02-07,-16
2021-02-08,-20
2021-02-09,-14
2021-02-10,-13
2021-02-11,-10
2021-02-12,-10
2021-02-13,-4
2021-02-14,-3
2021-02-15,-30
2021-02-16,-16
2021-02-17,-6
2021-02-18,-9
2021-02-19,-9
2021-02-20,-5
2021-02-21,-8
2021-02-22,-15
2021-02-23,-8
2021-02-24,-9
2021-02-25,-7
2021-02-26,-5
2021-02-27,-6
2021-02-28,-8
2021-03-01,-11
2021-03-02,-9
2021-03-03,-6
2021-03-04,-6
2021-03-05,-8
2021-03-06,-4
2021-03-07,-7
2021-03-08,-9
2021-03-09,-6
2021-03-10,-6
2021-03-11,-5
2021-03-12,-6
2021-03-13,-1
2021-03-14,-8
2021-03-15,-9
2021-03-16,-4
2021-03-17,-4
2021-03-18,-4
2021-03-19,-3
2021-03-20,1
2021-03-21,-2
2021-03-22,-4
2021-03-23,-2
2021-03-24,-4
2021-03-25,0
2021-03-26,-7
2021-03-27,1
2021-03-28,-7
2021-03-29,-5
2021-03-30,1
2021-03-31,5
2021-04-01,22
2021-04-02,-17
2021-04-03,14
2021-04-04,-36
2021-04-05,0
2021-04-06,1
2021-04-07,2
2021-04-08,-3
2021-04-09,-5
2021-04-10,-2
2021-04-11,-6
2021-04-12,-6
2021-04-13,-1
2021-04-14,-1
2021-04-15,-2
2021-04-16,-4
2021-04-17,-3
2021-04-18,-6
2021-04-19,-8
2021-04-20,1
2021-04-21,-5
2021-04-22,-3
2021-04-23,-2
2021-04-24,0
2021-04-25,-4
2021-04-26,-4
2021-04-27,-1
2021-04-28,-1
2021-04-29,1
2021-04-30,0
2021-05-01,5
2021-05-02,0
2021-05-03,-2
2021-05-04,2
2021-05-05,1
2021-05-06,4
2021-05-07,3
2021-05-08,13
2021-05-09,11
2021-05-10,-2
2021-05-11,2
2021-05-12,6
2021-05-13,7
2021-05-14,6
2021-05-15,8
2021-05-16,7
2021-05-17,5
2021-05-18,7
2021-05-19,8
2021-05-20,13
2021-05-21,11
2021-05-22,8
2021-05-23,7
2021-05-24,-12
2021-05-25,12
2021-05-26,8
2021-05-27,11
2021-05-28,7
2021-05-29,11
2021-05-30,8
2021-05-31,10
2021-06-01,16
2021-06-02,13
2021-06-03,13
2021-06-04,12
2021-06-05,10
2021-06-06,8
2021-06-07,9
2021-06-08,15
2021-06-09,11
2021-06-10,14
2021-06-11,13
2021-06-12,11
2021-06-13,8
2021-06-14,8
2021-06-15,17
2021-06-16,12
2021-06-17,15
2021-06-18,15
2021-06-19,15
2021-06-20,11
2021-06-21,9
2021-06-22,17
2021-06-23,19
2021-06-24,4
2021-06-25,12
2021-06-26,9
2021-06-27,9
2021-06-28,14
2021-06-29,13
2021-06-30,34
2021-07-01,-3
2021-07-02,20
2021-07-03,9
2021-07-04,7
2021-07-05,16
2021-07-06,17
2021-07-07,15
2021-07-08,13
2021-07-09,12
2021-07-10,11
2021-07-11,7
2021-07-12,14
2021-07-13,15
2021-07-14,15
2021-07-15,16
2021-07-16,12
2021-07-17,10
2021-07-18,8
2021-07-19,14
2021-07-20,17
2021-07-21,17
2021-07-22,17
2021-07-23,11
2021-07-24,8
2021-07-25,8
2021-07-26,14
2021-07-27,15
2021-07-28,17
2021-07-29,17
2021-07-30,15
2021-07-31,9
2021-08-01,10
2021-08-02,5
2021-08-03,20
2021-08-04,17
2021-08-05,16
2021-08-06,10
2021-08-07,8
2021-08-08,8
2021-08-09,13
2021-08-10,15
2021-08-11,14
2021-08-12,16
2021-08-13,11
2021-08-14,10
2021-08-15,10
2021-08-16,14
2021-08-17,16
2021-08-18,15
2021-08-19,15
2021-08-20,12
2021-08-21,10
2021-08-22,9
2021-08-23,13
2021-08-24,15
2021-08-25,15
2021-08-26,15
2021-08-27,12
2021-08-28,9
2021-08-29,10
2021-08-30,14
2021-08-31,19
2021-09-01,19
2021-09-02,17
2021-09-03,13
2021-09-04,10
2021-09-05,13
2021-09-06,-19
2021-09-07,23
2021-09-08,15
2021-09-09,13
2021-09-10,8
2021-09-11,8
2021-09-12,11
2021-09-13,10
2021-09-14,10
2021-09-15,11
2021-09-16,12
2021-09-17,6
2021-09-18,9
2021-09-19,10
2021-09-20,14
2021-09-21,9
2021-09-22,5
2021-09-23,10
2021-09-24,7
2021-09-25,7
2021-09-26,7
2021-09-27,6
2021-09-28,11
2021-09-29,10
2021-09-30,13
2021-10-01,8
2021-10-02,7
2021-10-03,8
2021-10-04,7
2021-10-05,13
2021-10-06,11
2021-10-07,14
2021-10-08,14
2021-10-09,14
2021-10-10,9
2021-10-11,-18
2021-10-12,12
2021-10-13,8
2021-10-14,8
2021-10-15,4
2021-10-16,6
2021-10-17,6
2021-10-18,5
2021-10-19,8
2021-10-20,9
2021-10-21,7
2021-10-22,4
2021-10-23,7
2021-10-24,6
2021-10-25,2
2021-10-26,5
2021-10-27,10
2021-10-28,10
2021-10-29,6
2021-10-30,12
2021-10-31,7
2021-11-01,5
2021-11-02,7
2021-11-03,6
2021-11-04,7
2021-11-05,3
2021-11-06,5
2021-11-07,7
2021-11-08,4
2021-11-09,5
2021-11-10,8
2021-11-11,2
2021-11-12,2
2021-11-13,3
2021-11-14,0
2021-11-15,1
2021-11-16,4
