dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,4
2020-03-19,7
2020-03-20,8
2020-03-21,10
2020-03-22,11
2020-03-23,15
2020-03-24,15
2020-03-25,18
2020-03-26,19
2020-03-27,22
2020-03-28,24
2020-03-29,35
2020-03-30,41
2020-03-31,42
2020-04-01,56
2020-04-02,63
2020-04-03,72
2020-04-04,138
2020-04-05,187
2020-04-06,231
2020-04-07,280
2020-04-08,323
2020-04-09,379
2020-04-10,434
2020-04-11,508
2020-04-12,568
2020-04-13,652
2020-04-14,716
2020-04-15,779
2020-04-16,902
2020-04-17,1009
2020-04-18,1191
2020-04-19,1306
2020-04-20,1464
2020-04-21,1577
2020-04-22,1687
2020-04-23,1831
2020-04-24,1971
2020-04-25,2143
2020-04-26,2299
2020-04-27,2461
2020-04-28,2555
2020-04-29,2701
2020-04-30,2853
2020-05-01,2990
2020-05-02,3176
2020-05-03,3382
2020-05-04,3556
2020-05-05,3671
2020-05-06,3843
2020-05-07,4031
2020-05-08,4220
2020-05-09,4395
2020-05-10,4556
2020-05-11,4679
2020-05-12,4857
2020-05-13,4979
2020-05-14,5155
2020-05-15,5288
2020-05-16,5456
2020-05-17,5546
2020-05-18,5663
2020-05-19,5766
2020-05-20,5826
2020-05-21,5895
2020-05-22,6013
2020-05-23,6135
2020-05-24,6232
2020-05-25,6335
2020-05-26,6404
2020-05-27,6525
2020-05-28,6619
2020-05-29,6745
2020-05-30,6857
2020-05-31,6959
2020-06-01,7053
2020-06-02,7275
2020-06-03,7306
2020-06-04,7375
2020-06-05,7478
2020-06-06,7617
2020-06-07,7683
2020-06-08,7750
2020-06-09,7776
2020-06-10,7811
2020-06-11,7871
2020-06-12,7933
2020-06-13,7968
2020-06-14,8021
2020-06-15,8079
2020-06-16,8118
2020-06-17,8147
2020-06-18,8185
2020-06-19,8226
2020-06-20,8272
2020-06-21,8318
2020-06-22,8381
2020-06-23,8398
2020-06-24,8404
2020-06-25,8422
2020-06-26,8451
2020-06-27,8471
2020-06-28,8475
2020-06-29,8482
2020-06-30,8488
2020-07-01,8532
2020-07-02,8556
2020-07-03,8559
2020-07-04,8606
2020-07-05,8627
2020-07-06,8638
2020-07-07,8648
2020-07-08,8657
2020-07-09,8675
2020-07-10,8701
2020-07-11,8712
2020-07-12,8723
2020-07-13,8737
2020-07-14,8747
2020-07-15,8753
2020-07-16,8761
2020-07-17,8773
2020-07-18,8790
2020-07-19,8802
2020-07-20,8811
2020-07-21,8815
2020-07-22,8821
2020-07-23,8825
2020-07-24,8833
2020-07-25,8837
2020-07-26,8844
2020-07-27,8848
2020-07-28,8852
2020-07-29,8863
2020-07-30,8874
2020-07-31,8881
2020-08-01,8891
2020-08-02,8897
2020-08-03,8903
2020-08-04,8907
2020-08-05,8909
2020-08-06,8920
2020-08-07,8924
2020-08-08,8928
2020-08-09,8932
2020-08-10,8938
2020-08-11,8943
2020-08-12,8949
2020-08-13,8953
2020-08-14,8968
2020-08-15,8977
2020-08-16,8982
2020-08-17,8986
2020-08-18,8988
2020-08-19,8994
2020-08-20,9007
2020-08-21,9012
2020-08-22,9016
2020-08-23,9026
2020-08-24,9033
2020-08-25,9035
2020-08-26,9045
2020-08-27,9052
2020-08-28,9056
2020-08-29,9064
2020-08-30,9075
2020-08-31,9075
2020-09-01,9079
2020-09-02,9088
2020-09-03,9094
2020-09-04,9097
2020-09-05,9103
2020-09-06,9104
2020-09-07,9106
2020-09-08,9107
2020-09-09,9108
2020-09-10,9115
2020-09-11,9117
2020-09-12,9125
2020-09-13,9126
2020-09-14,9132
2020-09-15,9133
2020-09-16,9141
2020-09-17,9150
2020-09-18,9155
2020-09-19,9162
2020-09-20,9167
2020-09-21,9173
2020-09-22,9179
2020-09-23,9190
2020-09-24,9196
2020-09-25,9205
2020-09-26,9211
2020-09-27,9217
2020-09-28,9224
2020-09-29,9229
2020-09-30,9239
2020-10-01,9252
2020-10-02,9258
2020-10-03,9280
2020-10-04,9370
2020-10-05,9423
2020-10-06,9442
2020-10-07,9465
2020-10-08,9491
2020-10-09,9502
2020-10-10,9515
2020-10-11,9545
2020-10-12,9568
2020-10-13,9573
2020-10-14,9589
2020-10-15,9613
2020-10-16,9623
2020-10-17,9658
2020-10-18,9681
2020-10-19,9704
2020-10-20,9718
2020-10-21,9736
2020-10-22,9751
2020-10-23,9786
2020-10-24,9819
2020-10-25,9844
2020-10-26,9876
2020-10-27,9899
2020-10-28,9926
2020-10-29,9954
2020-10-30,9982
2020-10-31,10024
2020-11-01,10060
2020-11-02,10085
2020-11-03,10127
2020-11-04,10153
2020-11-05,10224
2020-11-06,10281
2020-11-07,10326
2020-11-08,10380
2020-11-09,10434
2020-11-10,10465
2020-11-11,10507
2020-11-12,10575
2020-11-13,10628
2020-11-14,10711
2020-11-15,10771
2020-11-16,10833
2020-11-17,10895
2020-11-18,10968
2020-11-19,11025
2020-11-20,11123
2020-11-21,11202
2020-11-22,11271
2020-11-23,11343
2020-11-24,11390
2020-11-25,11453
2020-11-26,11549
2020-11-27,11641
2020-11-28,11728
2020-11-29,11822
2020-11-30,11915
2020-12-01,11988
2020-12-02,12053
2020-12-03,12134
2020-12-04,12248
2020-12-05,12330
2020-12-06,12418
2020-12-07,12527
2020-12-08,12612
2020-12-09,12695
2020-12-10,12784
2020-12-11,12900
2020-12-12,13024
2020-12-13,13166
2020-12-14,13292
2020-12-15,13386
2020-12-16,13465
2020-12-17,13569
2020-12-18,13708
2020-12-19,13824
2020-12-20,13947
2020-12-21,14089
2020-12-22,14168
2020-12-23,14235
2020-12-24,14328
2020-12-25,14497
2020-12-26,14649
2020-12-27,14734
2020-12-28,14901
2020-12-29,15005
2020-12-30,15118
2020-12-31,15274
2021-01-01,15368
2021-01-02,15498
2021-01-03,15632
2021-01-04,15715
2021-01-05,15755
2021-01-06,15962
2021-01-07,16118
2021-01-08,16254
2021-01-09,16463
2021-01-10,16590
2021-01-11,16726
2021-01-12,16849
2021-01-13,16965
2021-01-14,17111
2021-01-15,17260
2021-01-16,17414
2021-01-17,17606
2021-01-18,17758
2021-01-19,17915
2021-01-20,17995
2021-01-21,18139
2021-01-22,18334
2021-01-23,18491
2021-01-24,18697
2021-01-25,18843
2021-01-26,18962
2021-01-27,19106
2021-01-28,19269
2021-01-29,19399
2021-01-30,19527
2021-01-31,19662
2021-02-01,19802
2021-02-02,19891
2021-02-03,19994
2021-02-04,20057
2021-02-05,20208
2021-02-06,20364
2021-02-07,20459
2021-02-08,20550
2021-02-09,20612
2021-02-10,20679
2021-02-11,20752
2021-02-12,20845
2021-02-13,20928
2021-02-14,21001
2021-02-15,21077
2021-02-16,21145
2021-02-17,21181
2021-02-18,21231
2021-02-19,21265
2021-02-20,21330
2021-02-21,21407
2021-02-22,21460
2021-02-23,21502
2021-02-24,21550
2021-02-25,21588
2021-02-26,21631
2021-02-27,21690
2021-02-28,21738
2021-03-01,21782
2021-03-02,21816
2021-03-03,21842
2021-03-04,21870
2021-03-05,21924
2021-03-06,21969
2021-03-07,22010
2021-03-08,22035
2021-03-09,22066
2021-03-10,22093
2021-03-11,22122
2021-03-12,22151
2021-03-13,22185
2021-03-14,22217
2021-03-15,22250
2021-03-16,22282
2021-03-17,22306
2021-03-18,22328
2021-03-19,22364
2021-03-20,22397
2021-03-21,22422
2021-03-22,22448
2021-03-23,22481
2021-03-24,22521
2021-03-25,22539
2021-03-26,22563
2021-03-27,22594
2021-03-28,22629
2021-03-29,22658
2021-03-30,22685
2021-03-31,22700
2021-04-01,22726
2021-04-02,22758
2021-04-03,22800
2021-04-04,22828
2021-04-05,22846
2021-04-06,22870
2021-04-07,22911
2021-04-08,22933
2021-04-09,22963
2021-04-10,23000
2021-04-11,23037
2021-04-12,23082
2021-04-13,23113
2021-04-14,23140
2021-04-15,23175
2021-04-16,23228
2021-04-17,23281
2021-04-18,23322
2021-04-19,23372
2021-04-20,23403
2021-04-21,23448
2021-04-22,23492
2021-04-23,23546
2021-04-24,23600
2021-04-25,23655
2021-04-26,23712
2021-04-27,23755
2021-04-28,23793
2021-04-29,23838
2021-04-30,23887
2021-05-01,23944
2021-05-02,23994
2021-05-03,24034
2021-05-04,24071
2021-05-05,24109
2021-05-06,24163
2021-05-07,24219
2021-05-08,24256
2021-05-09,24297
2021-05-10,24347
2021-05-11,24409
2021-05-12,24449
2021-05-13,24480
2021-05-14,24530
2021-05-15,24590
2021-05-16,24632
2021-05-17,24672
2021-05-18,24710
2021-05-19,24741
2021-05-20,24778
2021-05-21,24826
2021-05-22,24871
2021-05-23,24922
2021-05-24,24962
2021-05-25,24988
2021-05-26,25029
2021-05-27,25079
2021-05-28,25114
2021-05-29,25162
2021-05-30,25192
2021-05-31,25237
2021-06-01,25272
2021-06-02,25299
2021-06-03,25318
2021-06-04,25364
2021-06-05,25395
2021-06-06,25427
2021-06-07,25469
2021-06-08,25481
2021-06-09,25508
2021-06-10,25537
2021-06-11,25589
2021-06-12,25619
2021-06-13,25632
2021-06-14,25658
2021-06-15,25675
2021-06-16,25686
2021-06-17,25715
2021-06-18,25743
2021-06-19,25756
2021-06-20,25767
2021-06-21,25798
2021-06-22,25819
2021-06-23,25827
2021-06-24,25898
2021-06-25,25919
2021-06-26,25936
2021-06-27,25943
2021-06-28,25960
