dates,cumulativecount_vaccine_covid_19_administered
2020-12-14,5
2020-12-15,726
2020-12-16,3027
2020-12-17,7282
2020-12-18,11297
2020-12-19,12374
2020-12-20,13236
2020-12-21,21085
2020-12-22,26877
2020-12-23,35570
2020-12-24,45773
2020-12-25,48826
2020-12-26,48841
2020-12-27,52453
2020-12-28,59079
2020-12-29,72092
2020-12-30,80641
2020-12-31,96170
2021-01-01,105461
2021-01-02,110118
2021-01-03,115339
2021-01-04,138966
2021-01-05,156845
2021-01-06,184957
2021-01-07,222125
2021-01-08,264017
2021-01-09,300249
2021-01-10,323781
2021-01-11,362166
2021-01-12,393400
2021-01-13,423711
2021-01-14,466390
2021-01-15,515888
2021-01-16,553819
2021-01-17,582416
2021-01-18,623715
2021-01-19,663128
2021-01-20,706501
2021-01-21,749604
2021-01-22,787695
2021-01-23,815195
2021-01-24,829872
2021-01-25,853343
2021-01-26,883025
2021-01-27,906169
2021-01-28,931218
2021-01-29,953030
2021-01-30,968205
2021-01-31,973390
2021-02-01,991721
2021-02-02,1003370
2021-02-03,1017059
2021-02-04,1036680
2021-02-05,1060322
2021-02-06,1081963
2021-02-07,1095843
2021-02-08,1117279
2021-02-09,1144125
2021-02-10,1174091
2021-02-11,1207876
2021-02-12,1245419
2021-02-13,1279527
2021-02-14,1295796
2021-02-15,1306465
2021-02-16,1332467
2021-02-17,1353970
2021-02-18,1381563
2021-02-19,1432123
2021-02-20,1484005
2021-02-21,1525354
2021-02-22,1587607
2021-02-23,1637325
2021-02-24,1683944
2021-02-25,1742878
2021-02-26,1811357
2021-02-27,1873761
2021-02-28,1919773
2021-03-01,1979597
2021-03-02,2055232
2021-03-03,2130551
2021-03-04,2210365
2021-03-05,2297090
2021-03-06,2371024
2021-03-07,2428322
2021-03-08,2515041
2021-03-09,2586011
2021-03-10,2665604
2021-03-11,2764593
2021-03-12,2877128
2021-03-13,2983627
2021-03-14,3076737
2021-03-15,3201603
2021-03-16,3323659
2021-03-17,3465196
2021-03-18,3622950
2021-03-19,3788523
2021-03-20,3922570
2021-03-21,4013233
2021-03-22,4159672
2021-03-23,4286653
2021-03-24,4459696
2021-03-25,4651445
2021-03-26,4870682
2021-03-27,5041203
2021-03-28,5189814
2021-03-29,5378647
2021-03-30,5553879
2021-03-31,5778911
2021-04-01,5988868
2021-04-02,6160599
2021-04-03,6355667
2021-04-04,6477214
2021-04-05,6659443
2021-04-06,6862531
2021-04-07,7098368
2021-04-08,7358458
2021-04-09,7663135
2021-04-10,7907018
2021-04-11,8090586
2021-04-12,8427987
2021-04-13,8701144
2021-04-14,9000691
2021-04-15,9310518
2021-04-16,9633501
2021-04-17,9888945
2021-04-18,10090092
2021-04-19,10353135
2021-04-20,10592735
2021-04-21,10912033
2021-04-22,11278447
2021-04-23,11643399
2021-04-24,11932958
2021-04-25,12165868
2021-04-26,12429594
2021-04-27,12692222
2021-04-28,12958291
2021-04-29,13265191
2021-04-30,13547975
2021-05-01,13782804
2021-05-02,13956433
2021-05-03,14183784
2021-05-04,14418992
2021-05-05,14706130
2021-05-06,15066362
2021-05-07,15466836
2021-05-08,15797041
2021-05-09,16070213
2021-05-10,16407106
2021-05-11,16711362
2021-05-12,17062381
2021-05-13,17460045
2021-05-14,17895409
2021-05-15,18262722
2021-05-16,18582158
2021-05-17,18974621
2021-05-18,19261805
2021-05-19,19621971
2021-05-20,20023476
2021-05-21,20509343
2021-05-22,20901862
2021-05-23,21212765
2021-05-24,21570598
2021-05-25,21826504
2021-05-26,22150571
2021-05-27,22544930
2021-05-28,23004782
2021-05-29,23353297
2021-05-30,23672716
2021-05-31,24063314
2021-06-01,24379043
2021-06-02,24726546
2021-06-03,25141962
2021-06-04,25603511
2021-06-05,25983643
2021-06-06,26307993
2021-06-07,26716956
2021-06-08,27070453
2021-06-09,27475608
2021-06-10,27954010
2021-06-11,28457391
2021-06-12,28877658
2021-06-13,29256661
2021-06-14,29704543
2021-06-15,30153730
2021-06-16,30619299
2021-06-17,31127384
2021-06-18,31663711
2021-06-19,32086233
2021-06-20,32437156
2021-06-21,32843784
2021-06-22,33316781
2021-06-23,33834073
2021-06-24,34427204
2021-06-25,34949615
2021-06-26,35394551
2021-06-27,35754400
2021-06-28,36459494
2021-06-29,37047793
2021-06-30,37655078
2021-07-01,38118095
2021-07-02,38685867
2021-07-03,39047671
2021-07-04,39369074
2021-07-05,39970899
2021-07-06,40453839
2021-07-07,40957721
2021-07-08,41579958
2021-07-09,42126651
2021-07-10,42492957
2021-07-11,42779071
2021-07-12,43284059
2021-07-13,43700000
2021-07-14,44126923
2021-07-15,44565898
2021-07-16,44998433
2021-07-17,45300763
2021-07-18,45526474
2021-07-19,45952918
2021-07-20,46288480
2021-07-21,46674353
2021-07-22,47056217
2021-07-23,47411775
2021-07-24,47661261
2021-07-25,47858487
2021-07-26,48249836
2021-07-27,48529333
2021-07-28,48805138
2021-07-29,49075741
2021-07-30,49333787
2021-07-31,49515689
2021-08-01,49661157
2021-08-02,49755397
2021-08-03,50034283
2021-08-04,50201694
2021-08-05,50391400
2021-08-06,50567095
2021-08-07,50695024
2021-08-08,50795327
2021-08-09,50980931
2021-08-10,51117763
2021-08-11,51255056
2021-08-12,51407722
2021-08-13,51555262
2021-08-14,51671716
2021-08-15,51769704
2021-08-16,51934258
2021-08-17,52071328
2021-08-18,52196161
2021-08-19,52333544
2021-08-20,52461684
2021-08-21,52563038
2021-08-22,52640976
2021-08-23,52762056
2021-08-24,52878470
2021-08-25,52983704
2021-08-26,53106652
2021-08-27,53222204
2021-08-28,53303118
2021-08-29,53370982
2021-08-30,53494537
2021-08-31,53576522
2021-09-01,53674534
2021-09-02,53768926
2021-09-03,53878364
2021-09-04,53960676
2021-09-05,54022913
