dates,count_medicalconditionincident_covid_19_patientinicu
2020-04-01,173
2020-04-02,200
2020-04-03,237
2020-04-04,280
2020-04-05,307
2020-04-06,327
2020-04-07,337
2020-04-08,362
2020-04-09,360
2020-04-10,383
2020-04-11,383
2020-04-12,387
2020-04-13,387
2020-04-14,379
2020-04-15,389
2020-04-16,384
2020-04-17,385
2020-04-18,360
2020-04-19,373
2020-04-20,377
2020-04-21,392
2020-04-22,399
2020-04-23,411
2020-04-24,415
2020-04-25,418
2020-04-26,415
2020-04-27,426
2020-04-28,428
2020-04-29,418
2020-04-30,419
2020-05-01,428
2020-05-02,425
2020-05-03,449
2020-05-04,464
2020-05-05,470
2020-05-06,486
2020-05-07,493
2020-05-08,508
2020-05-09,544
2020-05-10,565
2020-05-11,574
2020-05-12,604
2020-05-13,642
2020-05-14,663
2020-05-15,711
2020-05-16,751
2020-05-17,769
2020-05-18,807
2020-05-19,876
2020-05-20,904
2020-05-21,943
2020-05-22,986
2020-05-23,1062
2020-05-24,1090
2020-05-25,1135
2020-05-26,1202
2020-05-27,1251
2020-05-28,1289
2020-05-29,1350
2020-05-30,1371
2020-05-31,1383
2020-06-01,1446
2020-06-02,1451
2020-06-03,1475
2020-06-04,1496
2020-06-05,1521
2020-06-06,1524
2020-06-07,1558
2020-06-08,1581
2020-06-09,1577
2020-06-10,1590
2020-06-11,1618
2020-06-12,1647
2020-06-13,1656
2020-06-14,1715
2020-06-15,1723
2020-06-16,1727
2020-06-17,1794
2020-06-18,1845
2020-06-19,1911
2020-06-20,1951
2020-06-21,1996
2020-06-22,2014
2020-06-23,2009
2020-06-24,2046
2020-06-25,2078
2020-06-26,2086
2020-06-27,2090
2020-06-28,2129
2020-06-29,2090
2020-06-30,2106
2020-07-01,2075
2020-07-02,2099
2020-07-03,2107
2020-07-04,2077
2020-07-05,2078
2020-07-06,2069
2020-07-07,2060
2020-07-08,2053
2020-07-09,1999
2020-07-10,1990
2020-07-11,1999
2020-07-12,1995
2020-07-13,1931
2020-07-14,1915
2020-07-15,1878
2020-07-16,1821
2020-07-17,1796
2020-07-18,1792
2020-07-19,1764
2020-07-20,1753
2020-07-21,1728
2020-07-22,1688
2020-07-23,1670
2020-07-24,1636
2020-07-25,1612
2020-07-26,1592
2020-07-27,1555
2020-07-28,1529
2020-07-29,1485
2020-07-30,1463
2020-07-31,1445
2020-08-01,1445
2020-08-02,1437
2020-08-03,1419
2020-08-04,1405
2020-08-05,1400
2020-08-06,1358
2020-08-07,1348
2020-08-08,1305
2020-08-09,1276
2020-08-10,1280
2020-08-11,1268
2020-08-12,1255
2020-08-13,1259
2020-08-14,1252
2020-08-15,1207
2020-08-16,1190
2020-08-17,1177
2020-08-18,1157
2020-08-19,1120
2020-08-20,1077
2020-08-21,1072
2020-08-22,1058
2020-08-23,1027
2020-08-24,1014
2020-08-25,1011
2020-08-26,1004
2020-08-27,1012
2020-08-28,995
2020-08-29,959
2020-08-30,960
2020-08-31,969
2020-09-01,962
2020-09-02,947
2020-09-03,940
2020-09-04,932
2020-09-05,908
2020-09-06,909
2020-09-07,930
2020-09-08,930
2020-09-09,942
2020-09-10,951
2020-09-11,918
2020-09-12,908
2020-09-13,906
2020-09-14,906
2020-09-15,905
2020-09-16,898
2020-09-17,895
2020-09-18,902
2020-09-19,894
2020-09-20,901
2020-09-21,915
2020-09-22,918
2020-09-23,907
2020-09-24,890
2020-09-25,891
2020-09-26,895
2020-09-27,888
2020-09-28,884
2020-09-29,865
2020-09-30,849
2020-10-01,849
2020-10-02,868
2020-10-03,849
2020-10-04,856
2020-10-05,853
2020-10-06,847
2020-10-07,818
2020-10-08,812
2020-10-09,821
2020-10-10,817
2020-10-11,791
2020-10-12,785
2020-10-13,778
2020-10-14,785
2020-10-15,786
2020-10-16,794
2020-10-17,791
2020-10-18,776
2020-10-19,769
2020-10-20,770
2020-10-21,767
2020-10-22,759
2020-10-23,759
2020-10-24,729
2020-10-25,723
2020-10-26,730
2020-10-27,740
2020-10-28,745
2020-10-29,748
2020-10-30,764
2020-10-31,756
2020-11-01,743
2020-11-02,723
2020-11-03,727
2020-11-04,733
2020-11-05,725
2020-11-06,733
2020-11-07,734
2020-11-08,735
2020-11-09,729
2020-11-10,720
2020-11-11,721
2020-11-12,726
2020-11-13,733
2020-11-14,731
2020-11-15,721
2020-11-16,724
2020-11-17,730
2020-11-18,726
2020-11-19,715
2020-11-20,717
2020-11-21,712
2020-11-22,698
2020-11-23,704
2020-11-24,695
2020-11-25,700
2020-11-26,694
2020-11-27,693
2020-11-28,703
2020-11-29,693
2020-11-30,690
2020-12-01,695
2020-12-02,694
2020-12-03,687
2020-12-04,683
