dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,4
2020-02-16,5
2020-02-17,6
2020-02-18,5
2020-02-19,8
2020-02-20,5
2020-02-21,5
2020-02-22,5
2020-02-23,4
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,9
2020-02-29,12
2020-03-01,15
2020-03-02,9
2020-03-03,10
2020-03-04,9
2020-03-05,4
2020-03-06,5
2020-03-07,7
2020-03-08,7
2020-03-09,2
2020-03-10,1
2020-03-11,0
2020-03-12,-1
2020-03-13,5
2020-03-14,9
2020-03-15,17
2020-03-16,16
2020-03-17,1
2020-03-18,2
2020-03-19,-17
2020-03-20,-21
2020-03-21,-31
2020-03-22,-45
2020-03-23,-38
2020-03-24,-38
2020-03-25,-36
2020-03-26,-32
2020-03-27,-41
2020-03-28,-41
2020-03-29,-55
2020-03-30,-39
2020-03-31,-34
2020-04-01,-32
2020-04-02,-36
2020-04-03,-36
2020-04-04,-38
2020-04-05,-49
2020-04-06,-37
2020-04-07,-35
2020-04-08,-34
2020-04-09,-29
2020-04-10,-56
2020-04-11,-51
2020-04-12,-57
2020-04-13,-40
2020-04-14,-38
2020-04-15,-36
2020-04-16,-38
2020-04-17,-36
2020-04-18,-40
2020-04-19,-49
2020-04-20,-40
2020-04-21,-39
2020-04-22,-38
2020-04-23,-40
2020-04-24,-40
2020-04-25,-39
2020-04-26,-48
2020-04-27,-41
2020-04-28,-39
2020-04-29,-36
2020-04-30,-23
2020-05-01,-78
2020-05-02,-29
2020-05-03,-39
2020-05-04,-30
2020-05-05,-28
2020-05-06,-30
2020-05-07,-30
2020-05-08,-30
2020-05-09,-31
2020-05-10,-41
2020-05-11,-42
2020-05-12,-39
2020-05-13,-35
2020-05-14,-35
2020-05-15,-33
2020-05-16,-45
2020-05-17,-52
2020-05-18,-45
2020-05-19,-42
2020-05-20,-37
2020-05-21,-53
2020-05-22,-40
2020-05-23,-42
2020-05-24,-50
2020-05-25,-40
2020-05-26,-41
2020-05-27,-41
2020-05-28,-41
2020-05-29,-37
2020-05-30,-36
2020-05-31,-44
2020-06-01,-37
2020-06-02,-37
2020-06-03,-38
2020-06-04,-38
2020-06-05,-36
2020-06-06,-38
2020-06-07,-46
2020-06-08,-41
2020-06-09,-40
2020-06-10,-39
2020-06-11,-41
2020-06-12,-41
2020-06-13,-41
2020-06-14,-48
2020-06-15,-43
2020-06-16,-40
2020-06-17,-43
2020-06-18,-42
2020-06-19,-37
2020-06-20,-38
2020-06-21,-48
2020-06-22,-49
2020-06-23,-46
2020-06-24,-46
2020-06-25,-44
2020-06-26,-42
2020-06-27,-41
2020-06-28,-50
2020-06-29,-61
2020-06-30,-39
2020-07-01,-39
2020-07-02,-38
2020-07-03,-37
2020-07-04,-45
2020-07-05,-43
2020-07-06,-38
2020-07-07,-39
2020-07-08,-41
2020-07-09,-43
2020-07-10,-40
2020-07-11,-40
2020-07-12,-48
2020-07-13,-42
2020-07-14,-41
2020-07-15,-35
2020-07-16,-49
2020-07-17,-39
2020-07-18,-41
2020-07-19,-49
2020-07-20,-40
2020-07-21,-45
2020-07-22,-39
2020-07-23,-41
2020-07-24,-39
2020-07-25,-38
2020-07-26,-47
2020-07-27,-40
2020-07-28,-37
2020-07-29,-32
2020-07-30,-38
2020-07-31,-32
2020-08-01,-31
2020-08-02,-38
2020-08-03,-33
2020-08-04,-32
2020-08-05,-33
2020-08-06,-35
2020-08-07,-31
2020-08-08,-29
2020-08-09,-38
2020-08-10,-31
2020-08-11,-30
2020-08-12,-27
2020-08-13,-26
2020-08-14,-22
2020-08-15,-24
2020-08-16,-31
2020-08-17,-28
2020-08-18,-29
2020-08-19,-27
2020-08-20,-28
2020-08-21,-26
2020-08-22,-31
2020-08-23,-41
2020-08-24,-29
2020-08-25,-31
2020-08-26,-26
2020-08-27,-25
2020-08-28,-24
2020-08-29,-28
2020-08-30,-34
2020-08-31,-25
2020-09-01,-23
2020-09-02,-23
2020-09-03,-26
2020-09-04,-23
2020-09-05,-24
2020-09-06,-34
2020-09-07,-24
2020-09-08,-26
2020-09-09,-23
2020-09-10,-24
2020-09-11,-22
2020-09-12,-26
2020-09-13,-31
2020-09-14,-18
2020-09-15,-12
2020-09-16,-5
2020-09-17,-3
2020-09-18,-78
2020-09-19,-79
2020-09-20,-48
2020-09-21,-25
2020-09-22,-25
2020-09-23,-25
2020-09-24,-26
2020-09-25,-25
2020-09-26,-29
2020-09-27,-36
2020-09-28,-24
2020-09-29,-24
2020-09-30,-18
