dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-25,3290
2020-03-26,8176
2020-03-27,15563
2020-03-28,19097
2020-03-29,20874
2020-03-30,24554
2020-03-31,27600
2020-04-01,30498
2020-04-02,33183
2020-04-03,36588
2020-04-04,41071
2020-04-05,44414
2020-04-06,47322
2020-04-07,49580
2020-04-08,52849
2020-04-09,60811
2020-04-10,65255
2020-04-11,68832
2020-04-12,74729
2020-04-13,77493
2020-04-14,80252
2020-04-15,84331
2020-04-16,90882
2020-04-17,96331
2020-04-18,101349
2020-04-19,106107
2020-04-20,111285
2020-04-21,114815
2020-04-22,121180
2020-04-23,127605
2020-04-24,134725
2020-04-25,141670
2020-04-26,148433
2020-04-27,153693
2020-04-28,158623
2020-04-29,165077
2020-04-30,172975
2020-05-01,181891
2020-05-02,191858
2020-05-03,198676
2020-05-04,206589
2020-05-05,214553
2020-05-06,224566
2020-05-07,236684
2020-05-08,248419
2020-05-09,260362
2020-05-10,273142
2020-05-11,286515
2020-05-12,295798
2020-05-13,306208
2020-05-14,317710
2020-05-15,333805
2020-05-16,342618
2020-05-17,355789
2020-05-18,373304
2020-05-19,389493
2020-05-20,401962
2020-05-21,418296
2020-05-22,434386
2020-05-23,449625
2020-05-24,464051
2020-05-25,480334
2020-05-26,493418
2020-05-27,506816
2020-05-28,522466
2020-05-29,538799
2020-05-30,555613
2020-05-31,574733
2020-06-01,591623
2020-06-02,605065
2020-06-03,620611
2020-06-04,638751
2020-06-05,660531
2020-06-06,679485
2020-06-07,700750
2020-06-08,720790
2020-06-09,738567
2020-06-10,753044
2020-06-11,773020
2020-06-12,791753
2020-06-13,811976
2020-06-14,832127
2020-06-15,850935
2020-06-16,865510
2020-06-17,878146
2020-06-18,895143
2020-06-19,915490
2020-06-20,935570
2020-06-21,955685
2020-06-22,974330
2020-06-23,987037
2020-06-24,999612
2020-06-25,1017058
2020-06-26,1035307
2020-06-27,1053251
2020-06-28,1071621
2020-06-29,1088420
2020-06-30,1101769
2020-07-01,1112154
2020-07-02,1122985
2020-07-03,1138570
2020-07-04,1155857
2020-07-05,1173861
2020-07-06,1190238
2020-07-07,1202303
2020-07-08,1212767
2020-07-09,1229609
2020-07-10,1247336
2020-07-11,1265604
2020-07-12,1284775
2020-07-13,1302242
2020-07-14,1314480
2020-07-15,1326689
2020-07-16,1343881
2020-07-17,1362580
2020-07-18,1380296
2020-07-19,1396024
2020-07-20,1412367
2020-07-21,1424957
2020-07-22,1437750
2020-07-23,1456617
2020-07-24,1477688
2020-07-25,1496821
2020-07-26,1516530
2020-07-27,1538074
2020-07-28,1555670
2020-07-29,1572800
2020-07-30,1593095
2020-07-31,1615969
2020-08-01,1640367
2020-08-02,1665266
2020-08-03,1689535
2020-08-04,1708392
2020-08-05,1729790
2020-08-06,1752592
2020-08-07,1777835
2020-08-08,1804872
2020-08-09,1833332
2020-08-10,1859344
2020-08-11,1881593
2020-08-12,1900941
2020-08-13,1924569
2020-08-14,1952187
2020-08-15,1980686
2020-08-16,2011568
2020-08-17,2036857
2020-08-18,2060056
2020-08-19,2079331
2020-08-20,2105609
2020-08-21,2134278
2020-08-22,2164005
2020-08-23,2195986
2020-08-24,2223440
2020-08-25,2247943
