dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,0
2020-02-16,2
2020-02-17,0
2020-02-18,3
2020-02-19,0
2020-02-20,1
2020-02-21,-1
2020-02-22,-5
2020-02-23,1
2020-02-24,-3
2020-02-25,0
2020-02-26,-2
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,5
2020-03-02,2
2020-03-03,3
2020-03-04,5
2020-03-05,5
2020-03-06,3
2020-03-07,1
2020-03-08,4
2020-03-09,1
2020-03-10,5
2020-03-11,6
2020-03-12,3
2020-03-13,0
2020-03-14,-7
2020-03-15,0
2020-03-16,3
2020-03-17,12
2020-03-18,3
2020-03-19,1
2020-03-20,-3
2020-03-21,-7
2020-03-22,-9
2020-03-23,-6
2020-03-24,-8
2020-03-25,-10
2020-03-26,-8
2020-03-27,-13
2020-03-28,-17
2020-03-29,-21
2020-03-30,-16
2020-03-31,-15
2020-04-01,-17
2020-04-02,-13
2020-04-03,-16
2020-04-04,-22
2020-04-05,-22
2020-04-06,-16
2020-04-07,-15
2020-04-08,-18
2020-04-09,-16
2020-04-10,-18
2020-04-11,-19
2020-04-12,-21
2020-04-13,-27
2020-04-14,-16
2020-04-15,-17
2020-04-16,-16
2020-04-17,-18
2020-04-18,-22
2020-04-19,-20
2020-04-20,-15
2020-04-21,-13
2020-04-22,-16
2020-04-23,-13
2020-04-24,-17
2020-04-25,-22
2020-04-26,-27
2020-04-27,-16
2020-04-28,-12
2020-04-29,-11
2020-04-30,-6
2020-05-01,-15
2020-05-02,-16
2020-05-03,-19
2020-05-04,-11
2020-05-05,-8
2020-05-06,-5
2020-05-07,-4
2020-05-08,-8
2020-05-09,-9
2020-05-10,-8
2020-05-11,-5
2020-05-12,-1
2020-05-13,-5
2020-05-14,-3
2020-05-15,-4
2020-05-16,-7
2020-05-17,-9
2020-05-18,-5
2020-05-19,-2
2020-05-20,-9
2020-05-21,-10
2020-05-22,1
2020-05-23,-18
2020-05-24,-8
2020-05-25,-5
2020-05-26,-4
2020-05-27,-2
2020-05-28,0
2020-05-29,1
2020-05-30,-2
2020-05-31,-1
2020-06-01,-3
2020-06-02,6
2020-06-03,5
2020-06-04,4
2020-06-05,6
2020-06-06,1
2020-06-07,6
2020-06-08,4
2020-06-09,-1
2020-06-10,0
2020-06-11,2
2020-06-12,3
2020-06-13,-13
2020-06-14,-11
2020-06-15,-2
2020-06-16,6
2020-06-17,-2
2020-06-18,1
2020-06-19,2
2020-06-20,-2
2020-06-21,-4
2020-06-22,-8
2020-06-23,3
2020-06-24,3
2020-06-25,-5
2020-06-26,-7
2020-06-27,-4
2020-06-28,-2
2020-06-29,-1
2020-06-30,7
2020-07-01,12
2020-07-02,11
2020-07-03,10
2020-07-04,1
2020-07-05,6
2020-07-06,11
2020-07-07,14
2020-07-08,11
2020-07-09,10
2020-07-10,10
2020-07-11,4
2020-07-12,6
2020-07-13,10
2020-07-14,10
2020-07-15,10
2020-07-16,8
2020-07-17,7
2020-07-18,1
2020-07-19,1
2020-07-20,6
2020-07-21,8
2020-07-22,6
2020-07-23,7
2020-07-24,6
2020-07-25,2
2020-07-26,4
2020-07-27,7
2020-07-28,14
2020-07-29,14
2020-07-30,25
2020-07-31,-6
2020-08-01,-4
2020-08-02,3
2020-08-03,13
2020-08-04,15
2020-08-05,16
2020-08-06,22
2020-08-07,3
2020-08-08,2
2020-08-09,7
2020-08-10,16
2020-08-11,18
2020-08-12,18
2020-08-13,6
2020-08-14,14
2020-08-15,3
2020-08-16,7
2020-08-17,14
2020-08-18,16
2020-08-19,14
2020-08-20,14
2020-08-21,9
2020-08-22,1
2020-08-23,6
2020-08-24,11
2020-08-25,15
2020-08-26,13
2020-08-27,14
2020-08-28,13
2020-08-29,7
2020-08-30,8
2020-08-31,15
2020-09-01,22
2020-09-02,15
2020-09-03,16
2020-09-04,15
2020-09-05,12
2020-09-06,16
2020-09-07,17
2020-09-08,22
2020-09-09,19
2020-09-10,18
2020-09-11,17
2020-09-12,10
2020-09-13,10
2020-09-14,15
2020-09-15,18
2020-09-16,14
2020-09-17,16
2020-09-18,17
2020-09-19,11
2020-09-20,13
2020-09-21,18
2020-09-22,31
2020-09-23,35
2020-09-24,35
2020-09-25,37
2020-09-26,34
2020-09-27,42
2020-09-28,35
2020-09-29,43
2020-09-30,43
2020-10-01,46
2020-10-02,43
2020-10-03,34
2020-10-04,40
2020-10-05,36
2020-10-06,41
2020-10-07,31
2020-10-08,44
2020-10-09,37
2020-10-10,31
2020-10-11,36
2020-10-12,31
2020-10-13,40
2020-10-14,40
2020-10-15,40
2020-10-16,42
2020-10-17,34
2020-10-18,39
2020-10-19,30
2020-10-20,31
2020-10-21,34
2020-10-22,38
2020-10-23,40
2020-10-24,34
2020-10-25,37
2020-10-26,35
2020-10-27,42
2020-10-28,46
2020-10-29,29
2020-10-30,44
2020-10-31,-27
2020-11-01,-8
2020-11-02,6
2020-11-03,16
2020-11-04,20
2020-11-05,23
2020-11-06,22
2020-11-07,22
2020-11-08,22
2020-11-09,17
2020-11-10,33
2020-11-11,31
2020-11-12,33
2020-11-13,35
2020-11-14,24
2020-11-15,28
2020-11-16,28
2020-11-17,37
2020-11-18,36
2020-11-19,38
2020-11-20,37
2020-11-21,27
2020-11-22,33
2020-11-23,32
2020-11-24,39
2020-11-25,38
2020-11-26,40
2020-11-27,40
2020-11-28,37
2020-11-29,40
2020-11-30,41
2020-12-01,50
2020-12-02,49
2020-12-03,50
2020-12-04,50
2020-12-05,40
2020-12-06,46
2020-12-07,45
2020-12-08,49
2020-12-09,46
2020-12-10,52
2020-12-11,51
2020-12-12,41
2020-12-13,49
2020-12-14,45
2020-12-15,53
2020-12-16,48
2020-12-17,56
2020-12-18,56
2020-12-19,45
2020-12-20,57
2020-12-21,53
2020-12-22,64
2020-12-23,68
2020-12-24,85
2020-12-25,36
2020-12-26,41
2020-12-27,53
2020-12-28,54
2020-12-29,62
2020-12-30,69
2020-12-31,83
2021-01-01,27
2021-01-02,28
2021-01-03,50
2021-01-04,47
2021-01-05,50
2021-01-06,50
2021-01-07,51
2021-01-08,51
2021-01-09,43
2021-01-10,49
2021-01-11,46
2021-01-12,44
2021-01-13,40
2021-01-14,39
2021-01-15,33
2021-01-16,27
2021-01-17,31
2021-01-18,32
2021-01-19,33
2021-01-20,33
2021-01-21,35
2021-01-22,37
2021-01-23,30
2021-01-24,33
2021-01-25,34
2021-01-26,38
2021-01-27,39
2021-01-28,44
2021-01-29,47
2021-01-30,47
2021-01-31,56
2021-02-01,58
2021-02-02,61
2021-02-03,54
2021-02-04,53
2021-02-05,52
2021-02-06,42
2021-02-07,47
2021-02-08,48
2021-02-09,58
2021-02-10,56
2021-02-11,56
2021-02-12,53
2021-02-13,45
2021-02-14,55
2021-02-15,49
2021-02-16,52
2021-02-17,50
2021-02-18,51
2021-02-19,51
2021-02-20,43
2021-02-21,44
2021-02-22,46
2021-02-23,48
2021-02-24,47
2021-02-25,46
2021-02-26,52
2021-02-27,47
2021-02-28,47
2021-03-01,54
2021-03-02,60
2021-03-03,59
2021-03-04,57
2021-03-05,62
2021-03-06,51
2021-03-07,55
2021-03-08,55
2021-03-09,60
2021-03-10,63
2021-03-11,59
2021-03-12,57
2021-03-13,51
2021-03-14,53
2021-03-15,55
2021-03-16,58
2021-03-17,54
2021-03-18,59
2021-03-19,60
2021-03-20,52
2021-03-21,52
2021-03-22,58
2021-03-23,60
2021-03-24,58
2021-03-25,62
2021-03-26,65
2021-03-27,57
2021-03-28,57
2021-03-29,63
2021-03-30,69
2021-03-31,71
2021-04-01,76
2021-04-02,78
2021-04-03,61
2021-04-04,55
2021-04-05,44
2021-04-06,69
2021-04-07,69
2021-04-08,71
2021-04-09,70
2021-04-10,65
2021-04-11,70
2021-04-12,72
2021-04-13,68
2021-04-14,64
2021-04-15,66
2021-04-16,66
2021-04-17,56
2021-04-18,61
2021-04-19,66
2021-04-20,69
2021-04-21,62
2021-04-22,60
2021-04-23,72
2021-04-24,56
2021-04-25,61
2021-04-26,64
2021-04-27,60
2021-04-28,70
2021-04-29,74
2021-04-30,64
2021-05-01,60
2021-05-02,69
2021-05-03,73
2021-05-04,74
2021-05-05,71
2021-05-06,76
2021-05-07,77
2021-05-08,68
2021-05-09,71
2021-05-10,80
2021-05-11,98
2021-05-12,61
2021-05-13,64
2021-05-14,87
2021-05-15,72
2021-05-16,75
2021-05-17,76
2021-05-18,76
2021-05-19,76
2021-05-20,75
2021-05-21,81
2021-05-22,79
2021-05-23,75
2021-05-24,67
2021-05-25,86
2021-05-26,83
2021-05-27,92
2021-05-28,98
2021-05-29,95
2021-05-30,96
2021-05-31,90
2021-06-01,100
2021-06-02,95
2021-06-03,98
2021-06-04,98
2021-06-05,91
2021-06-06,89
2021-06-07,94
2021-06-08,98
2021-06-09,96
2021-06-10,99
2021-06-11,98
2021-06-12,91
2021-06-13,87
2021-06-14,95
2021-06-15,88
2021-06-16,91
2021-06-17,85
2021-06-18,95
2021-06-19,80
2021-06-20,55
2021-06-21,83
2021-06-22,87
2021-06-23,77
2021-06-24,90
2021-06-25,93
2021-06-26,76
2021-06-27,80
2021-06-28,91
2021-06-29,90
2021-06-30,90
2021-07-01,102
2021-07-02,102
2021-07-03,92
2021-07-04,85
2021-07-05,106
2021-07-06,112
2021-07-07,103
2021-07-08,106
2021-07-09,104
2021-07-10,99
2021-07-11,93
2021-07-12,102
2021-07-13,106
2021-07-14,100
2021-07-15,107
2021-07-16,102
2021-07-17,96
2021-07-18,98
2021-07-19,120
2021-07-20,68
2021-07-21,88
2021-07-22,98
2021-07-23,101
2021-07-24,86
2021-07-25,83
2021-07-26,99
2021-07-27,111
2021-07-28,107
2021-07-29,111
2021-07-30,114
2021-07-31,97
2021-08-01,96
2021-08-02,114
2021-08-03,119
2021-08-04,114
2021-08-05,119
2021-08-06,123
2021-08-07,84
2021-08-08,99
2021-08-09,114
2021-08-10,121
2021-08-11,114
2021-08-12,117
2021-08-13,116
2021-08-14,94
2021-08-15,93
2021-08-16,108
2021-08-17,113
2021-08-18,108
2021-08-19,111
2021-08-20,108
2021-08-21,87
2021-08-22,85
2021-08-23,104
2021-08-24,108
2021-08-25,87
2021-08-26,115
2021-08-27,116
2021-08-28,95
2021-08-29,88
2021-08-30,108
2021-08-31,117
2021-09-01,117
2021-09-02,117
2021-09-03,115
2021-09-04,96
2021-09-05,100
2021-09-06,117
2021-09-07,126
2021-09-08,117
2021-09-09,117
2021-09-10,122
2021-09-11,101
2021-09-12,99
2021-09-13,111
2021-09-14,111
2021-09-15,104
2021-09-16,110
2021-09-17,110
2021-09-18,94
2021-09-19,92
2021-09-20,105
2021-09-21,105
2021-09-22,100
2021-09-23,105
2021-09-24,105
2021-09-25,87
2021-09-26,90
2021-09-27,104
2021-09-28,108
2021-09-29,107
2021-09-30,117
2021-10-01,123
2021-10-02,95
2021-10-03,108
2021-10-04,113
2021-10-05,120
2021-10-06,117
2021-10-07,120
2021-10-08,123
2021-10-09,105
2021-10-10,107
2021-10-11,113
2021-10-12,115
2021-10-13,117
2021-10-14,116
2021-10-15,119
2021-10-16,102
2021-10-17,101
2021-10-18,90
2021-10-19,113
2021-10-20,110
2021-10-21,112
2021-10-22,116
2021-10-23,99
2021-10-24,90
2021-10-25,104
2021-10-26,113
2021-10-27,116
2021-10-28,119
2021-10-29,124
2021-10-30,107
2021-10-31,102
2021-11-01,105
2021-11-02,134
2021-11-03,130
2021-11-04,135
2021-11-05,134
2021-11-06,117
2021-11-07,111
2021-11-08,118
2021-11-09,127
2021-11-10,129
2021-11-11,130
2021-11-12,130
2021-11-13,107
2021-11-14,106
2021-11-15,104
2021-11-16,121
2021-11-17,118
2021-11-18,117
2021-11-19,121
2021-11-20,107
2021-11-21,98
2021-11-22,108
2021-11-23,115
2021-11-24,112
2021-11-25,122
2021-11-26,126
2021-11-27,116
2021-11-28,104
2021-11-29,118
2021-11-30,121
2021-12-01,125
2021-12-02,129
2021-12-03,132
2021-12-04,114
2021-12-05,110
2021-12-06,121
2021-12-07,125
2021-12-08,122
2021-12-09,124
2021-12-10,128
2021-12-11,111
2021-12-12,106
2021-12-13,116
2021-12-14,121
2021-12-15,121
2021-12-16,125
2021-12-17,130
2021-12-18,112
2021-12-19,111
2021-12-20,128
2021-12-21,135
2021-12-22,138
2021-12-23,154
2021-12-24,168
2021-12-25,83
2021-12-26,106
2021-12-27,122
2021-12-28,136
2021-12-29,135
2021-12-30,156
2021-12-31,167
2022-01-01,65
2022-01-02,100
2022-01-03,111
2022-01-04,119
2022-01-05,120
2022-01-06,124
2022-01-07,122
2022-01-08,107
2022-01-09,100
2022-01-10,119
2022-01-11,120
2022-01-12,112
2022-01-13,116
2022-01-14,119
2022-01-15,105
2022-01-16,97
2022-01-17,112
2022-01-18,115
2022-01-19,111
2022-01-20,110
2022-01-21,115
2022-01-22,103
2022-01-23,93
2022-01-24,109
2022-01-25,113
2022-01-26,103
2022-01-27,116
2022-01-28,122
2022-01-29,107
2022-01-30,98
2022-01-31,116
2022-02-01,120
2022-02-02,121
2022-02-03,127
2022-02-04,126
2022-02-05,110
2022-02-06,100
2022-02-07,117
2022-02-08,126
2022-02-09,121
2022-02-10,129
2022-02-11,129
2022-02-12,113
2022-02-13,103
2022-02-14,131
