dates,covid19mobilitytrend_localbusiness
2020-02-15,3
2020-02-16,4
2020-02-17,1
2020-02-18,2
2020-02-19,0
2020-02-20,2
2020-02-21,-1
2020-02-22,-3
2020-02-23,1
2020-02-24,-3
2020-02-25,0
2020-02-26,-3
2020-02-27,1
2020-02-28,-2
2020-02-29,1
2020-03-01,6
2020-03-02,1
2020-03-03,4
2020-03-04,6
2020-03-05,6
2020-03-06,1
2020-03-07,2
2020-03-08,6
2020-03-09,3
2020-03-10,6
2020-03-11,6
2020-03-12,4
2020-03-13,-1
2020-03-14,-3
2020-03-15,1
2020-03-16,0
2020-03-17,2
2020-03-18,-6
2020-03-19,-8
2020-03-20,-11
2020-03-21,-16
2020-03-22,-19
2020-03-23,-16
2020-03-24,-23
2020-03-25,-25
2020-03-26,-24
2020-03-27,-31
2020-03-28,-34
2020-03-29,-35
2020-03-30,-28
2020-03-31,-28
2020-04-01,-29
2020-04-02,-25
2020-04-03,-30
2020-04-04,-34
2020-04-05,-33
2020-04-06,-27
2020-04-07,-27
2020-04-08,-30
2020-04-09,-28
2020-04-10,-33
2020-04-11,-32
2020-04-12,-34
2020-04-13,-40
2020-04-14,-29
2020-04-15,-29
2020-04-16,-29
2020-04-17,-33
2020-04-18,-34
2020-04-19,-34
2020-04-20,-29
2020-04-21,-27
2020-04-22,-30
2020-04-23,-27
2020-04-24,-33
2020-04-25,-34
2020-04-26,-39
2020-04-27,-29
2020-04-28,-26
2020-04-29,-26
2020-04-30,-21
2020-05-01,-36
2020-05-02,-31
2020-05-03,-33
2020-05-04,-25
2020-05-05,-23
2020-05-06,-22
2020-05-07,-19
2020-05-08,-23
2020-05-09,-22
2020-05-10,-21
2020-05-11,-19
2020-05-12,-15
2020-05-13,-18
2020-05-14,-16
2020-05-15,-18
2020-05-16,-17
2020-05-17,-20
2020-05-18,-15
2020-05-19,-11
2020-05-20,-21
2020-05-21,-22
2020-05-22,-15
2020-05-23,-28
2020-05-24,-15
2020-05-25,-14
2020-05-26,-13
2020-05-27,-12
2020-05-28,-9
2020-05-29,-8
2020-05-30,-10
2020-05-31,-7
2020-06-01,-13
2020-06-02,-4
2020-06-03,-4
2020-06-04,-5
2020-06-05,-4
2020-06-06,-5
2020-06-07,1
2020-06-08,-6
2020-06-09,-11
2020-06-10,-9
2020-06-11,-6
2020-06-12,-7
2020-06-13,-15
2020-06-14,-15
2020-06-15,-10
2020-06-16,-2
2020-06-17,-10
2020-06-18,-5
2020-06-19,-5
2020-06-20,-5
2020-06-21,-6
2020-06-22,-15
2020-06-23,-4
2020-06-24,-5
2020-06-25,-13
2020-06-26,-17
2020-06-27,-11
2020-06-28,-8
2020-06-29,-9
2020-06-30,-3
2020-07-01,1
2020-07-02,1
2020-07-03,-1
2020-07-04,-6
2020-07-05,0
2020-07-06,1
2020-07-07,4
2020-07-08,1
2020-07-09,2
2020-07-10,-1
2020-07-11,-3
2020-07-12,0
2020-07-13,0
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-17,-1
2020-07-18,-3
2020-07-19,-1
2020-07-20,0
2020-07-21,3
2020-07-22,0
2020-07-23,3
2020-07-24,-1
2020-07-25,-1
2020-07-26,2
2020-07-27,1
2020-07-28,6
2020-07-29,7
2020-07-30,14
2020-07-31,-16
2020-08-01,-6
2020-08-02,3
2020-08-03,5
2020-08-04,8
2020-08-05,9
2020-08-06,16
2020-08-07,-8
2020-08-08,-2
2020-08-09,5
2020-08-10,7
2020-08-11,10
2020-08-12,11
2020-08-13,-2
2020-08-14,5
2020-08-15,0
2020-08-16,6
2020-08-17,3
2020-08-18,6
2020-08-19,4
2020-08-20,6
2020-08-21,-1
2020-08-22,0
2020-08-23,3
2020-08-24,2
2020-08-25,5
2020-08-26,5
2020-08-27,7
2020-08-28,3
2020-08-29,5
2020-08-30,6
2020-08-31,7
2020-09-01,12
2020-09-02,10
2020-09-03,10
2020-09-04,6
2020-09-05,9
2020-09-06,11
2020-09-07,8
2020-09-08,10
2020-09-09,10
2020-09-10,13
2020-09-11,8
2020-09-12,10
2020-09-13,8
2020-09-14,9
2020-09-15,10
2020-09-16,10
2020-09-17,10
2020-09-18,5
2020-09-19,7
2020-09-20,6
2020-09-21,4
2020-09-22,4
2020-09-23,0
2020-09-24,-1
2020-09-25,-4
2020-09-26,1
2020-09-27,-1
2020-09-28,-6
2020-09-29,0
2020-09-30,0
2020-10-01,0
