dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,7
2020-03-14,7
2020-03-15,9
2020-03-16,9
2020-03-17,11
2020-03-18,13
2020-03-19,20
2020-03-20,28
2020-03-21,35
2020-03-22,62
2020-03-23,82
2020-03-24,95
2020-03-25,110
2020-03-26,134
2020-03-27,155
2020-03-28,173
2020-03-29,178
2020-03-30,186
2020-03-31,199
2020-04-01,215
2020-04-02,227
2020-04-03,253
2020-04-04,269
2020-04-05,338
2020-04-06,362
2020-04-07,395
2020-04-08,447
2020-04-09,487
2020-04-10,538
2020-04-11,579
2020-04-12,628
2020-04-13,637
2020-04-14,654
2020-04-15,686
2020-04-16,737
2020-04-17,794
2020-04-18,844
2020-04-19,868
2020-04-20,909
2020-04-21,969
2020-04-22,1013
2020-04-23,1068
2020-04-24,1118
2020-04-25,1150
2020-04-26,1150
2020-04-27,1150
2020-04-28,1164
2020-04-29,1183
2020-04-30,1238
2020-05-01,1275
2020-05-02,1333
2020-05-03,1362
2020-05-04,1398
2020-05-05,1432
2020-05-06,1464
2020-05-07,1516
2020-05-08,1571
2020-05-09,1602
2020-05-10,1667
2020-05-11,1700
2020-05-12,1730
2020-05-13,1857
2020-05-14,1912
2020-05-15,1971
2020-05-16,2017
2020-05-17,2061
2020-05-18,2109
2020-05-19,2119
2020-05-20,2153
2020-05-21,2231
2020-05-22,2301
2020-05-23,2341
2020-05-24,2366
2020-05-25,2376
2020-05-26,2423
2020-05-27,2477
2020-05-28,2556
2020-05-29,2641
2020-05-30,2750
2020-05-31,2799
2020-06-01,2833
2020-06-02,2951
2020-06-03,3024
2020-06-04,3110
2020-06-05,3262
2020-06-06,3431
2020-06-07,3557
2020-06-08,3739
2020-06-09,3881
2020-06-10,3995
2020-06-11,4181
2020-06-12,4404
2020-06-13,4684
2020-06-14,4848
2020-06-15,5084
2020-06-16,5439
2020-06-17,5679
2020-06-18,6063
2020-06-19,6444
2020-06-20,6874
2020-06-21,7276
2020-06-22,7492
2020-06-23,7677
2020-06-24,7904
2020-06-25,8164
2020-06-26,8334
2020-06-27,8739
2020-06-28,8944
2020-06-29,9101
2020-06-30,9214
2020-07-01,9499
2020-07-02,9702
2020-07-03,9992
2020-07-04,10244
2020-07-05,10244
2020-07-06,10772
2020-07-07,10966
2020-07-08,11194
2020-07-09,11504
2020-07-10,11504
2020-07-11,12052
2020-07-12,12443
2020-07-13,12766
2020-07-14,12872
2020-07-15,13037
2020-07-16,13403
2020-07-17,13554
2020-07-18,13696
2020-07-19,13912
2020-07-20,14119
2020-07-21,14312
2020-07-22,14531
2020-07-23,14733
2020-07-24,15001
2020-07-25,15253
2020-07-26,15494
2020-07-27,15596
2020-07-28,15655
2020-07-29,15713
2020-07-30,15813
2020-07-31,15978
2020-08-01,16047
2020-08-02,16109
2020-08-03,16182
2020-08-04,16220
2020-08-05,16293
2020-08-06,16349
2020-08-07,16563
2020-08-08,16640
2020-08-09,16736
2020-08-10,16831
2020-08-11,16914
2020-08-12,16963
2020-08-13,16979
2020-08-14,17005
2020-08-15,17051
2020-08-16,17114
2020-08-17,17142
2020-08-18,17223
2020-08-19,17266
2020-08-20,17348
2020-08-21,17365
2020-08-22,17426
2020-08-23,17490
2020-08-24,17587
2020-08-25,17622
2020-08-26,17678
2020-08-27,17719
2020-08-28,17818
2020-08-29,17913
2020-08-30,18009
2020-08-31,18064
2020-09-01,18183
2020-09-02,18219
2020-09-03,18277
2020-09-04,18324
2020-09-05,18385
2020-09-06,18588
2020-09-07,18588
2020-09-08,18701
2020-09-09,18778
2020-09-10,18815
2020-09-11,18869
2020-09-12,18916
2020-09-13,18987
2020-09-14,19013
2020-09-15,19066
2020-09-16,19100
2020-09-17,19132
2020-09-18,19158
2020-09-19,19200
2020-09-20,19269
2020-09-21,19320
2020-09-22,19327
2020-09-23,19343
2020-09-24,19430
2020-09-25,19501
2020-09-26,19556
2020-09-27,19600
2020-09-28,19629
2020-09-29,19641
2020-09-30,19669
2020-10-01,19724
2020-10-02,19755
2020-10-03,19793
2020-10-04,19849
2020-10-05,19882
2020-10-06,19885
2020-10-07,19903
2020-10-08,19935
2020-10-09,19982
2020-10-10,20036
2020-10-11,20128
2020-10-12,20154
2020-10-13,20155
2020-10-14,20183
2020-10-15,20217
2020-10-16,20257
2020-10-17,20275
2020-10-18,20301
2020-10-19,20323
2020-10-20,20324
2020-10-21,20342
2020-10-22,20363
2020-10-23,20390
2020-10-24,20405
2020-10-25,20429
2020-10-26,20470
2020-10-27,20486
2020-10-28,20488
2020-10-29,20555
2020-10-30,20628
2020-10-31,20692
2020-11-01,20716
2020-11-02,20719
2020-11-03,20753
2020-11-04,20765
2020-11-05,20778
2020-11-06,20789
2020-11-07,20845
2020-11-08,20857
2020-11-09,20876
2020-11-10,20879
2020-11-11,20891
2020-11-12,20899
2020-11-13,20926
2020-11-14,20989
2020-11-15,20989
2020-11-16,21020
2020-11-17,21032
2020-11-18,21048
2020-11-19,21089
2020-11-20,21127
2020-11-21,21143
2020-11-22,21170
2020-11-23,21182
2020-11-24,21192
2020-11-25,21200
2020-11-26,21212
2020-11-27,21243
2020-11-28,21276
2020-11-29,21305
2020-11-30,21354
2020-12-01,21375
2020-12-02,21378
2020-12-03,21405
2020-12-04,21433
2020-12-05,21456
2020-12-06,21485
2020-12-07,21485
2020-12-08,21507
2020-12-09,21513
2020-12-10,21547
2020-12-11,21590
2020-12-12,21618
2020-12-13,21639
2020-12-14,21680
2020-12-15,21705
2020-12-16,21717
2020-12-17,21741
2020-12-18,21772
2020-12-19,21772
2020-12-20,21772
2020-12-21,21918
2020-12-22,21932
2020-12-23,21942
2020-12-24,21984
2020-12-25,22071
2020-12-26,22081
2020-12-27,22081
2020-12-28,22152
2020-12-29,22176
2020-12-30,22250
2020-12-31,22250
2021-01-01,22250
2021-01-02,22250
2021-01-03,22250
2021-01-04,22648
2021-01-05,22800
2021-01-06,22855
2021-01-07,22963
2021-01-08,23173
2021-01-09,23254
2021-01-10,23482
2021-01-11,23482
2021-01-12,23894
2021-01-13,24186
2021-01-14,24369
2021-01-15,24578
2021-01-16,24856
2021-01-17,25028
2021-01-18,25241
2021-01-19,25305
2021-01-20,25383
2021-01-21,25597
2021-01-22,25751
2021-01-23,26315
2021-01-24,26612
2021-01-25,26850
2021-01-26,27096
2021-01-27,27237
2021-01-28,27456
2021-01-29,27695
2021-01-30,27934
2021-01-31,28178
2021-02-01,28399
2021-02-02,28475
2021-02-03,28607
2021-02-04,28739
2021-02-05,29102
2021-02-06,29295
2021-02-07,29567
2021-02-08,29825
2021-02-09,29967
2021-02-10,30074
2021-02-11,30240
2021-02-12,30526
2021-02-13,30717
2021-02-14,30884
2021-02-15,31140
2021-02-16,31235
2021-02-17,31365
2021-02-18,31497
2021-02-19,31612
2021-02-20,31825
2021-02-21,31914
2021-02-22,32026
2021-02-23,32039
2021-02-24,32124
2021-02-25,32295
2021-02-26,32295
2021-02-27,32428
2021-02-28,32631
2021-03-01,32754
2021-03-02,32791
2021-03-03,32929
2021-03-04,33285
2021-03-05,33975
2021-03-06,34411
2021-03-07,34935
2021-03-08,35187
2021-03-09,35331
2021-03-10,35477
2021-03-11,36028
2021-03-12,36511
2021-03-13,36824
2021-03-14,37304
2021-03-15,37653
2021-03-16,37908
2021-03-17,38120
2021-03-18,38282
2021-03-19,38923
2021-03-20,39434
2021-03-21,39913
2021-03-22,40310
2021-03-23,40601
2021-03-24,40868
2021-03-25,41307
2021-03-26,42064
2021-03-27,42468
2021-03-28,42468
2021-03-29,43180
2021-03-30,43422
2021-03-31,43542
2021-04-01,43889
2021-04-02,44326
2021-04-03,44326
2021-04-04,44326
2021-04-05,44749
2021-04-06,44841
2021-04-07,44854
2021-04-08,44880
2021-04-09,44975
2021-04-10,45089
2021-04-11,45145
2021-04-12,45206
2021-04-13,45227
2021-04-14,45265
2021-04-15,45265
2021-04-16,45265
2021-04-17,45265
2021-04-18,45519
2021-04-19,45560
2021-04-20,45614
2021-04-21,45614
2021-04-22,45697
2021-04-23,45715
2021-04-24,45765
2021-04-25,45820
2021-04-26,45852
2021-04-27,45863
2021-04-28,45885
2021-04-29,45885
2021-04-30,45998
2021-05-01,46036
2021-05-02,46114
2021-05-03,46150
2021-05-04,46154
2021-05-05,46173
2021-05-06,46231
2021-05-07,46315
2021-05-08,46344
2021-05-09,46385
2021-05-10,46442
2021-05-11,46443
2021-05-12,46484
2021-05-13,46516
2021-05-14,46520
2021-05-15,46535
2021-05-16,46619
2021-05-17,46656
2021-05-18,46661
2021-05-19,46708
2021-05-20,46777
2021-05-21,46834
2021-05-22,46874
2021-05-23,46942
2021-05-24,46942
2021-05-25,47033
2021-05-26,47036
2021-05-27,47085
2021-05-28,47146
2021-05-29,47195
2021-05-30,47195
2021-05-31,47195
2021-06-01,47292
2021-06-02,47319
2021-06-03,47356
2021-06-04,47389
2021-06-05,47435
2021-06-06,47476
2021-06-07,47490
2021-06-08,47493
2021-06-09,47511
2021-06-10,47547
2021-06-11,47605
2021-06-12,47605
2021-06-13,47662
2021-06-14,47662
2021-06-15,47760
2021-06-16,47909
2021-06-17,47933
2021-06-18,47973
2021-06-19,47973
2021-06-20,48031
2021-06-21,48044
2021-06-22,48047
2021-06-23,48058
2021-06-24,48058
2021-06-25,48058
2021-06-26,48137
2021-06-27,48176
2021-06-28,48192
2021-06-29,48203
