dates,cumulativecount_medicaltest_conditioncovid_19
2020-04-13,3658
2020-04-14,3787
2020-04-15,4025
2020-04-16,4323
2020-04-17,4619
2020-04-18,4980
2020-04-19,5379
2020-04-20,5730
2020-04-21,6000
2020-04-22,6342
2020-04-23,6846
2020-04-24,7430
2020-04-25,7732
2020-04-26,8292
2020-04-27,8581
2020-04-28,8760
2020-04-29,9272
2020-04-30,9657
2020-05-02,10508
2020-05-03,10796
2020-05-04,11278
2020-05-05,11448
2020-05-06,11945
2020-05-07,12312
2020-05-08,12768
2020-05-09,13341
2020-05-10,13663
2020-05-11,14162
2020-05-12,14668
2020-05-13,15260
2020-05-14,15940
2020-05-15,16668
2020-05-16,17513
2020-05-17,18303
2020-05-18,18608
2020-05-19,19174
2020-05-20,20014
2020-05-21,21069
2020-05-22,22233
2020-05-23,22960
2020-05-24,23444
2020-05-25,24317
2020-05-26,25099
2020-05-27,25524
2020-05-28,26021
2020-05-29,26548
2020-05-30,26905
2020-05-31,27039
2020-06-01,27650
2020-06-02,28120
2020-06-03,28522
2020-06-04,29228
2020-06-05,29856
2020-06-06,30612
2020-06-07,31549
2020-06-08,32349
2020-06-09,32864
2020-06-10,33476
2020-06-11,34272
2020-06-13,35935
2020-06-14,36783
2020-06-15,37653
2020-06-16,38637
2020-06-17,39851
2020-06-18,41443
2020-06-19,43075
2020-06-20,44230
2020-06-21,45152
2020-06-22,45996
2020-06-23,47299
2020-06-24,48340
2020-06-25,49352
2020-06-26,50914
2020-06-27,52261
2020-06-28,52885
2020-06-29,53938
2020-06-30,55950
2020-07-01,57774
2020-07-02,59382
2020-07-03,60652
2020-07-04,62205
2020-07-05,64424
2020-07-06,65888
2020-07-07,67168
2020-07-08,69009
2020-07-09,70414
2020-07-10,72599
2020-07-11,74880
2020-07-12,76250
2020-07-13,77384
2020-07-14,78066
2020-07-15,79895
2020-07-16,80633
2020-07-17,81379
2020-07-18,82616
2020-07-19,83753
2020-07-20,85409
2020-07-21,86552
2020-07-22,87683
2020-07-23,89920
2020-07-24,91655
2020-07-25,93659
2020-07-26,95105
2020-07-27,96097
2020-07-28,96768
2020-07-29,98014
2020-07-30,99734
2020-07-31,100685
2020-08-01,101583
2020-08-02,102685
2020-08-03,103112
2020-08-04,103624
2020-08-06,104584
2020-08-07,105508
2020-08-08,106753
2020-08-09,108862
2020-08-10,109677
2020-08-11,110359
2020-08-12,110611
2020-08-13,111132
2020-08-14,112061
2020-08-15,112931
2020-08-16,113388
2020-08-17,114420
2020-08-18,115338
2020-08-19,116785
2020-08-20,117115
2020-08-21,118065
2020-08-22,119166
2020-08-23,120299
2020-08-24,121286
2020-08-25,122079
2020-08-26,122975
2020-08-27,124057
2020-08-28,125085
2020-08-29,125972
2020-08-30,126552
2020-08-31,127804
2020-09-01,128187
2020-09-02,129125
2020-09-03,130046
2020-09-04,131150
2020-09-05,132863
2020-09-06,134026
2020-09-07,134785
2020-09-08,135277
2020-09-09,136441
2020-09-10,137921
2020-09-11,139706
2020-09-12,141462
2020-09-13,142248
2020-09-14,143661
2020-09-15,144759
2020-09-16,146312
2020-09-17,147565
2020-09-18,148957
2020-09-19,150646
2020-09-20,152527
2020-09-21,152682
2020-09-22,153228
2020-09-23,154970
2020-09-24,156390
2020-09-25,158022
2020-09-26,159285
2020-09-27,160192
2020-09-28,160428
2020-09-29,161121
2020-09-30,162781
2020-10-01,163715
2020-10-02,164839
2020-10-03,165735
2020-10-04,166529
2020-10-05,166699
2020-10-06,167083
2020-10-07,168309
2020-10-08,169404
2020-10-09,170503
2020-10-10,172308
2020-10-11,173214
2020-10-12,173282
2020-10-13,174223
2020-10-14,175666
2020-10-15,176844
2020-10-16,177817
2020-10-17,178801
2020-10-18,180040
2020-10-19,180800
2020-10-20,181735
2020-10-22,183400
2020-10-23,184796
2020-10-24,186404
2020-10-25,188017
2020-10-26,188716
2020-10-27,189052
2020-10-28,190116
2020-10-29,192394
2020-10-30,193715
2020-10-31,194200
2020-11-02,195065
2020-11-03,195528
2020-11-04,196129
2020-11-05,197091
2020-11-06,197708
2020-11-07,198662
2020-11-08,199603
2020-11-09,199880
2020-11-10,200218
2020-11-11,200986
2020-11-12,201860
2020-11-13,202716
2020-11-14,203802
2020-11-15,204756
2020-11-16,205228
2020-11-17,205598
2020-11-18,206457
2020-11-19,207321
2020-11-20,208426
2020-11-21,209295
2020-11-22,210236
2020-11-23,211202
2020-11-24,211540
2020-11-25,212611
2020-11-26,213689
2020-11-27,214926
2020-11-28,215944
2020-11-29,217462
2020-11-30,218207
2020-12-01,218660
2020-12-02,219775
2020-12-03,221219
2020-12-04,222462
2020-12-05,223877
2020-12-06,225399
2020-12-07,226237
2020-12-08,226594
2020-12-09,227882
2020-12-10,229493
2020-12-11,230799
2020-12-12,232220
2020-12-13,234067
2020-12-14,235378
2020-12-15,236078
2020-12-16,237469
2020-12-17,239365
2020-12-18,241221
2020-12-19,243027
2020-12-20,244957
2020-12-21,246128
2020-12-22,246969
2020-12-23,248050
2020-12-24,250256
2020-12-25,251251
2020-12-27,253132
2020-12-28,254011
2020-12-29,255003
2020-12-30,256649
2020-12-31,258506
2021-01-01,260851
2021-01-03,262407
2021-01-04,264223
2021-01-05,265531
2021-01-06,267276
2021-01-07,271353
2021-01-08,274288
2021-01-09,277151
2021-01-10,280629
2021-01-11,282125
2021-01-12,283759
2021-01-13,286698
2021-01-14,290465
2021-01-15,293382
2021-01-16,295966
2021-01-17,298847
2021-01-18,301237
2021-01-19,302966
2021-01-20,305299
2021-01-21,306629
2021-01-22,311656
2021-01-23,314632
2021-01-24,319232
2021-01-25,321083
2021-01-26,323322
2021-01-27,325872
2021-01-28,330173
2021-01-29,333591
2021-01-30,339365
2021-01-31,344477
2021-02-01,346185
2021-02-02,349351
2021-02-03,351316
2021-02-04,355696
2021-02-05,359550
2021-02-06,362035
2021-02-07,365508
2021-02-08,367353
2021-02-09,368833
2021-02-10,372020
2021-02-11,375487
2021-02-12,378905
2021-02-13,382078
2021-02-14,385616
2021-02-15,386800
2021-02-16,389190
2021-02-17,391848
2021-02-18,394668
2021-02-19,398383
2021-02-20,401809
2021-02-21,405112
2021-02-22,406140
2021-02-23,408167
2021-02-24,411902
2021-02-25,415261
2021-02-26,417474
2021-02-27,420582
2021-02-28,423731
2021-03-01,424625
2021-03-02,426876
2021-03-03,429177
2021-03-04,432695
2021-03-05,435656
2021-03-06,438334
2021-03-08,443563
2021-03-09,445505
2021-03-10,448597
2021-03-11,452430
2021-03-12,455436
2021-03-13,458980
2021-03-14,462268
2021-03-15,464302
2021-03-16,466511
2021-03-17,470459
2021-03-18,473798
2021-03-19,477430
2021-03-20,481527
2021-03-21,484973
2021-03-22,486766
2021-03-23,488648
2021-03-24,492562
2021-03-25,497211
2021-03-26,502125
2021-03-27,505960
2021-03-28,510008
2021-03-29,513010
2021-03-30,514837
2021-03-31,519522
2021-04-01,524257
2021-04-02,528303
2021-04-03,533125
2021-04-04,536109
2021-04-05,538411
2021-04-06,539507
2021-04-07,541414
2021-04-08,544843
2021-04-09,548998
2021-04-10,551900
2021-04-11,556152
2021-04-12,557294
2021-04-13,559330
2021-04-14,562275
2021-04-15,565217
2021-04-16,567714
2021-04-17,570199
2021-04-18,572731
2021-04-19,573182
2021-04-21,577798
2021-04-22,579748
2021-04-23,581820
2021-04-24,583627
2021-04-25,585823
2021-04-26,586455
2021-04-27,588554
2021-04-28,590207
2021-04-29,592384
2021-04-30,594288
2021-05-01,596854
2021-05-02,598706
2021-05-03,598993
2021-05-04,600661
2021-05-05,603021
2021-05-07,606980
2021-05-08,608960
2021-05-09,611119
2021-05-10,611270
2021-05-11,613154
2021-05-12,614959
2021-05-13,616078
2021-05-14,617204
2021-05-15,619741
2021-05-16,621411
2021-05-17,621582
2021-05-18,623383
2021-05-19,625623
2021-05-20,627781
2021-05-21,630451
2021-05-22,632190
2021-05-23,635046
2021-05-24,635668
2021-05-25,636980
2021-05-27,641049
2021-05-28,643113
2021-05-29,645222
2021-05-31,648637
2021-06-01,650416
2021-06-02,652778
2021-06-03,654588
2021-06-04,657347
2021-06-05,659797
2021-06-06,661623
2021-06-07,662099
2021-06-08,663286
2021-06-09,665601
2021-06-10,668205
2021-06-11,670143
2021-06-12,672653
2021-06-13,674878
2021-06-14,675738
2021-06-15,677515
2021-06-16,678807
2021-06-17,681693
2021-06-18,684588
2021-06-19,687004
