dates,covid19mobilitytrend_transporthub
2020-02-15,1
2020-02-16,-1
2020-02-17,4
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,-2
2020-02-22,-4
2020-02-23,-7
2020-02-24,-2
2020-02-25,-3
2020-02-26,1
2020-02-27,3
2020-02-28,3
2020-02-29,0
2020-03-01,2
2020-03-02,5
2020-03-03,6
2020-03-04,7
2020-03-05,7
2020-03-06,7
2020-03-07,4
2020-03-08,8
2020-03-09,2
2020-03-10,3
2020-03-11,1
2020-03-12,0
2020-03-13,-1
2020-03-14,-3
2020-03-15,-2
2020-03-16,1
2020-03-17,0
2020-03-18,-5
2020-03-19,-9
2020-03-20,-14
2020-03-21,-13
2020-03-22,-20
2020-03-23,-12
2020-03-24,-18
2020-03-25,-17
2020-03-26,-16
2020-03-27,-19
2020-03-28,-20
2020-03-29,-23
2020-03-30,-18
2020-03-31,-17
2020-04-01,-21
2020-04-02,-24
2020-04-03,-25
2020-04-04,-22
2020-04-05,-25
2020-04-06,-21
2020-04-07,-22
2020-04-08,-26
2020-04-09,-25
2020-04-10,-30
2020-04-11,-27
2020-04-12,-29
2020-04-13,-22
2020-04-14,-24
2020-04-15,-25
2020-04-16,-26
2020-04-17,-25
2020-04-18,-24
2020-04-19,-27
2020-04-20,-22
2020-04-21,-22
2020-04-22,-24
2020-04-23,-24
2020-04-24,-25
2020-04-25,-22
2020-04-26,-26
2020-04-27,-19
2020-04-28,-17
2020-04-29,-18
2020-04-30,-21
2020-05-01,-30
2020-05-02,-22
2020-05-03,-25
2020-05-04,-19
2020-05-05,-16
2020-05-06,-17
2020-05-07,-15
2020-05-08,-15
2020-05-09,-16
2020-05-10,-18
2020-05-11,-12
2020-05-12,-12
2020-05-13,-14
2020-05-14,-14
2020-05-15,-11
2020-05-16,-13
2020-05-17,-16
2020-05-18,-11
2020-05-19,-12
2020-05-20,-26
2020-05-21,-18
2020-05-22,-15
2020-05-23,-16
2020-05-24,-16
2020-05-25,-15
2020-05-26,-8
2020-05-27,-11
2020-05-28,-8
2020-05-29,-7
2020-05-30,-7
2020-05-31,-11
2020-06-01,-10
2020-06-02,-5
2020-06-03,-9
2020-06-04,-7
2020-06-05,-5
2020-06-06,-5
2020-06-07,-6
2020-06-08,0
2020-06-09,0
2020-06-10,-3
2020-06-11,-4
2020-06-12,-3
2020-06-13,-3
2020-06-14,-7
2020-06-15,-2
2020-06-16,-3
2020-06-17,-7
2020-06-18,-2
2020-06-19,-3
2020-06-20,-5
2020-06-21,-8
2020-06-22,-4
2020-06-23,-3
2020-06-24,-9
2020-06-25,0
2020-06-26,-1
2020-06-27,-1
2020-06-28,-3
2020-06-29,2
2020-06-30,2
2020-07-01,5
2020-07-02,8
2020-07-03,3
2020-07-04,5
2020-07-05,4
2020-07-06,7
2020-07-07,6
2020-07-08,5
2020-07-09,8
2020-07-10,6
2020-07-11,8
2020-07-12,4
2020-07-13,8
2020-07-14,3
2020-07-15,7
2020-07-16,8
2020-07-17,7
2020-07-18,8
2020-07-19,0
2020-07-20,9
2020-07-21,5
2020-07-22,4
2020-07-23,6
2020-07-24,7
2020-07-25,8
2020-07-26,3
2020-07-27,14
2020-07-28,12
2020-07-29,10
2020-07-30,12
2020-07-31,5
2020-08-01,6
2020-08-02,4
2020-08-03,13
2020-08-04,15
2020-08-05,13
2020-08-06,17
2020-08-07,18
2020-08-08,17
2020-08-09,11
2020-08-10,17
2020-08-11,21
2020-08-12,18
2020-08-13,21
2020-08-14,21
2020-08-15,14
2020-08-16,9
2020-08-17,21
2020-08-18,18
2020-08-19,15
2020-08-20,12
2020-08-21,6
2020-08-22,13
2020-08-23,6
2020-08-24,16
2020-08-25,19
2020-08-26,16
2020-08-27,19
2020-08-28,16
2020-08-29,15
2020-08-30,13
2020-08-31,20
2020-09-01,15
2020-09-02,16
2020-09-03,19
2020-09-04,17
2020-09-05,13
2020-09-06,14
2020-09-07,22
2020-09-08,17
2020-09-09,17
2020-09-10,20
2020-09-11,21
2020-09-12,16
2020-09-13,14
2020-09-14,25
2020-09-15,16
2020-09-16,19
2020-09-17,20
2020-09-18,22
2020-09-19,12
2020-09-20,15
2020-09-21,27
2020-09-22,-2
2020-09-23,18
2020-09-24,23
2020-09-25,27
2020-09-26,22
2020-09-27,22
2020-09-28,26
2020-09-29,25
2020-09-30,26
2020-10-01,22
2020-10-02,24
2020-10-03,19
2020-10-04,14
2020-10-05,22
2020-10-06,18
2020-10-07,18
2020-10-08,17
2020-10-09,19
2020-10-10,19
2020-10-11,19
2020-10-12,25
2020-10-13,22
2020-10-14,18
2020-10-15,22
2020-10-16,24
2020-10-17,23
2020-10-18,21
2020-10-19,24
2020-10-20,23
2020-10-21,20
2020-10-22,25
2020-10-23,24
2020-10-24,24
2020-10-25,23
2020-10-26,29
2020-10-27,27
2020-10-28,12
2020-10-29,14
2020-10-30,18
2020-10-31,8
2020-11-01,11
2020-11-02,16
2020-11-03,17
2020-11-04,16
2020-11-05,26
2020-11-06,23
2020-11-07,18
2020-11-08,20
2020-11-09,27
2020-11-10,27
2020-11-11,26
2020-11-12,26
2020-11-13,27
2020-11-14,17
2020-11-15,20
2020-11-16,24
2020-11-17,28
2020-11-18,22
2020-11-19,26
2020-11-20,28
2020-11-21,22
2020-11-22,23
2020-11-23,25
2020-11-24,25
2020-11-25,22
2020-11-26,30
2020-11-27,30
2020-11-28,23
2020-11-29,26
2020-11-30,31
2020-12-01,32
2020-12-02,27
2020-12-03,32
2020-12-04,32
2020-12-05,27
2020-12-06,24
2020-12-07,35
2020-12-08,37
2020-12-09,26
2020-12-10,33
2020-12-11,34
2020-12-12,28
2020-12-13,36
2020-12-14,37
2020-12-15,37
2020-12-16,33
2020-12-17,39
2020-12-18,44
2020-12-19,37
2020-12-20,41
2020-12-21,46
2020-12-22,52
2020-12-23,55
2020-12-24,62
2020-12-25,10
2020-12-26,17
2020-12-27,36
2020-12-28,40
2020-12-29,40
2020-12-30,43
2020-12-31,51
2021-01-01,11
2021-01-02,17
2021-01-03,43
2021-01-04,39
2021-01-05,33
2021-01-06,24
2021-01-07,31
2021-01-08,34
2021-01-09,30
2021-01-10,38
2021-01-11,38
2021-01-12,33
2021-01-13,22
2021-01-14,18
2021-01-15,15
2021-01-16,3
2021-01-17,14
2021-01-18,17
2021-01-19,11
2021-01-20,10
2021-01-21,12
2021-01-22,15
2021-01-23,10
2021-01-24,18
2021-01-25,20
2021-01-26,17
2021-01-27,14
2021-01-28,19
2021-01-29,21
2021-01-30,13
2021-01-31,20
2021-02-01,22
2021-02-02,22
2021-02-03,11
2021-02-04,11
2021-02-05,15
2021-02-06,8
2021-02-07,12
2021-02-08,18
2021-02-09,17
2021-02-10,13
2021-02-11,6
2021-02-12,15
2021-02-13,6
2021-02-14,17
2021-02-15,13
2021-02-16,13
2021-02-17,9
2021-02-18,12
2021-02-19,12
2021-02-20,4
2021-02-21,9
2021-02-22,10
2021-02-23,15
2021-02-24,11
2021-02-25,18
2021-02-26,23
2021-02-27,15
2021-02-28,21
2021-03-01,20
2021-03-02,20
2021-03-03,16
2021-03-04,21
2021-03-05,23
2021-03-06,14
2021-03-07,23
2021-03-08,24
2021-03-09,16
2021-03-10,11
2021-03-11,16
2021-03-12,21
2021-03-13,14
2021-03-14,17
2021-03-15,19
2021-03-16,20
2021-03-17,17
2021-03-18,18
2021-03-19,21
2021-03-20,9
2021-03-21,22
2021-03-22,24
2021-03-23,19
2021-03-24,11
2021-03-25,26
2021-03-26,30
2021-03-27,24
2021-03-28,28
2021-03-29,34
2021-03-30,31
2021-03-31,26
2021-04-01,34
2021-04-02,24
2021-04-03,23
2021-04-04,30
2021-04-05,30
2021-04-06,36
2021-04-07,28
2021-04-08,29
2021-04-09,34
2021-04-10,26
2021-04-11,34
2021-04-12,37
2021-04-13,30
2021-04-14,28
2021-04-15,31
2021-04-16,28
2021-04-17,22
2021-04-18,31
2021-04-19,32
2021-04-20,33
2021-04-21,30
2021-04-22,29
2021-04-23,30
2021-04-24,28
2021-04-25,35
2021-04-26,37
2021-04-27,32
2021-04-28,31
2021-04-29,36
2021-04-30,41
2021-05-01,30
2021-05-02,36
2021-05-03,45
2021-05-04,37
2021-05-05,39
2021-05-06,38
2021-05-07,42
2021-05-08,34
2021-05-09,40
2021-05-10,45
2021-05-11,44
2021-05-12,39
2021-05-13,38
2021-05-14,32
2021-05-15,32
2021-05-16,38
2021-05-17,48
2021-05-18,41
2021-05-19,42
2021-05-20,24
2021-05-21,44
2021-05-22,37
2021-05-23,45
2021-05-24,46
2021-05-25,46
2021-05-26,43
2021-05-27,48
2021-05-28,55
2021-05-29,47
2021-05-30,50
2021-05-31,37
2021-06-01,54
2021-06-02,44
2021-06-03,52
2021-06-04,51
2021-06-05,41
2021-06-06,53
2021-06-07,54
2021-06-08,49
2021-06-09,40
2021-06-10,49
2021-06-11,48
2021-06-12,47
2021-06-13,47
2021-06-14,52
2021-06-15,47
2021-06-16,40
2021-06-17,43
2021-06-18,44
2021-06-19,36
2021-06-20,38
2021-06-21,35
2021-06-22,41
2021-06-23,33
2021-06-24,41
2021-06-25,49
2021-06-26,44
2021-06-27,44
2021-06-28,46
2021-06-29,43
2021-06-30,41
2021-07-01,50
2021-07-02,50
2021-07-03,43
2021-07-04,53
2021-07-05,54
2021-07-06,54
2021-07-07,47
2021-07-08,54
2021-07-09,53
2021-07-10,42
2021-07-11,52
2021-07-12,56
2021-07-13,52
2021-07-14,53
2021-07-15,52
2021-07-16,62
2021-07-17,54
2021-07-18,50
2021-07-19,50
2021-07-20,44
2021-07-21,50
2021-07-22,53
2021-07-23,53
2021-07-24,46
2021-07-25,54
2021-07-26,62
2021-07-27,64
2021-07-28,57
2021-07-29,62
2021-07-30,64
2021-07-31,51
2021-08-01,57
2021-08-02,63
2021-08-03,63
2021-08-04,56
2021-08-05,63
2021-08-06,64
2021-08-07,51
2021-08-08,55
2021-08-09,61
2021-08-10,64
2021-08-11,54
2021-08-12,65
2021-08-13,63
2021-08-14,48
2021-08-15,49
2021-08-16,52
2021-08-17,61
2021-08-18,54
2021-08-19,61
2021-08-20,60
2021-08-21,44
2021-08-22,55
2021-08-23,64
2021-08-24,63
2021-08-25,59
2021-08-26,71
2021-08-27,69
2021-08-28,58
2021-08-29,62
2021-08-30,72
2021-08-31,72
2021-09-01,50
2021-09-02,71
2021-09-03,72
2021-09-04,69
2021-09-05,70
2021-09-06,67
2021-09-07,62
2021-09-08,54
2021-09-09,54
2021-09-10,57
2021-09-11,48
2021-09-12,59
2021-09-13,60
2021-09-14,55
2021-09-15,46
2021-09-16,47
2021-09-17,52
2021-09-18,46
2021-09-19,50
2021-09-20,53
2021-09-21,48
2021-09-22,43
2021-09-23,46
2021-09-24,49
2021-09-25,42
2021-09-26,53
2021-09-27,55
2021-09-28,54
2021-09-29,46
2021-09-30,57
2021-10-01,54
2021-10-02,53
2021-10-03,54
2021-10-04,57
2021-10-05,59
2021-10-06,54
2021-10-07,62
2021-10-08,59
2021-10-09,42
2021-10-10,52
2021-10-11,58
2021-10-12,61
2021-10-13,52
2021-10-14,56
2021-10-15,59
2021-10-16,49
2021-10-17,55
2021-10-18,57
2021-10-19,54
2021-10-20,52
2021-10-21,55
2021-10-22,48
2021-10-23,51
2021-10-24,55
2021-10-25,52
2021-10-26,61
2021-10-27,55
2021-10-28,66
2021-10-29,63
2021-10-30,57
2021-10-31,61
2021-11-01,56
2021-11-02,65
2021-11-03,57
2021-11-04,63
2021-11-05,66
2021-11-06,56
2021-11-07,63
2021-11-08,64
2021-11-09,64
2021-11-10,58
2021-11-11,63
2021-11-12,65
2021-11-13,53
