dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,2
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,5
2020-03-19,0
2020-03-20,4
2020-03-21,7
2020-03-22,5
2020-03-23,13
2020-03-24,17
2020-03-25,0
2020-03-26,0
2020-03-27,19
2020-03-28,15
2020-03-29,0
2020-03-30,0
2020-03-31,47
2020-04-01,0
2020-04-02,38
2020-04-03,131
2020-04-04,194
2020-04-05,55
2020-04-06,44
2020-04-07,16
2020-04-08,115
2020-04-09,0
2020-04-10,0
2020-04-11,92
2020-04-12,0
2020-04-13,0
2020-04-14,33
2020-04-15,0
2020-04-16,0
2020-04-17,160
2020-04-18,0
2020-04-19,1
2020-04-20,0
2020-04-21,147
2020-04-22,0
2020-04-23,238
2020-04-24,0
2020-04-25,2
2020-04-26,218
2020-04-27,0
2020-04-28,0
2020-04-29,184
2020-04-30,3
2020-05-01,261
2020-05-02,0
2020-05-03,8
2020-05-04,0
2020-05-05,188
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,70
2020-05-10,0
2020-05-11,244
2020-05-12,110
2020-05-13,111
2020-05-14,154
2020-05-15,93
2020-05-16,0
2020-05-17,0
2020-05-18,482
2020-05-19,0
2020-05-20,0
2020-05-21,204
2020-05-22,555
2020-05-23,112
2020-05-24,0
2020-05-25,490
2020-05-26,0
2020-05-27,546
2020-05-28,0
2020-05-29,0
2020-05-30,223
2020-05-31,245
2020-06-01,0
2020-06-02,660
2020-06-03,188
2020-06-04,37
2020-06-05,603
2020-06-06,0
2020-06-07,566
2020-06-08,102
2020-06-09,252
2020-06-10,369
2020-06-11,62
2020-06-12,0
2020-06-13,179
2020-06-14,650
2020-06-15,291
2020-06-16,209
2020-06-17,181
2020-06-18,174
2020-06-19,854
2020-06-20,0
2020-06-21,461
2020-06-22,150
2020-06-23,149
2020-06-24,229
2020-06-25,322
2020-06-26,0
2020-06-27,0
2020-06-28,753
2020-06-29,185
2020-06-30,0
2020-07-01,181
2020-07-02,326
2020-07-03,0
2020-07-04,487
2020-07-05,0
2020-07-06,0
2020-07-07,392
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,257
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,884
2020-07-16,100
2020-07-17,128
2020-07-18,129
2020-07-19,108
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,186
2020-07-25,0
2020-07-26,0
2020-07-27,402
2020-07-28,69
2020-07-29,76
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,463
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,384
2020-08-09,111
2020-08-10,50
2020-08-11,0
2020-08-12,45
2020-08-13,81
2020-08-14,80
2020-08-15,0
2020-08-16,113
2020-08-17,17
2020-08-18,25
2020-08-19,138
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,211
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,169
2020-08-29,0
2020-08-30,0
2020-08-31,267
2020-09-01,51
2020-09-02,0
2020-09-03,0
2020-09-04,144
2020-09-05,0
2020-09-06,0
2020-09-07,244
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,161
2020-09-12,158
2020-09-13,61
2020-09-14,43
2020-09-15,32
2020-09-16,0
2020-09-17,0
2020-09-18,128
2020-09-19,0
2020-09-20,167
2020-09-21,0
2020-09-22,92
2020-09-23,0
2020-09-24,22
2020-09-25,23
2020-09-26,61
2020-09-27,42
2020-09-28,37
2020-09-29,0
2020-09-30,0
2020-10-01,49
2020-10-02,0
2020-10-03,0
2020-10-04,213
2020-10-05,23
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,173
2020-10-12,66
2020-10-13,42
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,65
2020-10-18,37
2020-10-19,27
2020-10-20,0
2020-10-21,0
2020-10-22,223
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,296
2020-11-02,14
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,205
2020-11-07,34
2020-11-08,38
2020-11-09,41
2020-11-10,0
2020-11-11,69
2020-11-12,58
2020-11-13,35
2020-11-14,109
2020-11-15,158
2020-11-16,46
2020-11-17,157
2020-11-18,0
2020-11-19,128
2020-11-20,347
2020-11-21,197
2020-11-22,117
2020-11-23,27
2020-11-24,46
2020-11-25,107
2020-11-26,95
2020-11-27,0
2020-11-28,290
2020-11-29,38
2020-11-30,42
2020-12-01,0
2020-12-02,133
2020-12-03,132
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,123
2020-12-08,88
2020-12-09,180
2020-12-10,71
2020-12-11,0
2020-12-12,0
2020-12-13,128
2020-12-14,17
2020-12-15,113
2020-12-16,0
2020-12-17,186
2020-12-18,66
2020-12-19,125
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,428
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,571
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,488
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,674
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,1607
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,696
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,1081
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,1287
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,1068
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,1965
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,3274
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,8681
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,6251
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,3417
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,4394
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,4267
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,4609
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,4126
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,213
2021-05-08,0
2021-05-09,0
2021-05-10,0
2021-05-11,0
2021-05-12,0
2021-05-13,1810
2021-05-14,0
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,0
2021-05-19,0
2021-05-20,1226
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,947
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,975
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,186
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-06-17,397
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,0
2021-06-23,0
2021-06-24,371
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,0
2021-06-30,0
2021-07-01,0
2021-07-02,0
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,0
2021-07-07,0
2021-07-08,609
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,404
2021-07-16,0
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,193
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,390
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-11,0
2021-08-12,359
2021-08-13,0
2021-08-14,0
2021-08-15,0
