dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,3
2020-03-12,3
2020-03-13,9
2020-03-14,13
2020-03-15,16
2020-03-16,24
2020-03-17,45
2020-03-18,65
2020-03-19,93
2020-03-20,108
2020-03-21,128
2020-03-22,196
2020-03-23,196
2020-03-24,277
2020-03-25,306
2020-03-26,378
2020-03-27,470
2020-03-28,491
2020-03-29,723
2020-03-30,792
2020-03-31,702
2020-04-01,798
2020-04-02,906
2020-04-03,1065
2020-04-04,1161
2020-04-05,1267
2020-04-06,1406
2020-04-07,1485
2020-04-08,1579
2020-04-09,1780
2020-04-10,2054
2020-04-11,2223
2020-04-12,2473
2020-04-13,2709
2020-04-14,2776
2020-04-15,2852
2020-04-16,2979
2020-04-17,3105
2020-04-18,3233
2020-04-19,3439
2020-04-20,3621
2020-04-21,3792
2020-04-22,3977
2020-04-23,4149
2020-04-24,4356
2020-04-25,4561
2020-04-26,4881
2020-04-27,5142
2020-04-28,5379
2020-04-29,5597
2020-04-30,5949
2020-05-01,6211
2020-05-02,6507
2020-05-03,7006
2020-05-04,7285
2020-05-05,7668
2020-05-06,7973
2020-05-07,8613
2020-05-08,8613
2020-05-09,9456
2020-05-10,10051
2020-05-11,10495
2020-05-12,11063
2020-05-13,11613
2020-05-14,12272
2020-05-15,12930
2020-05-16,13610
2020-05-17,14216
2020-05-18,14939
2020-05-19,15574
2020-05-20,16295
2020-05-21,16935
2020-05-22,17687
2020-05-23,18330
2020-05-24,19131
2020-05-25,20177
2020-05-26,21175
2020-05-27,21981
2020-05-28,23003
2020-05-29,24104
2020-05-30,25366
2020-05-31,26688
2020-06-01,28236
2020-06-02,29383
2020-06-03,30493
2020-06-04,31833
2020-06-05,33354
2020-06-06,35120
2020-06-07,36635
2020-06-08,38027
2020-06-09,39236
2020-06-10,40719
2020-06-11,42078
2020-06-12,43682
2020-06-13,45212
2020-06-14,46858
2020-06-15,48746
2020-06-16,50939
2020-06-17,53063
2020-06-18,54931
2020-06-19,57046
2020-06-20,60217
2020-06-21,63276
2020-06-22,65633
2020-06-23,68652
2020-06-24,71183
2020-06-25,73572
2020-06-26,77113
2020-06-27,80599
2020-06-28,84442
2020-06-29,88591
2020-06-30,91769
2020-07-01,95043
2020-07-02,97846
2020-07-03,102009
2020-07-04,106110
2020-07-05,109505
2020-07-06,113389
2020-07-07,117110
2020-07-08,120281
2020-07-09,124494
2020-07-10,128638
2020-07-11,133973
2020-07-12,140776
2020-07-13,145362
2020-07-14,150445
2020-07-15,154277
2020-07-16,159898
2020-07-17,165169
2020-07-18,173206
2020-07-19,182140
2020-07-20,190700
2020-07-21,197278
2020-07-22,204005
2020-07-23,211038
2020-07-24,218428
2020-07-25,226373
2020-07-26,233541
2020-07-27,240795
2020-07-28,248976
2020-07-29,257101
2020-07-30,267385
2020-07-31,276055
2020-08-01,286020
2020-08-02,295508
2020-08-03,306181
2020-08-04,317651
2020-08-05,327850
2020-08-06,334979
2020-08-07,345714
2020-08-08,357710
2020-08-09,367196
2020-08-10,376870
2020-08-11,387481
2020-08-12,397623
2020-08-13,410453
2020-08-14,422519
2020-08-15,433805
2020-08-16,445111
2020-08-17,456689
2020-08-18,468332
2020-08-19,476660
2020-08-20,489122
2020-08-21,502178
2020-08-22,513719
2020-08-23,522138
2020-08-24,533103
2020-08-25,541147
2020-08-26,551696
2020-08-27,562128
2020-08-28,572270
2020-08-29,582022
2020-08-30,590520
2020-08-31,599914
2020-09-01,607938
2020-09-02,615168
2020-09-03,624069
2020-09-04,633339
2020-09-05,641574
2020-09-06,650062
2020-09-07,658456
2020-09-08,666521
2020-09-09,671848
2020-09-10,679513
2020-09-11,686851
2020-09-12,694664
2020-09-13,702088
2020-09-14,708964
2020-09-15,716319
2020-09-16,721892
2020-09-17,728590
2020-09-18,736377
2020-09-19,743945
2020-09-20,750471
2020-09-21,758398
2020-09-22,765076
2020-09-23,770435
2020-09-24,777537
2020-09-25,784268
2020-09-26,790823
2020-09-27,798317
2020-09-28,806038
2020-09-29,813056
2020-09-30,818203
2020-10-01,824042
2020-10-02,829679
2020-10-03,835339
2020-10-04,841531
2020-10-05,848147
2020-10-06,855052
2020-10-07,862158
2020-10-08,869808
2020-10-09,877683
2020-10-10,886179
2020-10-11,894300
2020-10-12,902747
2020-10-13,911316
2020-10-14,919083
2020-10-15,924098
2020-10-16,930159
2020-10-17,936982
2020-10-18,945354
2020-10-19,952371
2020-10-20,959572
2020-10-21,965883
2020-10-22,974139
2020-10-23,981700
2020-10-24,990270
2020-10-25,998942
2020-10-26,1007711
2020-10-27,1015885
2020-10-28,1025052
2020-10-29,1033218
2020-10-30,1041935
2020-10-31,1053122
2020-11-01,1063151
2020-11-02,1074184
2020-11-03,1083321
2020-11-04,1093256
2020-11-05,1099392
2020-11-06,1108084
2020-11-07,1117977
2020-11-08,1127733
2020-11-09,1136447
2020-11-10,1143887
2020-11-11,1149063
2020-11-12,1156675
2020-11-13,1165326
2020-11-14,1174012
2020-11-15,1182697
2020-11-16,1191004
2020-11-17,1198746
2020-11-18,1205217
2020-11-19,1211128
2020-11-20,1218003
2020-11-21,1225490
2020-11-22,1233444
2020-11-23,1240493
2020-11-24,1248417
2020-11-25,1254979
2020-11-26,1262494
2020-11-27,1270991
2020-11-28,1280487
2020-11-29,1290510
2020-11-30,1299613
2020-12-01,1308376
2020-12-02,1316806
2020-12-03,1324792
2020-12-04,1334089
2020-12-05,1343322
2020-12-06,1352607
2020-12-07,1362249
2020-12-08,1371103
2020-12-09,1377100
2020-12-10,1384610
2020-12-11,1392133
2020-12-12,1399911
2020-12-13,1408909
2020-12-14,1417072
2020-12-15,1425774
2020-12-16,1434516
2020-12-17,1444646
2020-12-18,1456599
2020-12-19,1468795
2020-12-20,1482072
2020-12-21,1496062
2020-12-22,1507222
2020-12-23,1518067
2020-12-24,1530593
2020-12-25,1544826
2020-12-26,1559766
2020-12-27,1574707
2020-12-28,1584903
2020-12-29,1594497
2020-12-30,1603807
2020-12-31,1614822
2021-01-01,1626461
2021-01-02,1642775
2021-01-03,1654880
2021-01-04,1666408
2021-01-05,1675820
2021-01-06,1686131
2021-01-07,1702966
2021-01-08,1719771
2021-01-09,1737347
2021-01-10,1755568
2021-01-11,1771363
2021-01-12,1786900
2021-01-13,1801903
2021-01-14,1816082
2021-01-15,1831980
2021-01-16,1849101
2021-01-17,1870179
2021-01-18,1891034
2021-01-19,1908413
2021-01-20,1923132
2021-01-21,1939071
2021-01-22,1956979
2021-01-23,1972345
2021-01-24,1987418
2021-01-25,2002969
2021-01-26,2015485
2021-01-27,2027746
2021-01-28,2041352
2021-01-29,2055305
2021-01-30,2067575
2021-01-31,2077633
2021-02-01,2086806
2021-02-02,2094884
2021-02-03,2104506
2021-02-04,2114597
2021-02-05,2125622
2021-02-06,2135412
2021-02-07,2142660
2021-02-08,2151207
2021-02-09,2157216
2021-02-10,2161462
2021-02-11,2166904
2021-02-12,2173347
2021-02-13,2179641
2021-02-14,2185169
2021-02-15,2190116
2021-02-16,2195039
2021-02-17,2198549
2021-02-18,2202598
2021-02-19,2207701
2021-02-20,2212525
2021-02-21,2217001
2021-02-22,2222018
2021-02-23,2226262
2021-02-24,2229663
2021-02-25,2233589
2021-02-26,2237542
2021-02-27,2241225
2021-02-28,2244792
2021-03-01,2248135
2021-03-02,2251690
2021-03-03,2255260
2021-03-04,2259599
2021-03-05,2262646
2021-03-06,2266211
2021-03-07,2269582
2021-03-08,2273245
2021-03-09,2276656
2021-03-10,2278861
2021-03-11,2282372
2021-03-12,2285960
2021-03-13,2290539
2021-03-14,2294617
2021-03-15,2299082
2021-03-16,2303144
2021-03-17,2305884
2021-03-18,2309600
2021-03-19,2314154
2021-03-20,2319293
2021-03-21,2324426
2021-03-22,2331187
2021-03-23,2337150
2021-03-24,2342278
2021-03-25,2347224
2021-03-26,2353210
2021-03-27,2359942
2021-03-28,2367337
2021-03-29,2375591
2021-03-30,2382730
2021-03-31,2389779
2021-04-01,2397731
2021-04-02,2406377
2021-04-03,2417826
2021-04-04,2428048
2021-04-05,2437197
2021-04-06,2446219
2021-04-07,2456409
2021-04-08,2468236
2021-04-09,2479617
2021-04-10,2492081
2021-04-11,2504206
2021-04-12,2518715
2021-04-13,2536198
2021-04-14,2552937
2021-04-15,2569314
2021-04-16,2585801
2021-04-17,2602719
2021-04-18,2619422
2021-04-19,2636076
2021-04-20,2652947
2021-04-21,2667136
2021-04-22,2684101
2021-04-23,2701313
2021-04-24,2720619
2021-04-25,2740544
2021-04-26,2757274
2021-04-27,2774464
2021-04-28,2787303
2021-04-29,2804881
2021-04-30,2824626
2021-05-01,2841934
2021-05-02,2859724
2021-05-03,2877746
2021-05-04,2893655
2021-05-05,2905254
2021-05-06,2919805
2021-05-07,2934611
2021-05-08,2951101
2021-05-09,2968626
2021-05-10,2985536
2021-05-11,3002758
2021-05-12,3015301
2021-05-13,3031726
2021-05-14,3048719
2021-05-15,3067879
2021-05-16,3084460
2021-05-17,3103333
2021-05-18,3118426
2021-05-19,3131410
2021-05-20,3144547
2021-05-21,3161126
2021-05-22,3177212
2021-05-23,3192050
2021-05-24,3210787
2021-05-25,3232456
2021-05-26,3249433
2021-05-27,3270614
2021-05-28,3294101
2021-05-29,3319193
2021-05-30,3342567
2021-05-31,3363061
2021-06-01,3383279
2021-06-02,3406456
2021-06-03,3432422
2021-06-04,3459422
2021-06-05,3488046
