dates,incrementalcount_medicaltest_conditioncovid_19
2020-06-03,12820
2020-06-06,14296
2020-06-07,10885
2020-06-08,11028
2020-06-09,12430
2020-06-10,11764
2020-06-11,13253
2020-06-12,11988
2020-06-13,11523
2020-06-14,15362
2020-06-15,12500
2020-06-16,12380
2020-06-17,15167
2020-06-18,15361
2020-06-19,17665
2020-06-20,17412
2020-06-21,18405
2020-06-22,15971
2020-06-23,13871
2020-06-24,17361
2020-06-25,18383
2020-06-26,18817
2020-06-27,19122
2020-06-28,17561
2020-06-29,17598
2020-06-30,17208
2020-07-01,18019
2020-07-02,19108
2020-07-03,20518
2020-07-04,20850
2020-07-05,20963
2020-07-06,20366
2020-07-07,21039
2020-07-08,21332
2020-07-09,21272
2020-07-10,23188
2020-07-11,37461
2020-07-12,25081
2020-07-13,25533
2020-07-14,25512
2020-07-15,25684
2020-07-16,25326
2020-07-17,25871
2020-07-18,26345
2020-07-19,24039
2020-07-20,26405
2020-07-21,26975
2020-07-22,28772
2020-07-23,28402
2020-07-24,28430
2020-07-25,29508
2020-07-26,30004
2020-07-27,30265
2020-07-28,31038
2020-07-29,32056
2020-07-30,35599
2020-07-31,36062
2020-08-01,35503
2020-08-02,40153
2020-08-03,37531
2020-08-04,39170
2020-08-05,40505
2020-08-06,42674
2020-08-07,43502
2020-08-08,36604
2020-08-09,34474
2020-08-10,35386
2020-08-11,40736
2020-08-12,49411
2020-08-13,43905
2020-08-14,46112
2020-08-15,42841
2020-08-16,40512
2020-08-17,34263
2020-08-18,39368
2020-08-19,37933
2020-08-20,37492
2020-08-21,34713
2020-08-22,40620
2020-08-23,23879
2020-08-24,34417
2020-08-25,37039
2020-08-26,36349
2020-08-27,36990
2020-08-28,35136
2020-08-29,30398
2020-08-30,30154
2020-08-31,30552
2020-09-01,30506
2020-09-02,26828
2020-09-03,33897
2020-09-04,35829
2020-09-05,32010
2020-09-06,27534
2020-09-07,30532
2020-09-08,32141
2020-09-09,31714
2020-09-10,33895
2020-09-11,37755
2020-09-12,32094
2020-09-13,31027
2020-09-14,27265
2020-09-15,21867
2020-09-16,33837
2020-09-17,50955
2020-09-18,33692
2020-09-19,32198
2020-09-20,28972
2020-09-21,30883
2020-09-22,35958
2020-09-23,38321
2020-09-24,35391
2020-09-25,36408
2020-09-26,33818
2020-09-27,31669
2020-09-28,31181
2020-09-29,34342
2020-09-30,35081
2020-10-01,38186
2020-10-02,42138
2020-10-03,42625
2020-10-04,32335
2020-10-05,35729
2020-10-06,37350
2020-10-07,37346
2020-10-08,42048
2020-10-09,49472
2020-10-10,44248
2020-10-11,32130
2020-10-12,28290
2020-10-13,32583
2020-10-14,35777
2020-10-15,43426
2020-10-16,43013
2020-10-17,43801
2020-10-18,31880
2020-10-19,33429
2020-10-20,49556
2020-10-21,47064
2020-10-22,51398
2020-10-23,52549
2020-10-24,50236
2020-10-25,32831
2020-10-26,37819
2020-10-27,48314
2020-10-28,49004
2020-10-29,53229
2020-10-30,51137
2020-10-31,57051
2020-11-01,45575
2020-11-02,30955
2020-11-03,38051
2020-11-04,50685
2020-11-05,42835
2020-11-06,62426
2020-11-07,48532
2020-11-08,32807
2020-11-09,48464
2020-11-10,49316
2020-11-11,48623
2020-11-12,52784
2020-11-13,50500
2020-11-14,55026
2020-11-15,26349
2020-11-16,31868
2020-11-17,37790
2020-11-18,51296
2020-11-19,47427
2020-11-20,51453
2020-11-21,55067
2020-11-22,33247
2020-11-23,38638
2020-11-24,53096
2020-11-25,50120
2020-11-26,59047
2020-11-27,51087
2020-11-28,55304
2020-11-29,40115
2020-11-30,36510
2020-12-01,49610
2020-12-02,54843
2020-12-03,57462
