dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-14,1
2020-05-15,1
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-19,1
2020-05-20,1
2020-05-21,1
2020-05-22,1
2020-05-23,1
2020-05-24,1
2020-05-25,1
2020-05-26,1
2020-05-27,1
2020-05-28,2
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,2
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,2
2020-06-06,2
2020-06-07,2
2020-06-08,2
2020-06-09,2
2020-06-10,2
2020-06-11,2
2020-06-12,2
2020-06-13,2
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-17,3
2020-06-18,3
2020-06-19,5
2020-06-20,5
2020-06-21,5
2020-06-22,5
2020-06-23,5
2020-06-24,7
2020-06-25,7
2020-06-26,7
2020-06-27,7
2020-06-28,7
2020-06-29,7
2020-06-30,7
2020-07-01,7
2020-07-02,7
2020-07-03,7
2020-07-04,7
2020-07-05,7
2020-07-06,7
2020-07-07,7
2020-07-08,7
2020-07-09,7
2020-07-10,7
2020-07-11,7
2020-07-12,7
2020-07-13,7
2020-07-14,7
2020-07-15,7
2020-07-16,7
2020-07-17,7
2020-07-18,7
2020-07-19,7
2020-07-20,7
2020-07-21,7
2020-07-22,7
2020-07-23,7
2020-07-24,7
2020-07-25,7
2020-07-26,7
2020-07-27,7
2020-07-28,7
2020-07-29,7
2020-07-30,7
2020-07-31,7
2020-08-01,7
2020-08-02,7
2020-08-03,7
2020-08-04,7
2020-08-05,7
2020-08-06,7
2020-08-07,7
2020-08-08,7
2020-08-09,7
2020-08-10,7
2020-08-11,7
2020-08-12,7
2020-08-13,7
2020-08-14,7
2020-08-15,7
2020-08-16,7
2020-08-17,7
2020-08-18,7
2020-08-19,7
2020-08-20,7
2020-08-21,7
2020-08-22,7
2020-08-23,7
2020-08-24,7
2020-08-25,7
2020-08-26,7
2020-08-27,7
2020-08-28,7
2020-08-29,7
2020-08-30,7
2020-08-31,7
2020-09-01,7
2020-09-02,7
2020-09-03,7
2020-09-04,7
2020-09-05,7
2020-09-06,7
2020-09-07,7
2020-09-08,7
2020-09-09,7
2020-09-10,7
2020-09-11,7
2020-09-12,7
2020-09-13,7
2020-09-14,7
2020-09-15,7
2020-09-16,7
2020-09-17,7
2020-09-18,7
2020-09-19,7
2020-09-20,7
2020-09-21,7
2020-09-22,7
2020-09-23,7
2020-09-24,7
2020-09-25,7
2020-09-26,7
2020-09-27,7
2020-09-28,7
2020-09-29,7
2020-09-30,7
2020-10-01,7
2020-10-02,7
2020-10-03,7
2020-10-04,7
2020-10-05,7
2020-10-06,7
2020-10-07,7
2020-10-08,7
2020-10-09,7
2020-10-10,7
2020-10-11,7
2020-10-12,7
2020-10-13,7
2020-10-14,7
2020-10-15,7
2020-10-16,7
2020-10-17,7
2020-10-18,7
2020-10-19,7
2020-10-20,7
2020-10-21,7
2020-10-22,7
2020-10-23,7
2020-10-24,7
2020-10-25,7
2020-10-26,7
2020-10-27,7
2020-10-28,7
2020-10-29,7
2020-10-30,7
2020-10-31,7
2020-11-01,7
2020-11-02,7
2020-11-03,7
2020-11-04,7
2020-11-05,7
2020-11-06,7
2020-11-07,7
2020-11-08,7
2020-11-09,7
2020-11-10,7
2020-11-11,7
2020-11-12,7
2020-11-13,7
2020-11-14,7
2020-11-15,7
2020-11-16,7
2020-11-17,7
2020-11-18,7
2020-11-19,7
2020-11-20,7
2020-11-21,7
2020-11-22,7
2020-11-23,7
2020-11-24,7
2020-11-25,7
2020-11-26,7
2020-11-27,7
2020-11-28,7
2020-11-29,7
2020-11-30,7
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,7
2020-12-09,7
2020-12-10,7
2020-12-11,7
2020-12-12,7
2020-12-13,7
2020-12-14,7
2020-12-15,7
2020-12-16,7
2020-12-17,7
2020-12-18,7
2020-12-19,7
2020-12-20,7
2020-12-21,7
2020-12-22,7
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,7
2020-12-30,9
2020-12-31,9
2021-01-01,10
2021-01-02,10
2021-01-03,13
2021-01-04,16
2021-01-05,16
2021-01-06,16
2021-01-07,16
2021-01-08,18
2021-01-09,18
2021-01-10,18
2021-01-11,25
2021-01-12,25
2021-01-13,30
2021-01-14,33
2021-01-15,38
2021-01-16,38
2021-01-17,41
2021-01-18,45
2021-01-19,49
2021-01-20,51
2021-01-21,54
2021-01-22,62
2021-01-23,63
2021-01-24,70
2021-01-25,71
2021-01-26,76
2021-01-27,77
2021-01-28,81
2021-01-29,85
2021-01-30,89
2021-01-31,90
2021-02-01,93
2021-02-02,98
2021-02-03,100
2021-02-04,104
2021-02-05,105
2021-02-06,105
2021-02-07,108
2021-02-08,112
2021-02-09,115
2021-02-10,118
2021-02-11,120
2021-02-12,122
2021-02-13,125
2021-02-14,128
2021-02-15,128
2021-02-16,133
2021-02-17,133
2021-02-18,135
2021-02-19,138
2021-02-20,142
2021-02-21,143
2021-02-22,143
2021-02-23,144
2021-02-24,144
2021-02-25,144
2021-02-26,144
2021-02-27,144
2021-02-28,144
2021-03-01,144
2021-03-02,144
2021-03-03,144
2021-03-04,144
2021-03-05,145
2021-03-06,145
2021-03-07,146
2021-03-08,146
2021-03-09,146
2021-03-10,146
2021-03-11,146
2021-03-12,146
2021-03-13,146
2021-03-14,146
2021-03-15,146
2021-03-16,146
2021-03-17,146
2021-03-18,146
2021-03-19,146
2021-03-20,146
2021-03-21,146
2021-03-22,146
2021-03-23,146
2021-03-24,146
2021-03-25,146
2021-03-26,146
2021-03-27,146
2021-03-28,146
2021-03-29,146
2021-03-30,146
2021-03-31,146
2021-04-01,146
2021-04-02,146
2021-04-03,146
2021-04-04,146
2021-04-05,146
2021-04-06,146
2021-04-07,146
2021-04-08,146
2021-04-09,146
2021-04-10,146
2021-04-11,146
2021-04-12,146
2021-04-13,146
2021-04-14,146
2021-04-15,146
2021-04-16,146
2021-04-17,146
2021-04-18,146
2021-04-19,146
2021-04-20,146
2021-04-21,146
2021-04-22,146
2021-04-23,146
2021-04-24,146
2021-04-25,146
2021-04-26,146
2021-04-27,146
2021-04-28,146
2021-04-29,146
2021-04-30,146
2021-05-01,146
2021-05-02,146
2021-05-03,146
2021-05-04,146
2021-05-05,146
2021-05-06,146
2021-05-07,146
2021-05-08,146
2021-05-09,146
2021-05-10,146
2021-05-11,146
2021-05-12,146
2021-05-13,146
2021-05-14,146
2021-05-15,146
2021-05-16,146
2021-05-17,146
2021-05-18,146
2021-05-19,146
2021-05-20,146
2021-05-21,146
2021-05-22,146
2021-05-23,146
2021-05-24,146
2021-05-25,146
2021-05-26,146
2021-05-27,146
2021-05-28,146
2021-05-29,146
2021-05-30,146
2021-05-31,146
2021-06-01,146
2021-06-02,146
2021-06-03,146
2021-06-04,146
2021-06-05,146
2021-06-06,146
2021-06-07,146
2021-06-08,146
2021-06-09,146
2021-06-10,146
2021-06-11,146
2021-06-12,146
2021-06-13,146
2021-06-14,146
2021-06-15,146
2021-06-16,146
2021-06-17,146
2021-06-18,146
2021-06-19,146
2021-06-20,146
2021-06-21,146
2021-06-22,146
2021-06-23,146
2021-06-24,146
2021-06-25,146
2021-06-26,146
2021-06-27,146
2021-06-28,146
2021-06-29,146
2021-06-30,146
2021-07-01,146
2021-07-02,146
2021-07-03,146
2021-07-04,146
2021-07-05,146
2021-07-06,146
2021-07-07,146
2021-07-08,146
2021-07-09,146
2021-07-10,146
2021-07-11,146
2021-07-12,146
2021-07-13,146
2021-07-14,146
2021-07-15,146
2021-07-16,147
2021-07-17,147
2021-07-18,147
2021-07-19,147
2021-07-20,147
2021-07-21,147
2021-07-22,147
2021-07-23,147
2021-07-24,147
2021-07-25,147
2021-07-26,147
2021-07-27,147
2021-07-28,147
2021-07-29,147
2021-07-30,147
2021-07-31,147
2021-08-01,147
2021-08-02,147
2021-08-03,147
2021-08-04,147
2021-08-05,147
2021-08-06,147
2021-08-07,147
2021-08-08,147
2021-08-09,147
2021-08-10,147
2021-08-11,147
2021-08-12,147
2021-08-13,147
2021-08-14,147
2021-08-15,147
2021-08-16,147
