dates,cumulativecount_vaccine_covid_19_administered
2021-04-21,13440
2021-05-12,43728
2021-05-18,44975
2021-05-21,58440
2021-05-26,80023
2021-05-31,83907
2021-06-08,84360
2021-07-05,90880
2021-07-24,125960
2021-08-03,162450
2021-08-09,188875
2021-08-16,216123
2021-08-20,239158
2021-08-27,277419
2021-09-09,334369
2021-09-22,336863
2021-09-29,352635
2021-10-09,360675
2021-10-13,375241
2021-10-19,407792
2021-11-03,452612
2021-11-14,476350
2021-11-28,523256
2021-12-10,527119
2021-12-31,581547
2022-01-27,598000
2022-02-04,637961
2022-02-20,637961
2022-04-26,642320
2022-06-19,642320
2022-07-03,642320
2022-07-24,804403
2022-07-31,804403
2022-10-02,835021
