dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,4
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,7
2020-04-08,7
2020-04-09,7
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,10
2020-04-14,10
2020-04-15,10
2020-04-16,55
2020-04-17,55
2020-04-18,55
2020-04-19,55
2020-04-20,55
2020-04-21,67
2020-04-22,67
2020-04-23,67
2020-04-24,84
2020-04-25,90
2020-04-26,90
2020-04-27,106
2020-04-28,109
2020-04-29,113
2020-04-30,113
2020-05-01,121
2020-05-02,123
2020-05-03,152
2020-05-04,165
2020-05-05,175
2020-05-06,186
2020-05-07,191
2020-05-08,218
2020-05-09,231
2020-05-10,236
2020-05-11,246
2020-05-12,260
2020-05-13,270
2020-05-14,289
2020-05-15,315
2020-05-16,326
2020-05-17,328
2020-05-18,328
2020-05-19,328
2020-05-20,335
2020-05-21,349
2020-05-22,356
2020-05-23,362
2020-05-24,371
2020-05-25,380
2020-05-26,390
2020-05-27,390
2020-05-28,390
2020-05-29,390
2020-05-30,405
2020-05-31,421
2020-06-01,435
2020-06-02,458
2020-06-03,466
2020-06-04,477
2020-06-05,502
2020-06-06,536
2020-06-07,542
2020-06-08,554
2020-06-09,567
2020-06-10,585
2020-06-11,616
2020-06-12,657
2020-06-13,697
2020-06-14,726
2020-06-15,750
2020-06-16,760
2020-06-17,781
2020-06-18,792
2020-06-19,823
2020-06-20,848
2020-06-21,863
2020-06-22,890
2020-06-23,944
2020-06-24,983
2020-06-25,999
2020-06-26,1003
2020-06-27,1027
2020-06-28,1091
2020-06-29,1155
2020-06-30,1165
2020-07-01,1227
2020-07-02,1267
2020-07-03,1301
2020-07-04,1382
2020-07-05,1420
2020-07-06,1451
2020-07-07,1463
2020-07-08,1499
2020-07-09,1542
2020-07-10,1553
2020-07-11,1591
2020-07-12,1623
2020-07-13,1698
2020-07-14,1722
2020-07-15,1780
2020-07-16,1837
2020-07-17,1894
2020-07-18,1939
2020-07-19,2014
2020-07-20,2043
2020-07-21,2071
2020-07-22,2107
2020-07-23,2154
2020-07-24,2190
2020-07-25,2220
2020-07-26,2258
2020-07-27,2307
2020-07-28,2328
2020-07-29,2355
2020-07-30,2374
2020-07-31,2419
2020-08-01,2452
2020-08-02,2480
2020-08-03,2547
2020-08-04,2583
2020-08-05,2631
2020-08-06,2689
2020-08-07,2734
2020-08-08,2780
2020-08-09,2835
2020-08-10,2858
2020-08-11,2883
2020-08-12,2920
2020-08-13,3000
2020-08-14,3073
2020-08-15,3136
2020-08-16,3163
2020-08-17,3179
2020-08-18,3203
2020-08-19,3253
2020-08-20,3321
2020-08-21,3368
2020-08-22,3412
2020-08-23,3455
2020-08-24,3509
2020-08-25,3532
2020-08-26,3568
2020-08-27,3630
2020-08-28,3699
2020-08-29,3745
2020-08-30,3778
2020-08-31,3852
2020-09-01,3884
2020-09-02,3970
2020-09-03,4048
2020-09-04,4125
2020-09-05,4200
2020-09-06,4275
2020-09-07,4330
2020-09-08,4358
2020-09-09,4400
2020-09-10,4473
2020-09-11,4557
2020-09-12,4651
2020-09-13,4711
2020-09-14,4813
2020-09-15,4839
2020-09-16,4904
2020-09-17,4978
2020-09-18,5063
2020-09-19,5186
2020-09-20,5186
2020-09-21,5257
2020-09-22,5281
2020-09-23,5337
2020-09-24,5412
2020-09-25,5479
2020-09-26,5628
2020-09-27,5701
2020-09-28,5771
2020-09-29,5817
2020-09-30,5900
2020-10-01,6024
2020-10-02,6126
2020-10-03,6205
2020-10-04,6296
2020-10-05,6360
2020-10-06,6433
2020-10-07,6518
2020-10-08,6624
2020-10-09,6717
2020-10-10,6809
2020-10-11,6913
2020-10-12,7072
2020-10-13,7155
2020-10-14,7254
2020-10-15,7371
2020-10-16,7444
2020-10-17,7526
2020-10-18,7638
2020-10-19,7752
2020-10-20,7800
2020-10-21,7901
2020-10-22,8033
2020-10-23,8122
2020-10-24,8198
2020-10-25,8322
2020-10-26,8396
2020-10-27,8423
2020-10-28,8472
2020-10-29,8548
2020-10-30,8603
2020-10-31,8694
2020-11-01,8793
2020-11-02,8848
2020-11-03,8882
2020-11-04,8944
2020-11-05,9053
2020-11-06,9149
2020-11-07,9224
2020-11-08,9291
2020-11-09,9369
2020-11-10,9419
2020-11-11,9499
2020-11-12,9560
2020-11-13,9694
2020-11-14,9741
2020-11-15,9780
2020-11-16,9822
2020-11-17,9840
2020-11-18,9960
2020-11-19,10000
2020-11-20,10082
2020-11-21,10152
2020-11-22,10234
2020-11-23,10276
2020-11-24,10302
2020-11-25,10400
2020-11-26,10526
2020-11-27,10570
2020-11-28,10626
2020-11-29,10700
2020-11-30,10747
2020-12-01,10761
2020-12-02,10816
2020-12-03,10867
2020-12-04,10938
2020-12-05,10996
2020-12-06,11036
2020-12-07,11063
2020-12-08,11098
2020-12-09,11118
2020-12-10,11192
2020-12-11,11203
2020-12-12,11262
2020-12-13,11302
2020-12-14,11357
2020-12-15,11361
2020-12-16,11395
2020-12-17,11458
2020-12-18,11502
2020-12-19,11526
2020-12-20,11567
2020-12-21,11579
2020-12-22,11600
2020-12-23,11636
2020-12-24,11669
2020-12-25,11688
2020-12-26,11696
2020-12-27,11698
2020-12-28,11714
2020-12-29,11723
2020-12-30,11752
2020-12-31,11793
2021-01-01,11840
2021-01-02,11872
2021-01-03,11883
2021-01-04,11920
2021-01-05,11949
2021-01-06,11983
2021-01-07,12052
2021-01-08,12146
2021-01-09,12237
2021-01-10,12316
2021-01-11,12392
2021-01-12,12433
2021-01-13,12506
2021-01-14,12592
2021-01-15,12664
2021-01-16,12776
2021-01-17,12901
2021-01-18,12993
2021-01-19,13046
2021-01-20,13139
2021-01-21,13224
2021-01-22,13307
2021-01-23,13381
2021-01-24,13414
2021-01-25,13489
2021-01-26,13557
2021-01-27,13619
2021-01-28,13722
2021-01-29,13784
2021-01-30,13897
2021-01-31,13981
2021-02-01,14070
2021-02-02,14098
2021-02-03,14152
2021-02-04,14152
2021-02-05,14290
2021-02-06,14306
2021-02-07,14380
2021-02-08,14380
2021-02-09,14451
2021-02-10,14479
2021-02-11,14543
2021-02-12,14601
2021-02-13,14647
2021-02-14,14700
2021-02-15,14741
2021-02-16,14761
2021-02-17,14785
2021-02-18,14848
2021-02-19,14885
2021-02-20,14948
2021-02-21,14999
2021-02-22,15048
2021-02-23,15072
2021-02-24,15089
2021-02-25,15161
2021-02-26,15201
2021-02-27,15253
2021-02-28,15324
2021-03-01,15324
2021-03-02,15432
2021-03-03,15483
2021-03-04,15558
2021-03-05,15621
2021-03-06,15683
2021-03-07,15724
2021-03-08,15782
2021-03-09,15806
2021-03-10,15826
2021-03-11,15892
2021-03-12,15932
2021-03-13,15986
2021-03-14,16035
2021-03-15,16035
2021-03-16,16120
2021-03-17,16154
2021-03-18,16250
2021-03-19,16298
2021-03-20,16374
2021-03-21,16440
2021-03-22,16491
2021-03-23,16517
2021-03-24,16555
2021-03-25,16661
2021-03-26,16787
2021-03-27,16911
2021-03-28,17018
2021-03-29,17125
2021-03-30,17190
2021-03-31,17279
2021-04-01,17470
2021-04-02,17587
2021-04-03,17717
2021-04-04,17821
2021-04-05,17871
2021-04-06,17939
2021-04-07,18023
2021-04-08,18214
2021-04-09,18422
2021-04-10,18629
2021-04-11,18836
2021-04-12,19005
2021-04-13,19110
2021-04-14,19231
2021-04-15,19525
2021-04-16,19780
2021-04-17,19975
2021-04-18,20254
2021-04-19,20466
2021-04-20,20627
2021-04-21,20781
2021-04-22,21179
2021-04-23,21500
2021-04-24,21784
2021-04-25,22094
2021-04-26,22358
2021-04-27,22586
2021-04-28,22772
2021-04-29,23181
2021-04-30,23554
2021-05-01,23882
2021-05-02,24127
2021-05-03,24368
2021-05-04,24548
2021-05-05,24742
2021-05-06,25159
2021-05-07,25526
2021-05-08,25837
2021-05-09,26111
2021-05-10,26441
2021-05-11,26578
2021-05-12,26709
2021-05-13,27029
2021-05-14,27386
2021-05-15,27672
2021-05-16,27951
2021-05-17,28168
2021-05-18,28281
2021-05-19,28410
2021-05-20,28699
2021-05-21,28898
2021-05-22,29033
2021-05-23,29198
2021-05-24,29334
2021-05-25,29411
2021-05-26,29549
2021-05-27,29763
2021-05-28,29939
2021-05-29,30122
2021-05-30,30273
2021-05-31,30359
2021-06-01,30439
2021-06-02,30523
2021-06-03,30694
2021-06-04,30774
2021-06-05,30907
2021-06-06,31003
2021-06-07,31097
2021-06-08,31147
2021-06-09,31225
2021-06-10,31339
2021-06-11,31433
2021-06-12,31512
2021-06-13,31571
2021-06-14,31615
2021-06-15,31647
2021-06-16,31704
2021-06-17,31783
2021-06-18,31858
2021-06-19,31910
2021-06-20,31964
2021-06-21,32002
2021-06-22,32039
2021-06-23,32111
2021-06-24,32192
2021-06-25,32257
2021-06-26,32313
2021-06-27,32344
2021-06-28,32372
2021-06-29,32399
2021-06-30,32457
2021-07-01,32524
2021-07-02,32594
2021-07-03,32666
2021-07-04,32705
2021-07-05,32735
