dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,10
2020-02-16,9
2020-02-17,5
2020-02-18,3
2020-02-19,-1
2020-02-20,-1
2020-02-21,0
2020-02-22,1
2020-02-23,2
2020-02-24,0
2020-02-25,-1
2020-02-26,-2
2020-02-27,0
2020-02-28,6
2020-02-29,13
2020-03-01,13
2020-03-02,9
2020-03-03,7
2020-03-04,3
2020-03-05,1
2020-03-06,2
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,0
2020-03-12,-2
2020-03-13,5
2020-03-14,8
2020-03-15,5
2020-03-16,12
2020-03-17,-1
2020-03-18,-13
2020-03-19,-16
2020-03-20,-23
2020-03-21,-31
2020-03-22,-42
2020-03-23,-31
2020-03-24,-35
2020-03-25,-36
2020-03-26,-35
2020-03-27,-29
2020-03-28,-32
2020-03-29,-41
2020-03-30,-28
2020-03-31,-27
2020-04-01,-27
2020-04-02,-22
2020-04-03,-29
2020-04-04,-40
2020-04-05,-41
2020-04-06,-36
2020-04-07,-31
2020-04-08,-50
2020-04-09,-64
2020-04-10,-71
2020-04-11,-62
2020-04-12,-61
2020-04-13,-29
2020-04-14,-26
2020-04-15,-26
2020-04-16,-25
2020-04-17,-26
2020-04-18,-38
2020-04-19,-44
2020-04-20,-28
2020-04-21,-30
2020-04-22,-31
2020-04-23,-33
2020-04-24,-31
2020-04-25,-38
2020-04-26,-42
2020-04-27,-30
2020-04-28,-27
2020-04-29,-29
2020-04-30,-20
2020-05-01,-21
2020-05-02,-31
2020-05-03,-36
2020-05-04,-21
2020-05-05,-23
2020-05-06,-23
2020-05-07,-28
2020-05-08,-21
2020-05-09,-29
2020-05-10,-34
2020-05-11,-22
2020-05-12,-22
2020-05-13,-23
2020-05-14,-22
2020-05-15,-15
2020-05-16,-22
2020-05-17,-29
2020-05-18,-17
2020-05-19,-18
2020-05-20,-22
2020-05-21,-23
2020-05-22,-19
2020-05-23,-28
2020-05-24,-32
2020-05-25,-23
2020-05-26,-25
2020-05-27,-26
2020-05-28,-23
2020-05-29,-15
2020-05-30,-22
2020-05-31,-28
2020-06-01,-17
2020-06-02,-17
2020-06-03,-26
2020-06-04,-23
2020-06-05,-20
2020-06-06,-30
2020-06-07,-30
2020-06-08,-18
2020-06-09,-24
2020-06-10,-24
2020-06-11,-24
2020-06-12,-18
2020-06-13,-29
2020-06-14,-29
2020-06-15,-16
2020-06-16,-18
2020-06-17,-17
2020-06-18,-17
2020-06-19,-10
2020-06-20,-42
2020-06-21,-44
2020-06-22,-19
2020-06-23,-23
2020-06-24,-24
2020-06-25,-25
2020-06-26,-21
2020-06-27,-36
2020-06-28,-36
2020-06-29,-21
2020-06-30,-16
2020-07-01,-20
2020-07-02,-22
2020-07-03,-23
2020-07-04,-37
2020-07-05,-39
2020-07-06,-23
2020-07-07,-25
2020-07-08,-30
2020-07-09,-30
2020-07-10,-23
2020-07-11,-41
2020-07-12,-43
2020-07-13,-46
2020-07-14,-39
2020-07-15,-36
2020-07-16,-33
2020-07-17,-37
2020-07-18,-35
2020-07-19,-40
2020-07-20,-27
2020-07-21,-29
2020-07-22,-32
2020-07-23,-34
2020-07-24,-29
2020-07-25,-37
2020-07-26,-39
2020-07-27,-35
2020-07-28,-30
2020-07-29,-26
2020-07-30,-23
2020-07-31,-20
2020-08-01,-24
2020-08-02,-28
2020-08-03,-21
2020-08-04,-23
2020-08-05,-29
2020-08-06,-25
2020-08-07,-22
2020-08-08,-28
2020-08-09,-31
2020-08-10,-31
2020-08-11,-29
2020-08-12,-29
2020-08-13,-28
2020-08-14,-19
2020-08-15,-19
2020-08-16,-26
2020-08-17,-27
2020-08-18,-23
2020-08-19,-31
2020-08-20,-30
2020-08-21,-32
2020-08-22,-27
2020-08-23,-34
2020-08-24,-27
2020-08-25,-27
2020-08-26,-30
2020-08-27,-26
2020-08-28,-21
2020-08-29,-21
2020-08-30,-25
2020-08-31,-16
2020-09-01,-21
2020-09-02,-24
2020-09-03,-25
2020-09-04,-23
2020-09-05,-27
2020-09-06,-31
2020-09-07,-27
2020-09-08,-22
2020-09-09,-24
2020-09-10,-25
2020-09-11,-22
2020-09-12,-27
2020-09-13,-25
2020-09-14,-26
2020-09-15,-19
2020-09-16,-20
2020-09-17,-26
2020-09-18,-23
2020-09-19,-25
2020-09-20,-29
2020-09-21,-23
2020-09-22,-26
2020-09-23,-30
2020-09-24,-31
2020-09-25,-23
2020-09-26,-26
2020-09-27,-32
2020-09-28,-23
2020-09-29,-22
2020-09-30,-22
2020-10-01,-19
2020-10-02,-22
2020-10-03,-24
2020-10-04,-25
2020-10-05,-26
2020-10-06,-23
2020-10-07,-33
2020-10-08,-29
2020-10-09,-22
2020-10-10,-26
2020-10-11,-27
2020-10-12,-24
2020-10-13,-25
2020-10-14,-25
2020-10-15,-18
2020-10-16,-14
2020-10-17,-13
2020-10-18,-18
2020-10-19,-23
2020-10-20,-21
2020-10-21,-24
2020-10-22,-22
2020-10-23,-21
2020-10-24,-18
2020-10-25,-22
2020-10-26,-21
2020-10-27,-23
2020-10-28,-21
2020-10-29,-20
2020-10-30,-16
2020-10-31,-9
2020-11-01,-18
2020-11-02,-15
2020-11-03,-24
2020-11-04,-28
2020-11-05,-26
2020-11-06,-21
2020-11-07,-17
2020-11-08,-19
2020-11-09,-20
2020-11-10,-24
2020-11-11,-23
2020-11-12,-22
2020-11-13,-13
2020-11-14,-10
2020-11-15,-12
2020-11-16,-14
2020-11-17,-20
2020-11-18,-18
2020-11-19,-18
2020-11-20,-16
2020-11-21,-17
2020-11-22,-19
2020-11-23,-18
2020-11-24,-19
2020-11-25,-20
2020-11-26,-17
2020-11-27,-10
2020-11-28,-4
2020-11-29,-6
2020-11-30,-9
2020-12-01,-7
2020-12-02,-14
2020-12-03,-14
2020-12-04,-5
2020-12-05,-3
2020-12-06,-4
2020-12-07,-5
2020-12-08,-9
2020-12-09,-13
2020-12-10,-11
2020-12-11,-5
2020-12-12,-1
2020-12-13,1
2020-12-14,-2
2020-12-15,2
2020-12-16,1
2020-12-17,-1
2020-12-18,0
2020-12-19,0
2020-12-20,4
2020-12-21,5
2020-12-22,7
2020-12-23,12
2020-12-24,32
2020-12-25,-34
2020-12-26,-16
2020-12-27,-17
2020-12-28,-8
2020-12-29,-3
2020-12-30,7
2020-12-31,26
2021-01-01,-41
2021-01-02,-19
2021-01-03,-19
2021-01-04,-9
2021-01-05,-9
2021-01-06,-13
2021-01-07,-13
2021-01-08,-13
2021-01-09,-18
2021-01-10,-20
2021-01-11,-14
2021-01-12,-16
2021-01-13,-19
2021-01-14,-17
2021-01-15,-13
2021-01-16,-16
2021-01-17,-17
2021-01-18,-13
2021-01-19,-15
2021-01-20,-18
2021-01-21,-17
2021-01-22,-14
2021-01-23,-17
2021-01-24,-17
2021-01-25,-15
2021-01-26,-16
2021-01-27,-17
2021-01-28,-16
2021-01-29,-9
2021-01-30,-8
2021-01-31,-9
2021-02-01,-5
2021-02-02,-10
2021-02-03,-14
2021-02-04,-15
2021-02-05,-11
2021-02-06,-15
2021-02-07,-18
2021-02-08,-10
2021-02-09,-13
2021-02-10,-15
2021-02-11,-13
2021-02-12,-6
2021-02-13,-6
2021-02-14,-7
2021-02-15,-2
2021-02-16,-4
2021-02-17,-8
2021-02-18,-10
2021-02-19,-7
2021-02-20,-10
2021-02-21,-12
2021-02-22,-7
2021-02-23,-10
2021-02-24,-12
2021-02-25,-12
2021-02-26,-4
2021-02-27,-4
2021-02-28,-4
2021-03-01,0
2021-03-02,-3
2021-03-03,-7
2021-03-04,-10
2021-03-05,-7
2021-03-06,-5
2021-03-07,-8
2021-03-08,-9
2021-03-09,-10
2021-03-10,-12
2021-03-11,-11
2021-03-12,-5
2021-03-13,-2
2021-03-14,-5
2021-03-15,-1
2021-03-16,-1
2021-03-17,-7
2021-03-18,-7
2021-03-19,-6
2021-03-20,-3
2021-03-21,-7
2021-03-22,-6
2021-03-23,-9
2021-03-24,-9
2021-03-25,-7
2021-03-26,-3
2021-03-27,1
2021-03-28,-1
2021-03-29,2
2021-03-30,8
2021-03-31,19
2021-04-01,-4
2021-04-02,-30
2021-04-03,-14
2021-04-04,-12
2021-04-05,1
2021-04-06,-4
2021-04-07,-7
2021-04-08,-14
2021-04-09,-8
2021-04-10,-6
2021-04-11,-8
2021-04-12,-8
2021-04-13,-7
2021-04-14,-11
2021-04-15,-6
2021-04-16,-3
2021-04-17,-8
2021-04-18,-10
2021-04-19,-3
2021-04-20,-3
2021-04-21,-8
2021-04-22,-7
2021-04-23,-4
2021-04-24,-9
2021-04-25,-13
2021-04-26,-4
2021-04-27,-7
2021-04-28,-7
2021-04-29,-7
2021-04-30,2
2021-05-01,0
2021-05-02,-14
2021-05-03,-5
2021-05-04,-8
2021-05-05,-8
2021-05-06,-11
2021-05-07,-9
2021-05-08,-13
2021-05-09,-16
2021-05-10,-6
2021-05-11,-10
2021-05-12,-9
2021-05-13,-11
2021-05-14,-1
2021-05-15,0
2021-05-16,-5
2021-05-17,1
2021-05-18,-3
2021-05-19,-8
2021-05-20,-9
2021-05-21,-6
2021-05-22,-6
2021-05-23,-15
2021-05-24,-6
2021-05-25,-7
2021-05-26,-14
2021-05-27,-6
2021-05-28,-3
2021-05-29,3
2021-05-30,2
2021-05-31,7
2021-06-01,6
2021-06-02,0
2021-06-03,-3
2021-06-04,0
2021-06-05,-1
2021-06-06,-1
2021-06-07,-6
2021-06-08,-8
2021-06-09,-7
2021-06-10,-6
2021-06-11,-4
2021-06-12,-4
2021-06-13,-6
2021-06-14,-1
2021-06-15,5
2021-06-16,3
2021-06-17,1
2021-06-18,4
2021-06-19,1
2021-06-20,2
2021-06-21,-6
2021-06-22,-3
2021-06-23,-4
2021-06-24,-4
2021-06-25,-2
2021-06-26,-9
2021-06-27,-6
2021-06-28,-1
2021-06-29,-3
2021-06-30,4
2021-07-01,8
2021-07-02,7
2021-07-03,2
2021-07-04,-2
2021-07-05,3
2021-07-06,3
2021-07-07,0
2021-07-08,1
2021-07-09,1
2021-07-10,-5
2021-07-11,-4
2021-07-12,4
2021-07-13,3
2021-07-14,5
2021-07-15,11
2021-07-16,13
2021-07-17,7
2021-07-18,5
2021-07-19,9
2021-07-20,6
2021-07-21,3
2021-07-22,-7
2021-07-23,-4
2021-07-24,-3
2021-07-25,-2
2021-07-26,-3
2021-07-27,3
2021-07-28,8
2021-07-29,5
2021-07-30,16
2021-07-31,13
2021-08-01,7
2021-08-02,6
2021-08-03,10
2021-08-04,8
2021-08-05,4
2021-08-06,5
2021-08-07,0
2021-08-08,1
2021-08-09,10
2021-08-10,5
2021-08-11,-1
2021-08-12,1
2021-08-13,17
2021-08-14,16
2021-08-15,17
2021-08-16,15
2021-08-17,7
2021-08-18,3
2021-08-19,0
2021-08-20,6
2021-08-21,-2
2021-08-22,1
2021-08-23,4
2021-08-24,5
2021-08-25,-2
2021-08-26,2
2021-08-27,10
2021-08-28,9
2021-08-29,4
2021-08-30,8
2021-08-31,15
2021-09-01,16
2021-09-02,9
2021-09-03,11
2021-09-04,11
2021-09-05,7
2021-09-06,6
2021-09-07,3
2021-09-08,5
2021-09-09,3
2021-09-10,8
2021-09-11,9
2021-09-12,2
2021-09-13,0
2021-09-14,9
2021-09-15,9
2021-09-16,12
2021-09-17,12
2021-09-18,7
2021-09-19,6
2021-09-20,10
2021-09-21,7
2021-09-22,2
2021-09-23,-1
2021-09-24,5
2021-09-25,6
2021-09-26,1
2021-09-27,4
2021-09-28,7
2021-09-29,8
2021-09-30,14
2021-10-01,21
2021-10-02,16
2021-10-03,13
2021-10-04,10
2021-10-05,8
2021-10-06,5
2021-10-07,3
2021-10-08,10
2021-10-09,6
2021-10-10,5
2021-10-11,5
2021-10-12,7
2021-10-13,1
2021-10-14,11
2021-10-15,17
2021-10-16,14
2021-10-17,4
2021-10-18,8
2021-10-19,10
2021-10-20,11
2021-10-21,9
2021-10-22,11
2021-10-23,5
2021-10-24,7
2021-10-25,11
2021-10-26,10
2021-10-27,10
2021-10-28,11
2021-10-29,19
2021-10-30,16
2021-10-31,18
2021-11-01,17
2021-11-02,15
2021-11-03,11
2021-11-04,11
2021-11-05,15
2021-11-06,13
2021-11-07,12
2021-11-08,13
2021-11-09,8
2021-11-10,9
2021-11-11,9
2021-11-12,17
2021-11-13,20
2021-11-14,20
2021-11-15,22
2021-11-16,21
2021-11-17,16
2021-11-18,17
2021-11-19,18
2021-11-20,18
2021-11-21,17
2021-11-22,14
2021-11-23,13
2021-11-24,12
2021-11-25,12
2021-11-26,23
2021-11-27,25
2021-11-28,22
2021-11-29,17
2021-11-30,22
2021-12-01,25
2021-12-02,25
2021-12-03,26
2021-12-04,27
2021-12-05,27
2021-12-06,26
2021-12-07,25
2021-12-08,23
2021-12-09,21
2021-12-10,25
2021-12-11,27
2021-12-12,28
2021-12-13,23
2021-12-14,28
2021-12-15,31
2021-12-16,30
2021-12-17,30
2021-12-18,32
2021-12-19,35
2021-12-20,38
2021-12-21,37
2021-12-22,38
2021-12-23,47
2021-12-24,62
2021-12-25,-15
2021-12-26,16
2021-12-27,26
2021-12-28,26
2021-12-29,28
2021-12-30,41
2021-12-31,56
2022-01-01,-19
2022-01-02,13
2022-01-03,23
2022-01-04,21
2022-01-05,18
2022-01-06,14
2022-01-07,13
2022-01-08,12
2022-01-09,13
2022-01-10,16
2022-01-11,13
2022-01-12,11
2022-01-13,12
2022-01-14,19
2022-01-15,20
2022-01-16,19
2022-01-17,22
2022-01-18,18
2022-01-19,16
2022-01-20,16
2022-01-21,17
2022-01-22,14
2022-01-23,14
2022-01-24,17
2022-01-25,14
2022-01-26,11
2022-01-27,13
2022-01-28,17
2022-01-29,20
2022-01-30,19
2022-01-31,24
2022-02-01,23
2022-02-02,16
2022-02-03,16
2022-02-04,15
2022-02-05,17
2022-02-06,34
2022-02-07,16
2022-02-08,14
2022-02-09,12
2022-02-10,13
2022-02-11,15
2022-02-12,19
2022-02-13,16
2022-02-14,26
