dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,4
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,6
2020-04-23,6
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,6
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,6
2020-05-08,6
2020-05-09,6
2020-05-10,6
2020-05-11,6
2020-05-12,6
2020-05-13,7
2020-05-14,7
2020-05-15,7
2020-05-16,8
2020-05-17,8
2020-05-18,10
2020-05-19,10
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,10
2020-05-25,10
2020-05-26,10
2020-05-27,10
2020-05-28,10
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,10
2020-06-02,10
2020-06-03,10
2020-06-04,10
2020-06-05,10
2020-06-06,10
2020-06-07,10
2020-06-08,10
2020-06-09,10
2020-06-10,10
2020-06-11,11
2020-06-12,12
2020-06-13,12
2020-06-14,12
2020-06-15,12
2020-06-16,12
2020-06-17,12
2020-06-18,12
2020-06-19,12
2020-06-20,12
2020-06-21,12
2020-06-22,12
2020-06-23,12
2020-06-24,12
2020-06-25,12
2020-06-26,12
2020-06-27,12
2020-06-28,12
2020-06-29,13
2020-06-30,15
2020-07-01,15
2020-07-02,16
2020-07-03,16
2020-07-04,17
2020-07-05,18
2020-07-06,18
2020-07-07,19
2020-07-08,23
2020-07-09,23
2020-07-10,24
2020-07-11,25
2020-07-12,26
2020-07-13,28
2020-07-14,30
2020-07-15,31
2020-07-16,36
2020-07-17,40
2020-07-18,42
2020-07-19,47
2020-07-20,54
2020-07-21,62
2020-07-22,66
2020-07-23,68
2020-07-24,71
2020-07-25,80
2020-07-26,87
2020-07-27,98
2020-07-28,104
2020-07-29,115
2020-07-30,125
2020-07-31,133
2020-08-01,140
2020-08-02,150
2020-08-03,154
2020-08-04,162
2020-08-05,171
2020-08-06,181
2020-08-07,191
2020-08-08,200
2020-08-09,218
2020-08-10,228
2020-08-11,235
2020-08-12,244
2020-08-13,255
2020-08-14,263
2020-08-15,272
2020-08-16,281
2020-08-17,291
2020-08-18,294
2020-08-19,304
2020-08-20,314
2020-08-21,321
2020-08-22,333
2020-08-23,340
2020-08-24,348
2020-08-25,355
2020-08-26,362
2020-08-27,376
2020-08-28,386
2020-08-29,397
2020-08-30,407
2020-08-31,418
2020-09-01,429
2020-09-02,436
2020-09-03,443
2020-09-04,453
2020-09-05,460
2020-09-06,469
2020-09-07,478
2020-09-08,491
2020-09-09,510
2020-09-10,531
2020-09-11,543
2020-09-12,567
2020-09-13,583
2020-09-14,590
2020-09-15,605
2020-09-16,621
2020-09-17,633
2020-09-18,649
2020-09-19,666
2020-09-20,686
2020-09-21,706
2020-09-22,727
2020-09-23,745
2020-09-24,760
2020-09-25,781
2020-09-26,795
2020-09-27,812
2020-09-28,828
2020-09-29,847
2020-09-30,861
2020-10-01,880
2020-10-02,904
2020-10-03,917
2020-10-04,930
2020-10-05,950
2020-10-06,971
2020-10-07,987
2020-10-08,1004
2020-10-09,1024
2020-10-10,1040
2020-10-11,1055
2020-10-12,1076
2020-10-13,1090
2020-10-14,1108
2020-10-15,1124
2020-10-16,1134
2020-10-17,1159
2020-10-18,1168
2020-10-19,1183
2020-10-20,1194
2020-10-21,1204
2020-10-22,1222
2020-10-23,1236
2020-10-24,1251
2020-10-25,1265
2020-10-26,1282
2020-10-27,1298
2020-10-28,1312
2020-10-29,1329
2020-10-30,1340
2020-10-31,1357
2020-11-01,1371
2020-11-02,1385
2020-11-03,1396
2020-11-04,1404
2020-11-05,1419
2020-11-06,1431
2020-11-07,1444
2020-11-08,1453
2020-11-09,1464
2020-11-10,1476
2020-11-11,1491
2020-11-12,1502
2020-11-13,1513
2020-11-14,1527
2020-11-15,1537
2020-11-16,1546
2020-11-17,1555
2020-11-18,1566
2020-11-19,1578
2020-11-20,1588
2020-11-21,1599
2020-11-22,1608
2020-11-23,1624
2020-11-24,1634
2020-11-25,1641
2020-11-26,1662
2020-11-27,1674
2020-11-28,1679
2020-11-29,1690
2020-11-30,1700
2020-12-01,1715
2020-12-02,1726
2020-12-03,1731
2020-12-04,1739
2020-12-05,1757
2020-12-06,1773
2020-12-07,1793
2020-12-08,1810
2020-12-09,1825
2020-12-10,1846
2020-12-11,1864
2020-12-12,1882
2020-12-13,1895
2020-12-14,1913
2020-12-15,1921
2020-12-16,1936
2020-12-17,1956
2020-12-18,1967
2020-12-19,1980
2020-12-20,1996
2020-12-21,2011
2020-12-22,2023
2020-12-23,2037
2020-12-24,2051
2020-12-25,2065
2020-12-26,2086
2020-12-27,2103
2020-12-28,2117
2020-12-29,2134
2020-12-30,2144
2020-12-31,2156
2021-01-01,2171
2021-01-02,2185
2021-01-03,2193
2021-01-04,2205
2021-01-05,2218
2021-01-06,2229
2021-01-07,2248
2021-01-08,2267
2021-01-09,2286
2021-01-10,2305
2021-01-11,2322
2021-01-12,2338
2021-01-13,2353
2021-01-14,2367
2021-01-15,2384
2021-01-16,2401
2021-01-17,2416
2021-01-18,2433
2021-01-19,2449
2021-01-20,2458
2021-01-21,2477
2021-01-22,2492
2021-01-23,2506
2021-01-24,2518
2021-01-25,2532
2021-01-26,2543
2021-01-27,2558
2021-01-28,2567
2021-01-29,2584
2021-01-30,2599
2021-01-31,2604
2021-02-01,2612
2021-02-02,2627
2021-02-03,2634
2021-02-04,2641
2021-02-05,2650
2021-02-06,2662
2021-02-07,2672
2021-02-08,2680
2021-02-09,2687
2021-02-10,2692
2021-02-11,2698
2021-02-12,2701
2021-02-13,2710
2021-02-14,2714
2021-02-15,2719
2021-02-16,2723
2021-02-17,2730
2021-02-18,2737
2021-02-19,2745
2021-02-20,2756
2021-02-21,2763
2021-02-22,2771
2021-02-23,2777
2021-02-24,2782
2021-02-25,2785
2021-02-26,2793
2021-02-27,2796
2021-02-28,2800
2021-03-01,2803
2021-03-02,2806
2021-03-03,2812
2021-03-04,2820
2021-03-05,2824
2021-03-06,2829
2021-03-07,2833
2021-03-08,2835
2021-03-09,2838
2021-03-10,2841
2021-03-11,2848
2021-03-12,2852
2021-03-13,2859
2021-03-14,2862
2021-03-15,2867
2021-03-16,2875
2021-03-17,2881
2021-03-18,2886
2021-03-19,2891
2021-03-20,2894
2021-03-21,2896
2021-03-22,2897
2021-03-23,2900
2021-03-24,2904
2021-03-25,2908
2021-03-26,2914
2021-03-27,2923
2021-03-28,2931
2021-03-29,2936
2021-03-30,2942
2021-03-31,2949
2021-04-01,2957
2021-04-02,2965
2021-04-03,2970
2021-04-04,2974
2021-04-05,2981
2021-04-06,2983
2021-04-07,2992
2021-04-08,3000
2021-04-09,3004
2021-04-10,3011
2021-04-11,3018
2021-04-12,3024
2021-04-13,3030
2021-04-14,3036
2021-04-15,3044
2021-04-16,3054
2021-04-17,3065
2021-04-18,3071
2021-04-19,3084
2021-04-20,3091
2021-04-21,3099
2021-04-22,3104
2021-04-23,3115
2021-04-24,3125
2021-04-25,3136
2021-04-26,3143
2021-04-27,3158
2021-04-28,3168
2021-04-29,3186
2021-04-30,3202
2021-05-01,3217
2021-05-02,3231
2021-05-03,3254
2021-05-04,3266
2021-05-05,3290
2021-05-06,3310
2021-05-07,3326
2021-05-08,3341
2021-05-09,3365
2021-05-10,3386
2021-05-11,3409
2021-05-12,3430
2021-05-13,3456
2021-05-14,3482
2021-05-15,3514
2021-05-16,3547
2021-05-17,3571
2021-05-18,3593
2021-05-19,3625
2021-05-20,3673
2021-05-21,3696
2021-05-22,3736
2021-05-23,3765
2021-05-24,3797
2021-05-25,3820
2021-05-26,3849
2021-05-27,3877
2021-05-28,3908
2021-05-29,3929
2021-05-30,3962
2021-05-31,3993
2021-06-01,4022
2021-06-02,4041
2021-06-03,4074
2021-06-04,4098
2021-06-05,4124
2021-06-06,4153
2021-06-07,4175
2021-06-08,4205
2021-06-09,4228
2021-06-10,4251
2021-06-11,4278
2021-06-12,4298
2021-06-13,4322
2021-06-14,4346
2021-06-15,4369
2021-06-16,4388
2021-06-17,4407
2021-06-18,4437
2021-06-19,4459
2021-06-20,4473
2021-06-21,4490
2021-06-22,4506
2021-06-23,4530
2021-06-24,4546
2021-06-25,4567
2021-06-26,4581
2021-06-27,4602
2021-06-28,4614
2021-06-29,4629
2021-06-30,4648
2021-07-01,4661
2021-07-02,4667
2021-07-03,4674
2021-07-04,4686
2021-07-05,4703
2021-07-06,4718
2021-07-07,4726
2021-07-08,4740
2021-07-09,4753
2021-07-10,4760
2021-07-11,4773
2021-07-12,4786
2021-07-13,4794
2021-07-14,4812
2021-07-15,4829
2021-07-16,4842
